"countryiso3","cases_within_time","deaths_within_time","recovered_within_time"
"ABW",4,0,0
"AFG",4,7,2
"AGO",8,2,5
"ALB",104,5,99
"AND",2,18,1
"ARE",8,9,4
"ARG",68,4,72
"ARM",26,10,30
"ATG",7,3,3
"AUS",3.75,0.333333333333333,2
"AUT",182,49,9
"AZE",15,3,10
"BDI",5,1,0
"BEL",1,178,1
"BEN",6,1,18
"BFA",114,16,66
"BGD",27,6,19
"BGR",187,3,34
"BHR",95,4,100
"BHS",28,8,5
"BIH",63,21,17
"BLM",1,0,0
"BLR",27,33,22
"BLZ",7,2,2
"BOL",32,24,7
"BRA",38,201,120
"BRB",34,5,17
"BRN",91,1,65
"BTN",2,0,2
"BWA",13,1,0
"CAF",3,0,4
"CAN",2.33333333333333,2.08333333333333,1
"CHE",491,41,4
"CHL",201,34,427
"CHN",884.161290322581,18.1290322580645,35.9677419354839
"CIV",80,5,7
"CMR",20,10,17
"COD",48,18,13
"COG",19,5,11
"COL",128,35,31
"CPV",6,1,1
"CRI",89,2,13
"CUB",67,6,27
"CUW",1,0,0
"CYM",1,0,0
"CYP",116,9,37
"CZE",1654,67,25
"DEU",16,123,16
"DJI",33,2,76
"DMA",14,0,8
"DNK",308.5,21.6666666666667,0.333333333333333
"DOM",11,51,33
"DZA",20,25,29
"ECU",28,48,100
"EGY",1,14,27
"ERI",29,0,3
"ESH",6,0,0
"ESP",2,533,2
"EST",16,24,20
"ETH",16,3,10
"FIN",1,25,1
"FJI",7,0,0
"FRA",6,2,11
"FRO",2,0,0
"GAB",7,1,7
"GBR",1377.14285714286,66.5714285714286,20
"GEO",24,4,20
"GGY",0,0,0
"GHA",141,5,3
"GIB",1,0,1
"GIN",8,5,59
"GLP",53,0,0
"GMB",4,1,2
"GNB",33,0,3
"GNQ",12,0,4
"GRC",99,22,52
"GRD",12,0,6
"GRL",0,0,0
"GTM",34,1,17
"GUF",18,0,6
"GUM",0,0,0
"GUY",5,1,9
"HKG",24,1,24
"HND",36,23,7
"HRV",14,7,37
"HTI",18,3,0
"HUN",58,13,34
"IDN",134,58,30
"IND",3,12,3
"IRL",129,9,5
"IRN",2922,92,2959
"IRQ",60,12,62
"ISL",134,2,51
"ISR",21,44,4
"ITA",3,197,589
"JAM",26,3,2
"JEY",0,0,0
"JOR",34,7,18
"JPN",22,4,1
"KAZ",150,6,60
"KEN",31,7,9
"KGZ",111,5,67
"KHM",1,0,1
"KNA",11,0,0
"KOR",19,35,16
"KWT",64,6,30
"LAO",14,0,2
"LBN",22,4,3
"LBR",3,7,7
"LBY",20,1,9
"LCA",3,0,1
"LIE",28,1,55
"LKA",1,7,1
"LTU",6,11,1
"LUX",51,18,500
"LVA",34,5,1
"MAC",10,0,6
"MAR",29,5,11
"MCO",2,1,3
"MDA",94,5,18
"MDG",70,0,39
"MDV",13,0,13
"MEX",12,37,4
"MKD",7,18,3
"MLI",59,9,41
"MLT",73,3,2
"MMR",27,4,7
"MNE",109,2,55
"MNG",10,0,4
"MOZ",10,0,4
"MRT",5,1,2
"MTQ",32,1,0
"MUS",161,7,180
"MWI",16,2,3
"MYS",16,43,15
"MYT",7,0,0
"NAM",8,0,3
"NER",120,11,117
"NGA",2,5,9
"NIC",5,1,6
"NLD",503,26.75,1.5
"NOR",598,23,6
"NPL",1,0,1
"NZL",5,4,241
"OMN",16,4,9
"PAK",19,34,13
"PAN",345,8,13
"PER",234,61,394
"PHL",3,1,1
"PNG",1,0,0
"POL",251,16,7
"PRI",0,0,0
"PRT",331,160,43
"PRY",22,3,18
"PSE",263,1,44
"QAT",337,6,45
"REU",45,0,0
"ROU",45,151,19
"RUS",2,30,2
"RWA",60,0,76
"SAU",118,41,28
"SDN",3,1,4
"SEN",24,2,5
"SGP",28,6,37
"SLE",11,0,6
"SLV",41,6,43
"SMR",69,7,6
"SOM",3,7,2
"SRB",135,39,0
"SSD",4,0,0
"STP",4,0,0
"SUR",8,1,6
"SVK",137,1,10
"SVN",286,9,102
"SWE",1,62,16
"SWZ",9,1,8
"SYC",8,0,5
"SYR",19,2,5
"TCD",8,0,8
"TGO",9,3,17
"THA",25,1,10
"TLS",1,0,1
"TTO",74,8,1
"TUN",29,14,5
"TUR",2433,214,1846
"TWN",11,1,2
"TZA",19,3,5
"UGA",48,0,28
"UKR",14,5,25
"URY",274,7,248
"USA",1.33333333333333,1,0.3125
"UZB",144,3,42
"VAT",4,0,2
"VCT",1,0,1
"VEN",119,9,52
"VNM",10,0,7
"YEM",1,0,0
"ZAF",150,24,95
"ZMB",36,2,30
"ZWE",9,1,2
