"country","countryiso3","region","time_since_first_case","time_since_first_death","time_since_first_recovered"
"Hong Kong","HKG","Hong Kong",82,70,62
"Hong Kong","HKG",NA,82,70,62
"Japan","JPN",NA,83,61,73
"Macau","MAC","Macau",83,NA,68
"Macau","MAC",NA,83,NA,68
"Mainland China","CHN","Anhui",83,65,73
"Mainland China","CHN","Beijing",83,78,78
"Mainland China","CHN","Chongqing",83,73,73
"Mainland China","CHN","Fujian",83,54,71
"Mainland China","CHN","Gansu",82,66,72
"Mainland China","CHN","Guangdong",83,67,73
"Mainland China","CHN","Guangxi",83,65,73
"Mainland China","CHN","Guizhou",83,69,73
"Mainland China","CHN","Hainan",83,78,NA
"Mainland China","CHN","Hebei",83,82,NA
"Mainland China","CHN","Heilongjiang",82,81,NA
"Mainland China","CHN","Henan",83,79,NA
"Mainland China","CHN","Hubei",83,83,83
"Mainland China","CHN","Hunan",83,66,73
"Mainland China","CHN","Inner Mongolia",81,42,73
"Mainland China","CHN","Jiangsu",83,NA,73
"Mainland China","CHN","Jiangxi",83,64,73
"Mainland China","CHN","Jilin",82,67,73
"Mainland China","CHN","Liaoning",83,62,73
"Mainland China","CHN","Ningxia",83,NA,71
"Mainland China","CHN","Qinghai",80,NA,69
"Mainland China","CHN","Shaanxi",82,54,70
"Mainland China","CHN","Shandong",83,65,73
"Mainland China","CHN","Shanghai",83,79,79
"Mainland China","CHN","Shanxi",83,NA,73
"Mainland China","CHN","Sichuan",83,76,76
"Mainland China","CHN","Tianjin",83,69,72
"Mainland China","CHN","Tibet",75,NA,62
"Mainland China","CHN","Xinjiang",82,61,63
"Mainland China","CHN","Yunnan",83,55,73
"Mainland China","CHN","Zhejiang",83,54,73
"Mainland China","CHN",NA,83,83,83
"South Korea","KOR",NA,83,54,67
"Taiwan","TWN","Taiwan",83,58,68
"Taiwan","TWN",NA,83,58,68
"Thailand","THA",NA,83,44,73
"US","USA","Washington",83,35,35
"US","USA","Chicago",81,NA,NA
"US","USA","Illinois",80,28,35
"US","USA","California",79,35,35
