"country","countryiso3","birthrate.2054_2020"
"Angola","AGO",44.2
"Niger","NER",44.2
"Mali","MLI",43.9
"Uganda","UGA",42.9
"Zambia","ZMB",41.5
"Burundi","BDI",41.3
"Burkina Faso","BFA",41.2
"Malawi","MWI",41
"Somalia","SOM",39.6
"Liberia","LBR",38.3
"Mozambique","MOZ",38.1
"Afghanistan","AFG",37.9
"Nigeria","NGA",36.9
"Ethiopia","ETH",36.5
"Sierra Leone","SLE",36.3
"Tanzania","TZA",35.6
"Chad","TCD",35.6
"South Sudan","SSD",35.5
"Cameroon","CMR",35.4
"Guinea","GIN",35.1
"Benin","BEN",35
"Congo, Republic of the","COG",34.4
"Central African Republic","CAF",34.3
"Gabon","GAB",34.2
"Zimbabwe","ZWE",34.2
"Congo, Democratic Republic of the","COD",33.5
"Timor-Leste","TLS",33.4
"Senegal","SEN",33.4
"Togo","TGO",33.3
"Guinea-Bissau","GNB",32.5
"Sao Tome and Principe","STP",32.4
"Equatorial Guinea","GNQ",32.2
"Madagascar","MDG",31.6
"Gaza Strip","PSE",31.4
"Rwanda","RWA",30.7
"Ghana","GHA",30.5
"Iraq","IRQ",30.4
"Mauritania","MRT",30.4
"Eritrea","ERI",29.6
"Egypt","EGY",29.6
"Gambia, The","GMB",29.4
"Western Sahara","ESH",29.3
"Yemen","YEM",28.4
"Sudan","SDN",27.9
"Cote d'Ivoire","CIV",27.7
"Namibia","NAM",27.3
"West Bank","PSE",26.3
"Comoros","COM",26.1
"Solomon Islands","SLB",24.9
"Lesotho","LSO",24.6
"Marshall Islands","MHL",24.4
"Guatemala","GTM",24.1
"Belize","BLZ",24
"Oman","OMN",24
"Nauru","NRU",24
"Vanuatu","VUT",24
"Jordan","JOR",23.9
"Kenya","KEN",23.9
"Papua New Guinea","PNG",23.7
"Philippines","PHL",23.7
"Tuvalu","TUV",23.7
"Laos","LAO",23.6
"Djibouti","DJI",23.4
"Tajikistan","TJK",23.3
"Haiti","HTI",23
"Cambodia","KHM",23
"Honduras","HND",22.4
"Algeria","DZA",22.2
"Tonga","TON",22.2
"Botswana","BWA",22.1
"Kyrgyzstan","KGZ",22.1
"Bolivia","BOL",22
"Pakistan","PAK",21.9
"Syria","SYR",21.2
"Kiribati","KIR",21.2
"Samoa","WSM",20.4
"South Africa","ZAF",20.2
"Cabo Verde","CPV",20
"Micronesia, Federated States of","FSM",20
"Guam","GUM",19.7
"American Samoa","ASM",19.6
"Nepal","NPL",19.5
"Kuwait","KWT",19.2
"Malaysia","MYS",19.1
"Turkmenistan","TKM",19.1
"India","IND",19
"Mongolia","MNG",18.9
"Bangladesh","BGD",18.8
"Venezuela","VEN",18.8
"Fiji","FJI",18.6
"Dominican Republic","DOM",18.4
"Saudi Arabia","SAU",18.3
"Mexico","MEX",18.3
"Tunisia","TUN",18.2
"Israel","ISR",18.1
"Burma","MMR",18.1
"Kazakhstan","KAZ",18.1
"Jamaica","JAM",17.9
"Panama","PAN",17.9
"Iran","IRN",17.9
"Ecuador","ECU",17.9
"Peru","PER",17.8
"Nicaragua","NIC",17.7
"Morocco","MAR",17.7
"Libya","LBY",17.5
"Bhutan","BTN",17.3
"Brunei","BRN",17
"Uzbekistan","UZB",16.8
"Argentina","ARG",16.7
"Paraguay","PRY",16.6
"El Salvador","SLV",16.2
"Indonesia","IDN",16.2
"Colombia","COL",16.1
"Maldives","MDV",16.1
"Azerbaijan","AZE",15.8
"Suriname","SUR",15.8
"Antigua and Barbuda","ATG",15.7
"Turkey","TUR",15.7
"Costa Rica","CRI",15.5
"Grenada","GRD",15.5
"Vietnam","VNM",15.5
"Guyana","GUY",15.4
"Turks and Caicos Islands","TCA",15.3
"Bahamas, The","BHS",15.3
"Sri Lanka","LKA",15.2
"Dominica","DMA",15.1
"United Arab Emirates","ARE",15.1
"New Caledonia","NCL",15
"Northern Mariana Islands","MNP",15
"French Polynesia","PYF",14.8
"Korea, North","PRK",14.6
"Greenland","GRL",14.4
"Faroe Islands","FRO",14.3
"Lebanon","LBN",14.3
"Brazil","BRA",14.1
"Ireland","IRL",14.1
"Cook Islands","COK",14
"Gibraltar","GIB",14
"Curacao","CUW",13.7
"Iceland","ISL",13.7
"Seychelles","SYC",13.7
"Chile","CHL",13.6
"Saint Lucia","LCA",13.3
"Bahrain","BHR",13.3
"Saint Vincent and the Grenadines","VCT",13.2
"Saint Kitts and Nevis","KNA",13.2
"Wallis and Futuna","WLF",13.2
"Albania","ALB",13.2
"New Zealand","NZL",13.2
"Sint Maarten","SXM",13.1
"Uruguay","URY",13
"Mauritius","MUS",13
"Armenia","ARM",12.9
"Virgin Islands","VIR",12.8
"Trinidad and Tobago","TTO",12.7
"Anguilla","AIA",12.5
"United States","USA",12.5
"Aruba","ABW",12.4
"Jersey","JEY",12.4
"China","CHN",12.3
"Georgia","GEO",12.3
"France","FRA",12.2
"Norway","NOR",12.2
"Australia","AUS",12.1
"United Kingdom","GBR",12.1
"Sweden","SWE",12.1
"Cayman Islands","CYM",12
"Barbados","BRB",11.7
"Luxembourg","LUX",11.5
"Moldova","MDA",11.5
"Bermuda","BMU",11.3
"Palau","PLW",11.3
"Belgium","BEL",11.3
"Cyprus","CYP",11.3
"British Virgin Islands","VGB",11.1
"Russia","RUS",11
"Thailand","THA",11
"Isle of Man","IMN",11
"Falkland Islands (Islas Malvinas)","FLK",10.9
"Netherlands","NLD",10.9
"Montserrat","MSR",10.8
"Cuba","CUB",10.7
"Finland","FIN",10.7
"Denmark","DNK",10.5
"Switzerland","CHE",10.5
"Liechtenstein","LIE",10.4
"Ukraine","UKR",10.3
"Canada","CAN",10.3
"Belarus","BLR",10.3
"Malta","MLT",10.1
"Estonia","EST",10.1
"Montenegro","MNE",10
"Lithuania","LTU",9.9
"Guernsey","GGY",9.8
"Slovakia","SVK",9.7
"Latvia","LVA",9.7
"Qatar","QAT",9.6
"Saint Helena, Ascension, and Tristan da Cunha","SHN",9.6
"Austria","AUT",9.5
"Poland","POL",9.5
"Czechia","CZE",9.3
"Spain","ESP",9.2
"Hungary","HUN",9
"Serbia","SRB",9
"Portugal","PRT",9
"Hong Kong","HKG",8.9
"Romania","ROU",8.9
"Croatia","HRV",8.9
"Bosnia and Herzegovina","BIH",8.8
"Bulgaria","BGR",8.7
"Germany","DEU",8.6
"Singapore","SGP",8.6
"Italy","ITA",8.6
"Macau","MAC",8.6
"San Marino","SMR",8.6
"Greece","GRC",8.4
"Taiwan","TWN",8.3
