"country","countryiso3","latest.year_birthrate.2054","latest.value_birthrate.2054"
"Afghanistan","AFG",2020,37.9
"Albania","ALB",2020,13.2
"Algeria","DZA",2020,22.2
"American Samoa","ASM",2020,19.6
"Andorra","AND",2020,7.5
"Angola","AGO",2020,44.2
"Anguilla","AIA",2020,12.5
"Antigua and Barbuda","ATG",2020,15.7
"Argentina","ARG",2020,16.7
"Armenia","ARM",2020,12.9
"Aruba","ABW",2020,12.4
"Australia","AUS",2020,12.1
"Austria","AUT",2020,9.5
"Azerbaijan","AZE",2020,15.8
"Bahamas, The","BHS",2020,15.3
"Bahrain","BHR",2020,13.3
"Bangladesh","BGD",2020,18.8
"Barbados","BRB",2020,11.7
"Belarus","BLR",2020,10.3
"Belgium","BEL",2020,11.3
"Belize","BLZ",2020,24
"Benin","BEN",2020,35
"Bermuda","BMU",2020,11.3
"Bhutan","BTN",2020,17.3
"Bolivia","BOL",2020,22
"Bosnia and Herzegovina","BIH",2020,8.8
"Botswana","BWA",2020,22.1
"Brazil","BRA",2020,14.1
"British Virgin Islands","VGB",2020,11.1
"Brunei","BRN",2020,17
"Bulgaria","BGR",2020,8.7
"Burkina Faso","BFA",2020,41.2
"Burma","MMR",2020,18.1
"Burundi","BDI",2020,41.3
"Cabo Verde","CPV",2020,20
"Cambodia","KHM",2020,23
"Cameroon","CMR",2020,35.4
"Canada","CAN",2020,10.3
"Cayman Islands","CYM",2020,12
"Central African Republic","CAF",2020,34.3
"Chad","TCD",2020,35.6
"Chile","CHL",2020,13.6
"China","CHN",2020,12.3
"Colombia","COL",2020,16.1
"Comoros","COM",2020,26.1
"Congo, Democratic Republic of the","COD",2020,33.5
"Congo, Republic of the","COG",2020,34.4
"Cook Islands","COK",2020,14
"Costa Rica","CRI",2020,15.5
"Cote d'Ivoire","CIV",2020,27.7
"Croatia","HRV",2020,8.9
"Cuba","CUB",2020,10.7
"Curacao","CUW",2020,13.7
"Cyprus","CYP",2020,11.3
"Czechia","CZE",2020,9.3
"Denmark","DNK",2020,10.5
"Djibouti","DJI",2020,23.4
"Dominica","DMA",2020,15.1
"Dominican Republic","DOM",2020,18.4
"Ecuador","ECU",2020,17.9
"Egypt","EGY",2020,29.6
"El Salvador","SLV",2020,16.2
"Equatorial Guinea","GNQ",2020,32.2
"Eritrea","ERI",2020,29.6
"Estonia","EST",2020,10.1
"Ethiopia","ETH",2020,36.5
"Falkland Islands (Islas Malvinas)","FLK",2020,10.9
"Faroe Islands","FRO",2020,14.3
"Fiji","FJI",2020,18.6
"Finland","FIN",2020,10.7
"France","FRA",2020,12.2
"French Polynesia","PYF",2020,14.8
"Gabon","GAB",2020,34.2
"Gambia, The","GMB",2020,29.4
"Gaza Strip","PSE",2020,31.4
"Georgia","GEO",2020,12.3
"Germany","DEU",2020,8.6
"Ghana","GHA",2020,30.5
"Gibraltar","GIB",2020,14
"Greece","GRC",2020,8.4
"Greenland","GRL",2020,14.4
"Grenada","GRD",2020,15.5
"Guam","GUM",2020,19.7
"Guatemala","GTM",2020,24.1
"Guernsey","GGY",2020,9.8
"Guinea","GIN",2020,35.1
"Guinea-Bissau","GNB",2020,32.5
"Guyana","GUY",2020,15.4
"Haiti","HTI",2020,23
"Honduras","HND",2020,22.4
"Hong Kong","HKG",2020,8.9
"Hungary","HUN",2020,9
"Iceland","ISL",2020,13.7
"India","IND",2020,19
"Indonesia","IDN",2020,16.2
"Iran","IRN",2020,17.9
"Iraq","IRQ",2020,30.4
"Ireland","IRL",2020,14.1
"Isle of Man","IMN",2020,11
"Israel","ISR",2020,18.1
"Italy","ITA",2020,8.6
"Jamaica","JAM",2020,17.9
"Japan","JPN",2020,7.7
"Jersey","JEY",2020,12.4
"Jordan","JOR",2020,23.9
"Kazakhstan","KAZ",2020,18.1
"Kenya","KEN",2020,23.9
"Kiribati","KIR",2020,21.2
"Korea, North","PRK",2020,14.6
"Korea, South","KOR",2020,8.3
"Kuwait","KWT",2020,19.2
"Kyrgyzstan","KGZ",2020,22.1
"Laos","LAO",2020,23.6
"Latvia","LVA",2020,9.7
"Lebanon","LBN",2020,14.3
"Lesotho","LSO",2020,24.6
"Liberia","LBR",2020,38.3
"Libya","LBY",2020,17.5
"Liechtenstein","LIE",2020,10.4
"Lithuania","LTU",2020,9.9
"Luxembourg","LUX",2020,11.5
"Macau","MAC",2020,8.6
"Madagascar","MDG",2020,31.6
"Malawi","MWI",2020,41
"Malaysia","MYS",2020,19.1
"Maldives","MDV",2020,16.1
"Mali","MLI",2020,43.9
"Malta","MLT",2020,10.1
"Marshall Islands","MHL",2020,24.4
"Mauritania","MRT",2020,30.4
"Mauritius","MUS",2020,13
"Mexico","MEX",2020,18.3
"Micronesia, Federated States of","FSM",2020,20
"Moldova","MDA",2020,11.5
"Monaco","MCO",2020,6.6
"Mongolia","MNG",2020,18.9
"Montenegro","MNE",2020,10
"Montserrat","MSR",2020,10.8
"Morocco","MAR",2020,17.7
"Mozambique","MOZ",2020,38.1
"Namibia","NAM",2020,27.3
"Nauru","NRU",2020,24
"Nepal","NPL",2020,19.5
"Netherlands","NLD",2020,10.9
"New Caledonia","NCL",2020,15
"New Zealand","NZL",2020,13.2
"Nicaragua","NIC",2020,17.7
"Niger","NER",2020,44.2
"Nigeria","NGA",2020,36.9
"Northern Mariana Islands","MNP",2020,15
"Norway","NOR",2020,12.2
