"country","countryiso3","childrenunderweight.2224_2020"
"Timor-Leste","TLS",45.3
"India","IND",43.5
"Yemen","YEM",43.1
"Niger","NER",37.9
"Bangladesh","BGD",36.8
"Madagascar","MDG",36.8
"Eritrea","ERI",34.5
"Afghanistan","AFG",32.9
"Somalia","SOM",32.8
"South Sudan","SSD",32.5
"Pakistan","PAK",31.6
"Nigeria","NGA",31
"Chad","TCD",30.3
"Djibouti","DJI",29.8
"Ethiopia","ETH",29.2
"Burundi","BDI",29.1
"Nepal","NPL",29.1
"Cambodia","KHM",29
"Papua New Guinea","PNG",27.9
"Mali","MLI",27.9
"Sudan","SDN",27
"Laos","LAO",26.5
"Sri Lanka","LKA",26.3
"Burkina Faso","BFA",26.2
"Congo, Democratic Republic of the","COD",24.2
"Central African Republic","CAF",23.5
"Burma","MMR",22.6
"Liberia","LBR",20.4
"Philippines","PHL",20.2
"Benin","BEN",20.2
"Indonesia","IDN",19.9
"Mauritania","MRT",19.5
"Guinea","GIN",18.7
"Sierra Leone","SLE",18.6
"Guinea-Bissau","GNB",18.1
"Maldives","MDV",17.8
"Namibia","NAM",17.5
"Gambia, The","GMB",17.4
"Comoros","COM",16.9
"Senegal","SEN",16.8
"Togo","TGO",16.5
"Kenya","KEN",16.4
"Cote d'Ivoire","CIV",15.7
"Mozambique","MOZ",15.6
"Angola","AGO",15.6
"Korea, North","PRK",15.2
"Cameroon","CMR",15.1
"Kiribati","KIR",14.9
"Zambia","ZMB",14.9
"Sao Tome and Principe","STP",14.4
"Uganda","UGA",14.1
"Malawi","MWI",13.8
"Tanzania","TZA",13.6
"Lesotho","LSO",13.5
"Ghana","GHA",13.4
"Tajikistan","TJK",13.3
"Guatemala","GTM",13
"Malaysia","MYS",12.9
"Bhutan","BTN",12.8
"Vietnam","VNM",12
"Congo, Republic of the","COG",11.8
"Vanuatu","VUT",11.7
"Rwanda","RWA",11.7
"Haiti","HTI",11.6
"Solomon Islands","SLB",11.5
"Botswana","BWA",11.2
"Guyana","GUY",11.1
"Turkmenistan","TKM",10.5
"Zimbabwe","ZWE",10.1
"Syria","SYR",10.1
"Thailand","THA",9.2
"South Africa","ZAF",8.7
"Oman","OMN",8.6
"Iraq","IRQ",8.5
"Azerbaijan","AZE",8.4
"Honduras","HND",7.1
"Egypt","EGY",6.8
"El Salvador","SLV",6.6
"Gabon","GAB",6.5
"Albania","ALB",6.3
"Belize","BLZ",6.2
"Ecuador","ECU",6.2
"Suriname","SUR",5.8
"Nicaragua","NIC",5.7
"Libya","LBY",5.6
"Equatorial Guinea","GNQ",5.6
"Saudi Arabia","SAU",5.3
"Armenia","ARM",5.3
"Fiji","FJI",5.3
"Nauru","NRU",4.8
"Mongolia","MNG",4.7
"Iran","IRN",4.6
"Uruguay","URY",4.5
"Bolivia","BOL",4.5
"Trinidad and Tobago","TTO",4.4
"Uzbekistan","UZB",4.4
"Lebanon","LBN",4.2
"Panama","PAN",3.9
"Kazakhstan","KAZ",3.7
"Kyrgyzstan","KGZ",3.7
"Algeria","DZA",3.7
"Peru","PER",3.5
"Romania","ROU",3.5
"Paraguay","PRY",3.4
"Dominican Republic","DOM",3.4
"Cuba","CUB",3.4
"Colombia","COL",3.4
"China","CHN",3.4
"Singapore","SGP",3.3
"Moldova","MDA",3.2
"Jamaica","JAM",3.2
"Morocco","MAR",3.1
"Jordan","JOR",3
"Venezuela","VEN",2.9
"Saint Lucia","LCA",2.8
"Mexico","MEX",2.8
"Tunisia","TUN",2.3
"Argentina","ARG",2.3
"Kuwait","KWT",2.2
"Brazil","BRA",2.2
"Czechia","CZE",2
"Turkey","TUR",1.7
"Bulgaria","BGR",1.6
"Serbia","SRB",1.6
"Tuvalu","TUV",1.6
"Bosnia and Herzegovina","BIH",1.5
"Belarus","BLR",1.3
"Costa Rica","CRI",1.1
"Georgia","GEO",1.1
"Germany","DEU",1.1
"Montenegro","MNE",1
"Ukraine","UKR",0.9
"Korea, South","KOR",0.6
"United States","USA",0.5
"Chile","CHL",0.5
"Australia","AUS",0.2
