"country","countryiso3","latest.year_childrenunderweight.2224","latest.value_childrenunderweight.2224"
"Afghanistan","AFG",2020,32.9
"Albania","ALB",2020,6.3
"Algeria","DZA",2020,3.7
"Angola","AGO",2020,15.6
"Argentina","ARG",2020,2.3
"Armenia","ARM",2020,5.3
"Australia","AUS",2020,0.2
"Azerbaijan","AZE",2020,8.4
"Bangladesh","BGD",2020,36.8
"Belarus","BLR",2020,1.3
"Belize","BLZ",2020,6.2
"Benin","BEN",2020,20.2
"Bhutan","BTN",2020,12.8
"Bolivia","BOL",2020,4.5
"Bosnia and Herzegovina","BIH",2020,1.5
"Botswana","BWA",2020,11.2
"Brazil","BRA",2020,2.2
"Bulgaria","BGR",2020,1.6
"Burkina Faso","BFA",2020,26.2
"Burma","MMR",2020,22.6
"Burundi","BDI",2020,29.1
"Cambodia","KHM",2020,29
"Cameroon","CMR",2020,15.1
"Central African Republic","CAF",2020,23.5
"Chad","TCD",2020,30.3
"Chile","CHL",2020,0.5
"China","CHN",2020,3.4
"Colombia","COL",2020,3.4
"Comoros","COM",2020,16.9
"Congo, Democratic Republic of the","COD",2020,24.2
"Congo, Republic of the","COG",2020,11.8
"Costa Rica","CRI",2020,1.1
"Cote d'Ivoire","CIV",2020,15.7
"Cuba","CUB",2020,3.4
"Czechia","CZE",2020,2
"Djibouti","DJI",2020,29.8
"Dominican Republic","DOM",2020,3.4
"Ecuador","ECU",2020,6.2
"Egypt","EGY",2020,6.8
"El Salvador","SLV",2020,6.6
"Equatorial Guinea","GNQ",2020,5.6
"Eritrea","ERI",2020,34.5
"Ethiopia","ETH",2020,29.2
"Fiji","FJI",2020,5.3
"Gabon","GAB",2020,6.5
"Gambia, The","GMB",2020,17.4
"Georgia","GEO",2020,1.1
"Germany","DEU",2020,1.1
"Ghana","GHA",2020,13.4
"Guatemala","GTM",2020,13
"Guinea","GIN",2020,18.7
"Guinea-Bissau","GNB",2020,18.1
"Guyana","GUY",2020,11.1
"Haiti","HTI",2020,11.6
"Honduras","HND",2020,7.1
"India","IND",2020,43.5
"Indonesia","IDN",2020,19.9
"Iran","IRN",2020,4.6
"Iraq","IRQ",2020,8.5
"Jamaica","JAM",2020,3.2
"Jordan","JOR",2020,3
"Kazakhstan","KAZ",2020,3.7
"Kenya","KEN",2020,16.4
"Kiribati","KIR",2020,14.9
"Korea, North","PRK",2020,15.2
"Korea, South","KOR",2020,0.6
"Kuwait","KWT",2020,2.2
"Kyrgyzstan","KGZ",2020,3.7
"Laos","LAO",2020,26.5
"Lebanon","LBN",2020,4.2
"Lesotho","LSO",2020,13.5
"Liberia","LBR",2020,20.4
"Libya","LBY",2020,5.6
"Madagascar","MDG",2020,36.8
"Malawi","MWI",2020,13.8
"Malaysia","MYS",2020,12.9
"Maldives","MDV",2020,17.8
"Mali","MLI",2020,27.9
"Mauritania","MRT",2020,19.5
"Mexico","MEX",2020,2.8
"Moldova","MDA",2020,3.2
"Mongolia","MNG",2020,4.7
"Montenegro","MNE",2020,1
"Morocco","MAR",2020,3.1
"Mozambique","MOZ",2020,15.6
"Namibia","NAM",2020,17.5
"Nauru","NRU",2020,4.8
"Nepal","NPL",2020,29.1
"Nicaragua","NIC",2020,5.7
"Niger","NER",2020,37.9
"Nigeria","NGA",2020,31
"Oman","OMN",2020,8.6
"Pakistan","PAK",2020,31.6
"Panama","PAN",2020,3.9
"Papua New Guinea","PNG",2020,27.9
"Paraguay","PRY",2020,3.4
"Peru","PER",2020,3.5
"Philippines","PHL",2020,20.2
"Romania","ROU",2020,3.5
"Rwanda","RWA",2020,11.7
"Saint Lucia","LCA",2020,2.8
"Sao Tome and Principe","STP",2020,14.4
"Saudi Arabia","SAU",2020,5.3
"Senegal","SEN",2020,16.8
"Serbia","SRB",2020,1.6
"Sierra Leone","SLE",2020,18.6
"Singapore","SGP",2020,3.3
"Solomon Islands","SLB",2020,11.5
"Somalia","SOM",2020,32.8
"South Africa","ZAF",2020,8.7
"South Sudan","SSD",2020,32.5
"Sri Lanka","LKA",2020,26.3
"Sudan","SDN",2020,27
"Suriname","SUR",2020,5.8
"Syria","SYR",2020,10.1
"Tajikistan","TJK",2020,13.3
"Tanzania","TZA",2020,13.6
"Thailand","THA",2020,9.2
"Timor-Leste","TLS",2020,45.3
"Togo","TGO",2020,16.5
"Trinidad and Tobago","TTO",2020,4.4
"Tunisia","TUN",2020,2.3
"Turkey","TUR",2020,1.7
"Turkmenistan","TKM",2020,10.5
"Tuvalu","TUV",2020,1.6
"Uganda","UGA",2020,14.1
"Ukraine","UKR",2020,0.9
"United States","USA",2020,0.5
"Uruguay","URY",2020,4.5
"Uzbekistan","UZB",2020,4.4
"Vanuatu","VUT",2020,11.7
"Venezuela","VEN",2020,2.9
"Vietnam","VNM",2020,12
"Yemen","YEM",2020,43.1
"Zambia","ZMB",2020,14.9
"Zimbabwe","ZWE",2020,10.1
