"country","countryiso3","educationexpenditures.2206_2020"
"Lesotho","LSO",13
"Cuba","CUB",12.8
"Marshall Islands","MHL",12.2
"Kiribati","KIR",12
"Botswana","BWA",9.5
"Sao Tome and Principe","STP",9.5
"Timor-Leste","TLS",9.4
"Denmark","DNK",8.7
"Namibia","NAM",8.4
"Moldova","MDA",8.4
"Djibouti","DJI",8.4
"Ghana","GHA",8.1
"Iceland","ISL",7.6
"Comoros","COM",7.6
"New Zealand","NZL",7.4
"Palau","PLW",7.3
"Solomon Islands","SLB",7.3
"Cyprus","CYP",7.3
"Sweden","SWE",7
"Norway","NOR",6.9
"Venezuela","VEN",6.9
"Malta","MLT",6.9
"Bolivia","BOL",6.9
"Kyrgyzstan","KGZ",6.8
"Maldives","MDV",6.8
"Finland","FIN",6.8
"Kenya","KEN",6.7
"Belize","BLZ",6.6
"Belgium","BEL",6.6
"Ireland","IRL",6.4
"Argentina","ARG",6.3
"Vietnam","VNM",6.3
"Costa Rica","CRI",6.3
"Ukraine","UKR",6.2
"United Kingdom","GBR",6.2
"Tanzania","TZA",6.2
"Tunisia","TUN",6.2
"Congo, Republic of the","COG",6.2
"Jamaica","JAM",6.1
"Aruba","ABW",6
"South Africa","ZAF",6
"France","FRA",5.9
"Austria","AUT",5.9
"Netherlands","NLD",5.9
"Malaysia","MYS",5.9
"Thailand","THA",5.8
"Samoa","WSM",5.8
"Brazil","BRA",5.8
"Burundi","BDI",5.8
"Slovenia","SVN",5.7
"Estonia","EST",5.7
"Senegal","SEN",5.6
"Barbados","BRB",5.6
"Portugal","PRT",5.6
"Australia","AUS",5.6
"Israel","ISR",5.6
"Mongolia","MNG",5.5
"Morocco","MAR",5.4
"Malawi","MWI",5.4
"Lithuania","LTU",5.4
"Canada","CAN",5.4
"United States","USA",5.4
"Benin","BEN",5.3
"Poland","POL",5.2
"Switzerland","CHE",5.2
"Yemen","YEM",5.2
"Saudi Arabia","SAU",5.1
"Saint Vincent and the Grenadines","VCT",5.1
"Syria","SYR",5.1
"Belarus","BLR",5.1
"Mexico","MEX",5.1
"Rwanda","RWA",5.1
"Germany","DEU",5.1
"Korea, South","KOR",5
"Cabo Verde","CPV",5
"Latvia","LVA",5
"Mozambique","MOZ",5
"Vanuatu","VUT",5
"Spain","ESP",5
"Hungary","HUN",4.9
"Serbia","SRB",4.8
"Mali","MLI",4.8
"Paraguay","PRY",4.8
"Ethiopia","ETH",4.7
"Bhutan","BTN",4.7
"Nepal","NPL",4.7
"Nicaragua","NIC",4.6
"Cote d'Ivoire","CIV",4.6
"Chile","CHL",4.5
"Togo","TGO",4.5
"Uruguay","URY",4.5
"Italy","ITA",4.5
"Ecuador","ECU",4.4
"Colombia","COL",4.4
"British Virgin Islands","VGB",4.4
"Algeria","DZA",4.3
"Kosovo","XKS",4.3
"Croatia","HRV",4.3
"Oman","OMN",4.3
"Niger","NER",4.2
"Fiji","FJI",4.2
"Slovakia","SVK",4.2
"Romania","ROU",4.2
"Saint Kitts and Nevis","KNA",4.2
"Czechia","CZE",4.2
"Saint Lucia","LCA",4.1
"Bulgaria","BGR",4.1
"Gambia, The","GMB",4.1
"Russia","RUS",4.1
"Greece","GRC",4.1
"Grenada","GRD",3.9
"Tonga","TON",3.9
"Tajikistan","TJK",3.9
"Japan","JPN",3.8
"Kuwait","KWT",3.8
"Egypt","EGY",3.8
"Luxembourg","LUX",3.7
"Iran","IRN",3.7
"Mauritania","MRT",3.7
"Seychelles","SYC",3.6
"Panama","PAN",3.5
"Mauritius","MUS",3.5
"Hong Kong","HKG",3.5
"Dominica","DMA",3.5
"Brunei","BRN",3.5
"Angola","AGO",3.5
"Burkina Faso","BFA",3.4
"El Salvador","SLV",3.4
"Albania","ALB",3.3
"Uganda","UGA",3.3
"Armenia","ARM",3.3
"Cameroon","CMR",3.2
"India","IND",3.2
"Trinidad and Tobago","TTO",3.2
"Guyana","GUY",3.2
"Cook Islands","COK",3.1
"Kazakhstan","KAZ",3.1
"Guatemala","GTM",3
"Singapore","SGP",3
"Sierra Leone","SLE",2.9
"Turkey","TUR",2.9
"Indonesia","IDN",2.8
"Liberia","LBR",2.8
"Peru","PER",2.8
"Anguilla","AIA",2.8
"Laos","LAO",2.8
"Macau","MAC",2.7
"Philippines","PHL",2.7
"Madagascar","MDG",2.7
"Bermuda","BMU",2.6
"Cambodia","KHM",2.6
"Bahrain","BHR",2.6
"Qatar","QAT",2.5
"Zimbabwe","ZWE",2.5
"Guinea","GIN",2.5
"Congo, Democratic Republic of the","COD",2.5
"Azerbaijan","AZE",2.4
"Antigua and Barbuda","ATG",2.4
"Chad","TCD",2.3
"Bangladesh","BGD",2.2
"Lebanon","LBN",2.2
"Dominican Republic","DOM",2.2
"Pakistan","PAK",2.1
"Eritrea","ERI",2.1
"Liechtenstein","LIE",2.1
"Georgia","GEO",2
"Sri Lanka","LKA",1.7
"Monaco","MCO",1.6
"Zambia","ZMB",1.3
"Central African Republic","CAF",1.2
"Burma","MMR",0.8
"Equatorial Guinea","GNQ",0.6
