"country","countryiso3","fertilityrate.2127_2020"
"Niger","NER",6.49
"Angola","AGO",6.16
"Mali","MLI",6.01
"Burundi","BDI",5.99
"Somalia","SOM",5.8
"Burkina Faso","BFA",5.71
"Uganda","UGA",5.71
"Zambia","ZMB",5.63
"Malawi","MWI",5.49
"Afghanistan","AFG",5.12
"Mozambique","MOZ",5.08
"South Sudan","SSD",5.07
"Nigeria","NGA",5.07
"Liberia","LBR",5.06
"Ethiopia","ETH",4.99
"Timor-Leste","TLS",4.79
"Benin","BEN",4.77
"Tanzania","TZA",4.77
"Guinea","GIN",4.77
"Sierra Leone","SLE",4.73
"Cameroon","CMR",4.64
"Congo, Republic of the","COG",4.59
"Gabon","GAB",4.39
"Congo, Democratic Republic of the","COD",4.39
"Equatorial Guinea","GNQ",4.39
"Togo","TGO",4.38
"Chad","TCD",4.34
"Central African Republic","CAF",4.3
"Senegal","SEN",4.28
"Sao Tome and Principe","STP",4.25
"Gaza Strip","PSE",4.13
"Guinea-Bissau","GNB",4.09
"Madagascar","MDG",4.03
"Ghana","GHA",4
"Iraq","IRQ",4
"Eritrea","ERI",3.99
"Zimbabwe","ZWE",3.98
"Rwanda","RWA",3.87
"Mauritania","MRT",3.86
"Western Sahara","ESH",3.86
"Yemen","YEM",3.63
"Sudan","SDN",3.57
"Gambia, The","GMB",3.52
"Egypt","EGY",3.47
"Cote d'Ivoire","CIV",3.38
"Comoros","COM",3.34
"Namibia","NAM",3.29
"West Bank","PSE",3.27
"Jordan","JOR",3.19
"Solomon Islands","SLB",3.16
"Tonga","TON",3.1
"Vanuatu","VUT",3.07
"Papua New Guinea","PNG",3.03
"Marshall Islands","MHL",3.03
"Philippines","PHL",3.02
"Kenya","KEN",2.98
"Guam","GUM",2.96
"Tuvalu","TUV",2.95
"Belize","BLZ",2.85
"Oman","OMN",2.82
"Northern Mariana Islands","MNP",2.8
"Nauru","NRU",2.8
"Guatemala","GTM",2.77
"Haiti","HTI",2.72
"Samoa","WSM",2.7
"Algeria","DZA",2.7
"Laos","LAO",2.7
"American Samoa","ASM",2.68
"Honduras","HND",2.67
"Israel","ISR",2.64
"Tajikistan","TJK",2.63
"Bolivia","BOL",2.63
"Lesotho","LSO",2.63
"Pakistan","PAK",2.62
"Kyrgyzstan","KGZ",2.61
"Botswana","BWA",2.56
"Cambodia","KHM",2.52
"Syria","SYR",2.5
"Malaysia","MYS",2.5
"India","IND",2.43
"Micronesia, Federated States of","FSM",2.41
"Fiji","FJI",2.41
"Kuwait","KWT",2.4
"Kiribati","KIR",2.39
"Faroe Islands","FRO",2.35
"United Arab Emirates","ARE",2.32
"Venezuela","VEN",2.32
"Djibouti","DJI",2.31
"Panama","PAN",2.3
"South Africa","ZAF",2.29
"Dominican Republic","DOM",2.29
"Argentina","ARG",2.26
"Kazakhstan","KAZ",2.25
"Mexico","MEX",2.24
"Cabo Verde","CPV",2.24
"Tunisia","TUN",2.23
"Cook Islands","COK",2.19
"Ecuador","ECU",2.19
"Bangladesh","BGD",2.17
"Burma","MMR",2.17
"Peru","PER",2.12
"Nepal","NPL",2.12
"Morocco","MAR",2.11
"Indonesia","IDN",2.11
"Saudi Arabia","SAU",2.09
"Mongolia","MNG",2.09
"Virgin Islands","VIR",2.08
"France","FRA",2.07
"Turkmenistan","TKM",2.07
"Sri Lanka","LKA",2.07
"Sint Maarten","SXM",2.05
"Curacao","CUW",2.04
"Libya","LBY",2.04
"Dominica","DMA",2.03
"New Zealand","NZL",2.02
"Grenada","GRD",2.02
"Turkey","TUR",2.01
"Antigua and Barbuda","ATG",2
"Iceland","ISL",2
"Guyana","GUY",2
"Colombia","COL",2
"Greenland","GRL",1.99
"Iran","IRN",1.97
"Ireland","IRL",1.97
"Jamaica","JAM",1.96
"Korea, North","PRK",1.95
"Bahamas, The","BHS",1.94
"Bermuda","BMU",1.93
"New Caledonia","NCL",1.93
"Suriname","SUR",1.93
"Isle of Man","IMN",1.92
"Qatar","QAT",1.9
"Paraguay","PRY",1.9
"Bhutan","BTN",1.9
"Gibraltar","GIB",1.9
"Azerbaijan","AZE",1.89
"Nicaragua","NIC",1.89
"Costa Rica","CRI",1.89
"French Polynesia","PYF",1.88
"Sweden","SWE",1.88
"United Kingdom","GBR",1.88
"United States","USA",1.87
"El Salvador","SLV",1.87
"Norway","NOR",1.85
"Seychelles","SYC",1.85
"Cayman Islands","CYM",1.85
"Aruba","ABW",1.83
"Vietnam","VNM",1.81
"Uruguay","URY",1.8
"Saint Vincent and the Grenadines","VCT",1.8
"Chile","CHL",1.8
"Netherlands","NLD",1.78
"Brunei","BRN",1.78
"Belgium","BEL",1.78
"Australia","AUS",1.77
"Saint Kitts and Nevis","KNA",1.77
"Georgia","GEO",1.76
"Uzbekistan","UZB",1.76
"Mauritius","MUS",1.75
"Saint Lucia","LCA",1.75
"Finland","FIN",1.75
"Brazil","BRA",1.75
"Bahrain","BHR",1.75
"Anguilla","AIA",1.74
"Wallis and Futuna","WLF",1.73
"Denmark","DNK",1.73
"Maldives","MDV",1.73
"Lebanon","LBN",1.72
"Palau","PLW",1.71
"Cuba","CUB",1.71
"Trinidad and Tobago","TTO",1.71
"Turks and Caicos Islands","TCA",1.7
"Liechtenstein","LIE",1.69
"Barbados","BRB",1.68
"Jersey","JEY",1.66
"Armenia","ARM",1.64
"Luxembourg","LUX",1.62
"Russia","RUS",1.61
"Estonia","EST",1.6
"China","CHN",1.6
"Canada","CAN",1.6
"Saint Helena, Ascension, and Tristan da Cunha","SHN",1.59
"Lithuania","LTU",1.59
"Saint Pierre and Miquelon","SPM",1.57
"Moldova","MDA",1.57
"Guernsey","GGY",1.56
"Switzerland","CHE",1.56
"Malta","MLT",1.55
