"country","countryiso3","latest.year_healthexpenditures.2225","latest.value_healthexpenditures.2225"
"Afghanistan","AFG",2020,8.2
"Albania","ALB",2020,5.9
"Algeria","DZA",2020,7.2
"Andorra","AND",2020,8.1
"Angola","AGO",2020,3.3
"Antigua and Barbuda","ATG",2020,5.5
"Argentina","ARG",2020,4.8
"Armenia","ARM",2020,4.5
"Australia","AUS",2020,9.4
"Austria","AUT",2020,11.2
"Azerbaijan","AZE",2020,6
"Bahamas, The","BHS",2020,7.7
"Bahrain","BHR",2020,5
"Bangladesh","BGD",2020,2.8
"Barbados","BRB",2020,7.5
"Belarus","BLR",2020,5.7
"Belgium","BEL",2020,10.6
"Belize","BLZ",2020,5.8
"Benin","BEN",2020,4.6
"Bhutan","BTN",2020,3.6
"Bolivia","BOL",2020,6.3
"Bosnia and Herzegovina","BIH",2020,9.6
"Botswana","BWA",2020,5.4
"Brazil","BRA",2020,8.3
"Brunei","BRN",2020,2.6
"Bulgaria","BGR",2020,8.4
"Burkina Faso","BFA",2020,5
"Burma","MMR",2020,2.3
"Burundi","BDI",2020,7.5
"Cabo Verde","CPV",2020,4.8
"Cambodia","KHM",2020,5.7
"Cameroon","CMR",2020,4.1
"Canada","CAN",2020,10.4
"Central African Republic","CAF",2020,4.2
"Chad","TCD",2020,3.6
"Chile","CHL",2020,7.8
"China","CHN",2020,5.5
"Colombia","COL",2020,7.2
"Comoros","COM",2020,6.7
"Congo, Democratic Republic of the","COD",2020,4.3
"Congo, Republic of the","COG",2020,5.2
"Cook Islands","COK",2020,3.4
"Costa Rica","CRI",2020,9.3
"Cote d'Ivoire","CIV",2020,5.7
"Croatia","HRV",2020,7.8
"Cuba","CUB",2020,11.1
"Cyprus","CYP",2020,7.4
"Czechia","CZE",2020,7.4
"Denmark","DNK",2020,10.8
"Djibouti","DJI",2020,10.6
"Dominica","DMA",2020,5.5
"Dominican Republic","DOM",2020,4.4
"Ecuador","ECU",2020,9.2
"Egypt","EGY",2020,5.6
"El Salvador","SLV",2020,6.8
"Equatorial Guinea","GNQ",2020,3.8
"Eritrea","ERI",2020,3.3
"Estonia","EST",2020,6.4
"Ethiopia","ETH",2020,4.9
"Fiji","FJI",2020,4.5
"Finland","FIN",2020,9.7
"France","FRA",2020,11.5
"Gabon","GAB",2020,3.4
"Gambia, The","GMB",2020,7.3
"Georgia","GEO",2020,7.4
"Germany","DEU",2020,11.3
"Ghana","GHA",2020,3.6
"Greece","GRC",2020,8.1
"Grenada","GRD",2020,6.1
"Guatemala","GTM",2020,6.2
"Guinea","GIN",2020,5.6
"Guinea-Bissau","GNB",2020,5.6
"Guyana","GUY",2020,5.2
"Haiti","HTI",2020,7.6
"Honduras","HND",2020,8.7
"Hungary","HUN",2020,7.4
"Iceland","ISL",2020,8.9
"India","IND",2020,4.7
"Indonesia","IDN",2020,2.8
"Iran","IRN",2020,6.9
"Iraq","IRQ",2020,5.5
"Ireland","IRL",2020,7.8
"Israel","ISR",2020,7.8
"Italy","ITA",2020,9.2
"Jamaica","JAM",2020,5.4
"Japan","JPN",2020,10.2
"Jordan","JOR",2020,7.5
"Kazakhstan","KAZ",2020,4.4
"Kenya","KEN",2020,5.7
"Kiribati","KIR",2020,10.2
"Korea, South","KOR",2020,7.4
"Kuwait","KWT",2020,3
"Kyrgyzstan","KGZ",2020,6.5
"Laos","LAO",2020,1.9
"Latvia","LVA",2020,5.9
"Lebanon","LBN",2020,6.4
"Lesotho","LSO",2020,10.6
"Liberia","LBR",2020,10
"Libya","LBY",2020,5
"Lithuania","LTU",2020,6.6
"Luxembourg","LUX",2020,6.6
"Madagascar","MDG",2020,3
"Malawi","MWI",2020,11.4
"Malaysia","MYS",2020,4.2
"Maldives","MDV",2020,13.7
"Mali","MLI",2020,6.9
"Malta","MLT",2020,9.7
"Marshall Islands","MHL",2020,17.1
"Mauritania","MRT",2020,3.8
"Mauritius","MUS",2020,4.8
"Mexico","MEX",2020,6.3
"Micronesia, Federated States of","FSM",2020,13.7
"Moldova","MDA",2020,10.3
"Monaco","MCO",2020,4.3
"Mongolia","MNG",2020,4.7
"Montenegro","MNE",2020,6.4
"Morocco","MAR",2020,5.9
"Mozambique","MOZ",2020,7
"Namibia","NAM",2020,8.9
"Nauru","NRU",2020,3.3
"Nepal","NPL",2020,5.8
"Netherlands","NLD",2020,10.9
"New Zealand","NZL",2020,11
"Nicaragua","NIC",2020,9
"Niger","NER",2020,5.8
"Nigeria","NGA",2020,3.7
"Niue","NIU",2020,7.4
"Norway","NOR",2020,9.7
"Oman","OMN",2020,3.6
"Pakistan","PAK",2020,2.6
"Palau","PLW",2020,9
"Panama","PAN",2020,8
"Papua New Guinea","PNG",2020,4.3
"Paraguay","PRY",2020,9.8
"Peru","PER",2020,5.5
"Philippines","PHL",2020,4.7
"Poland","POL",2020,6.4
"Portugal","PRT",2020,9.5
"Qatar","QAT",2020,2.2
"Romania","ROU",2020,5.6
"Russia","RUS",2020,7.1
"Rwanda","RWA",2020,7.5
"Saint Kitts and Nevis","KNA",2020,5.1
"Saint Lucia","LCA",2020,6.7
