"country","countryiso3","hivrateall.2156_2020"
"South Africa","ZAF",7100000
"Nigeria","NGA",3200000
"India","IND",2100000
"Mozambique","MOZ",1800000
"Kenya","KEN",1600000
"Tanzania","TZA",1400000
"Uganda","UGA",1400000
"Zimbabwe","ZWE",1300000
"Zambia","ZMB",1200000
"Malawi","MWI",1000000
"Brazil","BRA",830000
"Ethiopia","ETH",710000
"Indonesia","IDN",620000
"Cameroon","CMR",560000
"Cote d'Ivoire","CIV",460000
"Thailand","THA",450000
"Congo, Democratic Republic of the","COD",370000
"Botswana","BWA",360000
"Lesotho","LSO",330000
"Ghana","GHA",290000
"Angola","AGO",280000
"Vietnam","VNM",250000
"Ukraine","UKR",240000
"Namibia","NAM",230000
"Burma","MMR",230000
"Rwanda","RWA",220000
"Mexico","MEX",220000
"South Sudan","SSD",200000
"France","FRA",180000
"Haiti","HTI",150000
"Spain","ESP",140000
"Central African Republic","CAF",130000
"Italy","ITA",130000
"Pakistan","PAK",130000
"Guinea","GIN",120000
"Colombia","COL",120000
"Argentina","ARG",120000
"Venezuela","VEN",120000
"Mali","MLI",110000
"Chad","TCD",110000
"Togo","TGO",100000
"Malaysia","MYS",97000
"Burkina Faso","BFA",95000
"Congo, Republic of the","COG",91000
"Burundi","BDI",84000
"Cambodia","KHM",71000
"Peru","PER",70000
"Dominican Republic","DOM",67000
"Benin","BEN",67000
"Sierra Leone","SLE",67000
"Iran","IRN",66000
"Chile","CHL",61000
"Philippines","PHL",56000
"Sudan","SDN",56000
"Niger","NER",48000
"Gabon","GAB",48000
"Papua New Guinea","PNG",46000
"Guatemala","GTM",46000
"Liberia","LBR",43000
"Senegal","SEN",41000
"Guinea-Bissau","GNB",36000
"Equatorial Guinea","GNQ",35000
"Ecuador","ECU",33000
"Nepal","NPL",32000
"Madagascar","MDG",31000
"Jamaica","JAM",30000
"Kazakhstan","KAZ",26000
"Australia","AUS",25000
"Cuba","CUB",25000
"El Salvador","SLV",24000
"Somalia","SOM",24000
"Netherlands","NLD",23000
"Morocco","MAR",22000
"Honduras","HND",21000
"Panama","PAN",21000
"Gambia, The","GMB",20000
"Bolivia","BOL",19000
"Paraguay","PRY",19000
"Belarus","BLR",19000
"Romania","ROU",16000
"Eritrea","ERI",15000
"Moldova","MDA",15000
"Tajikistan","TJK",14000
"Algeria","DZA",13000
"Costa Rica","CRI",13000
"Bangladesh","BGD",12000
"Uruguay","URY",12000
"Georgia","GEO",12000
"Egypt","EGY",11000
"Trinidad and Tobago","TTO",11000
"Sweden","SWE",11000
"Mauritania","MRT",11000
"Laos","LAO",11000
"Yemen","YEM",9900
"Azerbaijan","AZE",9200
"Nicaragua","NIC",8900
"Djibouti","DJI",8600
"Guyana","GUY",8500
"Kyrgyzstan","KGZ",8500
"Bahamas, The","BHS",8200
"Saudi Arabia","SAU",8200
"Afghanistan","AFG",7500
"Latvia","LVA",6600
"Ireland","IRL",6200
"Suriname","SUR",4900
"Belize","BLZ",4300
"Sri Lanka","LKA",4000
"Bulgaria","BGR",3500
"Czechia","CZE",3400
"Armenia","ARM",3300
"Tunisia","TUN",2900
"Lithuania","LTU",2900
"Cabo Verde","CPV",2800
"Serbia","SRB",2700
"Barbados","BRB",2600
"Lebanon","LBN",2200
"Albania","ALB",1700
"Croatia","HRV",1500
