"country","countryiso3","latest.year_infantmortality.2091","latest.value_infantmortality.2091"
"Afghanistan","AFG",2020,110.6
"Albania","ALB",2020,11.9
"Algeria","DZA",2020,19.6
"American Samoa","ASM",2020,11.3
"Andorra","AND",2020,3.6
"Angola","AGO",2020,67.6
"Anguilla","AIA",2020,3.3
"Antigua and Barbuda","ATG",2020,12.1
"Argentina","ARG",2020,9.8
"Armenia","ARM",2020,12.7
"Aruba","ABW",2020,10.7
"Australia","AUS",2020,4.3
"Austria","AUT",2020,3.4
"Azerbaijan","AZE",2020,23.8
"Bahamas, The","BHS",2020,11.3
"Bahrain","BHR",2020,8.9
"Bangladesh","BGD",2020,31.7
"Barbados","BRB",2020,10.2
"Belarus","BLR",2020,3.6
"Belgium","BEL",2020,3.4
"Belize","BLZ",2020,18.9
"Benin","BEN",2020,52.8
"Bermuda","BMU",2020,2.5
"Bhutan","BTN",2020,32.1
"Bolivia","BOL",2020,35.3
"Bosnia and Herzegovina","BIH",2020,5.5
"Botswana","BWA",2020,29.6
"Brazil","BRA",2020,17.5
"British Virgin Islands","VGB",2020,12.1
"Brunei","BRN",2020,9.6
"Bulgaria","BGR",2020,8.4
"Burkina Faso","BFA",2020,72.2
"Burma","MMR",2020,35.8
"Burundi","BDI",2020,58.8
"Cabo Verde","CPV",2020,21.9
"Cambodia","KHM",2020,47.4
"Cameroon","CMR",2020,51
"Canada","CAN",2020,4.5
"Cayman Islands","CYM",2020,5.9
"Central African Republic","CAF",2020,86.3
"Chad","TCD",2020,85.4
"Chile","CHL",2020,6.6
"China","CHN",2020,12
"Colombia","COL",2020,13.6
"Comoros","COM",2020,60
"Congo, Democratic Republic of the","COD",2020,68.2
"Congo, Republic of the","COG",2020,54.9
"Cook Islands","COK",2020,13
"Costa Rica","CRI",2020,8
"Cote d'Ivoire","CIV",2020,55.8
"Croatia","HRV",2020,9.3
"Cuba","CUB",2020,4.4
"Curacao","CUW",2020,7.5
"Cyprus","CYP",2020,7.9
"Czechia","CZE",2020,2.6
"Denmark","DNK",2020,4
"Djibouti","DJI",2020,45.8
"Dominica","DMA",2020,10.6
"Dominican Republic","DOM",2020,17.5
"Ecuador","ECU",2020,16.4
"Egypt","EGY",2020,19
"El Salvador","SLV",2020,16.8
"Equatorial Guinea","GNQ",2020,65.2
"Eritrea","ERI",2020,45
"Estonia","EST",2020,3.8
"Ethiopia","ETH",2020,49.6
"Faroe Islands","FRO",2020,5.4
"Fiji","FJI",2020,9.5
"Finland","FIN",2020,2.5
"France","FRA",2020,3.2
"French Polynesia","PYF",2020,4.6
"Gabon","GAB",2020,44.1
"Gambia, The","GMB",2020,60.2
"Gaza Strip","PSE",2020,16.6
"Georgia","GEO",2020,15.2
"Germany","DEU",2020,3.4
"Ghana","GHA",2020,35.2
"Gibraltar","GIB",2020,5.9
"Greece","GRC",2020,4.6
"Greenland","GRL",2020,8.9
"Grenada","GRD",2020,9.7
"Guam","GUM",2020,12.6
"Guatemala","GTM",2020,21.3
"Guernsey","GGY",2020,3.4
"Guinea","GIN",2020,50
"Guinea-Bissau","GNB",2020,85.7
