"country","countryiso3","median.2177_2020"
"Monaco","MCO",53.1
"Japan","JPN",47.3
"Germany","DEU",47.1
"Saint Pierre and Miquelon","SPM",46.5
"Italy","ITA",45.5
"Slovenia","SVN",44.5
"Greece","GRC",44.5
"Hong Kong","HKG",44.4
"San Marino","SMR",44.4
"Andorra","AND",44.3
"Isle of Man","IMN",44.2
"Saint Barthelemy","BLM",44.1
"Austria","AUT",44
"Guernsey","GGY",43.8
"Lithuania","LTU",43.7
"Latvia","LVA",43.6
"Bermuda","BMU",43.4
"Liechtenstein","LIE",43.2
"Croatia","HRV",43
"Bulgaria","BGR",42.7
"Spain","ESP",42.7
"Estonia","EST",42.7
"Serbia","SRB",42.6
"Netherlands","NLD",42.6
"Finland","FIN",42.5
"Switzerland","CHE",42.4
"Hungary","HUN",42.3
"Canada","CAN",42.2
"Portugal","PRT",42.2
"Denmark","DNK",42.2
"Bosnia and Herzegovina","BIH",42.1
"Czechia","CZE",42.1
"Saint Helena, Ascension, and Tristan da Cunha","SHN",41.9
"Korea, South","KOR",41.8
"Malta","MLT",41.8
"Cuba","CUB",41.5
"Puerto Rico","PRI",41.5
"Belgium","BEL",41.4
"France","FRA",41.4
"Sweden","SWE",41.2
"Romania","ROU",41.1
"Virgin Islands","VIR",41
"Sint Maarten","SXM",41
"Montenegro","MNE",40.7
"Taiwan","TWN",40.7
"Poland","POL",40.7
"Ukraine","UKR",40.6
"United Kingdom","GBR",40.5
"Slovakia","SVK",40.5
"Cayman Islands","CYM",40
"Belarus","BLR",40
"Russia","RUS",39.6
"Luxembourg","LUX",39.3
"Aruba","ABW",39.3
"Macau","MAC",39.3
"Norway","NOR",39.2
"Australia","AUS",38.7
"Barbados","BRB",38.6
"United States","USA",38.1
"Georgia","GEO",38.1
"Jersey","JEY",38
"New Zealand","NZL",37.9
"Thailand","THA",37.7
"Faroe Islands","FRO",37.6
"China","CHN",37.4
"Ireland","IRL",36.8
"Cyprus","CYP",36.8
"Moldova","MDA",36.7
"Cook Islands","COK",36.6
"British Virgin Islands","VGB",36.5
"Iceland","ISL",36.5
"Curacao","CUW",36.1
"Trinidad and Tobago","TTO",36
"Seychelles","SYC",35.4
"Mauritius","MUS",35.3
"Armenia","ARM",35.1
"Uruguay","URY",35
"Saint Kitts and Nevis","KNA",35
"Anguilla","AIA",34.8
"Saint Lucia","LCA",34.8
"Gibraltar","GIB",34.7
"Singapore","SGP",34.6
"Chile","CHL",34.4
"Korea, North","PRK",34
"Greenland","GRL",33.9
"Saint Vincent and the Grenadines","VCT",33.6
"Northern Mariana Islands","MNP",33.6
"Dominica","DMA",33.5
"Palau","PLW",33.4
"Turks and Caicos Islands","TCA",33.3
"Qatar","QAT",33.2
"Montserrat","MSR",33.2
"Albania","ALB",32.9
"Sri Lanka","LKA",32.8
"Saint Martin","MAF",32.5
"Bahrain","BHR",32.3
"Wallis and Futuna","WLF",32.2
"New Caledonia","NCL",32
"Bahamas, The","BHS",32
"Brazil","BRA",32
"Antigua and Barbuda","ATG",31.9
"French Polynesia","PYF",31.9
"Argentina","ARG",31.7
"Tunisia","TUN",31.6
"Grenada","GRD",31.5
"Azerbaijan","AZE",31.3
"Costa Rica","CRI",31.3
"Turkey","TUR",30.9
"Kazakhstan","KAZ",30.6
"Lebanon","LBN",30.5
"Vietnam","VNM",30.5
"Iran","IRN",30.3
"United Arab Emirates","ARE",30.3
"Brunei","BRN",30.2
