"country","countryiso3","latest.year_median.2177","latest.value_median.2177"
"Afghanistan","AFG",2020,18.8
"Albania","ALB",2020,32.9
"Algeria","DZA",2020,28.1
"American Samoa","ASM",2020,25.5
"Andorra","AND",2020,44.3
"Angola","AGO",2020,15.9
"Anguilla","AIA",2020,34.8
"Antigua and Barbuda","ATG",2020,31.9
"Argentina","ARG",2020,31.7
"Armenia","ARM",2020,35.1
"Aruba","ABW",2020,39.3
"Australia","AUS",2020,38.7
"Austria","AUT",2020,44
"Azerbaijan","AZE",2020,31.3
"Bahamas, The","BHS",2020,32
"Bahrain","BHR",2020,32.3
"Bangladesh","BGD",2020,26.7
"Barbados","BRB",2020,38.6
"Belarus","BLR",2020,40
"Belgium","BEL",2020,41.4
"Belize","BLZ",2020,22.7
"Benin","BEN",2020,18.2
"Bermuda","BMU",2020,43.4
"Bhutan","BTN",2020,27.6
"Bolivia","BOL",2020,24.3
"Bosnia and Herzegovina","BIH",2020,42.1
"Botswana","BWA",2020,24.5
"Brazil","BRA",2020,32
"British Virgin Islands","VGB",2020,36.5
"Brunei","BRN",2020,30.2
"Bulgaria","BGR",2020,42.7
"Burkina Faso","BFA",2020,17.3
"Burma","MMR",2020,28.2
"Burundi","BDI",2020,17
"Cabo Verde","CPV",2020,25.4
"Cambodia","KHM",2020,25.3
"Cameroon","CMR",2020,18.5
"Canada","CAN",2020,42.2
"Cayman Islands","CYM",2020,40
"Central African Republic","CAF",2020,19.7
"Chad","TCD",2020,17.8
"Chile","CHL",2020,34.4
"China","CHN",2020,37.4
"Colombia","COL",2020,30
"Comoros","COM",2020,19.9
"Congo, Democratic Republic of the","COD",2020,18.6
"Congo, Republic of the","COG",2020,19.7
"Cook Islands","COK",2020,36.6
"Costa Rica","CRI",2020,31.3
"Cote d'Ivoire","CIV",2020,20.9
"Croatia","HRV",2020,43
"Cuba","CUB",2020,41.5
"Curacao","CUW",2020,36.1
"Cyprus","CYP",2020,36.8
"Czechia","CZE",2020,42.1
"Denmark","DNK",2020,42.2
"Djibouti","DJI",2020,23.9
"Dominica","DMA",2020,33.5
"Dominican Republic","DOM",2020,28.1
"Ecuador","ECU",2020,27.7
"Egypt","EGY",2020,23.9
"El Salvador","SLV",2020,27.1
"Equatorial Guinea","GNQ",2020,19.8
"Eritrea","ERI",2020,19.7
"Estonia","EST",2020,42.7
