"country","countryiso3","latest.year_merchantmarine.2108","latest.value_merchantmarine.2108"
"Albania","ALB",2020,57
"Algeria","DZA",2020,110
"Angola","AGO",2020,55
"Anguilla","AIA",2020,1
"Antigua and Barbuda","ATG",2020,964
"Argentina","ARG",2020,161
"Australia","AUS",2020,549
"Austria","AUT",2020,1
"Azerbaijan","AZE",2020,311
"Bahamas, The","BHS",2020,1440
"Bahrain","BHR",2020,260
"Bangladesh","BGD",2020,306
"Barbados","BRB",2020,112
"Belarus","BLR",2020,4
"Belgium","BEL",2020,185
"Belize","BLZ",2020,756
"Benin","BEN",2020,6
"Bermuda","BMU",2020,160
"Bolivia","BOL",2020,55
"Brazil","BRA",2020,766
"British Virgin Islands","VGB",2020,20
"Brunei","BRN",2020,102
"Bulgaria","BGR",2020,80
"Burma","MMR",2020,97
"Cabo Verde","CPV",2020,42
"Cambodia","KHM",2020,442
"Cameroon","CMR",2020,19
"Canada","CAN",2020,639
"Cayman Islands","CYM",2020,161
"Chile","CHL",2020,211
"China","CHN",2020,4287
"Colombia","COL",2020,103
"Comoros","COM",2020,203
"Congo, Democratic Republic of the","COD",2020,33
"Congo, Republic of the","COG",2020,40
"Cook Islands","COK",2020,218
"Costa Rica","CRI",2020,10
"Cote d'Ivoire","CIV",2020,9
"Croatia","HRV",2020,288
"Cuba","CUB",2020,43
"Curacao","CUW",2020,92
"Cyprus","CYP",2020,1022
"Denmark","DNK",2020,654
"Djibouti","DJI",2020,18
"Dominica","DMA",2020,76
"Dominican Republic","DOM",2020,23
"Ecuador","ECU",2020,138
"Egypt","EGY",2020,399
"El Salvador","SLV",2020,2
"Equatorial Guinea","GNQ",2020,40
"Eritrea","ERI",2020,9
"Estonia","EST",2020,78
"Ethiopia","ETH",2020,11
"Falkland Islands (Islas Malvinas)","FLK",2020,3
"Faroe Islands","FRO",2020,96
"Fiji","FJI",2020,68
"Finland","FIN",2020,267
"France","FRA",2020,555
"French Polynesia","PYF",2020,17
"Gabon","GAB",2020,27
"Gambia, The","GMB",2020,8
"Georgia","GEO",2020,84
"Germany","DEU",2020,614
"Ghana","GHA",2020,44
"Gibraltar","GIB",2020,291
"Greece","GRC",2020,1364
"Greenland","GRL",2020,8
"Grenada","GRD",2020,6
"Guam","GUM",2020,3
"Guatemala","GTM",2020,9
"Guinea","GIN",2020,1
"Guinea-Bissau","GNB",2020,9
"Guyana","GUY",2020,55
"Haiti","HTI",2020,4
"Honduras","HND",2020,552
"Hong Kong","HKG",2020,2576
"Iceland","ISL",2020,33
