"country","countryiso3","latest.year_obesity.2228","latest.value_obesity.2228"
"Afghanistan","AFG",2020,5.5
"Albania","ALB",2020,21.7
"Algeria","DZA",2020,27.4
"Andorra","AND",2020,25.6
"Angola","AGO",2020,8.2
"Antigua and Barbuda","ATG",2020,18.9
"Argentina","ARG",2020,28.3
"Armenia","ARM",2020,20.2
"Australia","AUS",2020,29
"Austria","AUT",2020,20.1
"Azerbaijan","AZE",2020,19.9
"Bahamas, The","BHS",2020,31.6
"Bahrain","BHR",2020,29.8
"Bangladesh","BGD",2020,3.6
"Barbados","BRB",2020,23.1
"Belarus","BLR",2020,24.5
"Belgium","BEL",2020,22.1
"Belize","BLZ",2020,24.1
"Benin","BEN",2020,9.6
"Bhutan","BTN",2020,6.4
"Bolivia","BOL",2020,20.2
"Bosnia and Herzegovina","BIH",2020,17.9
"Botswana","BWA",2020,18.9
"Brazil","BRA",2020,22.1
"Brunei","BRN",2020,14.1
"Bulgaria","BGR",2020,25
"Burkina Faso","BFA",2020,5.6
"Burma","MMR",2020,5.8
"Burundi","BDI",2020,5.4
"Cabo Verde","CPV",2020,11.8
"Cambodia","KHM",2020,3.9
"Cameroon","CMR",2020,11.4
"Canada","CAN",2020,29.4
"Central African Republic","CAF",2020,7.5
"Chad","TCD",2020,6.1
"Chile","CHL",2020,28
"China","CHN",2020,6.2
"Colombia","COL",2020,22.3
"Comoros","COM",2020,7.8
"Congo, Democratic Republic of the","COD",2020,6.7
"Congo, Republic of the","COG",2020,9.6
"Cook Islands","COK",2020,55.9
"Costa Rica","CRI",2020,25.7
"Cote d'Ivoire","CIV",2020,10.3
"Croatia","HRV",2020,24.4
"Cuba","CUB",2020,24.6
"Cyprus","CYP",2020,21.8
"Czechia","CZE",2020,26
"Denmark","DNK",2020,19.7
"Djibouti","DJI",2020,13.5
"Dominica","DMA",2020,27.9
"Dominican Republic","DOM",2020,27.6
"Ecuador","ECU",2020,19.9
"Egypt","EGY",2020,32
"El Salvador","SLV",2020,24.6
"Equatorial Guinea","GNQ",2020,8
"Eritrea","ERI",2020,5
"Estonia","EST",2020,21.2
"Ethiopia","ETH",2020,4.5
"Fiji","FJI",2020,30.2
"Finland","FIN",2020,22.2
"France","FRA",2020,21.6
"Gabon","GAB",2020,15
"Gambia, The","GMB",2020,10.3
"Georgia","GEO",2020,21.7
"Germany","DEU",2020,22.3
"Ghana","GHA",2020,10.9
"Greece","GRC",2020,24.9
"Grenada","GRD",2020,21.3
"Guatemala","GTM",2020,21.2
"Guinea","GIN",2020,7.7
