"country","countryiso3","population.2119_2020"
"China","CHN",1379302771
"India","IND",1281935911
"United States","USA",326625791
"Indonesia","IDN",260580739
"Brazil","BRA",207353391
"Pakistan","PAK",204924861
"Nigeria","NGA",190632261
"Bangladesh","BGD",157826578
"Russia","RUS",142257519
"Japan","JPN",126451398
"Mexico","MEX",124574795
"Ethiopia","ETH",105350020
"Philippines","PHL",104256076
"Egypt","EGY",97041072
"Vietnam","VNM",96160163
"Congo, Democratic Republic of the","COD",83301151
"Iran","IRN",82021564
"Turkey","TUR",80845215
"Germany","DEU",80594017
"Thailand","THA",68414135
"France","FRA",67106161
"United Kingdom","GBR",65648100
"Italy","ITA",62137802
"Burma","MMR",55123814
"South Africa","ZAF",54841552
"Tanzania","TZA",53950935
"Korea, South","KOR",51181299
"Spain","ESP",48958159
"Colombia","COL",47698524
"Kenya","KEN",47615739
"Argentina","ARG",44293293
"Ukraine","UKR",44033874
"Algeria","DZA",40969443
"Uganda","UGA",39570125
"Iraq","IRQ",39192111
"Poland","POL",38476269
"Sudan","SDN",37345935
"Canada","CAN",35623680
"Afghanistan","AFG",34124811
"Morocco","MAR",33986655
"Malaysia","MYS",31381992
"Venezuela","VEN",31304016
"Peru","PER",31036656
"Uzbekistan","UZB",29748859
"Nepal","NPL",29384297
"Angola","AGO",29310273
"Saudi Arabia","SAU",28571770
"Yemen","YEM",28036829
"Ghana","GHA",27499924
"Mozambique","MOZ",26573706
"Korea, North","PRK",25248140
"Madagascar","MDG",25054161
"Cameroon","CMR",24994885
"Cote d'Ivoire","CIV",24184810
"Taiwan","TWN",23508428
"Australia","AUS",23232413
"Sri Lanka","LKA",22409381
"Romania","ROU",21529967
"Burkina Faso","BFA",20107509
"Niger","NER",19245344
"Malawi","MWI",19196246
"Kazakhstan","KAZ",18556698
"Syria","SYR",18028549
"Mali","MLI",17885245
"Chile","CHL",17789267
"Netherlands","NLD",17084719
"Ecuador","ECU",16290913
"Cambodia","KHM",16204486
"Zambia","ZMB",15972001
"Guatemala","GTM",15460732
"Senegal","SEN",14668522
"Zimbabwe","ZWE",13805084
"South Sudan","SSD",13026129
"Guinea","GIN",12413867
"Chad","TCD",12075985
"Rwanda","RWA",11901484
"Belgium","BEL",11491346
"Burundi","BDI",11466756
"Tunisia","TUN",11403800
"Cuba","CUB",11147407
"Bolivia","BOL",11138234
"Benin","BEN",11038805
"Somalia","SOM",11031386
"Portugal","PRT",10839514
"Greece","GRC",10768477
"Dominican Republic","DOM",10734247
"Czechia","CZE",10674723
"Haiti","HTI",10646714
"Jordan","JOR",10248069
"Azerbaijan","AZE",9961396
"Sweden","SWE",9960487
"Hungary","HUN",9850845
"Belarus","BLR",9549747
"Honduras","HND",9038741
"Austria","AUT",8754413
"Tajikistan","TJK",8468555
"Israel","ISR",8299706
"Switzerland","CHE",8236303
"Togo","TGO",7965055
"Hong Kong","HKG",7191503
"Laos","LAO",7126706
"Serbia","SRB",7111024
"Bulgaria","BGR",7101510
