"country","countryiso3","latest.year_population.2119","latest.value_population.2119"
"Afghanistan","AFG","2020","34124811"
"Albania","ALB","2020","3047987"
"Algeria","DZA","2020","40969443"
"American Samoa","ASM","2020","51504"
"Andorra","AND","2020","76965"
"Angola","AGO","2020","29310273"
"Anguilla","AIA","2020","17087"
"Antigua and Barbuda","ATG","2020","94731"
"Argentina","ARG","2020","44293293"
"Armenia","ARM","2020","3045191"
"Aruba","ABW","2020","115120"
"Australia","AUS","2020","23232413"
"Austria","AUT","2020","8754413"
"Azerbaijan","AZE","2020","9961396"
"Bahamas, The","BHS","2020","329988"
"Bahrain","BHR","2020","1410942"
"Bangladesh","BGD","2020","157826578"
"Barbados","BRB","2020","292336"
"Belarus","BLR","2020","9549747"
"Belgium","BEL","2020","11491346"
"Belize","BLZ","2020","360346"
"Benin","BEN","2020","11038805"
"Bermuda","BMU","2020","70864"
"Bhutan","BTN","2020","758288"
"Bolivia","BOL","2020","11138234"
"Bosnia and Herzegovina","BIH","2020","3856181"
"Botswana","BWA","2020","2214858"
"Brazil","BRA","2020","207353391"
"British Virgin Islands","VGB","2020","35015"
"Brunei","BRN","2020","443593"
"Bulgaria","BGR","2020","7101510"
"Burkina Faso","BFA","2020","20107509"
"Burma","MMR","2020","55123814"
"Burundi","BDI","2020","11466756"
"Cabo Verde","CPV","2020","560899"
"Cambodia","KHM","2020","16204486"
"Cameroon","CMR","2020","24994885"
"Canada","CAN","2020","35623680"
"Cayman Islands","CYM","2020","58441"
"Central African Republic","CAF","2020","5625118"
"Chad","TCD","2020","12075985"
"Chile","CHL","2020","17789267"
"China","CHN","2020","1379302771"
"Christmas Island","CXR","2020","2205"
"Cocos (Keeling) Islands","CCK","2020","596"
"Colombia","COL","2020","47698524"
"Comoros","COM","2020","808080"
"Congo, Democratic Republic of the","COD","2020","83301151"
"Congo, Republic of the","COG","2020","4954674"
"Cook Islands","COK","2020","9290"
"Costa Rica","CRI","2020","4930258"
