"country","countryiso3","railways.2121_2020"
"United States","USA",293564
"China","CHN",124000
"Russia","RUS",87157
"Canada","CAN",77932
"India","IND",68525
"Germany","DEU",43468
"Australia","AUS",36968
"Argentina","ARG",36917
"Brazil","BRA",29850
"France","FRA",29640
"Japan","JPN",27311
"Ukraine","UKR",21733
"South Africa","ZAF",20986
"Italy","ITA",20182
"Poland","POL",19231
"United Kingdom","GBR",16837
"Spain","ESP",16102
"Mexico","MEX",15389
"Kazakhstan","KAZ",14184
"Sweden","SWE",14127
"Turkey","TUR",12008
"Pakistan","PAK",11881
"Romania","ROU",11268
"Czechia","CZE",9622
"Iran","IRN",8484
"Cuba","CUB",8367
"Indonesia","IDN",8159
"Hungary","HUN",8049
"Korea, North","PRK",7435
"Chile","CHL",7282
"Sudan","SDN",7251
"Finland","FIN",5923
"Austria","AUT",5800
"Switzerland","CHE",5652
"Belarus","BLR",5528
"Saudi Arabia","SAU",5410
"Bulgaria","BGR",5114
"Egypt","EGY",5085
"Burma","MMR",5031
"Mozambique","MOZ",4787
"Tanzania","TZA",4567
"Uzbekistan","UZB",4304
"Norway","NOR",4250
"New Zealand","NZL",4128
"Thailand","THA",4127
"Congo, Democratic Republic of the","COD",4007
"Algeria","DZA",3973
"Korea, South","KOR",3874
"Serbia","SRB",3809
"Kenya","KEN",3806
"Nigeria","NGA",3798
"Slovakia","SVK",3626
"Belgium","BEL",3592
"Bolivia","BOL",3504
"Denmark","DNK",3476
"Zimbabwe","ZWE",3427
"Ireland","IRL",3237
"Zambia","ZMB",3126
"Portugal","PRT",3075
"Netherlands","NLD",3058
"Turkmenistan","TKM",2980
"Azerbaijan","AZE",2944
"Angola","AGO",2852
"Croatia","HRV",2722
"Namibia","NAM",2628
"Vietnam","VNM",2600
"Greece","GRC",2548
"Bangladesh","BGD",2460
"Iraq","IRQ",2272
"Latvia","LVA",2239
"Tunisia","TUN",2173
"Estonia","EST",2146
"Colombia","COL",2141
"Morocco","MAR",2067
"Syria","SYR",2052
"Peru","PER",1854
"Malaysia","MYS",1851
"Mongolia","MNG",1815
"Lithuania","LTU",1768
"Uruguay","URY",1673
"Taiwan","TWN",1597
"Sri Lanka","LKA",1447
"Georgia","GEO",1363
"Israel","ISR",1250
"Uganda","UGA",1244
"Slovenia","SVN",1229
"Moldova","MDA",1171
"Guinea","GIN",1086
"Philippines","PHL",995
"Cameroon","CMR",987
"Ecuador","ECU",965
"Bosnia and Herzegovina","BIH",965
"Ghana","GHA",947
"Senegal","SEN",906
"Botswana","BWA",888
"Madagascar","MDG",836
"Guatemala","GTM",800
"Armenia","ARM",780
"Malawi","MWI",767
"Mauritania","MRT",728
"Honduras","HND",699
"Tajikistan","TJK",680
"Albania","ALB",677
"Cote d'Ivoire","CIV",660
"Ethiopia","ETH",659
"Gabon","GAB",649
"Cambodia","KHM",642
"Burkina Faso","BFA",622
"Fiji","FJI",597
"Mali","MLI",593
"Togo","TGO",568
"Congo, Republic of the","COG",510
"Jordan","JOR",509
"Dominican Republic","DOM",496
"Kyrgyzstan","KGZ",470
"Venezuela","VEN",447
"Benin","BEN",438
"Liberia","LBR",429
"Lebanon","LBN",401
"Kosovo","XKS",333
"Eritrea","ERI",306
"Costa Rica","CRI",278
"Luxembourg","LUX",275
"Montenegro","MNE",250
"South Sudan","SSD",248
"Djibouti","DJI",97
"Panama","PAN",77
"Isle of Man","IMN",63
"Nepal","NPL",53
"Saint Kitts and Nevis","KNA",50
"Paraguay","PRY",30
"Christmas Island","CXR",18
"El Salvador","SLV",13
"Liechtenstein","LIE",9
