"country","countryiso3","latest.year_railways.2121","latest.value_railways.2121"
"Albania","ALB",2020,677
"Algeria","DZA",2020,3973
"Angola","AGO",2020,2852
"Argentina","ARG",2020,36917
"Armenia","ARM",2020,780
"Australia","AUS",2020,36968
"Austria","AUT",2020,5800
"Azerbaijan","AZE",2020,2944
"Bangladesh","BGD",2020,2460
"Belarus","BLR",2020,5528
"Belgium","BEL",2020,3592
"Benin","BEN",2020,438
"Bolivia","BOL",2020,3504
"Bosnia and Herzegovina","BIH",2020,965
"Botswana","BWA",2020,888
"Brazil","BRA",2020,29850
"Bulgaria","BGR",2020,5114
"Burkina Faso","BFA",2020,622
"Burma","MMR",2020,5031
"Cambodia","KHM",2020,642
"Cameroon","CMR",2020,987
"Canada","CAN",2020,77932
"Chile","CHL",2020,7282
"China","CHN",2020,124000
"Christmas Island","CXR",2020,18
"Colombia","COL",2020,2141
"Congo, Democratic Republic of the","COD",2020,4007
"Congo, Republic of the","COG",2020,510
"Costa Rica","CRI",2020,278
"Cote d'Ivoire","CIV",2020,660
"Croatia","HRV",2020,2722
"Cuba","CUB",2020,8367
"Czechia","CZE",2020,9622
"Denmark","DNK",2020,3476
"Djibouti","DJI",2020,97
"Dominican Republic","DOM",2020,496
"Ecuador","ECU",2020,965
"Egypt","EGY",2020,5085
"El Salvador","SLV",2020,13
"Eritrea","ERI",2020,306
"Estonia","EST",2020,2146
"Ethiopia","ETH",2020,659
"Fiji","FJI",2020,597
"Finland","FIN",2020,5923
"France","FRA",2020,29640
"Gabon","GAB",2020,649
"Georgia","GEO",2020,1363
"Germany","DEU",2020,43468
"Ghana","GHA",2020,947
"Greece","GRC",2020,2548
"Guatemala","GTM",2020,800
"Guinea","GIN",2020,1086
"Honduras","HND",2020,699
"Hungary","HUN",2020,8049
"India","IND",2020,68525
"Indonesia","IDN",2020,8159
"Iran","IRN",2020,8484
"Iraq","IRQ",2020,2272
"Ireland","IRL",2020,3237
"Isle of Man","IMN",2020,63
"Israel","ISR",2020,1250
"Italy","ITA",2020,20182
"Japan","JPN",2020,27311
"Jordan","JOR",2020,509
"Kazakhstan","KAZ",2020,14184
"Kenya","KEN",2020,3806
"Korea, North","PRK",2020,7435
"Korea, South","KOR",2020,3874
"Kosovo","XKS",2020,333
"Kyrgyzstan","KGZ",2020,470
"Latvia","LVA",2020,2239
"Lebanon","LBN",2020,401
"Liberia","LBR",2020,429
"Liechtenstein","LIE",2020,9
"Lithuania","LTU",2020,1768
"Luxembourg","LUX",2020,275
"Madagascar","MDG",2020,836
"Malawi","MWI",2020,767
"Malaysia","MYS",2020,1851
"Mali","MLI",2020,593
"Mauritania","MRT",2020,728
"Mexico","MEX",2020,15389
"Moldova","MDA",2020,1171
"Mongolia","MNG",2020,1815
"Montenegro","MNE",2020,250
"Morocco","MAR",2020,2067
"Mozambique","MOZ",2020,4787
"Namibia","NAM",2020,2628
"Nepal","NPL",2020,53
"Netherlands","NLD",2020,3058
"New Zealand","NZL",2020,4128
"Nigeria","NGA",2020,3798
"Norway","NOR",2020,4250
"Pakistan","PAK",2020,11881
"Panama","PAN",2020,77
"Paraguay","PRY",2020,30
"Peru","PER",2020,1854
"Philippines","PHL",2020,995
"Poland","POL",2020,19231
"Portugal","PRT",2020,3075
"Romania","ROU",2020,11268
"Russia","RUS",2020,87157
"Saint Kitts and Nevis","KNA",2020,50
"Saudi Arabia","SAU",2020,5410
"Senegal","SEN",2020,906
"Serbia","SRB",2020,3809
"Slovakia","SVK",2020,3626
"Slovenia","SVN",2020,1229
"South Africa","ZAF",2020,20986
"South Sudan","SSD",2020,248
"Spain","ESP",2020,16102
"Sri Lanka","LKA",2020,1447
"Sudan","SDN",2020,7251
"Sweden","SWE",2020,14127
"Switzerland","CHE",2020,5652
"Syria","SYR",2020,2052
"Taiwan","TWN",2020,1597
"Tajikistan","TJK",2020,680
"Tanzania","TZA",2020,4567
"Thailand","THA",2020,4127
"Togo","TGO",2020,568
"Tunisia","TUN",2020,2173
"Turkey","TUR",2020,12008
"Turkmenistan","TKM",2020,2980
"Uganda","UGA",2020,1244
"Ukraine","UKR",2020,21733
"United Kingdom","GBR",2020,16837
"United States","USA",2020,293564
"Uruguay","URY",2020,1673
"Uzbekistan","UZB",2020,4304
"Venezuela","VEN",2020,447
"Vietnam","VNM",2020,2600
"Zambia","ZMB",2020,3126
"Zimbabwe","ZWE",2020,3427
