"country","countryiso3","latest.year_roadways.2085","latest.value_roadways.2085"
"Afghanistan","AFG",2020,42150
"Albania","ALB",2020,18000
"Algeria","DZA",2020,113655
"American Samoa","ASM",2020,241
"Andorra","AND",2020,320
"Angola","AGO",2020,51429
"Anguilla","AIA",2020,175
"Antigua and Barbuda","ATG",2020,1170
"Argentina","ARG",2020,231374
"Armenia","ARM",2020,7792
"Australia","AUS",2020,823217
"Austria","AUT",2020,133597
"Azerbaijan","AZE",2020,52942
"Bahamas, The","BHS",2020,2700
"Bahrain","BHR",2020,4122
"Bangladesh","BGD",2020,21269
"Barbados","BRB",2020,1600
"Belarus","BLR",2020,86392
"Belgium","BEL",2020,154012
"Belize","BLZ",2020,2870
"Benin","BEN",2020,16000
"Bermuda","BMU",2020,447
"Bhutan","BTN",2020,10578
"Bolivia","BOL",2020,80488
"Bosnia and Herzegovina","BIH",2020,22926
"Botswana","BWA",2020,17916
"Brazil","BRA",2020,1580964
"British Virgin Islands","VGB",2020,200
"Brunei","BRN",2020,3029
"Bulgaria","BGR",2020,19512
"Burkina Faso","BFA",2020,15272
"Burma","MMR",2020,34377
"Burundi","BDI",2020,12322
"Cabo Verde","CPV",2020,1350
"Cambodia","KHM",2020,44709
"Cameroon","CMR",2020,51350
"Canada","CAN",2020,1042300
"Cayman Islands","CYM",2020,785
"Central African Republic","CAF",2020,20278
"Chad","TCD",2020,40000
"Chile","CHL",2020,77764
"China","CHN",2020,4106387
"Christmas Island","CXR",2020,140
"Cocos (Keeling) Islands","CCK",2020,22
"Colombia","COL",2020,204855
"Comoros","COM",2020,880
"Congo, Democratic Republic of the","COD",2020,153497
"Congo, Republic of the","COG",2020,17000
"Cook Islands","COK",2020,320
"Costa Rica","CRI",2020,39018
"Cote d'Ivoire","CIV",2020,81996
"Croatia","HRV",2020,26958
"Cuba","CUB",2020,60858
"Curacao","CUW",2020,550
"Cyprus","CYP",2020,20006
"Czechia","CZE",2020,130661
"Denmark","DNK",2020,74497
"Djibouti","DJI",2020,3065
"Dominica","DMA",2020,1512
"Dominican Republic","DOM",2020,19705
"Ecuador","ECU",2020,43670
"Egypt","EGY",2020,137430
"El Salvador","SLV",2020,6918
"Equatorial Guinea","GNQ",2020,2880
"Eritrea","ERI",2020,4010
"Estonia","EST",2020,58412
"Ethiopia","ETH",2020,110414
"Falkland Islands (Islas Malvinas)","FLK",2020,440
"Faroe Islands","FRO",2020,960
"Fiji","FJI",2020,3440
"Finland","FIN",2020,454000
"France","FRA",2020,1028446
"French Polynesia","PYF",2020,2590
"Gabon","GAB",2020,9170
"Gambia, The","GMB",2020,3740
"Georgia","GEO",2020,19109
"Germany","DEU",2020,645000
"Ghana","GHA",2020,109515
"Gibraltar","GIB",2020,29
"Greece","GRC",2020,116960
"Grenada","GRD",2020,1127
"Guam","GUM",2020,1045
"Guatemala","GTM",2020,17332
"Guinea","GIN",2020,44348
"Guinea-Bissau","GNB",2020,3455
"Guyana","GUY",2020,7970
"Haiti","HTI",2020,4266
"Honduras","HND",2020,14742
"Hong Kong","HKG",2020,2100
"Hungary","HUN",2020,203601
"Iceland","ISL",2020,12890
"India","IND",2020,4699024
"Indonesia","IDN",2020,496607
"Iran","IRN",2020,198866
"Iraq","IRQ",2020,59623
"Ireland","IRL",2020,96036
"Isle of Man","IMN",2020,500
"Israel","ISR",2020,18566
"Italy","ITA",2020,487700
"Jamaica","JAM",2020,22121
"Japan","JPN",2020,1218772
"Jersey","JEY",2020,576
"Jordan","JOR",2020,7203
"Kazakhstan","KAZ",2020,97418
"Kenya","KEN",2020,160878
"Kiribati","KIR",2020,670
"Korea, North","PRK",2020,25554
"Korea, South","KOR",2020,104983
"Kosovo","XKS",2020,2003
"Kuwait","KWT",2020,6608
"Kyrgyzstan","KGZ",2020,34000
"Laos","LAO",2020,39586
"Latvia","LVA",2020,72440
"Lebanon","LBN",2020,6970
"Lesotho","LSO",2020,5940
"Liberia","LBR",2020,10600
"Libya","LBY",2020,100024
"Liechtenstein","LIE",2020,380
"Lithuania","LTU",2020,84166
"Luxembourg","LUX",2020,2899
"Macau","MAC",2020,424
"Madagascar","MDG",2020,37476
"Malawi","MWI",2020,15450
"Malaysia","MYS",2020,144403
"Maldives","MDV",2020,88
"Mali","MLI",2020,22474
"Malta","MLT",2020,3096
"Marshall Islands","MHL",2020,2028
"Mauritania","MRT",2020,10628
"Mauritius","MUS",2020,2149
"Mexico","MEX",2020,377660
"Micronesia, Federated States of","FSM",2020,388
"Moldova","MDA",2020,9352
