"country","countryiso3","unemploymentyouth.2229_2020"
"Bosnia and Herzegovina","BIH",62.3
"Kosovo","XKS",57.7
"French Polynesia","PYF",56.7
"Namibia","NAM",56.2
"Kiribati","KIR",54
"South Africa","ZAF",50.1
"Greece","GRC",49.8
"Libya","LBY",48.7
"Spain","ESP",44.4
"Gambia, The","GMB",44.3
"Serbia","SRB",43.2
"Croatia","HRV",43
"Gaza Strip","PSE",40.7
"West Bank","PSE",40.7
"Italy","ITA",40.3
"Albania","ALB",39.8
"Mozambique","MOZ",39.3
"Jamaica","JAM",37.8
"Montenegro","MNE",37.7
"Tunisia","TUN",37.6
"Botswana","BWA",36
"Syria","SYR",35.8
"Gabon","GAB",35.7
"Georgia","GEO",35.6
"Lesotho","LSO",34.4
"Saint Vincent and the Grenadines","VCT",33.8
"Yemen","YEM",33.7
"Cyprus","CYP",32.8
"Armenia","ARM",32.5
"Barbados","BRB",32.4
"Egypt","EGY",31.3
"Bahamas, The","BHS",30.8
"Curacao","CUW",29.7
"Guam","GUM",29.4
"Jordan","JOR",29.3
"Bermuda","BMU",29.3
"Aruba","ABW",28.9
"Saudi Arabia","SAU",28.5
"San Marino","SMR",28
"Portugal","PRT",28
"Saint Lucia","LCA",27.5
"Ethiopia","ETH",26.7
"Puerto Rico","PRI",26.6
"Slovakia","SVK",26.5
"Mauritius","MUS",26.3
"Iran","IRN",26.1
"Maldives","MDV",25.4
"Algeria","DZA",25.2
"France","FRA",24.6
"Costa Rica","CRI",23.3
"Indonesia","IDN",22.6
"Uruguay","URY",22.5
"Finland","FIN",22.5
"Ukraine","UKR",22.4
"Lebanon","LBN",22.1
"Belgium","BEL",22.1
"Romania","ROU",21.7
"Bulgaria","BGR",21.6
"Ireland","IRL",20.9
"Poland","POL",20.8
"Sao Tome and Principe","STP",20.8
"Sri Lanka","LKA",20.7
"Sweden","SWE",20.4
"Sudan","SDN",20
"Morocco","MAR",19.9
"Samoa","WSM",19.1
"Belize","BLZ",18.9
"Fiji","FJI",18.7
"South Sudan","SSD",18.5
"Turkey","TUR",18.5
"Argentina","ARG",18.3
"Mongolia","MNG",17.9
"Luxembourg","LUX",17.4
"Hungary","HUN",17.3
"Tajikistan","TJK",16.7
"Colombia","COL",16.6
"Zimbabwe","ZWE",16.5
"Suriname","SUR",16.4
"Lithuania","LTU",16.3
"Slovenia","SVN",16.3
"Latvia","LVA",16.3
"Brazil","BRA",16.1
"Russia","RUS",16
"Chile","CHL",15.4
"Zambia","ZMB",15.2
"Kyrgyzstan","KGZ",15
"Philippines","PHL",15
"Peru","PER",14.7
"United Kingdom","GBR",14.6
"Venezuela","VEN",14.6
"Kuwait","KWT",14.6
"Honduras","HND",14.2
"Seychelles","SYC",14
"Cayman Islands","CYM",13.8
"Azerbaijan","AZE",13.4
"New Zealand","NZL",13.2
"Estonia","EST",13.1
"Canada","CAN",13.1
"Paraguay","PRY",13
"Moldova","MDA",12.8
"Senegal","SEN",12.7
"Australia","AUS",12.7
"Czechia","CZE",12.6
"Belarus","BLR",12.5
"El Salvador","SLV",12.4
"United Arab Emirates","ARE",12.1
"Denmark","DNK",12
"Nicaragua","NIC",11.9
"Ecuador","ECU",11.8
"Malta","MLT",11.8
"Panama","PAN",11.5
"Netherlands","NLD",11.3
"Ghana","GHA",11.2
"Timor-Leste","TLS",11.1
"Mali","MLI",11.1
"Norway","NOR",11.1
"Marshall Islands","MHL",11
"Dominican Republic","DOM",10.8
"Bhutan","BTN",10.7
"India","IND",10.7
"Korea, South","KOR",10.7
"Malaysia","MYS",10.7
"Austria","AUT",10.6
"Vanuatu","VUT",10.6
"United States","USA",10.4
"Isle of Man","IMN",10.1
"Hong Kong","HKG",9.9
"Tanzania","TZA",9.4
"Bangladesh","BGD",9.4
"Israel","ISR",8.6
"Pakistan","PAK",8.6
"Malawi","MWI",8.6
"Switzerland","CHE",8.4
"Trinidad and Tobago","TTO",8.4
"Mexico","MEX",7.7
"Nigeria","NGA",7.7
"Germany","DEU",7.2
"Vietnam","VNM",7
"Bolivia","BOL",6.9
"Singapore","SGP",6.6
"Iceland","ISL",6.5
"Cameroon","CMR",6.4
"Cuba","CUB",6.1
"Liberia","LBR",6
"Bahrain","BHR",5.3
"Japan","JPN",5.1
"Guatemala","GTM",4.8
"Macau","MAC",4.5
"Rwanda","RWA",4.4
"Kazakhstan","KAZ",3.9
"Nepal","NPL",3.5
"Uganda","UGA",2.6
"Madagascar","MDG",2.6
"Benin","BEN",2.4
"Niger","NER",2.3
"Guinea","GIN",1
"Thailand","THA",0.9
"Qatar","QAT",0.6
"Cambodia","KHM",0.5
