"country","countryiso3","waterways.2093_2020"
"China","CHN",110000
"Russia","RUS",102000
"Brazil","BRA",50000
"Vietnam","VNM",47130
"United States","USA",41009
"Colombia","COL",24725
"Indonesia","IDN",21579
"Congo, Democratic Republic of the","COD",15000
"India","IND",14500
"Burma","MMR",12800
"Papua New Guinea","PNG",11000
"Argentina","ARG",11000
"Bolivia","BOL",10000
"Peru","PER",8808
"Nigeria","NGA",8600
"Bangladesh","BGD",8370
"Finland","FIN",8000
"Germany","DEU",7467
"Malaysia","MYS",7200
"Venezuela","VEN",7100
"Netherlands","NLD",6237
"Iraq","IRQ",5279
"Laos","LAO",4600
"Sudan","SDN",4068
"Kazakhstan","KAZ",4000
"Thailand","THA",4000
"Poland","POL",3997
"Cambodia","KHM",3700
"Egypt","EGY",3500
"Philippines","PHL",3219
"United Kingdom","GBR",3200
"Paraguay","PRY",3100
"Mexico","MEX",2900
"Central African Republic","CAF",2800
"Belarus","BLR",2500
"Italy","ITA",2400
"Zambia","ZMB",2250
"Korea, North","PRK",2250
"Nicaragua","NIC",2220
"Sweden","SWE",2052
"Belgium","BEL",2043
"Australia","AUS",2000
"Mali","MLI",1800
"Japan","JPN",1770
"Romania","ROU",1731
"Ukraine","UKR",1672
"Hungary","HUN",1622
"Uruguay","URY",1600
"Gabon","GAB",1600
"Korea, South","KOR",1600
"Norway","NOR",1577
"Ecuador","ECU",1500
"Guinea","GIN",1300
"Angola","AGO",1300
"Turkmenistan","TKM",1300
"Ghana","GHA",1293
"Switzerland","CHE",1292
"Suriname","SUR",1200
"Turkey","TUR",1200
"Afghanistan","AFG",1200
"Congo, Republic of the","COG",1120
"Uzbekistan","UZB",1100
"Spain","ESP",1000
"Senegal","SEN",1000
"Guatemala","GTM",990
"Cote d'Ivoire","CIV",980
"Ireland","IRL",956
"Syria","SYR",900
"Iran","IRN",850
"Belize","BLZ",825
"Sierra Leone","SLE",800
"Panama","PAN",800
"Croatia","HRV",785
"Costa Rica","CRI",730
"Malawi","MWI",700
"Czechia","CZE",664
"Canada","CAN",636
"Kyrgyzstan","KGZ",600
"Madagascar","MDG",600
"Serbia","SRB",587
"Mongolia","MNG",580
"Moldova","MDA",558
"Bulgaria","BGR",470
"Honduras","HND",465
"Mozambique","MOZ",460
"Lithuania","LTU",441
"Denmark","DNK",400
"Gambia, The","GMB",390
"Austria","AUT",358
"Estonia","EST",335
"Guyana","GUY",330
"Latvia","LVA",300
"Niger","NER",300
"Cuba","CUB",240
"Portugal","PRT",210
"Brunei","BRN",209
"Fiji","FJI",203
"Tajikistan","TJK",200
"Slovakia","SVK",172
"Sri Lanka","LKA",160
"Benin","BEN",150
"Togo","TGO",50
"Albania","ALB",41
"Luxembourg","LUX",37
"Liechtenstein","LIE",28
"Greece","GRC",6
"Kiribati","KIR",5
