"country","countryiso3","latest.year_waterways.2093","latest.value_waterways.2093"
"Afghanistan","AFG",2020,1200
"Albania","ALB",2020,41
"Angola","AGO",2020,1300
"Argentina","ARG",2020,11000
"Australia","AUS",2020,2000
"Austria","AUT",2020,358
"Bangladesh","BGD",2020,8370
"Belarus","BLR",2020,2500
"Belgium","BEL",2020,2043
"Belize","BLZ",2020,825
"Benin","BEN",2020,150
"Bolivia","BOL",2020,10000
"Brazil","BRA",2020,50000
"Brunei","BRN",2020,209
"Bulgaria","BGR",2020,470
"Burma","MMR",2020,12800
"Cambodia","KHM",2020,3700
"Canada","CAN",2020,636
"Central African Republic","CAF",2020,2800
"China","CHN",2020,110000
"Colombia","COL",2020,24725
"Congo, Democratic Republic of the","COD",2020,15000
"Congo, Republic of the","COG",2020,1120
"Costa Rica","CRI",2020,730
"Cote d'Ivoire","CIV",2020,980
"Croatia","HRV",2020,785
"Cuba","CUB",2020,240
"Czechia","CZE",2020,664
"Denmark","DNK",2020,400
"Ecuador","ECU",2020,1500
"Egypt","EGY",2020,3500
"Estonia","EST",2020,335
"Fiji","FJI",2020,203
"Finland","FIN",2020,8000
"Gabon","GAB",2020,1600
"Gambia, The","GMB",2020,390
"Germany","DEU",2020,7467
"Ghana","GHA",2020,1293
"Greece","GRC",2020,6
"Guatemala","GTM",2020,990
"Guinea","GIN",2020,1300
"Guyana","GUY",2020,330
"Honduras","HND",2020,465
"Hungary","HUN",2020,1622
"India","IND",2020,14500
"Indonesia","IDN",2020,21579
"Iran","IRN",2020,850
"Iraq","IRQ",2020,5279
"Ireland","IRL",2020,956
"Italy","ITA",2020,2400
"Japan","JPN",2020,1770
"Kazakhstan","KAZ",2020,4000
"Kiribati","KIR",2020,5
"Korea, North","PRK",2020,2250
"Korea, South","KOR",2020,1600
"Kyrgyzstan","KGZ",2020,600
"Laos","LAO",2020,4600
"Latvia","LVA",2020,300
"Liechtenstein","LIE",2020,28
"Lithuania","LTU",2020,441
"Luxembourg","LUX",2020,37
"Madagascar","MDG",2020,600
"Malawi","MWI",2020,700
"Malaysia","MYS",2020,7200
"Mali","MLI",2020,1800
"Mexico","MEX",2020,2900
"Moldova","MDA",2020,558
"Mongolia","MNG",2020,580
"Mozambique","MOZ",2020,460
"Netherlands","NLD",2020,6237
"Nicaragua","NIC",2020,2220
"Niger","NER",2020,300
"Nigeria","NGA",2020,8600
"Norway","NOR",2020,1577
"Panama","PAN",2020,800
"Papua New Guinea","PNG",2020,11000
"Paraguay","PRY",2020,3100
"Peru","PER",2020,8808
"Philippines","PHL",2020,3219
"Poland","POL",2020,3997
"Portugal","PRT",2020,210
"Romania","ROU",2020,1731
"Russia","RUS",2020,102000
"Senegal","SEN",2020,1000
"Serbia","SRB",2020,587
"Sierra Leone","SLE",2020,800
"Slovakia","SVK",2020,172
"Spain","ESP",2020,1000
"Sri Lanka","LKA",2020,160
"Sudan","SDN",2020,4068
"Suriname","SUR",2020,1200
"Sweden","SWE",2020,2052
"Switzerland","CHE",2020,1292
"Syria","SYR",2020,900
"Tajikistan","TJK",2020,200
"Thailand","THA",2020,4000
"Togo","TGO",2020,50
"Turkey","TUR",2020,1200
"Turkmenistan","TKM",2020,1300
"Ukraine","UKR",2020,1672
"United Kingdom","GBR",2020,3200
"United States","USA",2020,41009
"Uruguay","URY",2020,1600
"Uzbekistan","UZB",2020,1100
"Venezuela","VEN",2020,7100
"Vietnam","VNM",2020,47130
"Zambia","ZMB",2020,2250
