"variable","Unit","Source","description","weight_percent"
"Q1.1.1a","Score (0-2)","1","National plan for AMR priority pathogens",0.00435988902100674
"Q1.1.1b","Score (0-2)","1","Capacity of national lab/lab system to test for AMR priority pathogens",0.00435988902100674
"Q1.1.1c","Score (0-1)","1","National environmental surveillance for AMR residues/organisms",0.00435988902100674
"Q1.1.2a","Score (0-1)","1","National law(s) requiring prescription for antibiotic use (humans)",0.00653983353151011
"Q1.1.2b","Score (0-1)","1","National law(s) requiring prescription for antibiotic use (animals)",0.00653983353151011
"Q1.2.1a","Score (0-1)","1","Laws/plans on zoonotic disease",0.00193080799501727
"Q1.2.1b","Score (0-1)","1","Laws/plans for surveillance & control of multiple zoonotic pathogens",0.00193080799501727
"Q1.2.1c","Score (0-1)","1","Cross-ministerial department/agency/unit for zoonotic disease",0.00193080799501727
"Q1.2.2a","Score (0-1)","1","Surveillance/reporting mechanism for zoonotic disease for livestock owners",0.00193080799501727
"Q1.2.2b","Score (0-1)","1","Laws/regulations on data confidentiality to protect livestock owners",0.00193080799501727
"Q1.2.2c","Score (0-1)","1","Wildlife zoonotic disease surveillance",0.00193080799501727
"Q1.2.3a","Score (0-1)","2","Annual reporting to OIE on zoonotic disease incidence",0.00579242398505181
"Q1.2.4a","Number per 100,000 population","2","Number of veterinarians per 100,000 people",0.00289621199252591
"Q1.2.4b","Number per 100,000 population","2","Number of veterinary para-professionals per 100,000 people",0.00289621199252591
"Q1.2.5a","Score (0-1)","1","Inclusion of private sector in national plan/law on zoonotic disease",0.00579242398505181
"Q1.3.1a","Score (0-1)","1","Updated national records of especially dangerous pathogen/toxin inventories",0.00104637336504162
"Q1.3.1b","Score (0-1)","1","Biosecurity laws on facility security for especially dangerous pathogens",0.00104637336504162
"Q1.3.1c","Score (0-1)","1","Agency for enforcement of biosecurity laws/regulations",0.00104637336504162
"Q1.3.1d","Score (0-1)","1","Consolidation of especially dangerous pathogens into minimum # of facilities",0.00104637336504162
"Q1.3.1e","Score (0-1)","1","Capacity to conduct tests for anthrax/Ebola without culturing live pathogens",0.00104637336504162
"Q1.3.2a","Score (0-1)","1","Biosecurity training using a standardised, required approach",0.00523186682520809
"Q1.3.3a","Score (0-3)","1","Personnel checks for permission to access to especially dangerous pathogens",0.00523186682520809
"Q1.3.4a","Score (0-1)","1","National transport regulations for Category A and B infectious substances",0.00523186682520809
"Q1.3.5a","Score (0-1)","1","Laws/regulations on cross-border transfer and end-user screening",0.00523186682520809
"Q1.4.1a","Score (0-1)","1","Biosafety laws/regulations",0.00653983353151011
"Q1.4.1b","Score (0-1)","1","Agency for enforcement of biosafety laws/regulations",0.00653983353151011
"Q1.4.2a","Score (0-1)","1","Biosafety training using a standardised, required approach",0.0130796670630202
"Q1.5.1a","Score (0-1)","1","Evidence of national assessment of dual use research",0.0038927580544703
"Q1.5.1b","Score (0-1)","1","National law/regulation on oversight of dual use research",0.0038927580544703
"Q1.5.1c","Score (0-1)","1","Existence of agency responsible for oversight of dual use research",0.0038927580544703
"Q1.5.2a","Score (0-1)","1","Requirement to screen synthesised DNA against list prior to sale",0.0116782741634109
"Q1.6.1a","%","2","Immunisation rate for humans (measles/MCV1)",0.0158824528622388
"Q1.6.1b","Score (0-1)","2","Availability of vaccination figures for livestock (FMD) through OIE database",0.0158824528622388
"Q2.1.1a","Score (0-2)","1","Capacity of national lab system to conduct 5 or more WHO core tests",0.00836335563561503
"Q2.1.1b","Score (0-1)","1","Protocols to procure laboratory needs for Ministries of Health/Agriculture",0.00836335563561503
"Q2.1.2a","Score (0-1)","1","Participation in a regional or international lab network",0.00836335563561503
"Q2.1.2b","Score (0-1)","1","Existence of nationwide specimen transport system",0.00836335563561503
"Q2.1.3a","Score (0-1)","1","Existence of an accredited national lab serving as a reference facility",0.00836335563561503
"Q2.1.3b","Score (0-1)","1","External quality assurance of a national lab serving as a reference facility",0.00836335563561503
"Q2.2.1a","Score (0-2)","1","Evidence of ongoing event-based surveillance and analysis",0.00516138519226527
"Q2.2.1b","Score (0-1)","1","Evidence of reporting a potential PHEIC to the WHO (last 2 years)",0.00516138519226527
"Q2.2.2a","Score (0-1)","1","Electronic national and sub-national reporting surveillance system",0.00344092346151018
"Q2.2.2b","Score (0-1)","1","Collection of ongoing/real-time lab data by electronic surveillance system",0.00344092346151018
