"country","countryiso3","Q1.1.1a","Q1.1.1b","Q1.1.1c","Q1.1.2a","Q1.1.2b","Q1.2.1a","Q1.2.1b","Q1.2.1c","Q1.2.2a","Q1.2.2b","Q1.2.2c","Q1.2.3a","Q1.2.4a","Q1.2.4b","Q1.2.5a","Q1.3.1a","Q1.3.1b","Q1.3.1c","Q1.3.1d","Q1.3.1e","Q1.3.2a","Q1.3.3a","Q1.3.4a","Q1.3.5a","Q1.4.1a","Q1.4.1b","Q1.4.2a","Q1.5.1a","Q1.5.1b","Q1.5.1c","Q1.5.2a","Q1.6.1a","Q1.6.1b","Q2.1.1a","Q2.1.1b","Q2.1.2a","Q2.1.2b","Q2.1.3a","Q2.1.3b","Q2.2.1a","Q2.2.1b","Q2.2.2a","Q2.2.2b","Q2.2.2c","Q2.2.3a","Q2.2.4a","Q2.2.4b","Q2.2.5a","Q2.2.5b","Q2.2.5c","Q2.3.1a","Q2.3.1b","Q2.3.2a","Q2.4.1a","Q3.1.1a","Q3.1.1b","Q3.1.1c","Q3.1.1d","Q3.1.2a","Q3.2.1a","Q3.2.1b","Q3.3.1a","Q3.3.1b","Q3.3.1c","Q3.4.1a","Q3.5.1a","Q3.5.2a","Q3.5.2b","Q3.6.1a","Q3.6.2a","Q3.6.3a","Q3.6.4a","Q3.7.1a","Q3.7.1b","Q3.7.2a","Q3.7.2b","Q4.1.1a","Q4.1.1b","Q4.1.1c","Q4.1.2a","Q4.1.2b","Q4.2.1a","Q4.2.2a","Q4.2.3a","Q4.3.1a","Q4.3.1b","Q4.3.1c","Q4.3.2a","Q4.4.1a","Q4.4.1b","Q4.5.1a","Q4.5.2a","Q4.6.1a","Q4.6.1b","Q4.6.2a","Q4.6.2b","Q5.1.1a","Q5.1.2a","Q5.2.1a","Q5.2.1b","Q5.3.1a","Q5.3.1b","Q5.3.1c","Q5.3.1d","Q5.3.2a","Q5.4.1a","Q5.4.1b","Q5.4.2a","Q5.4.2b","Q5.5.1a","Q5.5.1b","Q5.5.2a","Q5.5.3a","Q5.5.3b","Q5.6.1a","Q5.6.1b","Q5.6.1c","Q6.1.1a","Q6.1.2a","Q6.1.3a","Q6.1.4a","Q6.1.5a","Q6.1.6a","Q6.1.7a","Q6.2.1a","Q6.2.2a","Q6.2.3a","Q6.2.4a","Q6.2.5a","Q6.3.1a","Q6.3.2a","Q6.3.3a","Q6.4.1a","Q6.4.2a","Q6.4.3a","Q6.5.1a","Q6.5.1b","Q6.5.2a","Q6.5.2b","Q6.5.3a"
"Afghanistan","AFG",1,1,0,0,0,1,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,10.6,67.4,33,20,1,1,1,1,29.5,36,1,50,1,0,0,0,1,50.5,126,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,31.7,0.3473,3.1,0,2,0,0,0,25.3,0,1,63.67,25.9,63,39.2,8
"Albania","ALB",0,1,0,1,0,1,1,0,1,1,0,0,26,NA,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,96,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,66.4,119.4,6,9,1,1,1,1,128.6,359.9,0,290,0,1,0,0,0,99.3,440.5,0,1,1,0,0,1,0,1,0,1,0,1,1,2,1,1,3,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,2,3,4,2,2,97.2,0.7618,0.2,1,1,1,2,1,59.4,-0.39,2,78.35,75.4,91.4,97.7,314
"Algeria","DZA",0,1,0,1,0,0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9,120.7,6,13,1,1,1,1,120.7,194.7,0,190,0,0,0,0,1,96.6,308.3,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,2,3,2,2,75.1,0.5584,0.2,1,1,1,2,2,72.1,0.15,3,76.08,63.1,93.5,87.5,676
"Andorra","AND",0,0,0,0,0,1,1,0,1,0,1,0,34,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,97.9,104.4,3,4,1,1,1,1,369,444.2,0,250,0,0,0,0,1,99.1,2076,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4,2,3,100,0.848,0.2,1,2,4,4,4,88.2,0,4,82.9,94.7,100,100,2446
"Angola","AGO",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,71,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,44.7,8,8,0,1,1,1,14.4,144.2,0,80,0,0,0,0,1,46.9,65.4,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,2,3,3,2,2,66,0.5239,9.6,1,1,1,2,1,64.8,-1,2,61.55,33.4,41,39.4,82
"Antigua and Barbuda","ATG",0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,130,4,6,1,1,1,1,15.8,306.4,0,380,0,0,0,0,0,100,314.3,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,3,4,4,2,3,99,0.6543,0.4,1,1,3,3,2,24.7,0,0,76.36,69.8,96.7,87.5,591
"Argentina","ARG",2,2,0,1,1,1,1,0,1,0,1,1,65,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,89,1,2,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,71,130,0,0,1,1,1,1,390.7,421.2,0,500,1,1,1,0,1,99.6,241.9,0,1,0,0,1,1,0,1,1,1,0,1,1,2,1,1,3,1,0,0,1,0,0,0,1,0,1,1,1,1,2,2,2,3,4,2,3,99.1,0.6421,0.3,1,2,2,2,1,91.7,-1.12,3,76.58,68.1,99.6,94.8,1140
"Armenia","ARM",1,1,0,1,0,1,1,0,1,0,1,0,30,22,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,96,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,0,0,1,1,1,0,64.3,119,1,0,0,1,1,1,280.3,542.3,0,420,0,1,0,1,0,99.8,707.2,0,0,0,0,0,1,0,1,0,1,1,1,0,2,1,1,2,0,1,0,0,0,0,0,0,0,1,0,1,1,1,2,2,3,1,2,1,99.7,0.7376,0.3,1,1,1,1,2,63.1,0.01,1,74.62,70.7,98.9,91.6,144
"Australia","AUS",2,2,0,1,1,1,1,0,1,1,1,1,56,10,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,95,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,0,0,0,1,0,0,1,1,1,1,86.5,112.7,2,4,1,1,1,1,349.6,1256.6,1,380,1,1,0,0,1,99.7,858.1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,0,0,0,0,1,1,0,1,1,4,4,3,3,4,2,3,99.9,0.8909,0.3,1,2,3,4,3,85.9,-0.24,4,82.5,95.9,100,100,3094
"Austria","AUT",2,2,1,1,0,1,1,1,1,1,1,0,58,NA,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,96,1,2,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,87.9,130,0,10,1,1,1,1,523,830.4,0,760,0,1,0,0,1,98.4,1001.8,0,0,0,1,1,1,0,1,1,1,0,1,1,2,1,1,4,1,0,0,0,0,0,0,0,0,1,0,1,1,3,4,3,3,4,2,3,99.9,0.9286,0.5,1,2,4,4,4,58.1,0.25,4,80.89,93.9,100,100,3840
