"question_code","QUESTIONS","Weight %"
"CONE1_1_1a","1.1.1a) National plan for AMR priority pathogens",0.00435988902100674
"CONE1_1_1b","1.1.1b) Capacity of national lab/lab system to test for AMR priority pathogens",0.00435988902100674
"CONE1_1_1c","1.1.1c) National environmental surveillance for AMR residues/organisms",0.00435988902100674
"CONE1_1_2a","1.1.2a) National law(s) requiring prescription for antibiotic use (humans)",0.00653983353151011
"CONE1_1_2b","1.1.2b) National law(s) requiring prescription for antibiotic use (animals)",0.00653983353151011
"CONE1_2_1a","1.2.1a) Laws/plans on zoonotic disease",0.00193080799501727
"CONE1_2_1b","1.2.1b) Laws/plans for surveillance & control of multiple zoonotic pathogens",0.00193080799501727
"CONE1_2_1c","1.2.1c) Cross-ministerial department/agency/unit for zoonotic disease",0.00193080799501727
"CONE1_2_2a","1.2.2a) Surveillance/reporting mechanism for zoonotic disease for livestock owners",0.00193080799501727
"CONE1_2_2b","1.2.2b) Laws/regulations on data confidentiality to protect livestock owners",0.00193080799501727
"CONE1_2_2c","1.2.2c) Wildlife zoonotic disease surveillance",0.00193080799501727
"CONE1_2_3a","1.2.3a) Annual reporting to OIE on zoonotic disease incidence",0.00579242398505181
"CONE1_2_4a","1.2.4a) Number of veterinarians per 100,000 people",0.00289621199252591
"CONE1_2_4b","1.2.4b) Number of veterinary para-professionals per 100,000 people",0.00289621199252591
"CONE1_2_5a","1.2.5a) Inclusion of private sector in national plan/law on zoonotic disease",0.00579242398505181
"CONE1_3_1a","1.3.1a) Updated national records of especially dangerous pathogen/toxin inventories",0.00104637336504162
"CONE1_3_1b","1.3.1b) Biosecurity laws on facility security for especially dangerous pathogens",0.00104637336504162
"CONE1_3_1c","1.3.1c) Agency for enforcement of biosecurity laws/regulations",0.00104637336504162
"CONE1_3_1d","1.3.1d) Consolidation of especially dangerous pathogens into minimum # of facilities",0.00104637336504162
"CONE1_3_1e","1.3.1e) Capacity to conduct tests for anthrax/Ebola without culturing live pathogens",0.00104637336504162
"CONE1_3_2a","1.3.2a) Biosecurity training using a standardised, required approach",0.00523186682520809
"CONE1_3_3a","1.3.3a) Personnel checks for permission to access to especially dangerous pathogens",0.00523186682520809
"CONE1_3_4a","1.3.4a) National transport regulations for Category A and B infectious substances",0.00523186682520809
"CONE1_3_5a","1.3.5a) Laws/regulations on cross-border transfer and end-user screening",0.00523186682520809
"CONE1_4_1a","1.4.1a) Biosafety laws/regulations",0.00653983353151011
"CONE1_4_1b","1.4.1b) Agency for enforcement of biosafety laws/regulations",0.00653983353151011
"CONE1_4_2a","1.4.2a) Biosafety training using a standardised, required approach",0.0130796670630202
"CONE1_5_1a","1.5.1a) Evidence of national assessment of dual use research",0.0038927580544703
"CONE1_5_1b","1.5.1b) National law/regulation on oversight of dual use research",0.0038927580544703
"CONE1_5_1c","1.5.1c) Existence of agency responsible for oversight of dual use research",0.0038927580544703
"CONE1_5_2a","1.5.2a) Requirement to screen synthesised DNA against list prior to sale",0.0116782741634109
"CONE1_6_1a","1.6.1a) Immunisation rate for humans (measles/MCV1)",0.0158824528622388
"CONE1_6_1b","1.6.1b) Availability of vaccination figures for livestock (FMD) through OIE database",0.0158824528622388
"CTWO2_1_1a","2.1.1a) Capacity of national lab system to conduct 5 or more WHO core tests",0.00836335563561503
"CTWO2_1_1b","2.1.1b) Protocols to procure laboratory needs for Ministries of Health/Agriculture",0.00836335563561503
"CTWO2_1_2a","2.1.2a) Participation in a regional or international lab network",0.00836335563561503
"CTWO2_1_2b","2.1.2b) Existence of nationwide specimen transport system",0.00836335563561503
"CTWO2_1_3a","2.1.3a) Existence of an accredited national lab serving as a reference facility",0.00836335563561503
"CTWO2_1_3b","2.1.3b) External quality assurance of a national lab serving as a reference facility",0.00836335563561503
"CTWO2_2_1a","2.2.1a) Evidence of ongoing event-based surveillance and analysis",0.00516138519226527
"CTWO2_2_1b","2.2.1b) Evidence of reporting a potential PHEIC to the WHO (last 2 years)",0.00516138519226527
"CTWO2_2_2a","2.2.2a) Electronic national and sub-national reporting surveillance system",0.00344092346151018
"CTWO2_2_2b","2.2.2b) Collection of ongoing/real-time lab data by electronic surveillance system",0.00344092346151018
"CTWO2_2_2c","2.2.2c) National commitment to share surveillance data with regional neighbours",0.00344092346151018
"CTWO2_2_3a","2.2.3a) Availability of de-identified health surveillance data on disease outbreaks",0.0103227703845305
"CTWO2_2_4a","2.2.4a) Safeguards for confidentiality of identifiable health information",0.00516138519226527
"CTWO2_2_4b","2.2.4b) Inclusion of cyber protections in health data confidentiality law/regulation",0.00516138519226527
"CTWO2_2_5a","2.2.5a) Common usage of electronic health records",0.00344092346151018
"CTWO2_2_5b","2.2.5b) Public health system access to individual electronic health records",0.00344092346151018
"CTWO2_2_5c","2.2.5c) Existence of data standards for health record data comparability",0.00344092346151018
"CTWO2_3_1a","2.3.1a) Access to field epidemiology training program in country and/or abroad",0.0121866039261819
"CTWO2_3_1b","2.3.1b) Existence of field epidemiology training for animal health professionals",0.0121866039261819
"CTWO2_3_2a","2.3.2a) Evidence of at least 1 trained field epidemiologist per 200,000 people",0.0243732078523638
"CTWO2_4_1a","2.4.1a) Mechanisms for ministries to share animal/human/wildlife surveillance data",0.0415778251599147
