"variable","description"
"s1","school.closing"
"s1_isgeneral","s1_isgeneral"
"s2","workplace.closing"
"s2_isgeneral","s2_isgeneral"
"s3","cancel.public.events"
"s3_isgeneral","s3_isgeneral"
"s4","close.public.transport"
"s4_isgeneral","s4_isgeneral"
"s5","public.information.campaigns"
"s5_isgeneral","s5_isgeneral"
"s6","restrictions.on.internal.movement"
"s6_isgeneral","s6_isgeneral"
"s7","international.travel.controls"
"s8","fiscal.measures"
"s9","monetary.measures"
"s10","emergency.investment.in.health.care"
"s11","investment.in.vaccines"
"s12","testing.framework"
"s13","contact.tracing"
