"country","countryiso3","cancel.public.events","cancel.public.events_flag","close.public.transport","close.public.transport_flag","confirmedcases","confirmeddeaths","contact.tracing","debt.contract.relief","emergency.investment.in.healthcare","fiscal.measures","income.support","income.support_flag","international.support","international.travel.controls","investment.in.vaccines","legacystringencyindex","legacystringencyindexfordisplay","public.information.campaigns","public.information.campaigns_flag","restrictions.on.gatherings","restrictions.on.gatherings_flag","restrictions.on.internal.movement","restrictions.on.internal.movement_flag","school.closing","school.closing_flag","stay.at.home.requirements","stay.at.home.requirements_flag","stringencyindex","stringencyindexfordisplay","testing.policy","workplace.closing","workplace.closing_flag"
"Afghanistan","AFG",73,56,46,NA,78,50,79,NA,62,62,14,14,NA,72,NA,73,73,73,73,38,38,49,NA,60,60,49,NA,73,73,80,50,NA
"Albania","ALB",65,65,61,NA,65,62,66,55,78,54,55,NA,NA,78,NA,78,78,64,64,65,65,61,61,65,65,61,61,78,78,66,65,NA
"Algeria","DZA",64,64,51,51,77,61,NA,30,52,24,NA,NA,NA,62,NA,69,69,69,69,44,NA,51,NA,62,62,51,NA,69,69,NA,51,51
"Andorra","AND",61,61,49,49,71,47,47,NA,44,76,61,61,NA,35,NA,61,61,49,49,NA,NA,NA,NA,58,58,61,61,61,61,72,60,60
"Angola","AGO",47,47,47,47,52,44,NA,34,40,40,NA,NA,NA,97,NA,97,97,50,50,50,50,47,47,50,50,47,47,97,97,58,50,50
"Argentina","ARG",63,55,51,51,70,66,70,49,64,57,51,51,NA,63,NA,111,111,111,111,55,55,54,54,58,58,55,55,111,111,70,55,55
"Aruba","ABW",45,45,11,11,61,27,NA,57,NA,NA,NA,NA,NA,59,NA,59,59,56,56,45,45,45,45,58,58,53,53,59,59,64,53,53
"Australia","AUS",58,45,NA,NA,109,73,109,49,63,62,62,52,NA,102,52,109,109,109,100,58,58,55,NA,50,NA,50,50,109,109,109,51,NA
"Austria","AUT",63,63,61,61,77,61,44,58,NA,70,55,55,NA,65,NA,79,79,79,79,58,58,61,20,58,58,68,68,79,79,133,62,62
"Azerbaijan","AZE",64,64,43,NA,74,53,75,NA,NA,55,35,35,NA,104,NA,104,104,76,76,60,60,55,43,71,71,43,43,104,104,76,51,51
"Bahrain","BHR",56,52,46,46,79,57,82,35,57,57,35,NA,NA,64,NA,111,111,111,111,56,56,56,56,77,77,56,56,111,111,94,56,56
"Bangladesh","BGD",58,58,55,32,65,52,73,NA,56,49,NA,NA,NA,112,NA,112,112,106,106,55,55,55,49,58,58,55,49,112,112,73,55,48
"Barbados","BRB",57,57,35,35,56,37,54,42,NA,NA,42,NA,NA,67,NA,112,112,112,112,57,57,58,57,55,55,46,46,112,112,108,46,46
"Belgium","BEL",64,64,NA,NA,99,62,77,68,54,54,68,NA,NA,70,38,106,106,106,106,56,56,60,60,60,60,56,56,106,106,73,61,61
"Belize","BLZ",58,58,16,NA,50,37,49,NA,NA,55,58,58,NA,63,NA,85,85,85,85,58,58,16,NA,54,54,16,NA,85,85,49,54,42
"Benin","BEN",57,57,44,NA,57,36,67,NA,66,NA,NA,NA,NA,102,NA,102,102,81,81,44,NA,44,NA,60,60,NA,NA,102,102,66,NA,NA
"Bermuda","BMU",39,39,55,55,54,36,105,NA,28,28,NA,NA,NA,96,NA,112,112,112,112,39,39,39,39,54,54,39,39,112,112,105,54,54
"Bolivia","BOL",62,62,58,56,62,44,54,43,NA,43,43,43,NA,60,NA,62,62,61,29,62,62,53,53,62,62,52,52,62,62,NA,58,56
"Bosnia and Herzegovina","BIH",64,64,57,23,68,52,NA,73,16,36,73,NA,NA,64,NA,103,103,103,103,64,56,58,58,63,63,54,19,103,103,78,57,57
"Botswana","BWA",58,58,49,41,42,41,43,42,27,47,42,42,NA,106,NA,133,133,133,133,58,58,58,58,55,55,41,NA,133,133,46,41,41
"Brazil","BRA",62,NA,55,NA,77,56,NA,57,56,56,41,41,NA,61,NA,72,72,72,72,60,NA,57,NA,62,NA,61,NA,72,72,113,61,NA
"Brunei","BRN",61,61,26,26,64,45,133,NA,47,42,46,NA,NA,104,NA,128,128,128,128,61,61,32,32,63,63,NA,NA,128,128,65,26,26
"Bulgaria","BGR",63,63,NA,NA,66,62,14,33,57,58,44,NA,NA,100,NA,100,100,92,92,61,61,56,53,69,69,56,42,100,100,66,61,61
"Burkina Faso","BFA",62,62,51,51,63,55,65,NA,47,NA,NA,NA,NA,53,NA,62,62,58,58,53,53,53,53,58,58,53,53,62,62,98,53,53
"Burundi","BDI",NA,NA,NA,NA,42,28,42,NA,NA,NA,NA,NA,NA,69,NA,102,102,102,102,NA,NA,NA,NA,NA,NA,NA,NA,102,102,43,NA,NA
"Cameroon","CMR",56,56,56,56,67,49,NA,NA,NA,NA,NA,NA,NA,61,NA,61,61,39,39,56,56,56,56,56,56,NA,NA,61,61,37,NA,NA
"Canada","CAN",62,NA,NA,NA,108,64,133,50,102,63,59,59,38,112,63,112,112,63,63,58,58,54,39,58,54,58,58,112,112,109,56,42
"Cape Verde","CPV",58,58,46,46,53,49,25,42,NA,42,42,42,NA,56,NA,46,46,56,56,NA,NA,54,42,51,51,54,42,46,46,55,46,46
"Chad","TCD",30,30,30,30,54,14,NA,47,NA,20,20,20,NA,67,NA,67,67,67,67,55,55,30,30,30,30,41,NA,55,55,66,30,30
"Chile","CHL",58,49,52,NA,70,51,44,47,118,42,41,41,NA,56,NA,60,60,60,60,58,58,49,NA,59,59,49,49,60,60,48,58,58
"China","CHN",114,NA,111,NA,133,123,133,NA,80,99,NA,NA,66,78,NA,114,114,114,112,112,NA,111,NA,108,108,111,NA,114,114,133,108,108
"Colombia","COL",62,57,18,18,67,52,48,57,NA,47,36,36,NA,62,NA,113,113,113,65,62,62,49,49,58,58,49,49,113,113,103,79,79
"Congo","COG",46,46,43,43,58,42,60,43,20,43,43,43,NA,71,NA,71,71,59,59,46,46,46,46,46,46,46,46,71,71,55,46,46
"Costa Rica","CRI",64,64,53,35,67,55,114,54,NA,35,34,34,NA,58,NA,100,100,100,100,16,16,57,57,62,62,16,16,100,100,114,64,64
"Cote d'Ivoire","CIV",55,55,50,50,62,44,63,43,70,35,NA,NA,NA,58,NA,62,62,62,62,55,55,50,50,58,58,51,51,62,62,58,55,55
"Croatia","HRV",64,56,53,52,77,49,100,57,48,56,57,NA,NA,99,NA,107,107,107,107,54,54,51,51,61,60,51,51,107,107,100,60,54
"Cuba","CUB",54,54,50,32,62,55,64,34,NA,NA,28,NA,NA,82,NA,106,106,106,106,NA,NA,51,51,50,50,50,NA,106,106,64,36,36
"Cyprus","CYP",64,64,50,50,64,49,62,73,59,47,NA,NA,NA,61,NA,69,69,69,69,51,51,50,50,61,61,50,50,69,69,51,58,58
"Czech Republic","CZE",63,63,NA,NA,72,51,73,62,57,57,43,43,102,107,NA,110,110,110,110,64,64,58,NA,63,63,59,59,110,110,65,61,61
"Democratic Republic of Congo","COD",55,55,52,NA,63,52,63,73,43,21,NA,NA,NA,83,NA,83,83,64,64,50,50,56,50,55,55,46,NA,83,83,64,55,NA
