"CountryName","CountryCode","Date","S1_School closing","S1_IsGeneral","S1_Notes","S2_Workplace closing","S2_IsGeneral","S2_Notes","S3_Cancel public events","S3_IsGeneral","S3_Notes","S4_Close public transport","S4_IsGeneral","S4_Notes","S5_Public information campaigns","S5_IsGeneral","S5_Notes","S6_Restrictions on internal movement","S6_IsGeneral","S6_Notes","S7_International travel controls","S7_Notes","S8_Fiscal measures","S8_Notes","S9_Monetary measures","S9_Notes","S10_Emergency investment in health care","S10_Notes","S11_Investment in Vaccines","S11_Notes","ConfirmedCases","ConfirmedDeaths","StringencyIndex","...35"
"Afghanistan","AFG",20200101,0,1,"https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures",NA,NA,NA,0,1,NA,NA,NA,NA,0,1,NA,0,1,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,0,0,NA
"Angola","AGO",20200101,0,NA,NA,0,NA,NA,0,1,NA,0,1,NA,0,1,NA,0,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA
"United Arab Emirates","ARE",20200101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Argentina","ARG",20200101,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,55,"http://www.bcra.gov.ar/Institucional/Tasa_de_politica_monetaria.asp",0,NA,0,NA,NA,NA,0,NA
"Armenia","ARM",20200101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Australia","AUS",20200101,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,0,"Targeted at Australians in China, or travelling in virus-affected regions.",0,NA,NA,0,NA,0,NA,0.75,"https://www.rba.gov.au/statistics/cash-rate/",0,NA,0,NA,0,0,7,NA
"Austria","AUT",20200101,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,"Austria's interest rate is set by the ECB as a EURO country.",0,NA,0,NA,0,0,0,NA
"Azerbaijan","AZE",20200101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Belgium","BEL",20200101,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,"Belgium's interest rate is set by the ECB, as Belgium uses the EURO",0,NA,0,NA,0,0,0,NA
"Bulgaria","BGR",20200101,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,"Bulgaria's interest rate was at 0% before the crisis started",0,NA,0,NA,NA,NA,0,NA
"Bahrain","BHR",20200101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Belarus","BLR",20200101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
