"variable","description"
"Rank (DB19).417","Rank (DB19) Getting electricity"
"number.419","number Getting electricity: Procedures"
"% of income per capita.421","% of income per capita Getting electricity: Cost"
"Rank (DB19).423","Rank (DB19) Trading across borders"
"Rank (DB19).433","Rank (DB19) Paying taxes"
"number per year.435","number per year Paying taxes: Payments"
"% of profit.437","% of profit Paying taxes: Total tax rate"
"% of profit.438","% of profit Paying taxes: Profit tax"
"% of profit.439","% of profit Paying taxes: Labor tax and contributions"
"% of profit.440","% of profit Paying taxes: Other taxes"
"Rank (DB19).441","Rank (DB19) Getting credit"
"% of adults.445","% of adults Getting credit: Credit registry coverage"
"% of adults.446","% of adults Getting credit: Credit bureau coverage"
"Rank (DB19).447","Rank (DB19) Protecting minority investors"
"0-10.451","0-10 Protecting minority investors: Extent of disclosure index"
"0-10.452","0-10 Protecting minority investors: Extent of director liability index"
"Rank (DB19).456","Rank (DB19) Starting a business"
"Distance to Frontier.457","Distance to Frontier Starting a business"
"% of income per capita.461","% of income per capita Starting a business: Minimum capital"
"number.464","number Dealing with construction permits: Procedures"
"days.465","days Dealing with construction permits: Time"
"% of Warehouse value.466","% of Warehouse value Dealing with construction permits: Cost"
"Rank (DB19).468","Rank (DB19) Registering property"
"number.470","number Registering property: Procedures"
"% of property value.472","% of property value Registering property: Cost"
"Rank (DB19).474","Rank (DB19) Enforcing contracts"
"% of claim.477","% of claim Enforcing contracts: Cost"
"Rank (DB19).479","Rank (DB19) Resolving insolvency"
"cents on the dollar.480","cents on the dollar Resolving insolvency: Recovery rate"
"% of estate.482","% of estate Resolving insolvency: Cost"
"hours per year.24840","hours per year Paying taxes: Time"
"% of income per capita.24883","% of income per capita Starting a business: Cost - Men"
"% of income per capita.24884","% of income per capita Starting a business: Cost - Women"
"number.24887","number Starting a business: Procedures - Women"
"days.24890","days Starting a business: Time - Women"
"US$ per container deflated (DB06-15 methodology).28808","US$ per container deflated (DB06-15 methodology) Trading across borders : Cost to import"
"days (DB06-15 methodology).28811","days (DB06-15 methodology) Trading across borders : Time to import"
"0-12 (DB15-19 methodology).28813","0-12 (DB15-19 methodology) Getting credit: Strength of legal rights index"
"0 as piecemeal sale and 1 as going concern.28833","0 as piecemeal sale and 1 as going concern Resolving insolvency: Outcome"
"0-10 (DB06-14 methodology).40755","0-10 (DB06-14 methodology) Protecting minority investors: Ease of shareholder suits index"
"number (DB06-15 methodology).40773","number (DB06-15 methodology) Trading across borders : Documents to export"
"number (DB06-15 methodology).40774","number (DB06-15 methodology) Trading across borders : Documents to import"
"US$ per container deflated (DB06-15 methodology).40775","US$ per container deflated (DB06-15 methodology) Trading across borders : Cost to export"
"days (DB06-15 methodology).40776","days (DB06-15 methodology) Trading across borders : Time to export"
"Distance to Frontier.41324","Distance to Frontier Registering property: Procedures"
"0-15 (DB16-20 methodology).42555","0-15 (DB16-20 methodology) Dealing with construction permits: Building quality control index"
"0-2 (DB16-20 methodology).42556","0-2 (DB16-20 methodology) Dealing with construction permits: Quality of building regulations index"
"0-1 (DB16-20 methodology).42557","0-1 (DB16-20 methodology) Dealing with construction permits: Quality control before construction index"
"0-3 (DB16-20 methodology).42558","0-3 (DB16-20 methodology) Dealing with construction permits: Quality control during construction index"
"0-3 (DB16-20 methodology).42559","0-3 (DB16-20 methodology) Dealing with construction permits: Quality control after construction index"
"0-2 (DB16-20 methodology).42560","0-2 (DB16-20 methodology) Dealing with construction permits: Liability and insurance regimes index"
"0-4 (DB16-20 methodology).42561","0-4 (DB16-20 methodology) Dealing with construction permits: Professional certifications index"
"0-8 (DB16-20 methodology).42563","0-8 (DB16-20 methodology) Getting electricity: Reliability of supply and transparency of tariff index"
"0-3 (DB16-20 methodology).42564","0-3 (DB16-20 methodology) Getting electricity: Total duration and frequency of outages per customer a year"
"0-1 (DB16-20 methodology).42565","0-1 (DB16-20 methodology) Getting electricity: Mechanisms for monitoring outages"
"0-1 (DB16-20 methodology).42566","0-1 (DB16-20 methodology) Getting electricity: Mechanisms for restoring service"
"0-1 (DB16-20 methodology).42567","0-1 (DB16-20 methodology) Getting electricity: Regulatory monitoring"
