"country","countryiso3","latest.year_Rank (DB19).417","latest.year_Rank (DB19).423","latest.year_Rank (DB19).433","latest.year_Rank (DB19).441","latest.year_Rank (DB19).447","latest.year_Rank (DB19).456","latest.year_Rank (DB19).468","latest.year_Rank (DB19).474","latest.year_Rank (DB19).479","latest.year_number.419","latest.year_number.464","latest.year_number.470","latest.year_number.24887","latest.year_% of income per capita.421","latest.year_% of income per capita.461","latest.year_% of income per capita.24883","latest.year_% of income per capita.24884","latest.year_number per year.435","latest.year_% of profit.437","latest.year_% of profit.438","latest.year_% of profit.439","latest.year_% of profit.440","latest.year_% of adults.445","latest.year_% of adults.446","latest.year_0-10.451","latest.year_0-10.452","latest.year_Distance to Frontier.457","latest.year_Distance to Frontier.41324","latest.year_days.465","latest.year_days.24890","latest.year_% of Warehouse value.466","latest.year_% of property value.472","latest.year_% of claim.477","latest.year_cents on the dollar.480","latest.year_% of estate.482","latest.year_hours per year.24840","latest.year_US$ per container deflated (DB06-15 methodology).28808","latest.year_US$ per container deflated (DB06-15 methodology).40775","latest.year_days (DB06-15 methodology).28811","latest.year_days (DB06-15 methodology).40776","latest.year_0-12 (DB15-19 methodology).28813","latest.year_0 as piecemeal sale and 1 as going concern.28833","latest.year_0-10 (DB06-14 methodology).40755","latest.year_number (DB06-15 methodology).40773","latest.year_number (DB06-15 methodology).40774","latest.year_0-15 (DB16-20 methodology).42555","latest.year_0-2 (DB16-20 methodology).42556","latest.year_0-2 (DB16-20 methodology).42560","latest.year_0-1 (DB16-20 methodology).42557","latest.year_0-1 (DB16-20 methodology).42565","latest.year_0-1 (DB16-20 methodology).42566","latest.year_0-1 (DB16-20 methodology).42567","latest.year_0-1 (DB16-20 methodology).42568","latest.year_0-1 (DB16-20 methodology).42569","latest.year_0-3 (DB16-20 methodology).42558","latest.year_0-3 (DB16-20 methodology).42559","latest.year_0-3 (DB16-20 methodology).42564","latest.year_0-4 (DB16-20 methodology).42561","latest.year_0-8 (DB16-20 methodology).42563","latest.year_US cents per kWh (DB16-20 methodology).42573","latest.year_0-30 (DB17-20 methodology).42575","latest.year_0-8 (DB17-20 methodology).42576","latest.year_0-8 (DB17-20 methodology).42578","latest.year_0-8 (DB17-20 methodology).42579","latest.year_0-6 (DB17-20 methodology).42577","latest.year_-2-0 (DB17-20 methodology).42580","latest.year_0-12 (DB15-20 methodology).42582","latest.year_0-30 (DB06-14 methodology).42588","latest.year_0-10 (DB15-20 methodology).42589","latest.year_0-6 (DB15-20 methodology).42591","latest.year_0-6 (DB15-20 methodology).42604","latest.year_0-7 (DB15-20 methodology).42592","latest.year_0-7 (DB15-20 methodology).42593","latest.year_0-50 (DB15-20 methodology).42594","latest.year_0-100 (DB17-20 methodology).42600","latest.year_0-16.42602","latest.year_0-3 (DB15-20 methodology).42603","latest.year_0-3 (DB15-20 methodology).42605","latest.year_0-4 (DB15-20 methodology).42606","latest.year_0-18 (DB17-20 methodology).42609","latest.year_hours (DB16-20 methodology).42616","latest.year_hours (DB16-20 methodology).42617","latest.year_hours (DB16-20 methodology).42620","latest.year_hours (DB16-20 methodology).42621","latest.year_USD (DB16-20 methodology).42618","latest.year_USD (DB16-20 methodology).42619","latest.year_USD (DB16-20 methodology).42622","latest.year_USD (DB16-20 methodology).42623","latest.year_Rank (DB20).42624","latest.year_Rank (DB20).42625","latest.year_Rank (DB20).42626","latest.year_Rank (DB20).42627","latest.year_Rank (DB20).42629","latest.year_Rank (DB20).42631","latest.year_Rank (DB20).42632","latest.year_Rank (DB20).42633","latest.year_Rank.42630","latest.value_Rank (DB19).417","latest.value_Rank (DB19).423","latest.value_Rank (DB19).433","latest.value_Rank (DB19).441","latest.value_Rank (DB19).447","latest.value_Rank (DB19).456","latest.value_Rank (DB19).468","latest.value_Rank (DB19).474","latest.value_Rank (DB19).479","latest.value_number.419","latest.value_number.464","latest.value_number.470","latest.value_number.24887","latest.value_% of income per capita.421","latest.value_% of income per capita.461","latest.value_% of income per capita.24883","latest.value_% of income per capita.24884","latest.value_number per year.435","latest.value_% of profit.437","latest.value_% of profit.438","latest.value_% of profit.439","latest.value_% of profit.440","latest.value_% of adults.445","latest.value_% of adults.446","latest.value_0-10.451","latest.value_0-10.452","latest.value_Distance to Frontier.457","latest.value_Distance to Frontier.41324","latest.value_days.465","latest.value_days.24890","latest.value_% of Warehouse value.466","latest.value_% of property value.472","latest.value_% of claim.477","latest.value_cents on the dollar.480","latest.value_% of estate.482","latest.value_hours per year.24840","latest.value_US$ per container deflated (DB06-15 methodology).28808","latest.value_US$ per container deflated (DB06-15 methodology).40775","latest.value_days (DB06-15 methodology).28811","latest.value_days (DB06-15 methodology).40776","latest.value_0-12 (DB15-19 methodology).28813","latest.value_0 as piecemeal sale and 1 as going concern.28833","latest.value_0-10 (DB06-14 methodology).40755","latest.value_number (DB06-15 methodology).40773","latest.value_number (DB06-15 methodology).40774","latest.value_0-15 (DB16-20 methodology).42555","latest.value_0-2 (DB16-20 methodology).42556","latest.value_0-2 (DB16-20 methodology).42560","latest.value_0-1 (DB16-20 methodology).42557","latest.value_0-1 (DB16-20 methodology).42565","latest.value_0-1 (DB16-20 methodology).42566","latest.value_0-1 (DB16-20 methodology).42567","latest.value_0-1 (DB16-20 methodology).42568","latest.value_0-1 (DB16-20 methodology).42569","latest.value_0-3 (DB16-20 methodology).42558","latest.value_0-3 (DB16-20 methodology).42559","latest.value_0-3 (DB16-20 methodology).42564","latest.value_0-4 (DB16-20 methodology).42561","latest.value_0-8 (DB16-20 methodology).42563","latest.value_US cents per kWh (DB16-20 methodology).42573","latest.value_0-30 (DB17-20 methodology).42575","latest.value_0-8 (DB17-20 methodology).42576","latest.value_0-8 (DB17-20 methodology).42578","latest.value_0-8 (DB17-20 methodology).42579","latest.value_0-6 (DB17-20 methodology).42577","latest.value_-2-0 (DB17-20 methodology).42580","latest.value_0-12 (DB15-20 methodology).42582","latest.value_0-30 (DB06-14 methodology).42588","latest.value_0-10 (DB15-20 methodology).42589","latest.value_0-6 (DB15-20 methodology).42591","latest.value_0-6 (DB15-20 methodology).42604","latest.value_0-7 (DB15-20 methodology).42592","latest.value_0-7 (DB15-20 methodology).42593","latest.value_0-50 (DB15-20 methodology).42594","latest.value_0-100 (DB17-20 methodology).42600","latest.value_0-16.42602","latest.value_0-3 (DB15-20 methodology).42603","latest.value_0-3 (DB15-20 methodology).42605","latest.value_0-4 (DB15-20 methodology).42606","latest.value_0-18 (DB17-20 methodology).42609","latest.value_hours (DB16-20 methodology).42616","latest.value_hours (DB16-20 methodology).42617","latest.value_hours (DB16-20 methodology).42620","latest.value_hours (DB16-20 methodology).42621","latest.value_USD (DB16-20 methodology).42618","latest.value_USD (DB16-20 methodology).42619","latest.value_USD (DB16-20 methodology).42622","latest.value_USD (DB16-20 methodology).42623","latest.value_Rank (DB20).42624","latest.value_Rank (DB20).42625","latest.value_Rank (DB20).42626","latest.value_Rank (DB20).42627","latest.value_Rank (DB20).42629","latest.value_Rank (DB20).42631","latest.value_Rank (DB20).42632","latest.value_Rank (DB20).42633","latest.value_Rank.42630"
"Afghanistan","AFG",2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2014,2014,2015,2014,2018,2019,2013,2014,2014,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2013,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,168,177,177,99,26,49,186,181,74,6,13,9,5,2546.4,0,6.4,6.8,19,71.4,0,0,71.4,1.5,0,8,1,92,33.33333,199,9,75.6,5,29,26.7,25,270,5680,5045,91,86,9,0,1,10,10,3,1,1,1,1,0,0,0,1,0,0,0,0,0,18,3,0,0,3,0,0,10,3,9,0,6,0,0,18,0,12,2,2,2,27.77778,48,228,96,324,452.8,344.4,750,900,173,177,178,104,52,186,181,76,183
"Angola","AGO",2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,NA,2019,2014,2014,2015,2014,2018,2019,2013,2014,2014,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2013,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,152,174,104,184,89,139,170,186,168,7,12,6,8,623.3,0,13.9,11.1,31,49.1,21.5,9,18.6,1.5,0,4,6,79.4,58.33333,184,36,1,2.7,44.4,0,NA,287,2725,2060,43,40,1,0,6,10,9,6,1,1,1,0,0,1,1,0,0,2,0,1,2,3.7,7,1,0,4,2,0,1,16,6,0,4,0,0,16,94.95413,0,2,0,0,30.55556,164,96,72,96,825,240,1030,460,156,174,106,185,146,167,186,168,120
"Albania","ALB",2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2014,2014,2015,2014,2018,2019,2013,2014,2014,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2013,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,140,24,122,44,26,50,98,98,39,6,19,5,5,448.6,0,11.3,10.8,35,36.6,14.1,18.8,3.6,56.2,0,9,7,91.8,66.66667,324,4.5,6.8,8.9,42.7,44.6,10,252,730,745,18,19,8,0,7,7,8,13,2,2,1,1,1,1,1,1,2,3,0,3,5,9.4,16.5,6,0,8,2.5,0,8,21,7,0,6,0,0,23,60.11142,14,3,3,2,41.66667,9,6,10,8,54.7,10,77.3,10,107,25,123,48,53,98,120,39,166
"United Arab Emirates","ARE",2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2014,2014,2015,2014,2018,2019,2013,2014,2014,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2013,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,1,98,2,44,15,25,7,9,75,2,11,2,3,0,0,22.8,17.2,5,15.9,0,14.1,1.8,12,51.3,10,10,94.8,91.66667,47.5,4.5,2.2,0.2,21,27.7,20,116,625,665,7,7,2,0,3,3,5,15,2,2,1,1,1,1,1,1,3,3,3,4,8,10.9,21,8,4,6.5,2.5,0,6,16,4,4,6,7,5,40,55.00239,11,2,2,1,77.77778,27,4.5,54,12,461.7,140,553.3,283.3,1,92,30,48,17,10,9,80,3
"Argentina","ARG",2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2014,2014,2015,2014,2018,2019,2013,2014,2014,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2013,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,103,125,169,85,57,128,119,107,104,6,17,7,11,15.5,0,5.3,5,9,106.3,3.6,29.9,72.8,48.1,100,7,2,80.4,50,318,11.5,3.1,6.6,22.5,19.2,16.5,311.5,2320,1770,30,12,3,0,6,6,8,11,2,1,1,1,1,1,1,1,2,3,0,2,5,10.8,13.5,5,2,4,2.5,0,2,15,6,6,4,5,5,31,47.93578,9.5,2.5,2,1,69.44444,21,25,60,166,150,60,1200,120,111,119,170,104,141,123,97,111,155
"Armenia","ARM",2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2014,2014,2015,2014,2018,2019,2013,2014,2014,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2013,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,17,46,82,44,51,8,14,24,95,2,20,3,3,67.6,0,0.8,0.8,15,22.6,21.8,0,0.8,0,82.5,7,6,96.1,83.33333,99,4,1.3,0.1,16,39.2,11,264,2175,1885,18,16,6,0,8,5,8,12,2,0,1,1,1,1,1,1,2,3,1,4,6,7.7,22.5,7,4,7,4.5,0,6,19,8,0,2,0,0,21,79.4282,7.5,2.5,2,1,63.88889,26.5,2,2.5,1.6,100,100,0,100,30,43,52,48,10,13,30,95,62
"Antigua and Barbuda","ATG",2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2014,2014,2015,2014,2018,2019,2013,2014,2014,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2013,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,63,108,144,161,99,131,120,34,132,4,19,7,9,101.3,0,8.7,8,57,43,25.5,12.1,5.3,0,0,4,8,82.6,50,144,19,1.4,10.8,27.1,37.1,7,177,1520,1090,23,16,5,0,7,5,7,9,2,0,0,1,1,0,0,1,1,2,2,4,5,44.9,19,6,4,7.5,1.5,0,5,19,8,3,2,4,2,29,69.40358,5,2,0,1,63.88889,61.3,50.7,61.3,48,546.4,120.8,546.4,100,50,112,145,165,130,124,36,132,117
"Australia","AUS",2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2014,2014,2015,2014,2018,2019,2013,2014,2014,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2013,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,52,103,26,8,64,7,50,5,20,5,11,4,3,12.1,0,0.7,0.7,11,47.4,26.1,21,0.3,0,100,8,2,96.6,75,120.5,2,0.6,5.4,23.2,82.7,8,105,1220,1200,8,9,11,1,7,5,7,14,2,1,1,1,1,1,1,1,3,3,2,4,7,20.4,19.5,7,4,5.5,3,0,11,17,8,4,5,3,7,32,95.3417,11,2.5,0.5,3,86.11111,35.5,7,39,4,766,264,539,100,62,106,28,4,7,42,6,20,11
"Austria","AUT",2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2014,2014,2015,2014,2018,2019,2013,2014,2014,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2013,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,28,1,40,85,33,118,32,10,21,5,11,3,8,85.8,11.5,4.8,4.7,12,51.4,17.1,33.7,0.6,2.2,53.5,5,5,83.2,83.33333,222,21,1.1,4.6,20.6,79.9,10,131,1215,1150,9,10,4,1,6,3,4,13,2,2,0,1,1,1,0,1,2,3,3,4,7,10.2,23,7,8,5,3,0,4,16,7,5,5.5,7,6,35,98.54128,11,2.5,1,2,72.22222,0,0.5,0,0.5,0,0,0,0,29,1,44,94,127,31,10,22,49
"Azerbaijan","AZE",2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2014,2014,2015,2014,2018,2019,2013,2014,2014,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2013,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,74,84,28,22,2,9,17,40,45,7,18,4,3,125.7,0,1.3,1.2,9,40.7,12.7,25.4,2.6,0,44.6,10,7,96.2,75,116,3.5,1.7,7,18.5,39.7,12,159,3450,3460,25,27,2,0,8,9,11,12,2,0,1,1,1,1,0,1,2,3,3,4,7,4.8,22.5,8,4,7.5,3,0,12,20,8,0,6,0,0,25,83.78816,13.5,3,1.5,3,44.44444,17.4,33,14.1,33,214.1,250,300,200,80,83,40,1,9,44,28,47,59
