"country","countryiso3","value_adult_literacy_rate.28134_2015","value_adult_literacy_rate.28134_2016","value_adult_literacy_rate.28134_2017","value_adult_literacy_rate.28134_2018"
"Aruba","ABW",0.999779999256134,NA,NA,1.00013
"Afghanistan","AFG",0.46382001042366,NA,NA,0.53727
"Angola","AGO",0.741069972515106,NA,NA,NA
"Albania","ALB",0.983759999275208,NA,NA,0.99236
"Andorra","AND",1,1,NA,NA
"United Arab Emirates","ARE",1.02746,NA,NA,NA
"Argentina","ARG",1.00061,1.00038,NA,1.00126
"Armenia","ARM",0.99915999174118,NA,0.99871,NA
"American Samoa","ASM",NA,NA,NA,NA
"Antigua and Barbuda","ATG",1.01037,NA,NA,NA
"Australia","AUS",NA,NA,NA,NA
"Austria","AUT",NA,NA,NA,NA
"Azerbaijan","AZE",0.99854,0.99855,0.99858,NA
"Burundi","BDI",0.940150022506714,NA,0.80245,NA
"Belgium","BEL",NA,NA,NA,NA
"Benin","BEN",0.547160029411316,NA,NA,0.57565
"Burkina Faso","BFA",0.595899999141693,NA,NA,0.65278
"Bangladesh","BGD",0.91474,0.92434,0.92581,0.92843
"Bulgaria","BGR",0.993269979953766,NA,NA,NA
"Bahrain","BHR",0.963729977607727,0.95667,0.95889,0.96138
"Bosnia and Herzegovina","BIH",0.978569984436035,NA,NA,NA
"Belarus","BLR",0.998820006847382,NA,NA,0.99931
"Belize","BLZ",1.01320004463196,NA,NA,NA
"Bolivia","BOL",0.91774,NA,NA,NA
"Brazil","BRA",1.00674,1.00482,1.00379,1.00447
"Barbados","BRB",NA,NA,NA,NA
"Brunei Darussalam","BRN",0.975910007953644,NA,NA,0.98213
"Bhutan","BTN",0.77470999956131,NA,0.76091,NA
"Botswana","BWA",1.02279996871948,NA,NA,NA
"Central African Republic","CAF",0.480263978242874,NA,NA,0.52018
"Canada","CAN",NA,NA,NA,NA
"Switzerland","CHE",NA,NA,NA,NA
"Chile","CHL",0.99711,NA,0.99848,NA
"China","CHN",0.962379992008209,NA,NA,0.96641
"Cote d'Ivoire","CIV",0.614260017871857,NA,NA,0.75478
"Cameroon","CMR",0.84877997636795,NA,NA,0.86637
"Congo, Dem. Rep.","COD",0.741980016231537,0.7512,NA,NA
"Congo, Rep.","COG",0.843150019645691,NA,NA,0.86689
"Colombia","COL",1.00375,1.00517,NA,1.00492
"Comoros","COM",0.90556001663208,NA,NA,0.8192
"Cabo Verde","CPV",0.89476,NA,NA,NA
"Costa Rica","CRI",1.00129997730255,NA,NA,1.00125
"Cuba","CUB",1.0011500120163,NA,NA,NA
"Cayman Islands","CYM",NA,NA,NA,NA
"Cyprus","CYP",0.991760015487671,NA,NA,NA
"Czech Republic","CZE",NA,NA,NA,NA
"Germany","DEU",NA,NA,NA,NA
"Denmark","DNK",NA,NA,NA,NA
"Dominican Republic","DOM",1.00731,0.99969,NA,NA
"Algeria","DZA",0.848190009593964,NA,NA,0.86159
"Ecuador","ECU",0.9742,0.97768,0.98195,NA
"Egypt, Arab Rep.","EGY",0.813960015773773,NA,0.85634,NA
"Eritrea","ERI",0.797249972820282,NA,NA,0.81716
"Spain","ESP",0.98761,0.98846,NA,0.99038
"Estonia","EST",0.99958997964859,NA,NA,NA
"Ethiopia","ETH",0.715250015258789,NA,0.74987,NA
"Finland","FIN",NA,NA,NA,NA
"Fiji","FJI",NA,NA,1.00007,NA
"France","FRA",NA,NA,NA,NA
"Gabon","GAB",0.95073002576828,NA,NA,0.97171
"United Kingdom","GBR",NA,NA,NA,NA
"Georgia","GEO",0.999450027942657,NA,0.99856,NA
"Ghana","GHA",0.869750022888184,NA,NA,0.89165
"Guinea","GIN",0.60044002532959,NA,NA,NA
"Gambia, The","GMB",0.67312,NA,NA,NA
"Guinea-Bissau","GNB",0.671410024166107,NA,NA,NA
"Equatorial Guinea","GNQ",0.954209983348846,NA,NA,NA
"Greece","GRC",0.965089976787567,NA,NA,0.9887
"Grenada","GRD",NA,NA,NA,NA
"Greenland","GRL",1,NA,NA,NA
"Guatemala","GTM",0.872600018978119,NA,NA,NA
"Guam","GUM",1.00030994415283,NA,NA,NA
"Guyana","GUY",1.03951001167297,NA,NA,NA
"Hong Kong SAR, China","HKG",NA,NA,NA,NA
"Honduras","HND",0.99968,0.99872,NA,1.00147
"Croatia","HRV",0.992649972438812,NA,NA,NA
"Haiti","HTI",0.887899994850159,0.89312,NA,NA
"Hungary","HUN",0.999750018119812,NA,NA,NA
"Indonesia","IDN",0.96117,0.96308,NA,0.96569
"India","IND",0.778209984302521,NA,NA,0.79875
"Ireland","IRL",NA,NA,NA,NA
"Iran, Islamic Rep.","IRN",0.912670016288757,0.89414,NA,NA
"Iraq","IRQ",0.862519979476929,0.85333,0.8761,NA
"Iceland","ISL",NA,NA,NA,NA
"Israel","ISR",NA,NA,NA,NA
"Italy","ITA",0.995310008525848,NA,NA,0.99616
"Jamaica","JAM",1.10885000228882,NA,NA,NA
"Jordan","JOR",0.989650011062622,NA,NA,0.99207
"Japan","JPN",NA,NA,NA,NA
"Kazakhstan","KAZ",0.999689996242523,NA,NA,0.99909
"Kenya","KEN",0.924290001392365,NA,NA,0.91999
"Kyrgyz Republic","KGZ",0.997330009937286,NA,NA,0.99822
"Cambodia","KHM",0.86712,NA,NA,NA
"Korea, Rep.","KOR",NA,NA,NA,NA
"Kuwait","KWT",0.98006,NA,0.98065,0.98178
"Lao PDR","LAO",0.8825,NA,NA,NA
"Lebanon","LBN",0.9583899974823,NA,NA,0.96335
"Liberia","LBR",0.525709986686707,NA,0.54377,NA
"Libya","LBY",0.88467001914978,NA,NA,NA
"Sri Lanka","LKA",0.979619979858398,0.97892,0.97838,0.97869
"Lesotho","LSO",1.26005005836487,NA,NA,NA
"Lithuania","LTU",1.00039994716644,NA,NA,NA
"Luxembourg","LUX",NA,NA,NA,NA
"Latvia","LVA",1.00032997131348,NA,NA,1.00038
"Macao SAR, China","MAC",0.965139985084534,0.96788,NA,NA
"Morocco","MAR",0.757740020751953,NA,NA,0.77539
"Moldova","MDA",0.997009992599487,NA,NA,NA
"Madagascar","MDG",0.938139975070953,NA,NA,0.93671
"Maldives","MDV",0.990580022335052,1.00838,NA,NA
"Mexico","MEX",0.9784,0.98042,0.9822,0.98312
"Marshall Islands","MHL",0.99875807762146,NA,NA,NA
"Macedonia, FYR","MKD",0.980099976062775,NA,NA,NA
"Mali","MLI",0.49252,NA,NA,0.55723
"Malta","MLT",1.03312003612518,NA,NA,1.03203
"Myanmar","MMR",0.957799971103668,0.89796,NA,NA
"Montenegro","MNE",0.98566997051239,NA,NA,0.98814
"Mongolia","MNG",1.00381994247437,NA,NA,1.00471
"Mozambique","MOZ",0.60858,NA,0.69278,NA
"Mauritania","MRT",0.664430022239685,NA,0.68008,NA
"Mauritius","MUS",0.95565,0.95332,NA,0.95725
"Malawi","MWI",0.79141,NA,NA,NA
"Malaysia","MYS",0.967880010604858,0.9457,0.96948,0.97276
"Namibia","NAM",0.995999991893768,NA,NA,0.99792
"New Caledonia","NCL",0.991729974746704,NA,NA,NA
"Niger","NER",0.403800010681152,NA,NA,NA
"Nigeria","NGA",0.718039989471436,NA,NA,0.73898
"Nicaragua","NIC",1.00413,NA,NA,NA
"Netherlands","NLD",NA,NA,NA,NA
"Norway","NOR",NA,NA,NA,NA
"Nepal","NPL",0.722209990024567,NA,NA,0.75994
"New Zealand","NZL",NA,NA,NA,NA
"Oman","OMN",0.89035,0.94115,0.95055,0.95571
"Pakistan","PAK",0.614160001277924,NA,0.65341,NA
"Panama","PAN",0.987060010433197,NA,NA,0.98867
"Peru","PER",0.93966,0.93827,0.94054,0.94421
"Philippines","PHL",1.00121,NA,NA,NA
"Palau","PLW",0.99512,NA,NA,NA
"Papua New Guinea","PNG",0.949479997158051,NA,NA,NA
"Poland","POL",0.997529983520508,NA,NA,NA
"Puerto Rico","PRI",1.01098001003265,NA,1,NA
"Korea, Dem. People’s Rep.","PRK",1,NA,NA,NA
"Portugal","PRT",0.971390008926392,NA,NA,0.97657
"Paraguay","PRY",0.98566,0.98281,NA,0.98963
"West Bank and Gaza","PSE",0.96317,0.96552,NA,0.97045
"Qatar","QAT",0.996720016002655,1.01427,1.01682,NA
"Romania","ROU",0.993629992008209,NA,NA,0.99487
"Russian Federation","RUS",0.9998499751091,NA,NA,1.00009
"Rwanda","RWA",0.914210021495819,NA,NA,0.89473
"Saudi Arabia","SAU",0.947300016880035,NA,0.95472,NA
"Sudan","SDN",0.82846999168396,NA,NA,0.85678
"Senegal","SEN",0.639680027961731,NA,0.61406,NA
"Singapore","SGP",0.96582,0.96671,0.96855,0.97034
"Solomon Islands","SLB",NA,NA,NA,NA
"Sierra Leone","SLE",0.646730005741119,NA,NA,0.67481
"El Salvador","SLV",0.95786,0.956,0.95633,0.95754
"San Marino","SMR",NA,NA,NA,0.9997
"Somalia","SOM",NA,NA,NA,NA
"Serbia","SRB",0.978890001773834,0.98722,NA,NA
"South Sudan","SSD",0.657029986381531,NA,NA,0.71686
"Sao Tome and Principe","STP",0.919730007648468,NA,NA,0.93088
"Suriname","SUR",0.988039970397949,NA,NA,0.96501
"Slovak Republic","SVK",NA,NA,NA,NA
"Slovenia","SVN",0.999660015106201,NA,NA,NA
"Sweden","SWE",NA,NA,NA,NA
"Swaziland","SWZ",1.00065004825592,NA,NA,NA
"Seychelles","SYC",1.0110000371933,NA,NA,1.00984
"Syrian Arab Republic","SYR",0.879119992256165,NA,NA,NA
"Chad","TCD",0.35802,0.44544,NA,NA
"Togo","TGO",0.66324,NA,NA,NA
"Thailand","THA",0.96337,NA,NA,0.97086
"Tajikistan","TJK",0.999109983444214,NA,NA,NA
"Turkmenistan","TKM",0.998700022697449,NA,NA,NA
"Timor-Leste","TLS",0.868399977684021,NA,NA,0.89345
"Tonga","TON",1.00097000598907,NA,NA,1.00125
"Trinidad and Tobago","TTO",0.994499981403351,NA,NA,NA
"Tunisia","TUN",0.811789989471436,NA,NA,NA
"Turkey","TUR",0.93985,0.94723,0.94615,NA
"Tanzania","TZA",0.87848,NA,NA,NA
"Uganda","UGA",0.824970006942749,NA,NA,0.85702
"Ukraine","UKR",0.999459981918335,NA,NA,NA
"Uruguay","URY",1.00735,1.00617,1.00743,1.00647
"United States","USA",NA,NA,NA,NA
