"country","countryiso3","latest.year_EN.POP.DNST","latest.value_EN.POP.DNST"
"Afghanistan","AFG",2018,56.937760009803
"Albania","ALB",2018,104.612262773723
"Algeria","DZA",2018,17.7300750711665
"American Samoa","ASM",2018,277.325
"Andorra","AND",2018,163.842553191489
"Angola","AGO",2018,24.7130520574316
"Antigua and Barbuda","ATG",2018,218.831818181818
"Arab World","ARB",2018,37.3723653654038
"Argentina","ARG",2018,16.2585100979651
"Armenia","ARM",2018,103.680224798033
"Aruba","ABW",2018,588.027777777778
"Australia","AUS",2018,3.24912948744283
"Austria","AUT",2018,107.206926667578
"Azerbaijan","AZE",2018,120.265319946776
"Bahamas, The","BHS",2018,38.5254745254745
"Bahrain","BHR",2018,2017.27369979138
"Bangladesh","BGD",2018,1239.57931166936
"Barbados","BRB",2018,666.606976744186
"Belarus","BLR",2018,46.7287999040892
"Belgium","BEL",2018,377.214927344782
"Belize","BLZ",2018,16.7939938623411
"Benin","BEN",2018,101.853919829727
"Bermuda","BMU",2018,1184.59257167194
"Bhutan","BTN",2018,19.7775277714448
"Bolivia","BOL",2018,10.4801458506416
"Bosnia and Herzegovina","BIH",2018,64.92048828125
"Botswana","BWA",2018,3.97742487604327
"Brazil","BRA",2018,25.0617162430876
"British Virgin Islands","VGB",2018,198.68
"Brunei Darussalam","BRN",2018,81.3969639468691
"Bulgaria","BGR",2018,64.7035372144436
"Burkina Faso","BFA",2018,72.1912828947368
"Burundi","BDI",2018,435.178271028037
"Cabo Verde","CPV",2018,134.929776674938
"Cambodia","KHM",2018,92.0564128710628
"Cameroon","CMR",2018,53.3439889149796
"Canada","CAN",2018,4.07530821431988
"Caribbean small states","CSS",2018,18.1770161788317
"Cayman Islands","CYM",2018,267.391666666667
"Central African Republic","CAF",2018,7.49041221227006
"Central Europe and the Baltics","CEB",2018,92.7664366303472
"Chad","TCD",2018,12.2917336404066
"Channel Islands","CHI",2018,861.106093786457
"Chile","CHL",2018,25.1894460666519
"China","CHN",2018,148.348833270666
"Colombia","COL",2018,44.7487021180712
"Comoros","COM",2018,447.244477540227
"Congo, Dem. Rep.","COD",2018,37.0825923557045
"Congo, Rep.","COG",2018,15.3568462664715
"Costa Rica","CRI",2018,97.9130630630631
"Cote d'Ivoire","CIV",2018,78.8340534591195
"Croatia","HRV",2018,73.0771979985704
"Cuba","CUB",2018,108.999596231494
"Curacao","CUW",2017,360.754504504505
"Cyprus","CYP",2018,128.708333333333
"Czech Republic","CZE",2018,137.602887852888
"Denmark","DNK",2018,138.067301738509
"Djibouti","DJI",2018,41.3684210526316
"Dominica","DMA",2018,95.5
"Dominican Republic","DOM",2018,219.97857586421
"Early-demographic dividend","EAR",2018,98.13836364042
"East Asia & Pacific","EAS",2018,95.4316055341949
"East Asia & Pacific (excluding high income)","EAP",2018,130.810431457567
"East Asia & Pacific (IDA & IBRD countries)","TEA",2018,130.185452991291
"Ecuador","ECU",2018,68.7886817522951
"Egypt, Arab Rep.","EGY",2018,98.8734692852479
"El Salvador","SLV",2018,309.881467181467
"Equatorial Guinea","GNQ",2018,46.6657397504456
"Eritrea","ERI",NA,NA
"Estonia","EST",2018,30.3861053600184
"Eswatini","SWZ",2018,66.0576162790698
"Ethiopia","ETH",2018,109.224559
"Euro area","EMU",2018,127.582277673283
"Europe & Central Asia","ECS",2018,33.4968853034031
"Europe & Central Asia (excluding high income)","ECA",2018,18.4773754089394
"Europe & Central Asia (IDA & IBRD countries)","TEC",2018,20.0172566615243
"European Union","EUU",2018,105.406603575888
"Faroe Islands","FRO",2018,34.7399698278226
"Fiji","FJI",2018,48.3570333880679
"Finland","FIN",2018,18.1568556480537
"Fragile and conflict affected situations","FCS",2018,39.8693125353373
"France","FRA",2018,122.338395739199
"French Polynesia","PYF",2018,75.8685792349727
"Gabon","GAB",2018,8.22476423332169
"Gambia, The","GMB",2018,225.30652173913
"Georgia","GEO",2018,65.2752020714511
"Germany","DEU",2018,237.3709697733
"Ghana","GHA",2018,130.821429199262
"Gibraltar","GIB",2018,3371.8
"Greece","GRC",2018,83.2247323506594
"Greenland","GRL",2018,0.136496528200755
"Grenada","GRD",2018,327.805882352941
"Guam","GUM",2018,306.977777777778
"Guatemala","GTM",2018,160.953779395297
"Guinea","GIN",2018,50.5222122741332
"Guinea-Bissau","GNB",2018,66.6539473684211
"Guyana","GUY",2018,3.95734823469647
"Haiti","HTI",2018,403.59854862119
"Heavily indebted poor countries (HIPC)","HPC",2018,44.8957816454125
"High income","HIC",2018,34.4377658355898
"Honduras","HND",2018,85.6870319063366
"Hong Kong SAR, China","HKG",2018,7096.19047619048
"Hungary","HUN",2018,107.906605545123
"IBRD only","IBD",2018,68.7859051970979
"Iceland","ISL",2018,3.52692269326683
"IDA & IBRD total","IBT",2018,68.7084518843392
"IDA blend","IDB",2018,93.3256218287322
"IDA only","IDX",2018,60.2621873819374
"IDA total","IDA",2018,68.4840897212872
"India","IND",2018,454.938072575247
"Indonesia","IDN",2018,147.75219008926
"Iran, Islamic Rep.","IRN",2018,50.222420123284
"Iraq","IRQ",2018,88.5305700354617
"Ireland","IRL",2018,70.452983016403
"Isle of Man","IMN",2018,147.50350877193
"Israel","ISR",2018,410.526802218115
"Italy","ITA",2018,205.450747943156
"Jamaica","JAM",2018,270.993074792244
"Japan","JPN",2018,347.073458415624
"Jordan","JOR",2018,112.14249831043
"Kazakhstan","KAZ",2018,6.76982590658221
"Kenya","KEN",2018,90.2994166637383
"Kiribati","KIR",2018,143.020987654321
"Korea, Dem. People’s Rep.","PRK",2018,212.190175234615
"Korea, Rep.","KOR",2018,529.652103632681
"Kosovo","XKX",2017,168.154679893451
"Kuwait","KWT",2018,232.172222222222
"Kyrgyz Republic","KGZ",2018,32.9290928050052
"Lao PDR","LAO",2018,30.5957842287695
"Late-demographic dividend","LTE",2018,51.408720555305
"Latin America & Caribbean","LCN",2018,32.0057333680836
"Latin America & Caribbean (excluding high income)","LAC",2018,32.0214614597141
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2018,31.4141444422749
"Latvia","LVA",2018,30.9833065294307
"Least developed countries: UN classification","LDC",2018,56.8413289019083
"Lebanon","LBN",2018,669.494134897361
"Lesotho","LSO",2018,69.437812911726
"Liberia","LBR",2018,50.0309073920266
"Libya","LBY",2018,3.79563238119054
"Liechtenstein","LIE",2018,236.9375
"Lithuania","LTU",2018,44.5313513780643
"Low & middle income","LMY",2018,69.2415960633107
"Low income","LIC",2018,51.673738313444
"Lower middle income","LMC",2018,150.081518176415
"Luxembourg","LUX",2018,250.093827160494
"Macao SAR, China","MAC",2018,20777.5002607232
"Madagascar","MDG",2018,45.1398556204881
"Malawi","MWI",2018,192.440761561307
"Malaysia","MYS",2018,95.9628214883579
"Maldives","MDV",2018,1718.98666666667
"Mali","MLI",2018,15.635015858186
"Malta","MLT",2018,1511.03125
"Marshall Islands","MHL",2018,324.516666666667
"Mauritania","MRT",2018,4.27216357815077
"Mauritius","MUS",2018,623.30197044335
"Mexico","MEX",2018,64.9146264050001
"Micronesia, Fed. Sts.","FSM",2018,160.914285714286
"Middle East & North Africa","MEA",2018,39.997702909805
"Middle East & North Africa (excluding high income)","MNA",2018,44.3111694561864
"Middle East & North Africa (IDA & IBRD countries)","TMN",2018,43.8129297485221
"Middle income","MIC",2018,72.294869980189
"Moldova","MDA",2018,123.51980353224
"Monaco","MCO",2017,19196
"Mongolia","MNG",2018,2.04060866654651
"Montenegro","MNE",2018,46.2710037174721
"Morocco","MAR",2018,80.7285189334528
"Mozambique","MOZ",2018,37.508535313716
"Myanmar","MMR",2018,82.2386154835549
"Namibia","NAM",2018,2.97374558175127
"Nauru","NRU",2018,635.2
"Nepal","NPL",2018,195.939107080572
"Netherlands","NLD",2018,511.457910359157
"New Caledonia","NCL",2018,15.5393873085339
"New Zealand","NZL",2018,18.5541756864532
"Nicaragua","NIC",2018,53.7270483629716
"Niger","NER",2018,17.7176505881424
"Nigeria","NGA",2018,215.064988965381
"North America","NAC",2018,19.9709762368072
"North Macedonia","MKD",2018,82.5915146708961
"Northern Mariana Islands","MNP",2018,123.65652173913
"Norway","NOR",2018,14.5549195374975
"OECD members","OED",2018,37.8092345649061
"Oman","OMN",2018,15.6041453957997
"Other small states","OSS",2018,15.1386164116647
"Pacific island small states","PSS",2018,38.2767445482866
"Pakistan","PAK",2018,275.289318700706
"Palau","PLW",2018,38.9282608695652
"Panama","PAN",2018,56.1860774818402
"Papua New Guinea","PNG",2018,19.0043633794109
"Paraguay","PRY",2018,17.5083589227284
"Peru","PER",2018,24.99160625
"Philippines","PHL",2018,357.688305329175
"Poland","POL",2018,124.035886214442
"Portugal","PRT",2018,112.23945350807
"Post-demographic dividend","PST",2018,35.2674889372306
"Pre-demographic dividend","PRE",2018,51.6874400219725
"Puerto Rico","PRI",2018,360.220180383315
"Qatar","QAT",2018,239.593195521103
"Romania","ROU",2018,84.6398470097357
"Russian Federation","RUS",2018,8.82207955488442
"Rwanda","RWA",2018,498.659870287799
"Samoa","WSM",2018,69.3038869257951
"San Marino","SMR",2018,563.083333333333
"Sao Tome and Principe","STP",2018,219.820833333333
"Saudi Arabia","SAU",2018,15.6766543082956
"Senegal","SEN",2018,82.3474783150678
"Serbia","SRB",2018,79.8317402241024
"Seychelles","SYC",2018,210.352173913043
"Sierra Leone","SLE",2018,105.987170961485
"Singapore","SGP",2018,7952.9984184018
"Sint Maarten (Dutch part)","SXM",2017,1193.35294117647
"Slovak Republic","SVK",2018,113.290578202995
"Slovenia","SVN",2018,102.639859503382
"Small states","SST",2018,16.2244628233256
"Solomon Islands","SLB",2018,23.324687388353
"Somalia","SOM",2018,23.9234769024771
"South Africa","ZAF",2018,47.6301197767684
"South Asia","SAS",2018,380.247133746081
"South Asia (IDA & IBRD)","TSA",2018,380.247133746081
"Spain","ESP",2018,93.5290582615872
"Sri Lanka","LKA",2018,345.558922022006
"St. Kitts and Nevis","KNA",2018,201.696153846154
"St. Lucia","LCA",2018,298.17868852459
"St. Martin (French part)","MAF",2017,672.058823529412
"St. Vincent and the Grenadines","VCT",2018,282.589743589744
"Sub-Saharan Africa","SSF",2018,50.7620843086558
"Sub-Saharan Africa (excluding high income)","SSA",2018,50.7586283354254
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",2018,50.7620843086558
"Suriname","SUR",2018,3.69225
"Sweden","SWE",2018,25.0010434312931
"Switzerland","CHE",2018,215.521378417094
"Syrian Arab Republic","SYR",2018,92.0671077710614
"Tajikistan","TJK",2018,65.5727141724908
"Tanzania","TZA",2018,63.5790787988259
"Thailand","THA",2018,135.897206835131
"Timor-Leste","TLS",2018,85.270477471419
"Togo","TGO",2018,145.046773303916
"Tonga","TON",2018,143.329166666667
"Trinidad and Tobago","TTO",2018,270.927485380117
"Tunisia","TUN",2018,74.4413233779609
"Turkey","TUR",2018,106.960128893104
"Turkmenistan","TKM",2018,12.4505947694337
"Turks and Caicos Islands","TCA",2018,39.6473684210526
"Tuvalu","TUV",2018,383.6
"Uganda","UGA",2018,213.061734490325
"Ukraine","UKR",2018,77.0296673514129
"United Arab Emirates","ARE",2018,135.609110109828
"United Kingdom","GBR",2018,274.82739222089
"United States","USA",2018,35.766088580168
"Upper middle income","UMC",2018,45.4691766291018
"Uruguay","URY",2018,19.7080276539824
"Uzbekistan","UZB",2018,77.4692054536906
"Vanuatu","VUT",2018,24.0098441345365
"Venezuela, RB","VEN",2018,32.7307919052208
"Vietnam","VNM",2018,308.125245912213
"Virgin Islands (U.S.)","VIR",2018,305.648571428571
"West Bank and Gaza","PSE",2018,758.984551495017
"World","WLD",2018,59.6362362611782
"Yemen, Rep.","YEM",2018,53.9778529083092
"Zambia","ZMB",2018,23.3414789007116
"Zimbabwe","ZWE",2018,37.3245909267158
