"country","countryiso3","latest.year_EN.POP.SLUM.UR.ZS","latest.value_EN.POP.SLUM.UR.ZS"
"Afghanistan","AFG",2014,62.7
"Algeria","DZA",NA,NA
"Angola","AGO",2014,55.5
"Antigua and Barbuda","ATG",NA,NA
"Arab World","ARB",2014,32.5170967713197
"Argentina","ARG",2014,16.7
"Armenia","ARM",2014,14.4
"Bangladesh","BGD",2014,55.1
"Belize","BLZ",2014,10.8
"Benin","BEN",2014,61.5
"Bhutan","BTN",NA,NA
"Bolivia","BOL",2014,43.5
"Botswana","BWA",NA,NA
"Brazil","BRA",2014,22.3
"Burkina Faso","BFA",2014,65.8
"Burundi","BDI",2014,57.9
"Cabo Verde","CPV",NA,NA
"Cambodia","KHM",2014,55.1
"Cameroon","CMR",2014,37.8
"Caribbean small states","CSS",NA,NA
"Central African Republic","CAF",2014,93.3
"Chad","TCD",2014,88.2
"Chile","CHL",NA,NA
"China","CHN",2014,25.2
"Colombia","COL",2014,13.1
"Comoros","COM",2014,69.6
"Congo, Dem. Rep.","COD",2014,74.8
"Congo, Rep.","COG",2014,46.9
"Costa Rica","CRI",2014,5.5
"Cote d'Ivoire","CIV",2014,56
"Djibouti","DJI",2014,65.6
"Dominica","DMA",NA,NA
"Dominican Republic","DOM",2014,12.1
"Early-demographic dividend","EAR",2014,27.0365098415163
"East Asia & Pacific","EAS",2014,25.7938114421832
"East Asia & Pacific (excluding high income)","EAP",2014,25.7938114421832
"East Asia & Pacific (IDA & IBRD countries)","TEA",2014,25.7938114421832
"Ecuador","ECU",2014,36
"Egypt, Arab Rep.","EGY",2014,10.6
"El Salvador","SLV",NA,NA
"Equatorial Guinea","GNQ",2014,66.2
"Eritrea","ERI",NA,NA
"Eswatini","SWZ",2014,32.7
"Ethiopia","ETH",2014,73.9
"Fragile and conflict affected situations","FCS",2014,56.1102124230041
"Gabon","GAB",2014,37
"Gambia, The","GMB",2014,34.8
"Ghana","GHA",2014,37.9
"Grenada","GRD",NA,NA
"Guatemala","GTM",2014,34.5
"Guinea","GIN",2014,43.3
"Guinea-Bissau","GNB",2014,82.3
"Guyana","GUY",2014,33.1
"Haiti","HTI",2014,74.4
"Heavily indebted poor countries (HIPC)","HPC",2014,62.0610720994295
"Honduras","HND",2014,27.5
"IBRD only","IBD",2014,23.5517435940763
"IDA & IBRD total","IBT",2014,29.7615150858276
"IDA blend","IDB",2014,47.3071395916395
"IDA only","IDX",2014,59.8202119809219
"IDA total","IDA",2014,55.1613775712645
"India","IND",2014,24
"Indonesia","IDN",2014,21.8
"Iran, Islamic Rep.","IRN",NA,NA
"Iraq","IRQ",2014,47.2
"Jamaica","JAM",NA,NA
"Jordan","JOR",2014,12.9
"Kenya","KEN",2014,56
"Korea, Dem. People’s Rep.","PRK",NA,NA
"Lao PDR","LAO",2014,31.4
"Late-demographic dividend","LTE",2014,23.9295584860171
"Latin America & Caribbean","LCN",2014,20.4001478499385
"Latin America & Caribbean (excluding high income)","LAC",2014,20.3664949291668
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2014,20.4001478499385
"Least developed countries: UN classification","LDC",2014,62.750263054409
"Lebanon","LBN",NA,NA
"Lesotho","LSO",2014,50.8
