"country","countryiso3","score_security_apparatus.28904_2013","score_security_apparatus.28904_2014","score_security_apparatus.28904_2015","score_security_apparatus.28904_2016","score_security_apparatus.28904_2017","score_uneven_development.28905_2013","score_uneven_development.28905_2014","score_uneven_development.28905_2015","score_uneven_development.28905_2016","score_uneven_development.28905_2017","score_group_grievance.28907_2013","score_group_grievance.28907_2014","score_group_grievance.28907_2015","score_group_grievance.28907_2016","score_group_grievance.28907_2017","score_human_flight.28908_2013","score_human_flight.28908_2014","score_human_flight.28908_2015","score_human_flight.28908_2016","score_human_flight.28908_2017","score_human_rights.28909_2013","score_human_rights.28909_2014","score_human_rights.28909_2015","score_human_rights.28909_2016","score_human_rights.28909_2017","score_legitimacy_of_the_s.28910_2013","score_legitimacy_of_the_s.28910_2014","score_legitimacy_of_the_s.28910_2015","score_legitimacy_of_the_s.28910_2016","score_legitimacy_of_the_s.28910_2017","score_public_services.28911_2013","score_public_services.28911_2014","score_public_services.28911_2015","score_public_services.28911_2016","score_public_services.28911_2017"
"Afghanistan","AFG",9.2,9.3,9.1,9.5,9.8,9.4,9.5,9.7,9.1,9.1,10,9.9,9.8,9.9,9.7,9.4,9.4,9.3,8.6,8.6,9.2,8.7,8.9,8.6,8.4,7.2,7.8,8.1,8.4,8.2,8.8,9,9.3,9.6,9.9
"Angola","AGO",7.2,7.5,7.6,7.3,7.1,8.6,8,8.3,8.8,8.6,6.1,5.8,5.6,5.6,5.4,7.3,7.2,7.2,7.2,7.2,6.8,7.1,7.3,7.7,7.5,5.9,6,6,6.3,6.6,8.4,9.1,8.9,9.2,9.1
"Albania","ALB",3.1,3.4,3.1,3.3,3.6,7,6.5,6.2,5.9,5.7,6.3,6.2,6.1,6.4,6.7,6.3,6.2,6.2,6.2,6.2,4.8,4.7,5,4.7,4.5,6.6,6.9,7.1,7.6,7.6,4.8,4.8,4.5,4.2,4
"United Arab Emirates","ARE",2.5,2.5,2.2,2.2,2.2,6.5,6.7,6.6,6.9,6.7,3.5,3.2,2.9,2.6,2.4,3.6,3.6,3.6,3.6,3.6,4.3,4,3.9,3.6,3.4,2.4,2.7,2.5,2.2,2.5,2.9,3.2,2.7,2.4,2.2
"Argentina","ARG",2,2.3,2,2.5,2.3,4.4,4.3,4.7,5,4.8,3.8,3.9,4,4.3,4.6,2.7,2.8,2.8,2.8,2.8,5,5.3,5,4.7,5,3,2.7,3,2.7,3,3.9,4.1,4.3,4,3.8
"Armenia","ARM",7,6.7,7,6.7,7,6.6,6.7,7,7.2,7.6,6.2,6.5,6.8,6.9,6.7,7,7.4,7,7,7.4,5.7,5.7,5.4,5.6,6.1,6,5.7,6,5.9,6.2,4.4,4.4,4.1,3.8,3.6
"Antigua and Barbuda","ATG",3,3.3,3,2.8,2.7,5.8,5.8,5.9,5.6,5.4,5.8,6.1,5.8,5.5,5.3,3.7,3.7,3.7,3.7,3.7,4.1,4.1,3.9,3.9,3.9,7.6,7.6,7.3,7,6.8,4,4.1,3.9,4,3.8
"Australia","AUS",2.7,2.4,2.1,2,2.3,1,1,1.1,1,1,1,1.3,1,1,1,1.6,1.6,1.6,1.7,1.7,3.6,3.9,4.4,4.1,3.9,1.1,0.9,1,1,1.3,1.8,2.1,2,1.7,1.5
"Austria","AUT",2.4,2.3,2,6.1,5.6,1.5,1.6,1.4,1.1,1.4,1.6,1.7,1.7,1.4,1.2,2.7,2.7,2.7,2.7,3.2,4.3,4.6,4.3,4,4.5,1.6,1.8,1.5,1.2,1.5,1.5,1.8,1.6,1.3,1.1
"Azerbaijan","AZE",7.9,7.6,7.6,7.9,7.7,8.2,8.3,8.6,8.9,8.8,6.9,6.6,6.9,6.6,6.4,7.8,7.9,7.9,7.9,7.9,6.9,6.7,6.4,6.7,6.5,4.7,4.7,4.3,4,4.3,5.1,5.3,5.4,5.1,5.4
