"country","countryiso3","latest.year_score_security_apparatus.28904","latest.value_score_security_apparatus.28904","latest.year_score_uneven_development.28905","latest.value_score_uneven_development.28905","latest.year_score_group_grievance.28907","latest.value_score_group_grievance.28907","latest.year_score_human_flight.28908","latest.value_score_human_flight.28908","latest.year_score_human_rights.28909","latest.value_score_human_rights.28909","latest.year_score_legitimacy_of_the_s.28910","latest.value_score_legitimacy_of_the_s.28910","latest.year_score_public_services.28911","latest.value_score_public_services.28911"
"Afghanistan","AFG",2017,9.8,2017,9.1,2017,9.7,2017,8.6,2017,8.4,2017,8.2,2017,9.9
"Angola","AGO",2017,7.1,2017,8.6,2017,5.4,2017,7.2,2017,7.5,2017,6.6,2017,9.1
"Albania","ALB",2017,3.6,2017,5.7,2017,6.7,2017,6.2,2017,4.5,2017,7.6,2017,4
"United Arab Emirates","ARE",2017,2.2,2017,6.7,2017,2.4,2017,3.6,2017,3.4,2017,2.5,2017,2.2
"Argentina","ARG",2017,2.3,2017,4.8,2017,4.6,2017,2.8,2017,5,2017,3,2017,3.8
"Armenia","ARM",2017,7,2017,7.6,2017,6.7,2017,7.4,2017,6.1,2017,6.2,2017,3.6
"Antigua and Barbuda","ATG",2017,2.7,2017,5.4,2017,5.3,2017,3.7,2017,3.9,2017,6.8,2017,3.8
"Australia","AUS",2017,2.3,2017,1,2017,1,2017,1.7,2017,3.9,2017,1.3,2017,1.5
"Austria","AUT",2017,5.6,2017,1.4,2017,1.2,2017,3.2,2017,4.5,2017,1.5,2017,1.1
"Azerbaijan","AZE",2017,7.7,2017,8.8,2017,6.4,2017,7.9,2017,6.5,2017,4.3,2017,5.4
"Burundi","BDI",2017,8.6,2017,8.8,2017,9,2017,8.2,2017,7.9,2017,6.3,2017,8
"Belgium","BEL",2017,2.4,2017,1.4,2017,1,2017,4.4,2017,4.9,2017,1.6,2017,2.3
"Benin","BEN",2017,5.5,2017,5.4,2017,6.6,2017,6.7,2017,3.4,2017,7.4,2017,8.7
"Burkina Faso","BFA",2017,6.6,2017,7.1,2017,7.5,2017,7.8,2017,4.5,2017,7.5,2017,8.7
"Bangladesh","BGD",2017,6.6,2017,7.8,2017,5.8,2017,9.3,2017,8.7,2017,7.8,2017,8.1
"Bulgaria","BGR",2017,4.5,2017,4.5,2017,4.3,2017,5.3,2017,5.1,2017,4.2,2017,4.4
