"country","countryiso3","1 yes 0 no_electoral_demo.28902_2013","1 yes 0 no_electoral_demo.28902_2014","1 yes 0 no_electoral_demo.28902_2015","1 yes 0 no_electoral_demo.28902_2016","1 to 7 scale_civil_libert.40985_2013","1 to 7 scale_civil_libert.40985_2014","1 to 7 scale_civil_libert.40985_2015","1 to 7 scale_civil_libert.40985_2016","1 to 7 scale_civil_libert.40985_2017","1 to 7 scale_civil_libert.40985_2018","1 to 7 scale_political_ri.40986_2013","1 to 7 scale_political_ri.40986_2014","1 to 7 scale_political_ri.40986_2015","1 to 7 scale_political_ri.40986_2016","1 to 7 scale_political_ri.40986_2017","1 to 7 scale_political_ri.40986_2018","1 to 3 scale_freedom_stat.40987_2013","1 to 3 scale_freedom_stat.40987_2014","1 to 3 scale_freedom_stat.40987_2015","1 to 3 scale_freedom_stat.40987_2016","1 to 3 scale_freedom_stat.40987_2017","1 to 3 scale_freedom_stat.40987_2018"
"Afghanistan","AFG",0,0,0,0,107856,107856,107856,107856,107856,107856,107856,107856,107856,107856,107856,91179,14341,14341,14341,14341,14341,14341
"Angola","AGO",0,0,0,0,91179,91179,91179,107856,107856,107856,107856,107856,107856,107856,107856,107856,14341,14341,14341,14341,14341,14341
"Albania","ALB",1,1,1,1,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899
"Andorra","AND",2,2,2,2,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"United Arab Emirates","ARE",0,0,0,0,107856,107856,107856,107856,107856,107856,107856,107856,107856,107856,107856,116464,14341,14341,14341,14341,14341,14341
"Argentina","ARG",1,1,1,1,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Armenia","ARM",0,0,0,0,66165,66165,66165,66165,66165,66165,91179,91179,91179,91179,91179,91179,20899,20899,20899,20899,20899,20899
"Antigua and Barbuda","ATG",1,1,1,1,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Australia","AUS",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Austria","AUT",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Azerbaijan","AZE",0,0,0,0,91179,107856,107856,107856,107856,107856,107856,107856,107856,116464,116464,116464,14341,14341,14341,14341,14341,14341
"Burundi","BDI",0,0,0,0,91179,91179,91179,107856,107856,107856,91179,91179,107856,116464,116464,116464,20899,20899,14341,14341,14341,14341
"Belgium","BEL",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Benin","BEN",1,1,1,1,20899,20899,20899,20899,20899,20899,NA,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
