"country","countryiso3","latest.year_1 yes 0 no_electoral_demo.28902","latest.value_1 yes 0 no_electoral_demo.28902","latest.year_1 to 7 scale_civil_libert.40985","latest.value_1 to 7 scale_civil_libert.40985","latest.year_1 to 7 scale_political_ri.40986","latest.value_1 to 7 scale_political_ri.40986","latest.year_1 to 3 scale_freedom_stat.40987","latest.value_1 to 3 scale_freedom_stat.40987"
"Afghanistan","AFG",2016,0,2018,107856,2018,91179,2018,14341
"Angola","AGO",2016,0,2018,107856,2018,107856,2018,14341
"Albania","ALB",2016,1,2018,37943,2018,37943,2018,20899
"Andorra","AND",2016,2,2018,14341,2018,14341,2018,37943
"United Arab Emirates","ARE",2016,0,2018,107856,2018,116464,2018,14341
"Argentina","ARG",2016,1,2018,20899,2018,20899,2018,37943
"Armenia","ARM",2016,0,2018,66165,2018,91179,2018,20899
"Antigua and Barbuda","ATG",2016,1,2018,20899,2018,20899,2018,37943
"Australia","AUS",2016,1,2018,14341,2018,14341,2018,37943
"Austria","AUT",2016,1,2018,14341,2018,14341,2018,37943
"Azerbaijan","AZE",2016,0,2018,107856,2018,116464,2018,14341
"Burundi","BDI",2016,0,2018,107856,2018,116464,2018,14341
"Belgium","BEL",2016,1,2018,14341,2018,14341,2018,37943
"Benin","BEN",2016,1,2018,20899,2018,20899,2018,37943
"Burkina Faso","BFA",2016,1,2018,37943,2018,66165,2018,20899
"Bangladesh","BGD",2016,1,2018,66165,2018,66165,2018,20899
"Bulgaria","BGR",2016,1,2018,20899,2018,20899,2018,37943
"Bahrain","BHR",2016,0,2018,107856,2018,116464,2018,14341
"Bahamas, The","BHS",2016,1,2018,14341,2018,14341,2018,37943
"Bosnia and Herzegovina","BIH",2016,1,2018,66165,2018,66165,2018,20899
"Belarus","BLR",2016,0,2018,107856,2018,107856,2018,14341
"Belize","BLZ",2016,1,2018,20899,2018,14341,2018,37943
"Bolivia","BOL",2016,1,2018,37943,2018,37943,2018,20899
"Brazil","BRA",2016,1,2018,20899,2018,20899,2018,37943
"Barbados","BRB",2016,1,2018,14341,2018,14341,2018,37943
"Brunei Darussalam","BRN",2016,0,2018,91179,2018,107856,2018,14341
"Bhutan","BTN",2016,1,2018,66165,2018,37943,2018,20899
"Botswana","BWA",2016,1,2018,20899,2018,37943,2018,37943
"Central African Republic","CAF",2016,0,2018,116464,2018,116464,2018,14341
"Canada","CAN",2016,1,2018,14341,2018,14341,2018,37943
"Switzerland","CHE",2016,1,2018,14341,2018,14341,2018,37943
"Chile","CHL",2016,1,2018,14341,2018,14341,2018,37943
"China","CHN",2016,0,2018,107856,2018,116464,2018,14341
"Cote d'Ivoire","CIV",2016,1,2018,66165,2018,66165,2018,20899
"Cameroon","CMR",2016,0,2018,107856,2018,107856,2018,14341
"Congo, Dem. Rep.","COD",NA,NA,2018,107856,2018,116464,2018,14341
"Congo, Rep.","COG",NA,NA,2018,91179,2018,116464,2018,14341
"Colombia","COL",2016,1,2018,37943,2018,37943,2018,20899
"Comoros","COM",2016,1,2018,66165,2018,37943,2018,20899
"Cabo Verde","CPV",2016,1,2018,14341,2018,14341,2018,37943
"Costa Rica","CRI",2016,1,2018,14341,2018,14341,2018,37943
"Cuba","CUB",2016,0,2018,107856,2018,116464,2018,14341
"Cyprus","CYP",2016,1,2018,14341,2018,14341,2018,37943
"Czech Republic","CZE",2016,1,2018,14341,2018,14341,2018,37943
"Germany","DEU",2016,1,2018,14341,2018,14341,2018,37943
"Djibouti","DJI",2016,0,2018,91179,2018,107856,2018,14341
"Dominica","DMA",2016,1,2018,14341,2018,14341,2018,37943
"Denmark","DNK",2016,1,2018,14341,2018,14341,2018,37943
"Dominican Republic","DOM",2016,1,2018,37943,2018,37943,2018,20899
"Algeria","DZA",2016,0,2018,91179,2018,107856,2018,14341
"Ecuador","ECU",2016,1,2018,37943,2018,37943,2018,20899
"Egypt, Arab Rep.","EGY",2016,0,2018,107856,2018,107856,2018,14341
"Eritrea","ERI",2016,0,2018,116464,2017,116464,2018,14341
"Spain","ESP",2016,1,2018,14341,2018,14341,2018,37943
"Estonia","EST",2016,1,2018,14341,2018,14341,2018,37943
"Ethiopia","ETH",2016,0,2018,107856,2018,116464,2018,14341
"Finland","FIN",2016,1,2018,14341,2018,14341,2018,37943
"Fiji","FJI",2016,1,2018,37943,2018,37943,2018,20899
"France","FRA",2016,2,2018,20899,2018,14341,2018,37943
"Micronesia, Fed. Sts.","FSM",2016,1,2018,14341,2018,14341,2018,37943
"Gabon","GAB",2016,0,2018,91179,2018,116464,2018,14341
"United Kingdom","GBR",2016,1,2018,14341,2018,14341,2018,37943
"Georgia","GEO",2016,1,2018,37943,2018,37943,2018,20899
"Ghana","GHA",2016,1,2018,20899,2018,14341,2018,37943
"Guinea","GIN",2016,0,2018,91179,2018,91179,2018,20899
"Gambia, The","GMB",2016,0,2018,91179,2018,66165,2018,20899
"Guinea-Bissau","GNB",2016,0,2018,91179,2018,91179,2018,20899
"Equatorial Guinea","GNQ",2016,0,2018,116464,2018,116464,2018,14341
"Greece","GRC",2016,1,2018,20899,2018,20899,2018,37943
"Grenada","GRD",2016,1,2018,20899,2018,14341,2018,37943
"Guatemala","GTM",2016,1,2018,66165,2018,66165,2018,20899
"Guyana","GUY",2016,1,2018,37943,2018,20899,2018,37943
"Honduras","HND",2016,0,2018,66165,2018,66165,2018,20899
"Croatia","HRV",2016,1,2018,20899,2018,14341,2018,37943
"Haiti","HTI",2016,0,2018,91179,2018,91179,2018,20899
"Hungary","HUN",2016,1,2018,20899,2018,37943,2018,37943
"Indonesia","IDN",2016,1,2018,66165,2018,20899,2018,20899
"India","IND",2016,1,2018,37943,2018,20899,2018,37943
"Ireland","IRL",2016,1,2018,14341,2018,14341,2018,37943
"Iran, Islamic Rep.","IRN",2016,0,2018,107856,2018,107856,2018,14341
"Iraq","IRQ",2016,0,2018,107856,2018,91179,2018,14341
"Iceland","ISL",2016,1,2018,14341,2018,14341,2018,37943
"Israel","ISR",2016,1,2018,37943,2018,14341,2018,37943
"Italy","ITA",2016,1,2018,14341,2018,14341,2018,37943
"Jamaica","JAM",2016,1,2018,37943,2018,20899,2018,37943
"Jordan","JOR",2016,0,2018,91179,2018,91179,2018,20899
"Japan","JPN",2016,1,2018,14341,2018,14341,2018,37943
"Kazakhstan","KAZ",2016,0,2018,91179,2018,116464,2018,14341
"Kenya","KEN",2016,1,2018,66165,2018,66165,2018,20899
"Kyrgyz Republic","KGZ",2016,0,2018,91179,2018,91179,2018,20899
"Cambodia","KHM",2016,0,2018,91179,2018,107856,2018,14341
"Kiribati","KIR",2016,1,2018,14341,2018,14341,2018,37943
"St. Kitts and Nevis","KNA",2016,1,2018,14341,2018,14341,2018,37943
"Korea, Rep.","KOR",2016,1,2018,20899,2018,20899,2018,37943
"Kosovo","KSV",2016,1,NA,NA,NA,NA,NA,NA
"Kuwait","KWT",2016,0,2018,91179,2018,91179,2018,20899
"Lao PDR","LAO",2016,0,2018,107856,2018,116464,2018,14341
"Lebanon","LBN",2016,0,2018,66165,2018,107856,2018,20899
"Liberia","LBR",2016,1,2018,37943,2018,37943,2018,20899
"Libya","LBY",2016,0,2018,107856,2018,116464,2018,14341
"St. Lucia","LCA",2016,1,2018,14341,2018,14341,2018,37943
"Liechtenstein","LIE",2016,1,2018,14341,2018,20899,2018,37943
"Sri Lanka","LKA",2016,1,2018,66165,2018,37943,2018,20899
"Lesotho","LSO",2016,1,2018,37943,2018,37943,2018,20899
"Lithuania","LTU",2016,1,2018,14341,2018,14341,2018,37943
"Luxembourg","LUX",2016,1,2018,14341,2018,14341,2018,37943
"Latvia","LVA",2016,1,2018,20899,2018,20899,2018,37943
"Morocco","MAR",2016,0,2018,91179,2018,91179,2018,20899
"Monaco","MCO",2016,1,2018,14341,2018,37943,2018,37943
"Moldova","MDA",2016,1,2018,37943,2018,37943,2018,20899
"Madagascar","MDG",2016,1,2018,66165,2018,37943,2018,20899
"Maldives","MDV",2016,0,2018,91179,2018,91179,2018,20899
"Mexico","MEX",2016,1,2018,37943,2018,37943,2018,20899
"Marshall Islands","MHL",2016,1,2018,14341,2018,14341,2018,37943
"Macedonia, FYR","MKD",2016,0,2018,37943,2018,66165,2018,20899
"Mali","MLI",2016,0,2018,66165,2018,91179,2018,20899
"Malta","MLT",2016,1,2018,14341,2018,14341,2018,37943
"Myanmar","MMR",2016,0,2018,91179,2018,91179,2018,20899
"Montenegro","MNE",2016,1,2018,37943,2018,37943,2018,20899
"Mongolia","MNG",2016,1,2018,20899,2018,14341,2018,37943
"Mozambique","MOZ",2016,0,2018,66165,2018,66165,2018,20899
"Mauritania","MRT",2016,0,2018,91179,2018,107856,2018,14341
"Mauritius","MUS",2016,1,2018,20899,2018,14341,2018,37943
"Malawi","MWI",2016,1,2018,37943,2018,37943,2018,20899
