"country","countryiso3","latest.year_percent_women_participati.28129","latest.value_percent_women_participati.28129","latest.year_value_proportion_of_time_.28130","latest.value_value_proportion_of_time_.28130","latest.year_value_proportion_of_time_.28131","latest.value_value_proportion_of_time_.28131"
"Afghanistan","AFG",2015,42.1,NA,NA,NA,NA
"Angola","AGO",2016,80.9,NA,NA,NA,NA
"Albania","ALB",NA,NA,NA,NA,NA,NA
"Argentina","ARG",NA,NA,NA,NA,NA,NA
"Armenia","ARM",2016,80.3,NA,NA,NA,NA
"Australia","AUS",NA,NA,NA,NA,NA,NA
"Austria","AUT",NA,NA,NA,NA,NA,NA
"Azerbaijan","AZE",NA,NA,NA,NA,NA,NA
"Burundi","BDI",2017,69.3,NA,NA,NA,NA
"Belgium","BEL",NA,NA,NA,NA,NA,NA
"Benin","BEN",NA,NA,NA,NA,NA,NA
"Burkina Faso","BFA",NA,NA,NA,NA,NA,NA
"Bangladesh","BGD",2014,61.3,NA,NA,NA,NA
"Bulgaria","BGR",NA,NA,NA,NA,NA,NA
"Belarus","BLR",NA,NA,2015,19.1666667,2015,9.5138889
"Bolivia","BOL",NA,NA,NA,NA,NA,NA
"Brazil","BRA",NA,NA,NA,NA,NA,NA
"Bhutan","BTN",NA,NA,2015,15,2015,5.9027778
"Canada","CAN",NA,NA,2016,14.5833333,2016,9.5833333
"Switzerland","CHE",NA,NA,2016,16.8333333,2016,10.8041667
"Chile","CHL",NA,NA,2015,22.10355,2015,9.8539646
"China","CHN",NA,NA,NA,NA,NA,NA
"Cote d'Ivoire","CIV",NA,NA,NA,NA,NA,NA
"Cameroon","CMR",NA,NA,2014,15.820857,2014,4.5678393
"Congo, Dem. Rep.","COD",2014,59.8,NA,NA,NA,NA
"Congo, Rep.","COG",NA,NA,NA,NA,NA,NA
"Colombia","COL",2015,80.2,NA,NA,NA,NA
"Comoros","COM",NA,NA,NA,NA,NA,NA
"Costa Rica","CRI",NA,NA,2017,22.1457084,2017,8.3785845
"Cuba","CUB",NA,NA,NA,NA,NA,NA
"Germany","DEU",NA,NA,NA,NA,NA,NA
"Denmark","DNK",NA,NA,NA,NA,NA,NA
"Dominican Republic","DOM",NA,NA,NA,NA,NA,NA
"Algeria","DZA",NA,NA,NA,NA,NA,NA
