"variable","description"
"estimate_control_of_corru.364","Estimate Control of Corruption"
"stderr_control_of_corrupt.366","StdErr Control of Corruption"
"rank_control_of_corruptio.367","Rank Control of Corruption"
"lower_control_of_corrupti.368","Lower Control of Corruption"
"upper_control_of_corrupti.369","Upper Control of Corruption"
"estimate_rule_of_law.370","Estimate Rule of Law"
"stderr_rule_of_law.372","StdErr Rule of Law"
"rank_rule_of_law.373","Rank Rule of Law"
"lower_rule_of_law.374","Lower Rule of Law"
"upper_rule_of_law.375","Upper Rule of Law"
"estimate_political_stabil.376","Estimate Political Stability No Violence"
"stderr_political_stabilit.378","StdErr Political Stability No Violence"
"rank_political_stability_.379","Rank Political Stability No Violence"
"lower_political_stability.380","Lower Political Stability No Violence"
"upper_political_stability.381","Upper Political Stability No Violence"
"estimate_voice_and_accoun.382","Estimate Voice and Accountability"
"stderr_voice_and_accounta.384","StdErr Voice and Accountability"
"rank_voice_and_accountabi.385","Rank Voice and Accountability"
"lower_voice_and_accountab.386","Lower Voice and Accountability"
"upper_voice_and_accountab.387","Upper Voice and Accountability"
"estimate_government_effec.388","Estimate Government Effectiveness"
"stderr_government_effecti.390","StdErr Government Effectiveness"
"rank_government_effective.391","Rank Government Effectiveness"
"lower_government_effectiv.392","Lower Government Effectiveness"
"upper_government_effectiv.393","Upper Government Effectiveness"
"estimate_regulatory_quali.394","Estimate Regulatory Quality"
"stderr_regulatory_quality.396","StdErr Regulatory Quality"
"rank_regulatory_quality.397","Rank Regulatory Quality"
"lower_regulatory_quality.398","Lower Regulatory Quality"
"upper_regulatory_quality.399","Upper Regulatory Quality"
