"country","countryiso3","latest.year_estimate_control_of_corru.364","latest.value_estimate_control_of_corru.364","latest.year_stderr_control_of_corrupt.366","latest.value_stderr_control_of_corrupt.366","latest.year_rank_control_of_corruptio.367","latest.value_rank_control_of_corruptio.367","latest.year_lower_control_of_corrupti.368","latest.value_lower_control_of_corrupti.368","latest.year_upper_control_of_corrupti.369","latest.value_upper_control_of_corrupti.369","latest.year_estimate_rule_of_law.370","latest.value_estimate_rule_of_law.370","latest.year_stderr_rule_of_law.372","latest.value_stderr_rule_of_law.372","latest.year_rank_rule_of_law.373","latest.value_rank_rule_of_law.373","latest.year_lower_rule_of_law.374","latest.value_lower_rule_of_law.374","latest.year_upper_rule_of_law.375","latest.value_upper_rule_of_law.375","latest.year_estimate_political_stabil.376","latest.value_estimate_political_stabil.376","latest.year_stderr_political_stabilit.378","latest.value_stderr_political_stabilit.378","latest.year_rank_political_stability_.379","latest.value_rank_political_stability_.379","latest.year_lower_political_stability.380","latest.value_lower_political_stability.380","latest.year_upper_political_stability.381","latest.value_upper_political_stability.381","latest.year_estimate_voice_and_accoun.382","latest.value_estimate_voice_and_accoun.382","latest.year_stderr_voice_and_accounta.384","latest.value_stderr_voice_and_accounta.384","latest.year_rank_voice_and_accountabi.385","latest.value_rank_voice_and_accountabi.385","latest.year_lower_voice_and_accountab.386","latest.value_lower_voice_and_accountab.386","latest.year_upper_voice_and_accountab.387","latest.value_upper_voice_and_accountab.387","latest.year_estimate_government_effec.388","latest.value_estimate_government_effec.388","latest.year_stderr_government_effecti.390","latest.value_stderr_government_effecti.390","latest.year_rank_government_effective.391","latest.value_rank_government_effective.391","latest.year_lower_government_effectiv.392","latest.value_lower_government_effectiv.392","latest.year_upper_government_effectiv.393","latest.value_upper_government_effectiv.393","latest.year_estimate_regulatory_quali.394","latest.value_estimate_regulatory_quali.394","latest.year_stderr_regulatory_quality.396","latest.value_stderr_regulatory_quality.396","latest.year_rank_regulatory_quality.397","latest.value_rank_regulatory_quality.397","latest.year_lower_regulatory_quality.398","latest.value_lower_regulatory_quality.398","latest.year_upper_regulatory_quality.399","latest.value_upper_regulatory_quality.399"
"Aruba","ABW",2018,1.252027,2018,0.2826696,2018,87.01923,2018,79.32692,2018,92.30769,2018,1.297575,2018,0.2096753,2018,87.01923,2018,78.84615,2018,91.82692,2018,1.366119,2018,0.2534463,2018,95.71429,2018,81.90476,2018,99.52381,2018,1.305925,2018,0.2493472,2018,91.62562,2018,77.3399,2018,99.50739,2018,1.058392,2018,0.3318715,2018,80.28846,2018,71.15385,2018,92.78846,2018,0.853144,2018,0.3641367,2018,77.88461,2018,62.01923,2018,90.38461
"Afghanistan","AFG",2018,-1.496648,2018,0.1572958,2018,4.326923,2018,0,2018,9.615385,2018,-1.668478,2018,0.1587239,2018,4.326923,2018,1.442308,2018,6.730769,2018,-2.74673,2018,0.2277857,2018,0.4761905,2018,0,2018,2.380952,2018,-0.9947197,2018,0.1348217,2018,20.68966,2018,13.7931,2018,25.61576,2018,-1.457285,2018,0.2380511,2018,7.692307,2018,1.442308,2018,12.5,2018,-1.132634,2018,0.1935247,2018,10.57692,2018,6.25,2018,19.23077
"Angola","AGO",2018,-1.144541,2018,0.1479328,2018,11.53846,2018,7.211538,2018,16.82692,2018,-1.048023,2018,0.1533215,2018,13.94231,2018,7.211538,2018,21.63461,2018,-0.3190349,2018,0.225094,2018,34.76191,2018,21.42857,2018,48.09524,2018,-0.9195936,2018,0.1311508,2018,22.6601,2018,16.74877,2018,27.58621,2018,-1.052086,2018,0.1926641,2018,13.94231,2018,8.173077,2018,21.63461,2018,-0.999813,2018,0.1780088,2018,12.98077,2018,7.692307,2018,24.03846
"Albania","ALB",2018,-0.5218667,2018,0.1360668,2018,35.09615,2018,24.51923,2018,44.71154,2018,-0.392243,2018,0.145667,2018,39.42308,2018,28.36539,2018,48.07692,2018,0.3821,2018,0.2157381,2018,58.57143,2018,46.66667,2018,70.47619,2018,0.2063695,2018,0.1280458,2018,53.20197,2018,45.81281,2018,60.59113,2018,0.114788,2018,0.22757,2018,57.69231,2018,42.78846,2018,70.19231,2018,0.2817102,2018,0.2076896,2018,63.46154,2018,50.96154,2018,73.07692
"Andorra","AND",2018,1.238614,2018,0.4023822,2018,86.53846,2018,71.15385,2018,94.71154,2018,1.607738,2018,0.4841593,2018,90.86539,2018,77.40385,2018,100,2018,1.425432,2018,0.2978511,2018,97.61905,2018,81.90476,2018,99.52381,2018,1.069589,2018,0.2673896,2018,83.25123,2018,69.45813,2018,95.56651,2018,1.944976,2018,0.4585745,2018,98.55769,2018,84.61539,2018,100,2018,1.187921,2018,0.4940268,2018,85.09615,2018,65.86539,2018,98.55769
"United Arab Emirates","ARE",2018,1.151608,2018,0.1443323,2018,83.65385,2018,80.76923,2018,88.46154,2018,0.8064476,2018,0.1559605,2018,77.40385,2018,71.15385,2018,82.69231,2018,0.7432382,2018,0.211271,2018,71.42857,2018,58.57143,2018,88.09524,2018,-1.109334,2018,0.1384398,2018,17.73399,2018,12.31527,2018,23.64532,2018,1.431291,2018,0.2132453,2018,90.38461,2018,81.25,2018,95.67308,2018,0.9316171,2018,0.1982157,2018,79.80769,2018,73.07692,2018,86.53846
"Argentina","ARG",2018,-0.0834675,2018,0.1182229,2018,54.32692,2018,45.19231,2018,59.61538,2018,-0.2400078,2018,0.1397771,2018,45.67308,2018,34.13462,2018,53.84615,2018,0.0199319,2018,0.211271,2018,46.66667,2018,33.80952,2018,58.09524,2018,0.5653015,2018,0.1280941,2018,66.99507,2018,59.60591,2018,72.9064,2018,0.0259878,2018,0.1831254,2018,54.80769,2018,41.34615,2018,64.90385,2018,-0.2430697,2018,0.1753201,2018,42.30769,2018,32.21154,2018,56.25
"Armenia","ARM",2018,-0.3491127,2018,0.1352468,2018,42.78846,2018,31.73077,2018,51.92308,2018,-0.1500262,2018,0.1446891,2018,48.55769,2018,39.42308,2018,56.73077,2018,-0.4187803,2018,0.2209855,2018,30.47619,2018,19.04762,2018,43.33333,2018,-0.1134583,2018,0.1345383,2018,40.39409,2018,35.46798,2018,50.73891,2018,-0.0243394,2018,0.2063741,2018,51.44231,2018,39.42308,2018,63.94231,2018,0.2692558,2018,0.1935906,2018,62.5,2018,51.92308,2018,72.59615
"American Samoa","ASM",2018,1.845534,2018,0.4023822,2018,94.23077,2018,84.13461,2018,100,2018,1.363964,2018,0.4841593,2018,87.98077,2018,72.59615,2018,100,2018,1.205116,2018,0.3255743,2018,92.38095,2018,68.57143,2018,99.52381,2013,1.004767,2013,0.4573736,2013,81.22066,2013,56.33803,2013,100,2018,0.5514148,2018,0.4585745,2018,72.59615,2018,46.63462,2018,87.5,2018,-0.2858895,2018,0.4940268,2018,40.86538,2018,12.01923,2018,71.15385
"Antigua and Barbuda","ATG",2018,0.2766346,2018,0.2648852,2018,63.46154,2018,50.48077,2018,76.44231,2018,0.3933258,2018,0.3020779,2018,65.38461,2018,50.96154,2018,78.84615,2018,0.7261432,2018,0.2550432,2018,70.47619,2018,57.14286,2018,89.52381,2018,0.618535,2018,0.2410059,2018,69.45813,2018,54.6798,2018,79.80296,2018,-0.0060096,2018,0.4585745,2018,52.88462,2018,20.67308,2018,75.48077,2018,0.411548,2018,0.360859,2018,66.82692,2018,46.63462,2018,80.76923
