"country","countryiso3","estimate_control_of_corru.364_2013","estimate_control_of_corru.364_2014","estimate_control_of_corru.364_2015","estimate_control_of_corru.364_2016","estimate_control_of_corru.364_2017","estimate_control_of_corru.364_2018","stderr_control_of_corrupt.366_2013","stderr_control_of_corrupt.366_2014","stderr_control_of_corrupt.366_2015","stderr_control_of_corrupt.366_2016","stderr_control_of_corrupt.366_2017","stderr_control_of_corrupt.366_2018","rank_control_of_corruptio.367_2013","rank_control_of_corruptio.367_2014","rank_control_of_corruptio.367_2015","rank_control_of_corruptio.367_2016","rank_control_of_corruptio.367_2017","rank_control_of_corruptio.367_2018","lower_control_of_corrupti.368_2013","lower_control_of_corrupti.368_2014","lower_control_of_corrupti.368_2015","lower_control_of_corrupti.368_2016","lower_control_of_corrupti.368_2017","lower_control_of_corrupti.368_2018","upper_control_of_corrupti.369_2013","upper_control_of_corrupti.369_2014","upper_control_of_corrupti.369_2015","upper_control_of_corrupti.369_2016","upper_control_of_corrupti.369_2017","upper_control_of_corrupti.369_2018","estimate_rule_of_law.370_2013","estimate_rule_of_law.370_2014","estimate_rule_of_law.370_2015","estimate_rule_of_law.370_2016","estimate_rule_of_law.370_2017","estimate_rule_of_law.370_2018","stderr_rule_of_law.372_2013","stderr_rule_of_law.372_2014","stderr_rule_of_law.372_2015","stderr_rule_of_law.372_2016","stderr_rule_of_law.372_2017","stderr_rule_of_law.372_2018","rank_rule_of_law.373_2013","rank_rule_of_law.373_2014","rank_rule_of_law.373_2015","rank_rule_of_law.373_2016","rank_rule_of_law.373_2017","rank_rule_of_law.373_2018","lower_rule_of_law.374_2013","lower_rule_of_law.374_2014","lower_rule_of_law.374_2015","lower_rule_of_law.374_2016","lower_rule_of_law.374_2017","lower_rule_of_law.374_2018","upper_rule_of_law.375_2013","upper_rule_of_law.375_2014","upper_rule_of_law.375_2015","upper_rule_of_law.375_2016","upper_rule_of_law.375_2017","upper_rule_of_law.375_2018","estimate_political_stabil.376_2013","estimate_political_stabil.376_2014","estimate_political_stabil.376_2015","estimate_political_stabil.376_2016","estimate_political_stabil.376_2017","estimate_political_stabil.376_2018","stderr_political_stabilit.378_2013","stderr_political_stabilit.378_2014","stderr_political_stabilit.378_2015","stderr_political_stabilit.378_2016","stderr_political_stabilit.378_2017","stderr_political_stabilit.378_2018","rank_political_stability_.379_2013","rank_political_stability_.379_2014","rank_political_stability_.379_2015","rank_political_stability_.379_2016","rank_political_stability_.379_2017","rank_political_stability_.379_2018","lower_political_stability.380_2013","lower_political_stability.380_2014","lower_political_stability.380_2015","lower_political_stability.380_2016","lower_political_stability.380_2017","lower_political_stability.380_2018","upper_political_stability.381_2013","upper_political_stability.381_2014","upper_political_stability.381_2015","upper_political_stability.381_2016","upper_political_stability.381_2017","upper_political_stability.381_2018","estimate_voice_and_accoun.382_2013","estimate_voice_and_accoun.382_2014","estimate_voice_and_accoun.382_2015","estimate_voice_and_accoun.382_2016","estimate_voice_and_accoun.382_2017","estimate_voice_and_accoun.382_2018","stderr_voice_and_accounta.384_2013","stderr_voice_and_accounta.384_2014","stderr_voice_and_accounta.384_2015","stderr_voice_and_accounta.384_2016","stderr_voice_and_accounta.384_2017","stderr_voice_and_accounta.384_2018","rank_voice_and_accountabi.385_2013","rank_voice_and_accountabi.385_2014","rank_voice_and_accountabi.385_2015","rank_voice_and_accountabi.385_2016","rank_voice_and_accountabi.385_2017","rank_voice_and_accountabi.385_2018","lower_voice_and_accountab.386_2013","lower_voice_and_accountab.386_2014","lower_voice_and_accountab.386_2015","lower_voice_and_accountab.386_2016","lower_voice_and_accountab.386_2017","lower_voice_and_accountab.386_2018","upper_voice_and_accountab.387_2013","upper_voice_and_accountab.387_2014","upper_voice_and_accountab.387_2015","upper_voice_and_accountab.387_2016","upper_voice_and_accountab.387_2017","upper_voice_and_accountab.387_2018","estimate_government_effec.388_2013","estimate_government_effec.388_2014","estimate_government_effec.388_2015","estimate_government_effec.388_2016","estimate_government_effec.388_2017","estimate_government_effec.388_2018","stderr_government_effecti.390_2013","stderr_government_effecti.390_2014","stderr_government_effecti.390_2015","stderr_government_effecti.390_2016","stderr_government_effecti.390_2017","stderr_government_effecti.390_2018","rank_government_effective.391_2013","rank_government_effective.391_2014","rank_government_effective.391_2015","rank_government_effective.391_2016","rank_government_effective.391_2017","rank_government_effective.391_2018","lower_government_effectiv.392_2013","lower_government_effectiv.392_2014","lower_government_effectiv.392_2015","lower_government_effectiv.392_2016","lower_government_effectiv.392_2017","lower_government_effectiv.392_2018","upper_government_effectiv.393_2013","upper_government_effectiv.393_2014","upper_government_effectiv.393_2015","upper_government_effectiv.393_2016","upper_government_effectiv.393_2017","upper_government_effectiv.393_2018","estimate_regulatory_quali.394_2013","estimate_regulatory_quali.394_2014","estimate_regulatory_quali.394_2015","estimate_regulatory_quali.394_2016","estimate_regulatory_quali.394_2017","estimate_regulatory_quali.394_2018","stderr_regulatory_quality.396_2013","stderr_regulatory_quality.396_2014","stderr_regulatory_quality.396_2015","stderr_regulatory_quality.396_2016","stderr_regulatory_quality.396_2017","stderr_regulatory_quality.396_2018","rank_regulatory_quality.397_2013","rank_regulatory_quality.397_2014","rank_regulatory_quality.397_2015","rank_regulatory_quality.397_2016","rank_regulatory_quality.397_2017","rank_regulatory_quality.397_2018","lower_regulatory_quality.398_2013","lower_regulatory_quality.398_2014","lower_regulatory_quality.398_2015","lower_regulatory_quality.398_2016","lower_regulatory_quality.398_2017","lower_regulatory_quality.398_2018","upper_regulatory_quality.399_2013","upper_regulatory_quality.399_2014","upper_regulatory_quality.399_2015","upper_regulatory_quality.399_2016","upper_regulatory_quality.399_2017","upper_regulatory_quality.399_2018"
"Aruba","ABW",1.126605,1.018918,1.297111,1.285848,1.291643,1.252027,0.3093633,0.3047443,0.2905574,0.3071863,0.2823816,0.2826696,82.93839,81.73077,88.46154,89.42308,87.98077,87.01923,71.56398,69.23077,76.92308,76.92308,79.80769,79.32692,91.46919,90.86539,92.78846,92.78846,92.30769,92.30769,1.299766,1.038312,1.261027,1.261745,1.330984,1.297575,0.2319073,0.2759117,0.2617624,0.2481301,0.2239518,0.2096753,86.85446,81.73077,85.57692,87.01923,87.01923,87.01923,77.93427,72.59615,77.40385,78.36539,80.28846,78.84615,92.48827,88.46154,91.34615,91.82692,93.26923,91.82692,1.312226,1.164568,1.230921,1.284199,1.334757,1.366119,0.2793652,0.2356506,0.2411634,0.2443292,0.2548373,0.2534463,94.78673,92.38095,93.33334,94.28571,95.71429,95.71429,73.45972,72.38095,72.38095,75.71429,80,81.90476,99.52607,99.52381,99.52381,99.52381,99.52381,99.52381,1.278059,1.276822,1.273942,1.279304,1.294318,1.305925,0.2033096,0.2671471,0.2764198,0.291442,0.2823006,0.2493472,90.61033,92.11823,91.62562,92.11823,92.61084,91.62562,75.58685,71.92118,72.4138,71.92118,73.89162,77.3399,97.65258,100,100,100,100,99.50739,1.227074,0.8916514,0.8835687,0.8932294,0.9177416,1.058392,0.301569,0.3515804,0.3306262,0.3207268,0.3347294,0.3318715,84.83412,75.48077,76.44231,76.44231,79.32692,80.28846,72.51185,64.42308,65.38461,67.30769,66.34615,71.15385,94.78673,89.90385,87.98077,90.86539,91.82692,92.78846,1.429111,1.250432,1.371496,1.347553,1.191759,0.853144,0.3346471,0.3530255,0.3363636,0.3596922,0.3507003,0.3641367,90.52132,88.46154,90.38461,88.94231,84.13461,77.88461,77.25118,73.07692,76.44231,75.48077,72.11539,62.01923,100,97.11539,99.03846,98.07692,94.71154,90.38461
"Afghanistan","AFG",-1.436761,-1.354784,-1.341994,-1.526352,-1.517341,-1.496648,0.1606806,0.1611888,0.1622236,0.1657726,0.1629309,0.1572958,1.895735,5.288462,6.25,3.365385,3.846154,4.326923,0,0.4807692,1.442308,0,0,0,9.952606,12.5,12.5,9.615385,9.615385,9.615385,-1.597314,-1.445648,-1.50404,-1.49819,-1.569692,-1.668478,0.1591168,0.1745922,0.1729322,0.1748664,0.164038,0.1587239,1.408451,4.326923,3.365385,5.769231,4.807693,4.326923,0,0.9615384,0.9615384,2.403846,1.442308,1.442308,7.511737,9.134615,7.692307,9.134615,8.173077,6.730769,-2.519349,-2.411068,-2.571222,-2.671054,-2.800609,-2.74673,0.2457412,0.2088946,0.2156042,0.219708,0.2279944,0.2277857,1.421801,2.857143,0.952381,0.952381,0.4761905,0.4761905,0,0,0,0,0,0,3.317536,5.238095,2.857143,3.333333,1.428571,2.380952,-1.240068,-1.135445,-1.117563,-1.039843,-0.9924697,-0.9947197,0.1234084,0.132239,0.1346303,0.1299292,0.1307671,0.1348217,14.55399,16.25616,18.71921,20.68966,22.16749,20.68966,8.450705,9.359606,10.83744,13.30049,14.28571,13.7931,17.37089,21.67488,22.6601,23.64532,24.63054,25.61576,-1.38493,-1.331396,-1.322968,-1.226363,-1.33461,-1.457285,0.2208426,0.2315406,0.2311462,0.2218593,0.2282782,0.2380511,7.582938,8.173077,8.173077,9.615385,9.134615,7.692307,0.4739336,1.442308,1.442308,4.326923,3.846154,1.442308,14.69194,16.34615,17.30769,18.75,16.34615,12.5,-1.193137,-1.118182,-0.9973711,-1.327688,-1.339227,-1.132634,0.1761271,0.1916864,0.1852201,0.1963836,0.1904602,0.1935247,10.90047,11.05769,14.42308,7.211538,6.730769,10.57692,5.687204,5.288462,6.730769,3.846154,3.365385,6.25,21.80095,24.51923,27.88461,12.98077,13.46154,19.23077
"Angola","AGO",-1.3097,-1.44389,-1.394778,-1.439703,-1.412488,-1.144541,0.1535602,0.1488877,0.1529339,0.1569012,0.1423993,0.1479328,6.161138,3.846154,3.846154,5.769231,6.25,11.53846,0.4739336,0,0.4807692,0.9615384,0.9615384,7.211538,12.32228,9.134615,11.05769,10.57692,11.05769,16.82692,-1.267904,-1.118136,-1.081932,-1.08732,-1.10426,-1.048023,0.1335737,0.1439422,0.1498495,0.1668346,0.1576284,0.1533215,8.920188,11.05769,12.5,12.5,11.53846,13.94231,3.286385,6.25,5.769231,8.173077,7.692307,7.211538,14.55399,18.75,20.67308,19.23077,20.19231,21.63461,-0.3912335,-0.333232,-0.5008978,-0.3158988,-0.3316221,-0.3190349,0.2315082,0.2001131,0.2105385,0.2161667,0.2245828,0.225094,35.07109,32.85714,28.09524,33.33333,32.85714,34.76191,21.32701,23.33333,19.52381,21.90476,21.42857,21.42857,45.49763,45.71429,40.47619,48.09524,47.61905,48.09524,-1.113843,-1.145494,-1.177251,-1.142933,-1.09879,-0.9195936,0.1093913,0.1273609,0.1269867,0.1247646,0.1256468,0.1311508,15.96244,15.27094,15.27094,16.74877,17.73399,22.6601,12.67606,9.359606,9.852217,11.82266,12.31527,16.74877,22.06573,21.67488,22.16749,22.6601,23.15271,27.58621,-1.223171,-1.123669,-1.000103,-1.035903,-1.025313,-1.052086,0.1709417,0.1805358,0.1845862,0.1802083,0.1887332,0.1926641,10.90047,13.46154,15.38461,13.46154,14.90385,13.94231,3.791469,6.25,8.173077,7.692307,8.653846,8.173077,17.06161,19.71154,25,22.11539,22.59615,21.63461,-1.054224,-0.9884589,-0.9091855,-1.00138,-1.044177,-0.999813,0.1765834,0.1803933,0.1770902,0.1810222,0.1777362,0.1780088,15.63981,16.82692,17.78846,13.46154,12.5,12.98077,7.582938,7.692307,9.615385,7.692307,6.730769,7.692307,24.17062,27.40385,28.84615,25,23.07692,24.03846
"Albania","ALB",-0.6986033,-0.5481988,-0.4790328,-0.405266,-0.418309,-0.5218667,0.1278163,0.1291327,0.1297594,0.133382,0.1231133,0.1360668,27.01422,34.61538,38.46154,40.86538,42.30769,35.09615,19.43128,24.51923,26.92308,31.73077,29.80769,24.51923,37.91469,46.63462,49.03846,50.48077,49.03846,44.71154,-0.5180176,-0.337862,-0.3282292,-0.3288673,-0.401743,-0.392243,0.1263962,0.1335103,0.1355729,0.1547254,0.1446907,0.145667,39.43662,43.26923,44.23077,41.82692,38.94231,39.42308,27.69953,32.69231,32.69231,31.25,29.32692,28.36539,45.53991,52.40385,53.84615,51.92308,48.07692,48.07692,0.0919298,0.4859862,0.3461291,0.3446447,0.3783687,0.3821,0.2280198,0.1963862,0.2029834,0.2077957,0.2159105,0.2157381,49.2891,61.42857,58.09524,58.09524,60.47619,58.57143,36.49289,52.38095,45.23809,47.14286,46.19048,46.66667,62.55924,74.28571,67.14286,70,70.95238,70.47619,0.0488926,0.1437607,0.1571487,0.1699492,0.202283,0.2063695,0.1177323,0.1248963,0.1273109,0.1227101,0.1242667,0.1280458,51.17371,50.2463,52.70936,52.21675,54.18719,53.20197,43.19249,46.79803,45.81281,45.3202,46.30542,45.81281,56.33803,59.1133,58.62069,57.63547,60.09852,60.59113,-0.3169199,-0.0855579,0.0102911,0.0132704,0.0837741,0.114788,0.1958892,0.2158914,0.2163988,0.2055892,0.2093909,0.22757,45.49763,50,53.84615,52.88462,55.76923,57.69231,31.27962,36.53846,41.82692,40.86538,42.30769,42.78846,55.45024,63.94231,66.34615,66.34615,67.78846,70.19231,0.2097187,0.2219903,0.1866678,0.1890221,0.223032,0.2817102,0.1684451,0.1801694,0.1746228,0.1779754,0.1842517,0.2076896,57.8199,60.09615,59.13462,60.57692,62.01923,63.46154,51.18483,51.44231,49.51923,50.96154,52.40385,50.96154,67.77251,68.26923,68.75,68.26923,71.15385,73.07692
"Andorra","AND",1.260798,1.225222,1.218502,1.228779,1.242215,1.238614,0.442314,0.42467,0.421867,0.4225169,0.4016715,0.4023822,86.72986,87.01923,87.01923,87.5,86.53846,86.53846,70.14218,69.23077,68.26923,68.75,70.67308,71.15385,95.7346,95.19231,95.19231,94.71154,95.19231,94.71154,1.409044,1.641953,1.575988,1.577925,1.60133,1.607738,0.3526475,0.5184611,0.5006004,0.5139297,0.4839529,0.4841593,88.73239,90.38461,89.90385,90.86539,90.38461,90.86539,73.70892,76.92308,75.48077,75.48077,77.40385,77.40385,100,100,100,100,100,100,1.283926,1.286593,1.391288,1.413419,1.421572,1.425432,0.3474274,0.2914741,0.2800709,0.2909331,0.3152729,0.2978511,93.83886,96.66666,97.61905,97.14286,97.14286,97.61905,67.77251,74.28571,80.47619,79.04762,79.52381,81.90476,99.52607,99.52381,99.52381,99.52381,100,99.52381,1.406642,1.165939,1.194477,1.176535,1.160507,1.069589,0.2262485,0.2491661,0.2348224,0.2172472,0.2289187,0.2673896,93.89671,87.68473,88.17734,87.19212,86.20689,83.25123,81.69014,70.93596,72.4138,72.9064,72.9064,69.45813,100,99.01478,99.50739,98.02956,97.04433,95.56651,1.539397,1.718336,1.787205,1.860587,1.937282,1.944976,0.3826276,0.467869,0.4479652,0.4350327,0.4470602,0.4585745,91.94313,94.23077,95.67308,98.07692,98.55769,98.55769,77.72512,76.44231,81.25,84.13461,85.09615,84.61539,99.52607,100,100,100,100,100,1.567499,0.8850665,0.9129404,0.8714429,1.207127,1.187921,0.5010512,0.5074959,0.4604612,0.4862972,0.4686498,0.4940268,92.891,77.88461,78.36539,78.36539,85.57692,85.09615,73.45972,54.32692,57.21154,55.28846,68.75,65.86539,100,94.23077,92.78846,92.30769,98.07692,98.55769
"United Arab Emirates","ARE",1.280844,1.203578,1.071927,1.171709,1.133604,1.151608,0.147585,0.141651,0.1429571,0.1479515,0.1342994,0.1443323,87.20379,83.17308,82.69231,84.13461,82.69231,83.65385,81.04266,79.80769,76.92308,80.28846,80.76923,80.76923,89.57346,89.90385,88.94231,90.38461,88.46154,88.46154,0.6190236,0.6522272,0.6408681,0.849041,0.7976695,0.8064476,0.1514738,0.1628179,0.1584593,0.1726491,0.1623946,0.1559605,69.01408,75,73.07692,78.36539,77.40385,77.40385,62.44131,67.78846,65.86539,71.63461,70.19231,71.15385,76.52582,78.84615,78.84615,85.09615,82.69231,82.69231,0.8947922,0.7689089,0.7595454,0.5647489,0.6184914,0.7432382,0.2257874,0.1922474,0.1981644,0.2049565,0.211684,0.211271,74.88152,71.90476,70.47619,65.2381,66.66666,71.42857,64.45498,60,60,54.28571,54.76191,58.57143,91.94313,89.04762,89.52381,76.66666,80.47619,88.09524,-1.019484,-1.061369,-1.112425,-1.050421,-1.096568,-1.109334,0.1248616,0.1352502,0.1373929,0.1324907,0.1333837,0.1384398,19.24883,20.19704,19.21182,20.19704,18.2266,17.73399,14.55399,12.80788,10.83744,12.80788,12.31527,12.31527,24.41315,24.63054,23.64532,23.64532,23.15271,23.64532,1.176368,1.435521,1.509608,1.415928,1.41558,1.431291,0.2077898,0.2216943,0.2199962,0.2106452,0.2133012,0.2132453,83.41232,89.42308,91.34615,90.86539,90.86539,90.38461,74.40759,81.73077,84.13461,81.25,81.73077,81.25,90.52132,95.19231,98.07692,94.23077,94.71154,95.67308,0.7807333,0.9920538,1.111059,0.9725956,1.012775,0.9316171,0.1990807,0.2066391,0.1973726,0.2027099,0.196561,0.1982157,74.88152,80.28846,82.69231,80.28846,80.76923,79.80769,65.40285,72.59615,74.51923,72.59615,74.51923,73.07692,82.46445,89.42308,91.34615,87.01923,88.94231,86.53846
"Argentina","ARG",-0.432282,-0.5416201,-0.5470577,-0.2840413,-0.255946,-0.0834675,0.1334404,0.130378,0.1310062,0.1319515,0.1208834,0.1182229,40.28436,35.09615,33.65385,47.11538,47.59615,54.32692,29.38389,24.51923,24.03846,35.09615,40.86538,45.19231,51.65877,46.63462,46.63462,55.28846,54.80769,59.61538,-0.7076761,-0.8860345,-0.770812,-0.3936059,-0.2456109,-0.2400078,0.1334336,0.143883,0.1407954,0.1518412,0.1466011,0.1397771,29.57747,18.75,24.03846,37.5,46.15385,45.67308,18.77934,10.09615,13.94231,29.80769,33.17308,34.13462,39.90611,29.80769,33.17308,50,52.40385,53.84615,0.0653143,-0.0051219,0.0147854,0.2046255,0.1694364,0.0199319,0.2257874,0.1922474,0.1981644,0.2049565,0.211684,0.211271,48.34123,45.71429,46.19048,52.85714,53.33333,46.66667,36.49289,34.76191,34.76191,40.47619,39.04762,33.80952,61.13744,58.09524,57.61905,64.28571,63.80952,58.09524,0.2769879,0.3453205,0.4117876,0.4925631,0.527113,0.5653015,0.1102582,0.1269193,0.1288175,0.1253172,0.1257042,0.1280941,56.80751,59.1133,60.09852,63.5468,65.51724,66.99507,52.58216,49.7537,54.18719,55.17241,57.14286,59.60591,62.44131,66.50246,68.96552,70.93596,70.93596,72.9064,-0.2775489,-0.1591353,-0.0750081,0.1621292,0.149542,0.0259878,0.1896839,0.194905,0.1965327,0.1889718,0.1905654,0.1831254,45.97157,46.63462,50,60.09615,58.65385,54.80769,32.22749,34.61538,39.90385,49.03846,47.59615,41.34615,56.39811,60.57692,62.98077,69.23077,68.75,64.90385,-0.957261,-1.074257,-0.9114419,-0.4696253,-0.2911722,-0.2430697,0.1749033,0.1804529,0.1737436,0.1785568,0.1735235,0.1753201,18.00948,12.5,17.30769,33.65385,41.34615,42.30769,9.00474,6.25,9.615385,23.55769,29.80769,32.21154,26.54029,25.96154,28.84615,48.07692,54.32692,56.25
"Armenia","ARM",-0.5319471,-0.5239985,-0.5338237,-0.5719545,-0.5604561,-0.3491127,0.1371395,0.1378517,0.1364891,0.1423037,0.1293326,0.1352468,36.01896,36.05769,35.09615,32.69231,32.69231,42.78846,22.74882,25.96154,24.03846,21.63461,22.59615,31.73077,45.97157,48.55769,46.63462,43.75,44.23077,51.92308,-0.3442122,-0.3659055,-0.387853,-0.1191296,-0.1555746,-0.1500262,0.1302521,0.1359499,0.1383937,0.1624003,0.1510412,0.1446891,44.60094,41.34615,41.34615,50.48077,49.51923,48.55769,34.74178,32.69231,30.76923,37.5,38.46154,39.42308,51.17371,51.44231,50,58.65385,56.73077,56.73077,0.1103851,-0.2971358,-0.2523326,-0.6622638,-0.6206948,-0.4187803,0.2315082,0.2001131,0.2068148,0.2126011,0.2212373,0.2209855,50.23697,35.71429,37.14286,22.38095,25.23809,30.47619,36.49289,24.28572,25.71428,13.80952,13.80952,19.04762,63.03318,47.14286,50,33.33333,36.19048,43.33333,-0.5880308,-0.5620829,-0.5362934,-0.5793346,-0.5608863,-0.1134583,0.1260184,0.1340035,0.1339499,0.1288127,0.1304546,0.1345383,29.10798,30.54187,29.55665,31.03448,32.0197,40.39409,25.35211,25.61576,25.61576,24.13793,24.63054,35.46798,35.68075,35.96059,35.96059,34.48276,34.48276,50.73891,0.0690115,-0.1980509,-0.1608088,-0.1581753,-0.1043894,-0.0243394,0.193286,0.2006796,0.2039049,0.1971073,0.1984339,0.2063741,57.34597,45.67308,48.55769,49.03846,49.51923,51.44231,46.4455,32.21154,35.57692,35.57692,36.05769,39.42308,64.92891,59.13462,60.09615,60.09615,61.53846,63.94231,0.252607,0.2134245,0.2418069,0.2500556,0.2804864,0.2692558,0.1676544,0.1796241,0.1759417,0.1839636,0.1908079,0.1935906,59.24171,59.61538,61.05769,62.98077,64.42308,62.5,53.08057,50.96154,51.92308,53.36538,54.32692,51.92308,67.77251,67.78846,69.71154,70.19231,72.11539,72.59615
"American Samoa","ASM",0.3099391,1.225222,1.218502,1.228779,1.840531,1.845534,0.442314,0.42467,0.421867,0.4225169,0.4016715,0.4023822,65.40285,87.01923,87.01923,87.5,93.75,94.23077,41.23223,69.23077,68.26923,68.75,83.65385,84.13461,81.04266,95.19231,95.19231,94.71154,100,100,1.108083,1.410083,1.34524,1.340423,1.357684,1.363964,0.3877265,0.5184611,0.5006004,0.5139297,0.4839529,0.4841593,85.44601,87.5,87.98077,87.98077,88.46154,87.98077,64.31925,71.63461,70.19231,68.75,70.67308,72.59615,94.83568,100,100,100,100,100,0.9289858,1.080683,1.181357,1.193236,1.218604,1.205116,0.3936894,0.2914741,0.3101205,0.3209215,0.3521396,0.3255743,76.77725,89.04762,91.90476,92.38095,92.85714,92.38095,57.34597,66.19048,66.66666,68.09524,67.61905,68.57143,99.52607,99.52381,99.52381,99.52381,99.52381,99.52381,1.004767,NA,NA,NA,NA,NA,0.4573736,NA,NA,NA,NA,NA,81.22066,NA,NA,NA,NA,NA,56.33803,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,0.4905606,0.441491,0.4874166,0.5313401,0.5605542,0.5514148,0.3826276,0.467869,0.4479652,0.4350327,0.4470602,0.4585745,69.19431,70.19231,70.19231,71.63461,71.15385,72.59615,48.34123,42.78846,44.71154,45.19231,46.63462,46.63462,81.99052,86.53846,86.05769,85.57692,87.01923,87.5,0.366314,0.1808667,0.1724523,0.1366879,-0.2539806,-0.2858895,0.5010512,0.5074959,0.4604612,0.4862972,0.4686498,0.4940268,63.50711,57.69231,58.65385,58.65385,42.78846,40.86538,35.07109,28.36539,29.80769,26.92308,13.46154,12.01923,86.25592,80.76923,78.84615,78.84615,71.15385,71.15385
"Antigua and Barbuda","ATG",1.260798,0.6399029,0.6896325,0.6937485,0.2420828,0.2766346,0.442314,0.42467,0.2739882,0.2701087,0.2670183,0.2648852,86.72986,74.03846,75.48077,74.51923,62.98077,63.46154,70.14218,55.28846,63.46154,64.42308,49.03846,50.48077,95.7346,88.94231,83.17308,82.21154,74.03846,76.44231,0.8378081,-0.1772038,0.5898856,0.5088418,0.4432826,0.3933258,0.3418225,0.47482,0.3499195,0.3125248,0.3002347,0.3020779,74.64789,49.51923,70.67308,70.19231,66.82692,65.38461,60.09389,15.38461,57.21154,54.32692,51.44231,50.96154,88.26291,73.55769,85.09615,81.25,80.28846,78.84615,0.9588634,0.9845507,1.004725,0.8786072,0.7478715,0.7261432,0.2972529,0.2380577,0.2459499,0.2480269,0.2580577,0.2550432,79.62085,81.42857,86.19048,75.71429,71.42857,70.47619,62.55924,65.71429,65.2381,61.90476,58.57143,57.14286,98.10426,97.14286,97.61905,94.28571,90.47619,89.52381,0.6189557,0.5587108,0.5949929,0.6336027,0.6077873,0.618535,0.2385548,0.2684391,0.2214202,0.2056526,0.2144818,0.2410059,66.66666,66.99507,68.47291,67.98029,68.47291,69.45813,56.33803,49.7537,55.17241,55.66502,54.18719,54.6798,81.22066,77.3399,75.86207,76.35468,76.35468,79.80296,0.4905606,-0.0692469,0.227459,0.2654906,0.009863,-0.0060096,0.3826276,0.467869,0.4479652,0.4350327,0.4470602,0.4585745,69.19431,51.92308,62.5,64.42308,53.84615,52.88462,48.34123,19.23077,35.09615,36.53846,22.59615,20.67308,81.99052,73.55769,77.40385,78.36539,74.51923,75.48077,0.6065512,0.5329666,0.3740782,0.3414612,0.2512497,0.411548,0.5010512,0.5074959,0.3554641,0.3626564,0.3503259,0.360859,71.09005,70.19231,65.86539,65.38461,63.94231,66.82692,45.49763,42.78846,47.11538,44.71154,39.42308,46.63462,90.04739,89.42308,79.32692,78.84615,76.44231,80.76923
