"variable","description"
"score_ability_to_reform:_.30821","Score Ability to reform: justice"
"score_capacity_to_adapt_p.30822","Score Capacity to adapt policies"
"score_certification_of_co.30828","Score Certification of company accounts (SMEs)"
"score_certification_of_co.30829","Score Certification of company accounts (large firms)"
"score_child_labour_in_rur.30831","Score Child labour in rural areas"
"score_child_labour_in_urb.30832","Score Child labour in urban areas"
"score_ability_to_reform:_.30833","Score Ability to reform: social"
"score_compensation_in_cas.30839","Score Compensation in cases of expropriation: land ownership"
"score_compensation_in_cas.30840","Score Compensation in cases of expropriation: production means"
"score_ability_to_reform:_.30844","Score Ability to reform: societal"
"score_competition_in_the_.30848","Score Competition in the banking system"
"score_control_over_the_ar.30863","Score Control over the army"
"score_control_over_the_cu.30864","Score Control over the customs authorities"
"score_control_over_the_po.30865","Score Control over the police"
"score_cooperation_of_publ.30870","Score Cooperation of public authorities and local stakeholders: public policy"
"score_cooperation_private.30871","Score Cooperation privatepublic sectors"
"score_cooperation_private.30872","Score Cooperation privatepublic sectors: general interest"
"score_cooperation_private.30873","Score Cooperation privatepublic sectors: involvement by the State"
"score_coordinationcollabo.30879","Score Coordinationcollaboration: between ministries"
"score_coordinationcollabo.30880","Score Coordinationcollaboration: within administration"
"score_corruption:_between.30883","Score Corruption: between administrations and foreign businesses"
"score_corruption:_between.30884","Score Corruption: between administrations and local businesses"
"score_credit:_quantitativ.30885","Score Credit: quantitative control"
"score_currency_convertibi.30886","Score Currency convertibility"
"score_de_facto_obstacles_.30890","Score De facto obstacles of an administrative nature (red tape, etc)"
"score_de_facto_obstacles_.30891","Score De facto obstacles related to established competing firms practices"
"score_demands_of_workers_.30901","Score Demands of workers and employers organisations taken into account"
"score_development_of_the_.30903","Score Development of the middle classes: living standards and social status"
"score_development_of_the_.30904","Score Development of the middle classes: size"
"score_development_of_vent.30905","Score Development of venture capital"
"score_developmenteconomic.30906","Score Developmenteconomic growth: political priority"
"score_developmenteconomic.30907","Score Developmenteconomic growth: public sector elite"
"score_discrimination_on_t.30919","Score Discrimination on the labour market: communitybased"
"score_discrimination_on_t.30920","Score Discrimination on the labour market: gender"
"score_discrimination:_on_.30921","Score Discrimination: on grounds of ethnicity, caste"
"score_discrimination:_on_.30922","Score Discrimination: on grounds of gender"
"score_discrimination:_on_.30923","Score Discrimination: on grounds of geographical origin"
"score_discrimination:_on_.30925","Score Discrimination: on grounds of regional origin"
"score_discrimination:_on_.30926","Score Discrimination: on grounds of religion"
"score_dismissal_procedure.30929","Score Dismissal procedures observed in the formal sector"
"score_disparity_in_labour.30930","Score Disparity in labour income"
"score_diversity_of_the_la.30933","Score Diversity of the land tenure system"
"score_diversity_of_the_la.30934","Score Diversity of the land tenure system: recognition by the State"
"score_ability_to_hire_for.30936","Score Ability to hire foreign executives in firms"
"score_accounts_certificat.30959","Score Accounts certification for banks"
"score_dynamism_of_special.30984","Score Dynamism of Special Economic Zones"
"score_ease_of_domestic_ba.30985","Score Ease of domestic banks and companies to obtain access to international finance"
"score_ease_of_foreignfund.30986","Score Ease of foreignfunded firms to obtain loans from local banks"
"score_ease_of_setting_up_.30987","Score Ease of setting up a subsidiary of a foreign firm"
"score_ease_of_starting_a_.30988","Score Ease of starting a business (local law)"
"score_effectiveness_of_ar.30995","Score Effectiveness of arrangements to combat restrictive collective agreements (cartels, etc.)"
"score_efficiency_of_bank_.31000","Score Efficiency of bank guarantees"
"score_efficiency_of_the_b.31001","Score Efficiency of the banking supervisory authority"
"score_efficiency_of_the_f.31003","Score Efficiency of the financial market supervisory authority"
"score_efficiency_of_the_i.31004","Score Efficiency of the insurance market supervisory authority"
"score_efficiency_of_the_s.31005","Score Efficiency of the system of industrial tribunals"
"score_efficiency_of_the_t.31006","Score Efficiency of the tax administration: corporation tax"
"score_efficiency_of_the_t.31007","Score Efficiency of the tax administration: income tax"
"score_efficiency_of_the_t.31008","Score Efficiency of the tax administration: national territory"
"score_electoral_processes.31009","Score Electoral processes"
"score_elite:_capacity_to_.31010","Score Elite: capacity to mobilize society"
"score_employers_organizat.31014","Score Employers organizations and the general interest"
"score_employment_contract.31016","Score Employment contract protection: individual dismissal"
"score_employment_contract.31017","Score Employment contract protection: redundancies"
"score_enforcement_of_judi.31018","Score Enforcement of judicial decisions"
"score_equal_treatment.31019","Score Equal treatment"
"score_equal_treatment_bef.31020","Score Equal treatment before the law: citizens"
"score_equal_treatment_bef.31021","Score Equal treatment before the law: foreigners"
"score_equal_treatment:_ac.31022","Score Equal treatment: access to public employment"
"score_equal_treatment:_ac.31023","Score Equal treatment: access to public healthcare"
"score_equal_treatment:_ac.31024","Score Equal treatment: access to public schools"
"score_equal_treatment:_ad.31025","Score Equal treatment: administrative procedures"
"score_evaluation_of_publi.31031","Score Evaluation of public policies"
"score_evictionexpulsion_o.31032","Score Evictionexpulsion operations (excluding conflicts, etc.)"
"score_ability_to_limit_ta.31045","Score Ability to limit tax evasion"
"score_existence_of_establ.31057","Score Existence of establishment rights for foreign banks"
"score_exploitation_of_nat.31064","Score Exploitation of natural resources: achievement of objectives serving the general"
"score_exploitation_of_nat.31065","Score Exploitation of natural resources: achievement of objectives serving the general interest"
"score_financial_sector:_c.31088","Score Financial sector: competition regulation"
"score_fiscal_autonomy:_mu.31089","Score Fiscal autonomy: municipal authorities"
"score_fiscal_autonomy:_ot.31090","Score Fiscal autonomy: other subnational authorities"
"score_foreign_economic_st.31093","Score Foreign economic stakeholders influence: public policies"
"score_freedom_and_legalit.31099","Score Freedom and legality of elections"
"score_freedom_for_trade_u.31100","Score Freedom for trade unions to operate in firms"
"score_freedom_of_collecti.31114","Score Freedom of collective bargaining in firms"
"score_freedom_of_entry_fo.31115","Score Freedom of entry for foreigners"
"score_freedom_of_movement.31116","Score Freedom of movement for nationals (world)"
"score_freedom_of_the_pres.31119","Score Freedom of the Press"
"score_freedom_to_establis.31123","Score Freedom to establish and operate: educational, sporting and cultural organizations"
"score_freedom_to_establis.31124","Score Freedom to establish and operate: large firms"
"score_freedom_to_establis.31125","Score Freedom to establish and operate: political parties"
"score_freedom_to_leave_th.31128","Score Freedom to leave the country"
"score_genuine_media_plura.31142","Score Genuine media pluralism"
"score_amendment_of_the_ru.31145","Score Amendment of the rules governing the assumption of political office"
"score_guidance_of_the_cre.31154","Score Guidance of the credit flow by the State"
"score_ability_to_reform:_.31166","Score Ability to reform: armed bodies"
"score_arbitrary_pressures.31167","Score Arbitrary pressures on private property"
"score_higher_education_sy.31171","Score Higher education system and business needs"
"score_hopes_of_young_peop.31172","Score Hopes of young people"
"score_impartiality_of_the.31175","Score Impartiality of the justice system in commercial disputes involving national stakeholders"
"score_impartiality_of_the.31177","Score Impartiality of the justice system in commercial disputes involving nationals and foreigners"
"score_impartiality_of_the.31178","Score Impartiality of the justice system in commercial disputes involving the State"
"score_importance_of_joint.31181","Score Importance of joint ventures"
"score_independence_of_the.31222","Score Independence of the workplace inspectorate"
"score_independence_of_tra.31223","Score Independence of trade unions"
"score_independent_decisio.31225","Score Independent decisionmaking: political authorities"
"score_influence_of_donors.31229","Score Influence of donors: public policies"
"score_influence_of_organi.31230","Score Influence of organizations"
"score_informal_microfinan.31232","Score Informal microfinance"
"score_insolvency_legislat.31240","Score Insolvency legislation"
"score_institutional_solid.31241","Score Institutional Solidarity: health and disability"
"score_institutional_solid.31242","Score Institutional Solidarity: retirement"
"score_institutional_solid.31243","Score Institutional Solidarity: unemployment"
"score_institutional_micro.31244","Score Institutional microfinance"
"score_integration_capacit.31252","Score Integration capacity: major cities"
"score_integration_capacit.31253","Score Integration capacity: smaller cities and towns"
"score_intellectual_proper.31255","Score Intellectual property: industrial counterfeiting"
"score_intellectual_proper.31256","Score Intellectual property: intangible goods"
"score_intellectual_proper.31258","Score Intellectual property: trade secretsindustrial patents"
"score_internal_conflicts:.31259","Score Internal conflicts: ethnic, religious, regional"
"score_internal_conflicts:.31260","Score Internal conflicts: landrelated issues"
"score_internal_conflicts:.31261","Score Internal conflicts: landrelated issues in rural areas"
"score_internal_conflicts:.31262","Score Internal conflicts: landrelated issues in urban areas"
"score_internal_conflicts:.31263","Score Internal conflicts: socialrelated issues"
"score_intervention_of_int.31275","Score Intervention of international auditing firms"
"score_involvement_of_the_.31277","Score Involvement of the military in politics"
"score_ability_to_reform:_.31278","Score Ability to reform: civil and political rights"
"score_irregularities_in_o.31280","Score Irregularities in obtaining university degrees"
"score_is_economic_policy_.31286","Score Is economic policy the subject of an official communication"
"score_is_economic_policy_.31287","Score Is economic policy the subject of public debate"
"score_judicial_decisions_.31319","Score Judicial decisions in commercial matters: timeliness"
"score_land_in_public_owne.31328","Score Land in public ownership"
"score_land_issues_as_a_po.31329","Score Land issues as a political and media concern"
"score_land_tenure_rights:.31330","Score Land tenure rights: rural areas"
"score_land_tenure_rights:.31331","Score Land tenure rights: urban and periurban areas"
"score_legal_means_to_prot.31335","Score Legal means to protect property rights"
"score_legitimacy_of_the_p.31336","Score Legitimacy of the political authorities: economic benefit"
"score_legitimacy_of_the_p.31338","Score Legitimacy of the political authorities: national pride"
"score_legitimacy_of_the_p.31339","Score Legitimacy of the political authorities: social benefit"
"score_level_of_""""largesca.31344","Score Level of """"largescale"""" corruption (between the administration and firms)"
"score_longterm_strategic_.31361","Score Longterm strategic vision"
"score_microfinance:_repay.31372","Score Microfinance: repayment rates"
"score_middle_classes:_pol.31373","Score Middle Classes: political and cultural influence"
"score_minimum_wage_respec.31380","Score Minimum wage respected in the formal sector"
"score_mobilisation_of_soc.31381","Score Mobilisation of society to take up challenges"
"score_municipal_authoriti.31386","Score Municipal authorities: elected or appointed"
"score_national_economic_s.31387","Score National economic stakeholders influence: economic legislation"
"score_ability_to_reform:_.31388","Score Ability to reform: constitutional fields"
"score_national_economic_s.31390","Score National economic stakeholders influence: tax policy"
"score_neighbouring_countr.31392","Score Neighbouring countries: destabilisation  conflict"
"score_observance_of_contr.31393","Score Observance of contractual terms: national and foreign private stakeholders"
"score_observance_of_contr.31394","Score Observance of contractual terms: national private stakeholders"
"score_obtaining_import_li.31395","Score Obtaining import licenses"
"score_opening_of_bank_cap.31399","Score Opening of bank capital to foreign investment"
"score_operational_indepen.31407","Score Operational independence: educational, sporting and cultural organizations"
"score_operational_indepen.31408","Score Operational independence: large firms"
"score_operational_indepen.31409","Score Operational independence: political parties"
"score_operational_indepen.31410","Score Operational independence: professional organizations"
"score_assumption_of_polit.31411","Score Assumption of political office in accordance with the rules"
"score_operational_indepen.31412","Score Operational independence: religious organizations"
"score_opposition_to_the_m.31413","Score Opposition to the most recent change of Head of State: political forces"
"score_opposition_to_the_m.31414","Score Opposition to the most recent change of Head of State: population"
"score_other_subnational_a.31418","Score Other subnational authorities: elected or appointed"
"score_overall_coherence_o.31424","Score Overall coherence of public policies"
"score_oversight_instituti.31425","Score Oversight institutions"
"score_planningurban_plann.31430","Score PlanningUrban planning: averagesized towns"
"score_planningurban_plann.31431","Score PlanningUrban planning: major conglomerations"
"score_pluralism_of_trade_.31432","Score Pluralism of trade unions"
"score_political_or_social.31435","Score Political or Social expression via ITC"
"score_population_particip.31442","Score Population participation (local level)"
"score_population_particip.31443","Score Population participation (national level)"
"score_practice_of_guarant.31448","Score Practice of guaranteed employment in the private sector"
"score_practice_of_guarant.31451","Score Practice of guaranteed hiring of graduates in the public sector"
"score_authority_of_the_po.31452","Score Authority of the political bodies over the government"
"score_pressure_on_land:_r.31456","Score Pressure on land: rural areas"
"score_price_tension_on_la.31458","Score Price tension on land: averagesized towns"
"score_price_tension_on_la.31459","Score Price tension on land: large conglomerations"
"score_privatization_progr.31464","Score Privatization programme: strategic vision"
"score_privatization:_repl.31465","Score Privatization: replacement of managersshareholders"
"score_privatization:_tran.31466","Score Privatization: transfer pricemarket price"
"score_procedures_for_land.31467","Score Procedures for land tenure formalisation and registration"
"score_professional_mobili.31469","Score Professional mobility of formal sector employees"
"score_proportion_of_gdp_a.31470","Score Proportion of GDP accounted for by Stateowned and partly Stateowned firms"
"score_proportion_of_publi.31473","Score Proportion of public revenues from the exploitation of natural resources"
"score_proportion_of_publi.31475","Score Proportion of public sector: basic healthcare"
"score_proportion_of_publi.31476","Score Proportion of public sector: electricity"
"score_proportion_of_publi.31477","Score Proportion of public sector: primary and secondary education"
"score_proportion_of_publi.31478","Score Proportion of public sector: public transport"
"score_proportion_of_publi.31479","Score Proportion of public sector: telecommunications"
"score_proportion_of_publi.31480","Score Proportion of public sector: water and sanitation"
"score_ability_to_reform:_.31494","Score Ability to reform: economic"
"score_public_authorities_.31499","Score Public authorities support to public or private R&D"
"score_public_information_.31502","Score Public information on the capital structure of firms"
"score_public_ownership_in.31503","Score Public ownership in large firms"
"score_public_policies_for.31504","Score Public policies for access to land: disadvantaged groups"
"score_public_policy_exper.31505","Score Public policy experimentation"
"score_public_procurement:.31507","Score Public procurement: conditions relating to the general interest"
"score_public_support_in_m.31510","Score Public support in moving upmarket and acquiring technologies: SMEs"
"score_public_support_in_m.31511","Score Public support in moving upmarket and acquiring technologies: large companies"
"score_quality_of_public_s.31514","Score Quality of public services: basic healthcare"
"score_quality_of_public_s.31515","Score Quality of public services: higher educationuniversity"
"score_quality_of_public_s.31516","Score Quality of public services: primary and secondary education (rural areas)"
"score_quality_of_public_s.31518","Score Quality of public services: primary and secondary education (urban areas)"
"score_quality_of_public_s.31519","Score Quality of public services: public transport"
"score_recognition_of_occu.31523","Score Recognition of occupational health"
