"country","countryiso3","IS.AIR.DPRT_2013","IS.AIR.DPRT_2014","IS.AIR.DPRT_2015","IS.AIR.DPRT_2016","IS.AIR.DPRT_2017","IS.AIR.DPRT_2018"
"Afghanistan","AFG",21696,25920,23532,22770,24207,24433.446
"Albania","ALB",11196,1992,NA,306,1904,2935
"Algeria","DZA",55516,60066,65940,73465,74714,77463
"American Samoa","ASM",8580,9144,NA,NA,NA,NA
"Angola","AGO",14496,13716,13116,15482,13494,13978
"Antigua and Barbuda","ATG",52572,46404,40047,40928,24019,23206.966273393
"Arab World","ARB",1222183.5,1289638.76744056,1375862,1476812,1503553.38,1493348.76870414
"Argentina","ARG",145136.020724733,134521,145585,149334,146631,161688
"Armenia","ARM",852,0,NA,NA,NA,NA
"Aruba","ABW",NA,NA,NA,NA,2132,2276
"Australia","AUS",641451,664970,668961,682937,672349,665384
"Austria","AUT",166251,162576,152056,149030,156761,130260
"Azerbaijan","AZE",15886,21910,23781,24009,20699,19960
"Bahamas, The","BHS",34188,53366,48535,49095,48017,56629.4566997085
"Bahrain","BHR",52452,55980,57444,55592,54474,57094
"Bangladesh","BGD",59064,65364,55864,59728,70503,101383.465723099
"Barbados","BRB",NA,NA,NA,NA,NA,NA
"Belarus","BLR",17820,21168,22939,26857,29562,31676
"Belgium","BEL",130230,132976.52964928,141116,147324,145540,140674
"Belize","BLZ",71401,112760,120072,121581,141319,125681.690865347
"Benin","BEN",1728,648,1209,10,NA,NA
"Bhutan","BTN",5820,8772,4640,6065,4215,5187
"Bolivia","BOL",33467,51017.0018723656,42682,45722,54102,56592
"Bosnia and Herzegovina","BIH",552,420,81,NA,NA,NA
"Botswana","BWA",9396,8304,7741,7933,7002,6774
"Brazil","BRA",952307,937437,944557,826943,803846,832683
"Brunei Darussalam","BRN",10920,10392,11624,11058,10743,11310
"Bulgaria","BGR",11736,11755,11768,12187,11748,11435
"Burkina Faso","BFA",3780,3672,3875,3861,3863,4270
"Burundi","BDI",NA,NA,NA,NA,NA,NA
"Cabo Verde","CPV",8148,7728,7989,8745,4868,1546
"Cambodia","KHM",11897.0432386171,14732,12983,11933,14372,14387
"Cameroon","CMR",5640,5640,5499,8212,5640,5550
"Canada","CAN",1263297.33686341,1290419,1322033,1359442,1443818,1475062.58618088
"Caribbean small states","CSS",198637,252495,247773,245933,250510,244659.385838448
"Central African Republic","CAF",NA,NA,NA,NA,NA,NA
"Central Europe and the Baltics","CEB",407489,414473.868,420199,436849,484988,528364
"Chad","TCD",72,72,NA,NA,NA,NA
"Chile","CHL",127631,124480,116532,116238,124316,134661
"China","CHN",3073450,3356756,3616026,3952098,4359033,4692008
"Colombia","COL",304365.908,349864.363,368947,366188,355039,358847
"Comoros","COM",NA,NA,NA,NA,NA,NA
"Congo, Dem. Rep.","COD",11448,11580,12476,11513,18757,18612.1962447002
"Congo, Rep.","COG",12132,10380,11462,10604,8439,8439
"Costa Rica","CRI",42831,50239,41544,46405,48971,39730
"Cote d'Ivoire","CIV",3912,4032,9068,9463,14884,15188
"Croatia","HRV",24305,25161,25183,26171,26809,27189
"Cuba","CUB",23292,15468,17592,20058,13144,8733.666
"Cyprus","CYP",11724,9000,306,2994,8698,5456
"Czech Republic","CZE",54948,48975,38304,43878,50387,50694
"Denmark","DNK",NA,NA,NA,NA,NA,NA
"Djibouti","DJI",NA,NA,NA,NA,NA,NA
"Dominican Republic","DOM",1908,1584,1421,1170,NA,NA
"Early-demographic dividend","EAR",4574583.4635518,4976915.63345596,5220321,5700375,5886141.088,6188980.51779222
"East Asia & Pacific","EAS",7391410.0459955,8025736.2493602,8575632,9231486,9792841.59,10252929.8551914
"East Asia & Pacific (excluding high income)","EAP",4876787.3179955,5445123.69175995,5872462,6431220,6919472.67,7383230.85519138
"East Asia & Pacific (IDA & IBRD countries)","TEA",4864727.3179955,5436093.35151098,5872686,6431560,6919854.67,7383612.85519138
"Ecuador","ECU",58687,61248,61649,55430,50837,53033
"Egypt, Arab Rep.","EGY",100735.5,101725.767440561,108206,115856,105464,104473
"El Salvador","SLV",29114,31662,28671,28670,27995,27601
"Equatorial Guinea","GNQ",19416,14136,22350,22464,20590,19549.2208516854
"Eritrea","ERI",NA,NA,539,714,919,919
"Estonia","EST",13356,13524,13954,16179,528,790
"Eswatini","SWZ",NA,NA,NA,NA,NA,NA
"Ethiopia","ETH",68131,71166,83940,94330,99263,110971
"Euro area","EMU",4127753.909,4154277.39764928,4289208,4468338,4479927,4557258.9394902
"Europe & Central Asia","ECS",7299434.41223624,7478837.34464928,7758659,8043489,8204114,8484576.15905476
"Europe & Central Asia (excluding high income)","ECA",1519945.50323624,1654043.72,1759692,1797519,1893325,1989832.91697346
"Europe & Central Asia (IDA & IBRD countries)","TEC",1671542.50323624,1798548.52,1898797,1954498,2078621,2196561.91697346
"European Union","EUU",4449114.909,4483220.19764928,4623877,4818987,4885812,5009657.9394902
"Fiji","FJI",11748,19140,19487,20906,21855,24134
"Finland","FIN",138987,140256,153849,162119,118856,125804
"Fragile and conflict affected situations","FCS",412323,396297.452949339,374938,362954,362471.38,356319.686327392
"France","FRA",641440,610197,607168,599427,599256,597412
"Gabon","GAB",0,NA,2765,2305,NA,NA
"Gambia, The","GMB",1788,1848,35,440,625,625
"Georgia","GEO",2933,3317,3959,3199,5061,7108
"Germany","DEU",954874,946082,967453,962803,955827,922648.643490196
"Ghana","GHA",16560,16764,20539,21628,21224,14373
"Greece","GRC",103800,134160,124014,128454,135281,144040
"Guam","GUM",NA,NA,NA,NA,NA,NA
"Guatemala","GTM",2556,2214,3012,3102,3577,3205
"Guinea","GIN",NA,NA,NA,NA,NA,NA
"Guinea-Bissau","GNB",NA,NA,NA,NA,NA,NA
"Guyana","GUY",0,0,NA,NA,NA,1931
"Haiti","HTI",NA,NA,NA,NA,NA,NA
"Heavily indebted poor countries (HIPC)","HPC",329263.772,346254.152913158,345543,341547,383488,396844.481716832
"High income","HIC",20587015.9738634,20601741.9070244,20982212,21593637,21802395.92,22284288.9981831
"Honduras","HND",26796,24216,24813,24315,9482,14832
"Hong Kong SAR, China","HKG",199639,215562,228582,235581,243518,245146
"Hungary","HUN",103080,123708,145492,137605,158454,183541
"IBRD only","IBD",10529228.0930701,11355392.6525883,11974873,12689799,13419218.138,14203712.5285248
"Iceland","ISL",26643,28979,35558,41022,50389,54653.3025910987
"IDA & IBRD total","IBT",11372493.9083087,12224523.2565784,12861795,13594565,14403021.138,15257060.4846283
"IDA blend","IDB",338572,313928.452949339,346813,346480,341414,369799.075753502
"IDA only","IDX",504693.815238617,555202.151040793,540109,558286,642389,683548.880349989
"IDA total","IDA",843265.815238617,869130.603990131,886922,904766,983803,1053347.95610349
"India","IND",689094,724541.12,787998,917625,1029426,1200111.363
"Indonesia","IDN",576000,675005.895378656,682389,823735,892801,959307.381
"Iran, Islamic Rep.","IRN",161029,162563.374175832,133663,159754,225399.088,228803.615779
"Iraq","IRQ",4332,4332,12805,10579,18509.38,21071
"Ireland","IRL",641412,658512,718059,836293,883323,935961
"Israel","ISR",46644,49177,49020,50548,50330,53901
"Italy","ITA",258027,264899,273462,277671,243811,256596
"Jamaica","JAM",492,953,997,1128,1181,1215.272
"Japan","JPN",915542.658,927666,956015,984320,1035522,999594
"Jordan","JOR",38998,38386,36622,38161,36946,36127
"Kazakhstan","KAZ",66108,71220,72486,73188,83048,83287
"Kenya","KEN",98244,90625,96749,99428,117027,137602.178444667
"Kiribati","KIR",NA,NA,NA,NA,5005,5005
"Korea, Dem. People’s Rep.","PRK",3576,498.340248962656,483,522,460,460
"Korea, Rep.","KOR",360356,368132,448037,473606,499093.92,526374
"Kuwait","KWT",27305,26610,30073,33387,42782,46450
"Kyrgyz Republic","KGZ",12189,17388,20962,23120,27055,16344.3719734617
"Lao PDR","LAO",16944,12732,9772,9986,9731,10172.8429167433
"Late-demographic dividend","LTE",7908184.58275688,8471671.02738129,9025937,9501394,10149322.67,10719225.8992643
"Latin America & Caribbean","LCN",2732986.41507694,2840587.99664724,2898758,2826420,2748629,2818642.41483845
"Latin America & Caribbean (excluding high income)","LAC",2346603.41507694,2447432.27187237,2520562,2447141,2404814,2449950.99186535
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2675506.41507694,2771753.99664724,2832631,2757267,2685336,2751003.29213874
"Latvia","LVA",43836,42107,41376,42392,47885,54356
"Least developed countries: UN classification","LDC",448045.815238617,457116.151040793,427560,441789,536718,594788.75484636
"Lebanon","LBN",23568,23580,24066,24549,25550,25740
"Lesotho","LSO",NA,NA,NA,NA,NA,NA
"Liberia","LBR",NA,NA,NA,NA,NA,NA
"Libya","LBY",32064,26414,13298,10764,9686,7412.42875400346
"Lithuania","LTU",9900,12622,12199,9719,12151,2375
"Low & middle income","LMY",10877382.9083087,11738040.0720525,12380627,13094328,13901440.138,14715286.1843549
"Low income","LIC",215809,216276.310289755,188495,192890,212967,227895.395774867
"Lower middle income","LMC",2112093.62223862,2268107.847732,2421709,2665885,2800434,3064525.92332862
"Luxembourg","LUX",44059,47215,48569,48255,48289,51824
"Macao SAR, China","MAC",17859,20158,21472,23574,22924,24411
"Madagascar","MDG",9451,10385,8852,7230,7650,10170
"Malawi","MWI",1644,1644,1687,1818,2327,2327
"Malaysia","MYS",430334.457756879,443318.55,463740,447001,473610.67,476733
"Maldives","MDV",NA,26849,31472,33006,33904,26789
"Mali","MLI",360,0,NA,NA,NA,NA
"Malta","MLT",14257,14022,13639,12305,12799,20903
"Marshall Islands","MHL",NA,NA,NA,NA,2218,2244
"Mauritania","MRT",3984,4044,4277,4307,5331,5636.83947213211
"Mauritius","MUS",12079,12131,12646,13614,14842,14940
"Mexico","MEX",435792.09,457921.907,508614,555984,567921,590727
"Middle East & North Africa","MEA",1427157.5,1501061.14161639,1561886,1691849,1780821.468,1788051.54501101
"Middle East & North Africa (excluding high income)","MNA",556102.5,571311.141616393,510478,556552,624693.468,625199.79806317
"Middle East & North Africa (IDA & IBRD countries)","TMN",556102.5,571311.141616393,510478,556552,624693.468,625199.79806317
"Middle income","MIC",10661573.9083087,11521763.7617627,12192132,12901438,13688473.138,14487390.7885801
"Moldova","MDA",7500,8400,8739,9625,14116,13590
"Monaco","MCO",10956,10928.727,10728,611,3,3
"Mongolia","MNG",4212,5705.56146973701,5219,6009,5277,7777
"Montenegro","MNE",7164,6492,6864,6842,6436,6887
"Morocco","MAR",68700,72345,75044,80085,86735,80154
"Mozambique","MOZ",19596,19763.5996807786,18924,15911,11955,10479
"Myanmar","MMR",38028,49599,51652,65643,62480,64397.9644896858
"Namibia","NAM",8568,9197,10606,11759,13876,14543
"Nauru","NRU",96,612,707,862,842,842
"Nepal","NPL",30612,19560,19395,24063,58880,71908
"Netherlands","NLD",312910,304795,309089,334240,342097,325942.296
"New Zealand","NZL",203520,189722,186209,181125,184762,187851
"Nicaragua","NIC",NA,NA,NA,NA,NA,NA
"Niger","NER",1044,407,469,471,471,NA
"Nigeria","NGA",59182,61512.4529493388,61474,53971,53696,77482.726523888
"North America","NAC",11008795.3368634,10846743,10820701,11000033,11082914,11354692.5861809
"North Macedonia","MKD",NA,NA,NA,NA,NA,NA
"Norway","NOR",NA,NA,NA,NA,NA,NA
"OECD members","OED",20300858.2984916,20344234.3676493,20746257,21324113,21537722.92,22051415.3732622
"Oman","OMN",46816,47126,56544,61956,71293,76672
"Other small states","OSS",356192,NA,427339,472428,NA,NA
"Pacific island small states","PSS",35340,51276,55485,58321,62670,65161
"Pakistan","PAK",61820,57956,65749,70005,51019,48542
"Panama","PAN",135428,132689.724774874,137955,143126,112742,119148
"Papua New Guinea","PNG",30012,34068,51680,48892,53696,41545.1707849472
"Paraguay","PRY",6408,5496,4116,3864,3454,4215
"Peru","PER",115817.396352206,117800,129786,129880,130792,141025.363
"Philippines","PHL",200532,287460,325859,345482,273159,292450
"Poland","POL",83336,77094,68326,84075,106424,123903
"Portugal","PRT",158096,157702,160003,154448,170444,182753
"Post-demographic dividend","PST",18593551.0638634,18515193.9872495,18728288,19131561,19260709.92,19638890.1579445
"Pre-demographic dividend","PRE",368447.772,355316.603990131,376858,353162,404599.38,449389.607537073
"Qatar","QAT",139869,151703,170582,200927,194389,197811
"Romania","ROU",43956,42249.8,45596,46733,52063,55637
"Russian Federation","RUS",678071,747804,767043,746446,815708,885094
"Rwanda","RWA",11532,12096,3205,4314,18134,18439
"Samoa","WSM",NA,9144,11759,13805,6098,6848
"Sao Tome and Principe","STP",NA,NA,NA,NA,NA,NA
"Saudi Arabia","SAU",216636,232908,236468,256635,270924,254063.746947842
"Senegal","SEN",5808,4044,3656,582,1087,1087
"Serbia","SRB",18156,28944,31304,31958,29705,28160
"Seychelles","SYC",14592,14556,17124,19178,20539,18671
"Sierra Leone","SLE",NA,NA,NA,NA,NA,NA
"Singapore","SGP",165239.07,183398.557600256,181563,207203,203615,208787
"Slovak Republic","SVK",1824,721.068,70,85,51,NA
"Slovenia","SVN",17212,16557,17931,17825,18488,18444
"Small states","SST",590169,697384,730597,776682,772097,773348.909281233
"Solomon Islands","SLB",11352,11532,13107,13711,14365,14365
"Somalia","SOM",3540,3444,NA,98,98,98
"South Africa","ZAF",184763,199600.522813668,209734,212865,216275,180317.18600139
"South Asia","SAS",900742.4,966479.12,1026248,1173973,1313166,1512779.2747231
"South Asia (IDA & IBRD)","TSA",900742.4,966479.12,1026248,1173973,1313166,1512779.2747231
"Spain","ESP",465558.909,486353.8,534895,566775,579842,641020
"Sri Lanka","LKA",32636.4,37517,37598,40711,41012,34425
"Sub-Saharan Africa","SSF",703872.772,680337.126803799,720955,720715,781350,787903.347538463
"Sub-Saharan Africa (excluding high income)","SSA",677201.772,653650.126803799,691185,687923,745969,754292.347538463
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",703872.772,680337.126803799,720955,720715,781350,787903.347538463
"Sudan","SDN",9432,6852,6021,3165,5831,3170
"Suriname","SUR",3420,2796,2995,3309,3385,3225
"Sweden","SWE",NA,NA,NA,NA,NA,NA
"Switzerland","CHE",266128,263267,250094,229530,216436,219782
"Syrian Arab Republic","SYR",5424,5424,168,170,165,167.753530166881
"Tajikistan","TJK",6263,7985,6884,6472,4135,4021
