"country","countryiso3","latest.year_IS.AIR.DPRT","latest.value_IS.AIR.DPRT"
"Afghanistan","AFG",2018,24433.446
"Albania","ALB",2018,2935
"Algeria","DZA",2018,77463
"American Samoa","ASM",2014,9144
"Angola","AGO",2018,13978
"Antigua and Barbuda","ATG",2018,23206.966273393
"Arab World","ARB",2018,1493348.76870414
"Argentina","ARG",2018,161688
"Armenia","ARM",2014,0
"Aruba","ABW",2018,2276
"Australia","AUS",2018,665384
"Austria","AUT",2018,130260
"Azerbaijan","AZE",2018,19960
"Bahamas, The","BHS",2018,56629.4566997085
"Bahrain","BHR",2018,57094
"Bangladesh","BGD",2018,101383.465723099
"Barbados","BRB",NA,NA
"Belarus","BLR",2018,31676
"Belgium","BEL",2018,140674
"Belize","BLZ",2018,125681.690865347
"Benin","BEN",2016,10
"Bhutan","BTN",2018,5187
"Bolivia","BOL",2018,56592
"Bosnia and Herzegovina","BIH",2015,81
"Botswana","BWA",2018,6774
"Brazil","BRA",2018,832683
"Brunei Darussalam","BRN",2018,11310
"Bulgaria","BGR",2018,11435
"Burkina Faso","BFA",2018,4270
"Burundi","BDI",NA,NA
"Cabo Verde","CPV",2018,1546
"Cambodia","KHM",2018,14387
"Cameroon","CMR",2018,5550
"Canada","CAN",2018,1475062.58618088
"Caribbean small states","CSS",2018,244659.385838448
"Central African Republic","CAF",NA,NA
"Central Europe and the Baltics","CEB",2018,528364
"Chad","TCD",2014,72
"Chile","CHL",2018,134661
"China","CHN",2018,4692008
"Colombia","COL",2018,358847
"Comoros","COM",NA,NA
"Congo, Dem. Rep.","COD",2018,18612.1962447002
"Congo, Rep.","COG",2018,8439
"Costa Rica","CRI",2018,39730
"Cote d'Ivoire","CIV",2018,15188
"Croatia","HRV",2018,27189
"Cuba","CUB",2018,8733.666
"Cyprus","CYP",2018,5456
"Czech Republic","CZE",2018,50694
"Denmark","DNK",NA,NA
"Djibouti","DJI",NA,NA
"Dominican Republic","DOM",2016,1170
"Early-demographic dividend","EAR",2018,6188980.51779222
"East Asia & Pacific","EAS",2018,10252929.8551914
"East Asia & Pacific (excluding high income)","EAP",2018,7383230.85519138
"East Asia & Pacific (IDA & IBRD countries)","TEA",2018,7383612.85519138
"Ecuador","ECU",2018,53033
"Egypt, Arab Rep.","EGY",2018,104473
"El Salvador","SLV",2018,27601
"Equatorial Guinea","GNQ",2018,19549.2208516854
"Eritrea","ERI",2018,919
"Estonia","EST",2018,790
"Eswatini","SWZ",NA,NA
"Ethiopia","ETH",2018,110971
"Euro area","EMU",2018,4557258.9394902
"Europe & Central Asia","ECS",2018,8484576.15905476
"Europe & Central Asia (excluding high income)","ECA",2018,1989832.91697346
"Europe & Central Asia (IDA & IBRD countries)","TEC",2018,2196561.91697346
"European Union","EUU",2018,5009657.9394902
"Fiji","FJI",2018,24134
"Finland","FIN",2018,125804
"Fragile and conflict affected situations","FCS",2018,356319.686327392
"France","FRA",2018,597412
"Gabon","GAB",2016,2305
"Gambia, The","GMB",2018,625
"Georgia","GEO",2018,7108
"Germany","DEU",2018,922648.643490196
"Ghana","GHA",2018,14373
"Greece","GRC",2018,144040
"Guam","GUM",NA,NA
"Guatemala","GTM",2018,3205
"Guinea","GIN",NA,NA
"Guinea-Bissau","GNB",NA,NA
"Guyana","GUY",2018,1931
"Haiti","HTI",NA,NA
"Heavily indebted poor countries (HIPC)","HPC",2018,396844.481716832
"High income","HIC",2018,22284288.9981831
"Honduras","HND",2018,14832
"Hong Kong SAR, China","HKG",2018,245146
"Hungary","HUN",2018,183541
"IBRD only","IBD",2018,14203712.5285248
"Iceland","ISL",2018,54653.3025910987
"IDA & IBRD total","IBT",2018,15257060.4846283
"IDA blend","IDB",2018,369799.075753502
"IDA only","IDX",2018,683548.880349989
"IDA total","IDA",2018,1053347.95610349
"India","IND",2018,1200111.363
"Indonesia","IDN",2018,959307.381
"Iran, Islamic Rep.","IRN",2018,228803.615779
"Iraq","IRQ",2018,21071
"Ireland","IRL",2018,935961
"Israel","ISR",2018,53901
"Italy","ITA",2018,256596
"Jamaica","JAM",2018,1215.272
"Japan","JPN",2018,999594
"Jordan","JOR",2018,36127
"Kazakhstan","KAZ",2018,83287
"Kenya","KEN",2018,137602.178444667
"Kiribati","KIR",2018,5005
"Korea, Dem. People’s Rep.","PRK",2018,460
"Korea, Rep.","KOR",2018,526374
"Kuwait","KWT",2018,46450
"Kyrgyz Republic","KGZ",2018,16344.3719734617
"Lao PDR","LAO",2018,10172.8429167433
"Late-demographic dividend","LTE",2018,10719225.8992643
"Latin America & Caribbean","LCN",2018,2818642.41483845
"Latin America & Caribbean (excluding high income)","LAC",2018,2449950.99186535
