"country","countryiso3","IT.CEL.SETS.P2_2013","IT.CEL.SETS.P2_2014","IT.CEL.SETS.P2_2015","IT.CEL.SETS.P2_2016","IT.CEL.SETS.P2_2017","IT.CEL.SETS.P2_2018"
"Afghanistan","AFG",52.0835762736241,55.1595146342637,57.2710680715414,61.0546377144842,65.929134064576,59.1208482338053
"Albania","ALB",126.936968582439,115.997935300322,117.659218277171,116.744444190383,125.710351924593,94.1769982724769
"Algeria","DZA",103.610139482209,111.238610150342,108.808940288373,116.004207697728,110.767246490382,111.664792099195
"American Samoa","ASM",NA,NA,NA,NA,NA,NA
"Andorra","AND",79.1479931661178,83.623900117405,91.4435143761777,98.4928263710105,104.332411267386,107.282549411734
"Angola","AGO",51.0659203350459,52.158983265359,49.7932229515871,45.0762900524986,44.6861071385139,43.1305188834963
"Antigua and Barbuda","ATG",124.959569911272,129.687128627298,188.10251587115,190.421784252118,192.81956699432,NA
"Arab World","ARB",107.303864080516,106.923620066456,105.734881743084,103.190799252329,101.030746585337,99.4316689477419
"Argentina","ARG",159.63946134269,143.615831608932,143.566834038237,146.453827600425,140.877123545137,132.093151327231
"Armenia","ARM",115.484844636298,118.772363359679,118.421713775139,116.975467475528,118.464230568485,121.259017970726
"Aruba","ABW",134.549578805533,134.619461522154,135.133840005367,NA,NA,NA
"Australia","AUS",107.246154823284,106.202533061789,107.677834937609,109.431295231959,111.708051619264,113.578710580609
"Austria","AUT",155.11578811548,150.345713989229,155.215471051983,126.661469635034,123.119295783479,123.535268059385
"Azerbaijan","AZE",107.933903775496,111.013461296904,111.165078155973,104.65237263229,102.861054795578,103.921418654959
"Bahamas, The","BHS",78.165640345454,84.9471040085475,83.1560691170104,95.308655041939,92.6091341305287,98.9508268138171
"Bahrain","BHR",168.071706457961,174.316112493685,183.62453356815,210.049221765868,158.256808890579,133.34093686562
"Bangladesh","BGD",76.2974562071688,82.1047375757376,84.0770862861214,86.0769063232833,94.5264734995475,100.244712514522
"Barbados","BRB",108.235078931818,107.243018544655,117.33748300178,116.239555487131,115.139117918332,114.891449583277
"Belarus","BLR",117.943788649363,120.88896687619,121.281576214987,121.112623036886,120.792190159161,122.925228008286
"Belgium","BEL",110.410678348924,113.487762617132,113.165821221587,110.536874626797,99.4530352158384,99.696686464885
"Belize","BLZ",50.5083667182506,48.7596429764041,58.7217018116936,60.5124864277959,63.7202643113189,85.5269649751613
"Benin","BEN",96.2302906735518,84.1893976422701,88.1051181018976,81.792112499716,78.5045956232722,82.3842903866977
"Bermuda","BMU",146.460410648278,92.9067824403042,59.6621239716134,100.83488526246,103.089660422846,NA
"Bhutan","BTN",76.6415999166475,86.8551084409398,92.8382032104369,94.7964458102803,97.9961451949735,93.2615577130071
"Bolivia","BOL",98.893295126896,97.6072890931757,93.4966093914016,91.6097388879109,97.9484144125873,100.816408356383
"Bosnia and Herzegovina","BIH",98.4675970175628,100.260847964091,100.412875751488,100.524973525411,102.642379215432,104.125634603669
"Botswana","BWA",157.416312250672,163.290127730394,163.875172347452,152.273016634358,146.960155640612,150.005589893473
"Brazil","BRA",134.851428435333,138.451183325239,126.087955936841,118.385594532304,105.014206951291,98.8434998665652
"British Virgin Islands","VGB",185.135369362499,188.913035979165,196.195801317234,135.203542837677,148.90962572269,134.064827863902
"Brunei Darussalam","BRN",115.922269120545,110.319228638574,111.683823121808,124.691043353978,128.331366188191,131.934222765134
"Bulgaria","BGR",143.850444603687,130.932797434487,127.707830045553,125.474384409405,120.140447429082,118.93968014104
"Burkina Faso","BFA",65.8409626783211,71.0472517105907,79.7702884229721,82.6115256722801,93.5036534228677,97.9122714232959
"Burundi","BDI",26.5907088159051,32.4376270976735,49.1897760144409,51.0852264899058,54.6836760884967,56.5347074737722
"Cabo Verde","CPV",97.5984273509618,118.350824182715,116.527138046625,113.331551023636,113.909075010512,112.24072074988
"Cambodia","KHM",134.860017734202,133.89621907829,134.333852872891,126.316974213087,116.012858438435,119.491517183728
"Cameroon","CMR",70.9537409793066,75.1219918020804,77.9482365460104,78.2290059273482,81.9642113739546,73.1901990092348
"Canada","CAN",80.3478461110963,80.7220950160941,82.6193346285958,84.5231216033535,86.2814930648524,89.5800225502327
"Caribbean small states","CSS",108.634462012829,110.864561252465,112.966747583704,116.699950105793,112.444953598548,112.266632530317
"Cayman Islands","CYM",163.578722552226,149.64994740994,151.066035901756,152.880819575189,152.497554510744,NA
"Central African Republic","CAF",30.582669206267,25.8865299859437,27.6529488089701,27.5106298672936,25.5740452125675,27.4144902416612
"Central Europe and the Baltics","CEB",132.465225413901,131.626099542365,126.860612404922,125.811451882342,123.007999280724,124.36380441438
"Chad","TCD",34.501464513303,38.4347687858353,38.734368107094,38.3590126400424,42.4099670547954,45.1237387603827
"Chile","CHL",134.657425797343,133.345192136544,129.14406545411,127.972518966924,124.594477694872,134.437321268012
"China","CHN",88.305749017053,91.8996288670346,91.8353880011205,96.5266169129623,103.438420811662,115.525812190767
"Colombia","COL",108.172020027834,117.80495257847,120.636922036469,121.816005512563,127.213696205379,129.908609661238
"Comoros","COM",46.8641479153883,50.4352177405549,54.6401963407356,57.113319389838,57.6137865957646,59.9411045244509
"Congo, Dem. Rep.","COD",39.5633015557561,50.2971968109456,49.5153882748646,36.6666291403381,43.45919306588,43.3822150190136
"Congo, Rep.","COG",100.800387300925,104.076946980521,107.411407725755,108.893883873828,98.9297933059985,95.3405363744168
"Costa Rica","CRI",149.975127090131,146.399004378366,155.443557536567,170.036280359926,178.594427342153,169.930698252065
"Cote d'Ivoire","CIV",87.7912778193498,97.6019225630312,109.392291264202,115.231413179875,129.912110378038,134.857951361091
"Croatia","HRV",110.391834818236,104.837020786218,104.318248074476,104.888677998062,103.173022649352,105.583454932809
"Cuba","CUB",17.6880882389827,22.3823603702658,29.4517483384447,35.1818562935108,40.6885849809873,47.3915372670671
