"country","countryiso3","latest.year_IT.CEL.SETS.P2","latest.value_IT.CEL.SETS.P2"
"Afghanistan","AFG",2018,59.1208482338053
"Albania","ALB",2018,94.1769982724769
"Algeria","DZA",2018,111.664792099195
"American Samoa","ASM",NA,NA
"Andorra","AND",2018,107.282549411734
"Angola","AGO",2018,43.1305188834963
"Antigua and Barbuda","ATG",2017,192.81956699432
"Arab World","ARB",2018,99.4316689477419
"Argentina","ARG",2018,132.093151327231
"Armenia","ARM",2018,121.259017970726
"Aruba","ABW",2015,135.133840005367
"Australia","AUS",2018,113.578710580609
"Austria","AUT",2018,123.535268059385
"Azerbaijan","AZE",2018,103.921418654959
"Bahamas, The","BHS",2018,98.9508268138171
"Bahrain","BHR",2018,133.34093686562
"Bangladesh","BGD",2018,100.244712514522
"Barbados","BRB",2018,114.891449583277
"Belarus","BLR",2018,122.925228008286
"Belgium","BEL",2018,99.696686464885
"Belize","BLZ",2018,85.5269649751613
"Benin","BEN",2018,82.3842903866977
"Bermuda","BMU",2017,103.089660422846
"Bhutan","BTN",2018,93.2615577130071
"Bolivia","BOL",2018,100.816408356383
"Bosnia and Herzegovina","BIH",2018,104.125634603669
"Botswana","BWA",2018,150.005589893473
"Brazil","BRA",2018,98.8434998665652
"British Virgin Islands","VGB",2018,134.064827863902
"Brunei Darussalam","BRN",2018,131.934222765134
"Bulgaria","BGR",2018,118.93968014104
"Burkina Faso","BFA",2018,97.9122714232959
"Burundi","BDI",2018,56.5347074737722
"Cabo Verde","CPV",2018,112.24072074988
"Cambodia","KHM",2018,119.491517183728
"Cameroon","CMR",2018,73.1901990092348
"Canada","CAN",2018,89.5800225502327
"Caribbean small states","CSS",2018,112.266632530317
"Cayman Islands","CYM",2017,152.497554510744
"Central African Republic","CAF",2018,27.4144902416612
"Central Europe and the Baltics","CEB",2018,124.36380441438
"Chad","TCD",2018,45.1237387603827
"Chile","CHL",2018,134.437321268012
"China","CHN",2018,115.525812190767
"Colombia","COL",2018,129.908609661238
"Comoros","COM",2018,59.9411045244509
"Congo, Dem. Rep.","COD",2018,43.3822150190136
"Congo, Rep.","COG",2018,95.3405363744168
"Costa Rica","CRI",2018,169.930698252065
"Cote d'Ivoire","CIV",2018,134.857951361091
"Croatia","HRV",2018,105.583454932809
"Cuba","CUB",2018,47.3915372670671
"Curacao","CUW",2018,114.523938261895
"Cyprus","CYP",2018,138.900485998611
"Czech Republic","CZE",2018,119.113507750141
"Denmark","DNK",2018,125.118956017306
"Djibouti","DJI",2018,41.1959041549739
"Dominica","DMA",2018,105.788481675393
"Dominican Republic","DOM",2018,84.1020835236871
"Early-demographic dividend","EAR",2018,96.6881917013869
"East Asia & Pacific","EAS",2018,122.204169743795
"East Asia & Pacific (excluding high income)","EAP",2018,120.239305406555
"East Asia & Pacific (IDA & IBRD countries)","TEA",2018,120.239305406555
"Ecuador","ECU",2018,92.3232702100951
"Egypt, Arab Rep.","EGY",2018,95.2865968179704
"El Salvador","SLV",2018,146.922102198093
"Equatorial Guinea","GNQ",2018,45.166867205256
"Eritrea","ERI",2017,20.3639551547617
"Estonia","EST",2018,145.43842409216
"Eswatini","SWZ",2017,93.5273225136801
"Ethiopia","ETH",2017,37.2180716971189
"Euro area","EMU",2018,122.563302238318
"Europe & Central Asia","ECS",2018,123.783821073712
"Europe & Central Asia (excluding high income)","ECA",2018,126.042455477403
"Europe & Central Asia (IDA & IBRD countries)","TEC",2018,126.163567671504
"European Union","EUU",2018,122.737839323369
"Faroe Islands","FRO",2018,117.104150772213
"Fiji","FJI",2017,117.83057669931
"Finland","FIN",2018,129.46856684272
"Fragile and conflict affected situations","FCS",2018,77.2728875050216
"France","FRA",2018,108.35735696862
"French Polynesia","PYF",2018,109.001040770098
"Gabon","GAB",2018,138.280968727513
"Gambia, The","GMB",2018,139.529028189189
"Georgia","GEO",2018,136.380667019407
"Germany","DEU",2018,129.324213734645
"Ghana","GHA",2018,137.517165762391
"Gibraltar","GIB",2018,121.730233109912
"Greece","GRC",2018,115.666911798109
"Greenland","GRL",2018,110.559719963227
"Grenada","GRD",2017,102.07713260097
"Guam","GUM",NA,NA
"Guatemala","GTM",2018,118.667087124893
"Guinea","GIN",2018,96.7674921157411
"Guinea-Bissau","GNB",2018,78.9888828006998
"Guyana","GUY",2017,82.9710715124184
"Haiti","HTI",2018,57.5289184439915
"Heavily indebted poor countries (HIPC)","HPC",2018,73.1428850456878
"High income","HIC",2018,127.655998668578
"Honduras","HND",2018,79.1503164216989
"Hong Kong SAR, China","HKG",2018,269.975378913769
"Hungary","HUN",2018,103.445171614234
"IBRD only","IBD",2018,109.079089642772
"Iceland","ISL",2018,126.13709598382
"IDA & IBRD total","IBT",2018,102.72494762774
"IDA blend","IDB",2018,81.3018723172824
"IDA only","IDX",2018,82.3843972561062
"IDA total","IDA",2018,81.9851853264912
