"variable","description"
"score_logistics_performan.321","Score Logistics Performance Index"
"score (lower bound)_logis.322","Score (Lower Bound) Logistics Performance Index"
"score (upper bound)_logis.323","Score (Upper Bound) Logistics Performance Index"
"rank_logistics_performanc.324","Rank Logistics Performance Index"
"rank (lower bound)_logist.325","Rank (Lower Bound) Logistics Performance Index"
"rank (upper bound)_logist.326","Rank (Upper Bound) Logistics Performance Index"
"% of highest performer_lo.327","% of highest performer Logistics Performance Index"
"confidence interval_logis.328","Confidence Interval Logistics Performance Index"
"score_customs.329","Score Customs"
"rank_customs.330","Rank Customs"
"score_infrastructure.331","Score Infrastructure"
"rank_infrastructure.332","Rank Infrastructure"
"score_international_shipm.333","Score International shipments"
"rank_international_shipme.334","Rank International shipments"
"score_logistics_competenc.335","Score Logistics competence"
"rank_logistics_competence.336","Rank Logistics competence"
"score_tracking_and_tracin.337","Score Tracking and tracing of shipments"
"rank_tracking_and_tracing.338","Rank Tracking and tracing of shipments"
"score_timeliness_on_intl_.339","Score Timeliness on intl shipments"
"rank_timeliness_on_intl_s.340","Rank Timeliness on intl shipments"
"score_logistics_performan.40212","Score Logistics Performance Index (Aggregated 2012-2018)"
"rank_logistics_performanc.40213","Rank Logistics Performance Index (Aggregated 2012-2018)"
