"country","countryiso3","latest.year_score_logistics_performan.321","latest.value_score_logistics_performan.321","latest.year_score_logistics_performan.40212","latest.value_score_logistics_performan.40212","latest.year_score (lower bound)_logis.322","latest.value_score (lower bound)_logis.322","latest.year_score (upper bound)_logis.323","latest.value_score (upper bound)_logis.323","latest.year_rank_logistics_performanc.324","latest.value_rank_logistics_performanc.324","latest.year_rank_logistics_performanc.40213","latest.value_rank_logistics_performanc.40213","latest.year_rank (lower bound)_logist.325","latest.value_rank (lower bound)_logist.325","latest.year_rank (upper bound)_logist.326","latest.value_rank (upper bound)_logist.326","latest.year_% of highest performer_lo.327","latest.value_% of highest performer_lo.327","latest.year_score_customs.329","latest.value_score_customs.329","latest.year_rank_customs.330","latest.value_rank_customs.330","latest.year_score_infrastructure.331","latest.value_score_infrastructure.331","latest.year_rank_infrastructure.332","latest.value_rank_infrastructure.332","latest.year_score_international_shipm.333","latest.value_score_international_shipm.333","latest.year_rank_international_shipme.334","latest.value_rank_international_shipme.334","latest.year_score_logistics_competenc.335","latest.value_score_logistics_competenc.335","latest.year_rank_logistics_competence.336","latest.value_rank_logistics_competence.336","latest.year_score_tracking_and_tracin.337","latest.value_score_tracking_and_tracin.337","latest.year_rank_tracking_and_tracing.338","latest.value_rank_tracking_and_tracing.338","latest.year_score_timeliness_on_intl_.339","latest.value_score_timeliness_on_intl_.339","latest.year_rank_timeliness_on_intl_s.340","latest.value_rank_timeliness_on_intl_s.340"
"Afghanistan","AFG",2018,1.95,2018,2.04,2018,1.79,2018,2.11,2018,160,2018,165,2018,155,2018,160,2018,29.63,2018,1.73,2018,158,2018,1.81,2018,158,2018,2.1,2018,152,2018,1.92,2018,158,2018,1.7,2018,159,2018,2.38,2018,153
"Angola","AGO",2018,2.05,2018,2.18,2018,1.85,2018,2.25,2018,159,2018,160,2018,142,2018,160,2018,32.68,2018,1.57,2018,160,2018,1.86,2018,153,2018,2.2,2018,143,2018,2,2018,155,2018,2,2018,157,2018,2.59,2018,140
"Albania","ALB",2018,2.66,2018,2.62,2018,2.46,2018,2.86,2018,88,2018,98,2018,64,2018,115,2018,51.84,2018,2.35,2018,114,2018,2.29,2018,110,2018,2.82,2018,69,2018,2.56,2018,92,2018,2.67,2018,95,2018,3.2,2018,73
"United Arab Emirates","ARE",2018,3.96,2018,3.89,2018,3.86,2018,4.05,2018,11,2018,14,2018,2,2018,15,2018,92.35,2018,3.63,2018,15,2018,4.02,2018,10,2018,3.85,2018,5,2018,3.92,2018,13,2018,3.96,2018,13,2018,4.38,2018,4
"Argentina","ARG",2018,2.89,2018,2.93,2018,2.8,2018,2.98,2018,61,2018,62,2018,57,2018,72,2018,58.94,2018,2.42,2018,98,2018,2.77,2018,62,2018,2.92,2018,59,2018,2.78,2018,68,2018,3.05,2018,58,2018,3.37,2018,58
"Armenia","ARM",2018,2.61,2018,2.51,2018,2.42,2018,2.8,2018,92,2018,116,2018,73,2018,122,2018,50.22,2018,2.57,2018,81,2018,2.48,2018,86,2018,2.65,2018,95,2018,2.5,2018,97,2018,2.51,2018,113,2018,2.9,2018,111
"Australia","AUS",2018,3.75,2018,3.77,2018,3.6,2018,3.9,2018,18,2018,19,2018,14,2018,26,2018,85.94,2018,3.87,2018,7,2018,3.97,2018,16,2018,3.25,2018,40,2018,3.71,2018,21,2018,3.82,2018,20,2018,3.98,2018,21
"Austria","AUT",2018,4.03,2018,3.99,2018,3.88,2018,4.17,2018,4,2018,8,2018,2,2018,14,2018,94.52,2018,3.71,2018,12,2018,4.18,2018,5,2018,3.88,2018,3,2018,4.08,2018,6,2018,4.09,2018,7,2018,4.25,2018,12
"Azerbaijan","AZE",2014,2.45,2018,2.45,2014,2.15,2014,2.75,2014,125,2018,123,2014,81,2014,154,2014,46.4,2014,2.57,2014,82,2014,2.71,2014,68,2014,2.57,2014,113,2014,2.14,2014,149,2014,2.14,2014,148,2014,2.57,2014,143
"Burundi","BDI",2018,2.06,2018,2.22,2018,1.85,2018,2.28,2018,158,2018,154,2018,139,2018,160,2018,33.22,2018,1.69,2018,159,2018,1.95,2018,146,2018,2.21,2018,139,2018,2.33,2018,117,2018,2.01,2018,156,2018,2.17,2018,158
"Belgium","BEL",2018,4.04,2018,4.05,2018,3.92,2018,4.16,2018,3,2018,4,2018,2,2018,12,2018,94.93,2018,3.66,2018,14,2018,3.98,2018,14,2018,3.99,2018,1,2018,4.13,2018,2,2018,4.05,2018,9,2018,4.41,2018,1
"Benin","BEN",2018,2.75,2018,2.65,2018,2.54,2018,2.96,2018,76,2018,93,2018,58,2018,109,2018,54.66,2018,2.56,2018,82,2018,2.5,2018,83,2018,2.73,2018,83,2018,2.5,2018,98,2018,2.75,2018,87,2018,3.42,2018,57
"Burkina Faso","BFA",2018,2.62,2018,2.63,2018,2.34,2018,2.9,2018,91,2018,96,2018,61,2018,133,2018,50.65,2018,2.41,2018,100,2018,2.43,2018,95,2018,2.92,2018,60,2018,2.46,2018,106,2018,2.4,2018,124,2018,3.04,2018,95
