"country","countryiso3","NE.IMP.GNFS.ZS_2013","NE.IMP.GNFS.ZS_2014","NE.IMP.GNFS.ZS_2015","NE.IMP.GNFS.ZS_2016","NE.IMP.GNFS.ZS_2017","NE.IMP.GNFS.ZS_2018","NE.IMP.GNFS.ZS_2019"
"Afghanistan","AFG",48.9013219332501,40.2571698342525,42.5058388897863,37.8433737133894,39.4044611349057,40.9756055782624,37.8673794000531
"Albania","ALB",46.9574108831978,47.194856652916,44.5336293946429,45.8319599126132,46.6244505699365,45.2636668047653,45.2170766190777
"Algeria","DZA",30.4008313360844,31.9267492817134,36.5237214812687,35.0530414625512,33.2181290610852,32.3410220592228,29.4746233050576
"American Samoa","ASM",100,105.763239875389,99.5461422087746,97.3926380368098,102.325581395349,99.3710691823899,NA
"Angola","AGO",36.0648463922967,34.6378962589621,33.1339212916755,25.2456707179877,23.2527213968366,25.5417220484722,NA
"Antigua and Barbuda","ATG",61.0088591841149,59.4200836919283,50.1547074454084,47.8009709238472,NA,NA,NA
"Arab World","ARB",39.7629084558242,42.2399323876395,44.9482484686925,41.7996776876109,41.6060532675785,39.2673878386708,40.3727862033147
"Argentina","ARG",14.7167556136651,14.0013150558519,11.7805740385254,13.5667926798789,13.9806106427674,16.4199284119137,15.1034479703979
"Armenia","ARM",48.1970692931673,47.0465461367346,41.8652688700677,42.7698750822308,49.5006382701548,53.383274207869,52.9099482986136
"Aruba","ABW",86.9727047146402,85.010101010101,74.1484883275928,70.8419664720286,71.6322427344178,NA,NA
"Australia","AUS",21.2522627313421,21.4670353387174,21.5095275701541,21.5265843486597,20.5767999696081,21.3876035202283,21.5551604676553
"Austria","AUT",50.625120789651,50.1169562048263,49.3382548303838,48.617590537647,50.7355052962123,52.0344068166518,52.0030908816733
"Azerbaijan","AZE",26.2600116874635,26.2096685368412,34.806730415594,43.6496693432541,41.8544509495606,37.5802826749238,36.8642646392674
"Bahamas, The","BHS",45.5281320117015,49.1794415987832,37.8998153552922,37.1490316960397,41.1525546484066,41.2700712302306,NA
"Bahrain","BHR",87.0677507838272,79.5170856905251,71.6506085452675,65.3889766247047,67.4022414107659,71.837647467674,NA
"Bangladesh","BGD",26.7585286136071,25.5244202017989,24.7493225204896,21.3045838515747,20.2678904112196,23.4439348097981,21.4360523057267
"Barbados","BRB",45.9036273252085,45.0263973171511,43.0882205726405,42.1347784679089,40.7227069104058,39.7053012877224,41.6835505855251
"Belarus","BLR",61.4823871290472,55.7104203103354,57.9040596348719,62.6999757764695,66.5781545217791,68.9386909876333,66.9146361888479
"Belgium","BEL",78.5264966401955,78.9822068454526,76.3872643576431,78.2088974971823,80.9918274558556,82.7908026346828,81.5640991441075
"Belize","BLZ",66.5932980878815,65.2709345681982,66.2613441234482,61.6117120162245,58.434808885985,58.0079173792219,58.0078213947803
"Benin","BEN",31.6296265138756,33.8374338168225,32.0358619739087,31.3801402666294,34.2710021762586,34.5486297289637,34.0508051209549
"Bermuda","BMU",29.5925155775955,NA,NA,NA,NA,NA,NA
"Bhutan","BTN",63.7690810536679,60.857147363222,67.7560787387541,55.7880788910146,52.7266551444763,55.8915879345426,NA
"Bolivia","BOL",37.1384282187369,41.9713815120336,37.0645490574389,31.9130288352972,31.8005085153227,31.1211696832223,31.4300442914364
"Bosnia and Herzegovina","BIH",54.1881933715064,56.6337301722194,53.3272298316422,52.2992891361355,57.0435900264267,57.1023934087901,55.7280195888744
"Botswana","BWA",61.0309390192371,55.4180497624764,56.1192417415927,44.2012171564438,35.9321799534028,39.1700588289988,40.5230023820302
"Brazil","BRA",14.0437454364237,13.6734629958056,14.0534511983164,12.0670189851289,11.8046383594658,14.5080826628793,14.6542047944056
"Brunei Darussalam","BRN",42.8950041962984,34.2438883657379,37.6831924288446,37.7413608077216,35.6035073472775,41.964043494891,50.5636178965346
"Bulgaria","BGR",65.2817121669626,65.8057754940057,63.0345227902482,59.1182963095443,62.9680088765738,63.2734430769078,60.149175878883
"Burkina Faso","BFA",36.9588658493908,31.8915583395886,32.9815357744638,32.0041617519911,32.6703300613532,31.8957282870793,32.4518206977286
"Burundi","BDI",37.5000131147541,34.1542733940916,26.8089855450836,25.0916348264004,26.9515346026704,29.8090049192121,32.7261686707375
"Cabo Verde","CPV",54.846645937621,60.6853000599186,59.1586466717918,59.9621727248371,67.3803535416683,68.0436093688162,65.3501023993609
"Cambodia","KHM",67.6585508736566,67.0087581378565,66.1456432379888,65.6685040464904,64.1058157410442,63.3028853207448,62.4652272455591
"Cameroon","CMR",30.0377128740627,30.1267202884318,27.6095407796239,23.9651683823871,22.606050472436,23.6975689193905,23.9966836023874
"Canada","CAN",31.8991362329537,32.6420862831515,34.3149411035338,33.8611121122194,33.6232145334166,34.0360616874474,33.3322337380712
"Central African Republic","CAF",23.4263327799409,36.4193044299887,36.0774871532986,35.7087643640963,39.8837719516938,46.9800224539673,47.4798024232916
"Central Europe and the Baltics","CEB",57.8994217992002,59.3909738310823,59.2497233907954,59.1892858168623,61.0658564305206,62.2416448295417,60.7577162259501
"Chad","TCD",39.0833240894528,42.4651602793754,36.5624034599938,37.001888368984,39.7020456976579,38.0140712835805,37.8282721194732
"Chile","CHL",32.7740032218427,32.1618381164479,29.595926695772,27.5394136093454,27.2161650772848,28.7664089511225,28.5619042468245
"China","CHN",22.1451222439903,21.3951551980151,18.1100899269382,17.3100340235353,17.9401372992739,18.3441406165962,17.2648936178818
"Colombia","COL",19.9002090764088,20.8527165314594,22.7105526089485,21.4855137060045,20.1376251940583,20.6679777793781,22.2006881407132
"Comoros","COM",30.1949080601823,29.5593510181742,27.6687537644801,26.4599841389376,28.2630424728857,29.8465449183026,NA
"Congo, Dem. Rep.","COD",41.0200838366321,41.8579612751483,31.6068631633129,31.9687680611657,39.0408574385095,37.9520107409958,35.2217837189832
"Congo, Rep.","COG",66.0719813006917,70.2526329124687,96.3702955606306,85.6766247406842,62.9177990995245,57.4637524086417,34.8031290451671
"Costa Rica","CRI",34.2853571360004,34.7905430591131,31.6933559215415,31.8320227299028,33.0505051951401,33.2155081270408,32.3459747904124
"Cote d'Ivoire","CIV",38.5957789448871,34.3705971529814,25.360174849508,22.9205350403678,23.6206564444479,23.0795621120918,22.0857409934102
"Croatia","HRV",42.5885166163963,43.6810193666382,46.1600960859121,46.5157801514371,49.4091576471102,51.3449009700625,51.7045653358394
"Cuba","CUB",20.2234665837092,17.1902896250744,14.4663904605603,12.2863084163292,11.6766992596876,12.5931035861752,NA
"Curacao","CUW",88.7964697235631,85.3287355824135,NA,NA,NA,NA,NA
"Cyprus","CYP",59.7798484431786,65.1694984964844,67.7013249828294,69.0496284826178,73.3895414381535,72.27945665915,71.5178913213876
"Czech Republic","CZE",71.1072226148134,76.1812643131131,75.0505626571141,71.8390558705031,72.202798068737,72.073159369414,69.3907690914176
"Denmark","DNK",48.2213220971567,47.6507772087923,48.6300543390148,46.7428483571839,48.1422353799985,49.5945167161173,49.1345994439922
"Djibouti","DJI",191.458214156603,140.993551668282,122.644565890695,109.367459778986,156.500382600729,139.038204942995,143.553008907588
"Dominica","DMA",52.0084435855508,50.8410676653187,60.9544585921821,56.3211554035814,59.6251603066488,80.0690932560626,88.2208800154105
"Dominican Republic","DOM",31.5145973901069,30.3450326909749,28.4094954177751,27.6765917337038,26.5429400821881,28.5045350822178,29.2875093019101
"Early-demographic dividend","EAR",29.2107278220152,28.927355645205,27.7660650248706,26.5296624890723,27.6228333197428,29.1263883201808,27.5066563725172
"East Asia & Pacific","EAS",31.11797240886,30.903720365407,27.6322069129334,25.6900592429798,26.8700597876921,27.9460252264522,NA
"East Asia & Pacific (excluding high income)","EAP",26.8800962952605,26.1307667102175,23.1408157713035,22.2596396704944,23.1712096357403,23.9055219732439,22.3186624778335
"East Asia & Pacific (IDA & IBRD countries)","TEA",26.8805058228832,26.1313969641291,23.141704177894,22.2600583244631,23.1714623075847,23.9057739340716,22.3194653542327
"Ecuador","ECU",30.9678677603585,29.6563148434008,23.9856557706229,19.016549070733,21.5889034983957,23.7574469602687,23.3498736197146
"Egypt, Arab Rep.","EGY",23.3551924317351,22.6760563380282,21.6620974671631,19.9010851110947,29.3083573487032,29.3662955784919,NA
"El Salvador","SLV",50.7262753757565,48.5515290251878,47.0741403791411,44.3605258719613,45.2748686907507,48.3928338961765,47.6372034708674
"Equatorial Guinea","GNQ",39.239968263518,38.4159100730149,42.2195853462674,41.1879007790367,43.5651530381,45.7022787638516,52.2474412398967
"Eritrea","ERI",NA,NA,NA,NA,NA,NA,NA
"Estonia","EST",81.3571841244654,77.8642907618956,72.9681600349145,73.5442438598038,71.8574286059871,70.7437935394783,68.5812042715851
"Eswatini","SWZ",46.2646098480604,44.4932756231696,40.8404009434444,42.3180215551933,43.8397192579178,43.9119686157056,NA
"Ethiopia","ETH",28.9877135217855,29.0994642402923,30.2928105475922,27.0869722982698,23.4742626798764,22.8266990770053,20.8258738242349
"Euro area","EMU",39.7409285456832,39.9611265960124,40.4100845354754,39.7722238447811,41.4771702890569,42.313123101378,42.3393038264884
"Europe & Central Asia","ECS",38.2765434623385,38.1952121884137,38.3429560775794,38.1782780142298,39.7150525287752,40.4417292173461,40.4859551184385
"Europe & Central Asia (excluding high income)","ECA",27.8865433646164,27.7063751010438,27.4123285815933,27.4937711504671,28.8200578661695,29.1621416238949,28.9336283470665
"Europe & Central Asia (IDA & IBRD countries)","TEC",31.0830194652346,31.251938518713,31.1025585108955,31.4414791987274,32.8966548276173,33.5193145687735,33.1363397677404
"European Union","EUU",40.8752430345234,41.2604424764288,41.669308161004,41.0533910591367,42.7459149103085,43.6652689338303,43.5743702448619
"Faroe Islands","FRO",56.9840656622137,51.3731421642771,50.3922320927899,NA,NA,NA,NA
"Finland","FIN",39.0762574576279,37.6312851322155,35.9755895640656,36.0880478856922,37.5609043825519,39.5939155494617,39.4900823898899
"Fragile and conflict affected situations","FCS",30.9172156157656,33.1088944005752,NA,NA,NA,NA,NA
"France","FRA",30.3993172078638,30.8121120215465,31.1590715564548,30.852605198715,32.0132141063066,32.7600397680845,32.7510153736559
"French Polynesia","PYF",NA,NA,NA,NA,NA,NA,NA
"Gabon","GAB",33.2776302665374,28.9994366216762,27.9177729544577,26.0980337724197,24.8419864730712,21.5123688593313,21.5609013351493
"Gambia, The","GMB",26.9268733280912,32.8928139624599,32.6453626439573,31.6509073025326,38.9907995485091,41.5109863180911,44.1432953468069
"Georgia","GEO",53.8801319199387,56.8403804138286,57.9065861205245,56.0260631766938,57.5124627100016,61.1970116189904,62.8715593945054
"Germany","DEU",39.6601988368577,39.0008300796262,39.2865511357823,38.6599661784882,40.2959639320922,41.254735570526,41.1304985721397
"Ghana","GHA",35.8578374910211,36.349465253021,43.6275984155246,37.4769955168535,38.3902007441113,36.4138216137452,35.4014084701214
"Greece","GRC",33.1657139410876,34.7764129846611,31.5018900612515,30.7767817664797,34.0101586285405,36.3904688555073,37.1969815824349
"Greenland","GRL",58.2108160084883,48.61576076735,45.5215358812404,45.0726252078338,43.9731891706538,45.0191491349158,NA
