"country","countryiso3","NY.GDP.PCAP.CD_2013","NY.GDP.PCAP.CD_2014","NY.GDP.PCAP.CD_2015","NY.GDP.PCAP.CD_2016","NY.GDP.PCAP.CD_2017","NY.GDP.PCAP.CD_2018"
"Afghanistan","AFG",637.16504385598,613.856332882312,578.466352941708,547.228110150363,556.302138508508,520.896602719135
"Albania","ALB",4413.0817427964,4578.66672031333,3952.82945832578,4124.10890718622,4532.89016212124,5268.84850355919
"Algeria","DZA",5499.58148704572,5493.02558996263,4177.86751715913,3946.4214445883,4044.29837226523,4114.71506136896
"American Samoa","ASM",11505.3937142139,11507.2323493037,11843.3311832581,11696.9555623329,10823.4448040273,11466.6907058505
"Andorra","AND",40626.7516320228,42300.3341276669,36039.6534962289,37224.1089162924,39134.3933706717,42029.7627372989
"Angola","AGO",5254.88233799616,5408.41049555432,4166.97968386501,3506.07288506966,4095.81294155857,3432.38573600893
"Antigua and Barbuda","ATG",12909.7441775006,13501.5809223367,14286.0931598293,15197.6174551735,15383.4151884998,16726.9808079479
"Arab World","ARB",7554.25545077089,7500.4625266439,6460.18296780202,6215.04815015502,6280.74376938016,6610.15026219846
"Argentina","ARG",13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14591.8633810541,11683.9496216363
"Armenia","ARM",3838.18580148382,3986.23162376713,3607.29669672271,3591.82927553023,3914.5012684128,4212.07094272937
"Aruba","ABW",25025.0995629083,25533.5697803984,25796.3802506382,25239.6004109932,25630.2664922069,NA
"Australia","AUS",68150.1070413215,62510.7911705641,56755.7217124249,49971.131456129,54066.4712686117,57395.9194663167
"Austria","AUT",50716.7087062864,51717.4959405515,44178.0473777432,45237.8050921543,47431.630607607,51499.8853614086
"Azerbaijan","AZE",7875.75695254288,7891.31314749986,5500.32049702735,3880.73873089556,4147.08971569171,4722.38167888335
"Bahamas, The","BHS",28768.0298936727,29445.030528852,31405.9635601781,31588.8349989813,31827.2426989661,32217.871590084
"Bahrain","BHR",24744.3576319157,24989.3802145933,22688.9637865734,22619.1166718849,23715.4827473156,24050.7575053956
"Bangladesh","BGD",981.839879150399,1118.8536634927,1248.45339778371,1401.62062821515,1563.99408178663,1698.26280233547
"Barbados","BRB",16452.0369614768,16488.5257614325,16561.8735192273,16936.9060448712,17431.6029248899,17949.2815054371
"Belarus","BLR",7978.87261471076,8318.51268992675,5949.10630699748,5022.62664330491,5761.74712023007,6330.0752464187
"Belgium","BEL",46744.6625441516,47700.5403601178,40991.8081381432,42012.0999001128,44219.5619960117,47472.1367302078
"Belize","BLZ",4568.54205131289,4705.61004483148,4775.91507722419,4818.40439383538,4887.55982047899,4884.74242133376
"Benin","BEN",1251.21051783537,1291.40980818577,1076.79771601166,1087.28783152256,1136.59284704681,1240.82946441954
"Bermuda","BMU",85748.0654143782,NA,NA,NA,NA,NA
"Bhutan","BTN",2472.71430921323,2652.21458816676,2752.66420795769,2930.56298819354,3286.57470378318,3243.23112508014
"Bolivia","BOL",2908.20008548078,3081.87883446506,3035.97221489277,3076.6589493424,3351.12405268555,3548.59013979338
"Bosnia and Herzegovina","BIH",5131.39450642932,5329.63504488766,4727.27738086936,4994.68314045091,5394.59122017677,6065.67270824158
"Botswana","BWA",7224.96517150786,7780.63838460394,6799.87523352768,7243.85299726842,7893.21010771116,8258.64166574691
"Brazil","BRA",12300.3248822758,12112.5882059697,8814.00098681261,8710.09668954121,9925.38623770041,9001.23424863499
"Brunei Darussalam","BRN",44740.085018517,41726.7839720342,31164.5620291141,27157.8234104784,28572.1467776509,31628.3287914349
"Bulgaria","BGR",7646.83986554542,7864.76067225524,6993.78348267387,7469.45563823624,8228.0115697265,9271.54563263874
"Burkina Faso","BFA",699.779405632453,703.820055595173,575.314454176311,582.795444327329,642.429838650148,715.12290404614
"Burundi","BDI",256.976002796754,274.857947913846,305.549772797441,282.193130404814,292.997630684415,271.752044376648
"Cabo Verde","CPV",3615.97904131099,3588.6740539538,3043.01398430098,3130.9822291706,3292.6457550859,3635.40684982339
"Cambodia","KHM",1013.4204006154,1093.49619050796,1162.90491997151,1278.63106216298,1385.45836254396,1510.3248705764
"Cameroon","CMR",1465.2223269067,1540.56818173347,1326.96927718029,1363.40385121739,1421.58749243688,1533.74213975885
"Canada","CAN",52504.655704109,50835.5111782446,43495.0543869902,42279.9008231637,45066.1619018552,46234.3507461125
"Caribbean small states","CSS",10114.7934216653,10174.9211862428,9920.62652056646,9368.93139391198,9515.00723984743,9991.01614896676
"Cayman Islands","CYM",73515.8953177856,74990.4332223775,76280.4862528245,78296.0999272332,81124.5134794821,NA
"Central African Republic","CAF",380.190091651727,423.884124575109,377.271253829801,401.918238362335,449.786423510424,475.721250544318
"Central Europe and the Baltics","CEB",13717.8730677424,14160.8493372061,12489.5118732289,12787.1184759532,14183.3755478199,15926.0982380038
"Chad","TCD",979.533959184118,1018.93095594774,775.707523514754,692.978595813865,664.303315726258,728.343235359289
"Channel Islands","CHI",NA,NA,NA,NA,NA,NA
"Chile","CHL",15842.940805218,14670.9967606057,13574.1718307156,13748.0876632921,15037.3502805385,15923.3587375381
"China","CHN",7050.64591988963,7651.36604428568,8033.38804310679,8078.79047437238,8759.04157775098,9770.84708783314
"Colombia","COL",8212.66782924683,8114.08426438361,6175.87602970259,5871.22352385952,6375.93206285311,6667.7906995498
"Comoros","COM",1504.92085930273,1511.81608327254,1242.10288470331,1272.19394336975,1320.54186667961,1415.26362231562
"Congo, Dem. Rep.","COD",457.96372825635,486.787081921552,497.316960805476,471.318840409572,467.07423746489,561.777182390425
"Congo, Rep.","COG",3047.06458933719,2992.93134863351,1761.32356974061,1814.06341798173,1702.571349341,2147.76946104594
"Costa Rica","CRI",10490.0813312933,10547.1518593556,11299.1355423011,11666.4559107759,11752.5434010771,12027.3658826316
"Cote d'Ivoire","CIV",1415.4693846297,1559.38650354563,1426.45786352384,1481.65223087732,1557.18281424798,1715.53133212649
"Croatia","HRV",13642.19778327,13600.1861816146,11782.9025486428,12360.47325706,13412.3419505426,14915.3720715736
"Cuba","CUB",6837.71289192677,7133.34209494342,7694.0119195241,8060.79588647979,8541.2106734664,8821.81889125004
"Curacao","CUW",20462.7179539813,20258.0096948833,19951.3279030441,19555.3658492891,19457.5315232205,19573.8926023729
"Cyprus","CYP",27729.1926990735,27129.6261211298,23333.7149112129,24532.5190588269,26338.6943443136,28689.6985789646
"Czech Republic","CZE",19916.0193873722,19744.5586092159,17715.6168523009,18463.3865756564,20379.8960396417,23069.383245434
"Denmark","DNK",61191.1937042028,62548.9847332908,53254.8560039631,54663.9983719195,57141.0598350413,61390.6930097009
"Djibouti","DJI",2312.72880330353,2466.01833154344,2675.60537449629,2818.37685569239,2930.70317165342,3082.54309871957
"Dominica","DMA",7016.67647144723,7318.10378289945,7596.43506226258,8080.96862341186,7274.72133332918,7691.34509727878
"Dominican Republic","DOM",6238.13309701676,6608.83225697836,6921.51737075206,7280.87316423465,7609.34549150864,8050.63160184635
"Early-demographic dividend","EAR",3371.82069643012,3440.11980653275,3292.42700428926,3322.93645659957,3547.08865724556,3582.13621212757
"East Asia & Pacific","EAS",9431.8437663939,9648.88837711242,9531.97849487076,9772.53563553669,10341.6670743322,11142.5518735934
"East Asia & Pacific (excluding high income)","EAP",5885.46219168037,6281.56791947315,6489.34705091626,6556.66256817291,7083.68158767935,7822.36754207322
