"country","countryiso3","latest.year_NY.GDP.PCAP.CD","latest.value_NY.GDP.PCAP.CD"
"Afghanistan","AFG",2018,520.896602719135
"Albania","ALB",2018,5268.84850355919
"Algeria","DZA",2018,4114.71506136896
"American Samoa","ASM",2018,11466.6907058505
"Andorra","AND",2018,42029.7627372989
"Angola","AGO",2018,3432.38573600893
"Antigua and Barbuda","ATG",2018,16726.9808079479
"Arab World","ARB",2018,6608.80697772202
"Argentina","ARG",2018,11683.9496216363
"Armenia","ARM",2018,4212.07094272937
"Aruba","ABW",2017,25630.2664922069
"Australia","AUS",2018,57373.6866841281
"Austria","AUT",2018,51461.9547804677
"Azerbaijan","AZE",2018,4721.17808673142
"Bahamas, The","BHS",2018,32217.871590084
"Bahrain","BHR",2018,24050.7575053956
"Bangladesh","BGD",2018,1698.26280233547
"Barbados","BRB",2018,17949.2815054371
"Belarus","BLR",2018,6289.93855308212
"Belgium","BEL",2018,47518.6360388914
"Belize","BLZ",2018,4884.74242133376
"Benin","BEN",2018,901.543871206357
"Bermuda","BMU",2013,85748.0654143782
"Bhutan","BTN",2018,3243.23112508014
"Bolivia","BOL",2018,3548.59013979338
"Bosnia and Herzegovina","BIH",2018,6065.67270824158
"Botswana","BWA",2018,8258.64166574691
"Brazil","BRA",2018,8920.76210462979
"Brunei Darussalam","BRN",2018,31628.3287914349
"Bulgaria","BGR",2018,9272.62930360848
"Burkina Faso","BFA",2018,715.12290404614
"Burundi","BDI",2018,271.752044376648
"Cabo Verde","CPV",2018,3635.40684982339
"Cambodia","KHM",2018,1510.3248705764
"Cameroon","CMR",2018,1533.74213975885
"Canada","CAN",2018,46232.9896226967
"Caribbean small states","CSS",2018,9991.01614896676
"Cayman Islands","CYM",2017,81124.5134794821
"Central African Republic","CAF",2018,475.721250544318
"Central Europe and the Baltics","CEB",2018,15929.004063352
"Chad","TCD",2018,728.343235359289
"Channel Islands","CHI",NA,NA
"Chile","CHL",2018,15923.3587375381
"China","CHN",2018,9770.84708783314
"Colombia","COL",2018,6667.7906995498
"Comoros","COM",2018,1415.26362231562
"Congo, Dem. Rep.","COD",2018,561.777182390425
"Congo, Rep.","COG",2018,2147.76946104594
"Costa Rica","CRI",2018,12027.3658826316
"Cote d'Ivoire","CIV",2018,1715.53133212649
"Croatia","HRV",2018,14909.6931860854
"Cuba","CUB",2018,8821.81889125004
"Curacao","CUW",2018,19567.8924351055
"Cyprus","CYP",2018,28689.6985789646
"Czech Republic","CZE",2018,23078.5734865691
"Denmark","DNK",2018,61350.3479093986
"Djibouti","DJI",2018,3082.54309871957
"Dominica","DMA",2018,7691.34509727878
"Dominican Republic","DOM",2018,8050.63160184635
"Early-demographic dividend","EAR",2018,3582.13467571273
"East Asia & Pacific","EAS",2018,11142.5912256168
"East Asia & Pacific (excluding high income)","EAP",2018,7822.8548040433
"East Asia & Pacific (IDA & IBRD countries)","TEA",2018,7905.0351475861
"Ecuador","ECU",2018,6344.87197850057
"Egypt, Arab Rep.","EGY",2018,2549.13225178609
"El Salvador","SLV",2018,4058.25243928118
"Equatorial Guinea","GNQ",2018,10261.7600116887
"Eritrea","ERI",NA,NA
"Estonia","EST",2018,23266.3462718751
"Eswatini","SWZ",2018,4145.97411168691
"Ethiopia","ETH",2018,772.313530261357
"Euro area","EMU",2018,39927.6175863294
"Europe & Central Asia","ECS",2018,25107.2744154631
"Europe & Central Asia (excluding high income)","ECA",2018,8163.51710520999
"Europe & Central Asia (IDA & IBRD countries)","TEC",2018,8822.86923223195
"European Union","EUU",2018,35616.086693231
"Faroe Islands","FRO",2016,55822.9147203438
"Fiji","FJI",2018,6266.96796528074
"Finland","FIN",2018,50152.3401411303
"Fragile and conflict affected situations","FCS",2018,1633.16563964279
"France","FRA",2018,41463.6440227034
"French Polynesia","PYF",NA,NA
"Gabon","GAB",2018,7952.52589277651
"Gambia, The","GMB",2018,716.118488979126
"Georgia","GEO",2018,4717.14302573577
"Germany","DEU",2018,47603.0276328757
"Ghana","GHA",2018,2202.31216442504
"Greece","GRC",2018,20324.2535641478
"Greenland","GRL",2016,48181.874188064
"Grenada","GRD",2018,10640.496760331
"Guam","GUM",2018,35712.5621350321
"Guatemala","GTM",2018,4549.01008110721
"Guinea","GIN",2018,878.599613250501
"Guinea-Bissau","GNB",2018,777.969921802522
"Guyana","GUY",2018,4979.00218839886
"Haiti","HTI",2018,868.34202469407
"Heavily indebted poor countries (HIPC)","HPC",2018,934.613745816671
"High income","HIC",2018,44786.5796621349
"Honduras","HND",2018,2500.11321286023
"Hong Kong SAR, China","HKG",2018,48675.6164599767
"Hungary","HUN",2018,16161.9805101918
"IBRD only","IBD",2018,6385.46162560212
"Iceland","ISL",2018,73191.1163154337
"IDA & IBRD total","IBT",2018,5098.61962783852
"IDA blend","IDB",2018,1787.91519951321
"IDA only","IDX",2018,1139.61185397953
"IDA total","IDA",2018,1359.23373518049
"India","IND",2018,2009.97885727039
"Indonesia","IDN",2018,3893.59607757239
"Iran, Islamic Rep.","IRN",2017,5627.74926845456
"Iraq","IRQ",2018,5834.16621076061
"Ireland","IRL",2018,78806.431996268
"Isle of Man","IMN",2017,80989.1722114502
"Israel","ISR",2018,41715.0292840432
"Italy","ITA",2018,34483.2039992043
"Jamaica","JAM",2018,5354.2368587703
"Japan","JPN",2018,39289.9584346358
"Jordan","JOR",2018,4241.78878213854
"Kazakhstan","KAZ",2018,9812.60113654067
"Kenya","KEN",2018,1710.51009699405
"Kiribati","KIR",2018,1625.28610001512
"Korea, Rep.","KOR",2018,31362.75147294
"Kosovo","XKX",2018,4302.27648252378
"Kuwait","KWT",2018,33994.4065667831
"Kyrgyz Republic","KGZ",2018,1281.36366078545
"Lao PDR","LAO",2018,2542.4865281792
"Late-demographic dividend","LTE",2018,9692.65276890505
"Latin America & Caribbean","LCN",2018,9044.21587884566
"Latin America & Caribbean (excluding high income)","LAC",2018,8546.01902176315
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2018,8887.51136267302
"Latvia","LVA",2018,17860.6171980214
