"variable","description"
"total_population.40942","Total Population"
"%_poverty_gap_at_national.40916","% Poverty gap at national poverty lines"
"%_poverty_headcount_ratio.40918","% Poverty headcount ratio at national poverty lines"
"%_rural_poverty_gap_at_na.40921","% Rural poverty gap at national poverty lines"
"% of rural population_rur.40923","% of rural population Rural poverty headcount ratio at national poverty lines"
"%_urban_poverty_gap_at_na.40930","% Urban poverty gap at national poverty lines"
"% of urban population_urb.40932","% of urban population Urban poverty headcount ratio at national poverty lines"
"second 20%_income_share_h.40899","Second 20% Income share held by second 20%"
"third 20%_income_share_he.40900","Third 20% Income share held by third 20%"
"fourth 20%_income_share_h.40901","Fourth 20% Income share held by fourth 20%"
"highest 20%_income_share_.40902","Highest 20% Income share held by highest 20%"
"highest 10%_income_share_.40903","Highest 10% Income share held by highest 10%"
"lowest 10%_income_share_h.40904","Lowest 10% Income share held by lowest 10%"
"lowest 20%_income_share_h.40905","Lowest 20% Income share held by lowest 20%"
"ratio_poverty_headcount_r.40906","ratio Poverty headcount ratio at $1.90 a day (2011 PPP)"
"%_poverty_gap_at_$1.90_a_.40909","% Poverty gap at $1.90 a day (2011 PPP)"
"world bank estimate_gini_.40910","World Bank estimate GINI index"
"% of population_poverty_h.40911","% of population Poverty headcount ratio at $3.20 a day (2011 PPP)"
"%_poverty_gap_at_$3.20_a_.40912","% Poverty gap at $3.20 a day (2011 PPP)"
"millions_number_of_poor_a.40920","millions Number of poor at $1.90 a day (2011 PPP)"
"%_poverty_headcount_ratio.40925","% Poverty headcount ratio at $5.50 a day (2011 PPP)"
"%_poverty_gap_at_$5.50_a_.40926","% Poverty gap at $5.50 a day (2011 PPP)"
"mean_survey_mean_consumpt.40934","Mean Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)"
"%_annualized_average_grow.40935","% Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population"
"mean_survey_mean_consumpt.40936","Mean Survey mean consumption or income per capita, total population (2011 PPP $ per day)"
"%_annualized_average_grow.40937","% Annualized average growth rate in per capita real survey mean consumption or income, total population"
