"country","countryiso3","total_population.40942_2014","total_population.40942_2015","total_population.40942_2016","total_population.40942_2017","%_poverty_gap_at_national.40916_2014","%_poverty_gap_at_national.40916_2015","%_poverty_headcount_ratio.40918_2014","%_poverty_headcount_ratio.40918_2015","%_poverty_headcount_ratio.40918_2016","%_poverty_headcount_ratio.40918_2017","%_rural_poverty_gap_at_na.40921_2014","%_rural_poverty_gap_at_na.40921_2015","% of rural population_rur.40923_2014","% of rural population_rur.40923_2015","%_urban_poverty_gap_at_na.40930_2014","%_urban_poverty_gap_at_na.40930_2015","% of urban population_urb.40932_2014","% of urban population_urb.40932_2015","second 20%_income_share_h.40899_2014","second 20%_income_share_h.40899_2015","second 20%_income_share_h.40899_2016","second 20%_income_share_h.40899_2017","third 20%_income_share_he.40900_2014","third 20%_income_share_he.40900_2015","third 20%_income_share_he.40900_2016","third 20%_income_share_he.40900_2017","fourth 20%_income_share_h.40901_2014","fourth 20%_income_share_h.40901_2015","fourth 20%_income_share_h.40901_2016","fourth 20%_income_share_h.40901_2017","highest 20%_income_share_.40902_2014","highest 20%_income_share_.40902_2015","highest 20%_income_share_.40902_2016","highest 20%_income_share_.40902_2017","highest 10%_income_share_.40903_2014","highest 10%_income_share_.40903_2015","highest 10%_income_share_.40903_2016","highest 10%_income_share_.40903_2017","lowest 10%_income_share_h.40904_2014","lowest 10%_income_share_h.40904_2015","lowest 10%_income_share_h.40904_2016","lowest 10%_income_share_h.40904_2017","lowest 20%_income_share_h.40905_2014","lowest 20%_income_share_h.40905_2015","lowest 20%_income_share_h.40905_2016","lowest 20%_income_share_h.40905_2017","ratio_poverty_headcount_r.40906_2014","ratio_poverty_headcount_r.40906_2015","ratio_poverty_headcount_r.40906_2016","ratio_poverty_headcount_r.40906_2017","%_poverty_gap_at_$1.90_a_.40909_2014","%_poverty_gap_at_$1.90_a_.40909_2015","%_poverty_gap_at_$1.90_a_.40909_2016","%_poverty_gap_at_$1.90_a_.40909_2017","world bank estimate_gini_.40910_2014","world bank estimate_gini_.40910_2015","world bank estimate_gini_.40910_2016","world bank estimate_gini_.40910_2017","% of population_poverty_h.40911_2014","% of population_poverty_h.40911_2015","% of population_poverty_h.40911_2016","% of population_poverty_h.40911_2017","%_poverty_gap_at_$3.20_a_.40912_2014","%_poverty_gap_at_$3.20_a_.40912_2015","%_poverty_gap_at_$3.20_a_.40912_2016","%_poverty_gap_at_$3.20_a_.40912_2017","millions_number_of_poor_a.40920_2014","millions_number_of_poor_a.40920_2015","millions_number_of_poor_a.40920_2016","millions_number_of_poor_a.40920_2017","%_poverty_headcount_ratio.40925_2014","%_poverty_headcount_ratio.40925_2015","%_poverty_headcount_ratio.40925_2016","%_poverty_headcount_ratio.40925_2017","%_poverty_gap_at_$5.50_a_.40926_2014","%_poverty_gap_at_$5.50_a_.40926_2015","%_poverty_gap_at_$5.50_a_.40926_2016","%_poverty_gap_at_$5.50_a_.40926_2017","mean_survey_mean_consumpt.40934_2014","mean_survey_mean_consumpt.40934_2015","mean_survey_mean_consumpt.40934_2016","mean_survey_mean_consumpt.40934_2017","%_annualized_average_grow.40935_2014","%_annualized_average_grow.40935_2015","%_annualized_average_grow.40935_2016","%_annualized_average_grow.40935_2017","mean_survey_mean_consumpt.40936_2014","mean_survey_mean_consumpt.40936_2015","mean_survey_mean_consumpt.40936_2016","mean_survey_mean_consumpt.40936_2017","%_annualized_average_grow.40937_2014","%_annualized_average_grow.40937_2015","%_annualized_average_grow.40937_2016","%_annualized_average_grow.40937_2017"
"Aruba","ABW",103795,104341,104822,105264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG",32758020,33736494,34656032,35530081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","AGO",26920466,27859305,28813463,29784193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","ALB",2889104,2880703,2876101,2873457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra","AND",79223,78014,77281,76965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Arab Emirates","ARE",9070867,9154302,9269612,9400145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","ARG",42981515,43417765,43847430,44271041,NA,NA,NA,NA,30.3,25.7,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,9.6,NA,15.2,NA,15,NA,23.4,NA,22.7,NA,46.6,NA,47.6,NA,29.5,NA,30.9,NA,1.8,NA,1.8,NA,5.1,NA,5,NA,0.7,NA,0.6,NA,0.3,NA,0.3,NA,41.4,NA,42.4,NA,2.8,NA,2.4,NA,0.8,NA,0.7,NA,0.3,NA,0.2,NA,9.1,NA,7.8,NA,2.9,NA,2.4,NA,NA,NA,8.51,NA,NA,NA,0.15,NA,NA,NA,23.26,NA,NA,NA,0,NA
"Armenia","ARM",2906220,2916950,2924816,2930450,4.5,NA,30,29.8,29.4,NA,4.5,NA,29.9,NA,4.5,NA,30,NA,12.7,12.6,12.1,NA,16.9,16.7,17,NA,22,21.8,22.8,NA,40.1,40.7,40.2,NA,25.7,26.7,25.3,NA,3.5,3.4,3.3,NA,8.4,8.2,7.9,NA,2.3,1.9,1.8,NA,0.4,0.4,0.3,NA,31.5,32.4,32.5,NA,16.4,13.5,14.1,NA,3.5,3,2.9,NA,0.1,0.1,0.1,NA,52.3,48.3,43.5,NA,16.7,14.8,14.2,NA,NA,NA,3.53,NA,NA,NA,2.25,NA,NA,NA,7.08,NA,NA,NA,4.58,NA
"American Samoa","ASM",55437,55537,55599,55641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG",98875,99923,100963,102012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
