"country","countryiso3","latest.year_total_population.40942","latest.value_total_population.40942","latest.year_%_poverty_gap_at_national.40916","latest.value_%_poverty_gap_at_national.40916","latest.year_%_poverty_headcount_ratio.40918","latest.value_%_poverty_headcount_ratio.40918","latest.year_%_poverty_headcount_ratio.40925","latest.value_%_poverty_headcount_ratio.40925","latest.year_%_rural_poverty_gap_at_na.40921","latest.value_%_rural_poverty_gap_at_na.40921","latest.year_% of rural population_rur.40923","latest.value_% of rural population_rur.40923","latest.year_%_urban_poverty_gap_at_na.40930","latest.value_%_urban_poverty_gap_at_na.40930","latest.year_% of urban population_urb.40932","latest.value_% of urban population_urb.40932","latest.year_second 20%_income_share_h.40899","latest.value_second 20%_income_share_h.40899","latest.year_third 20%_income_share_he.40900","latest.value_third 20%_income_share_he.40900","latest.year_fourth 20%_income_share_h.40901","latest.value_fourth 20%_income_share_h.40901","latest.year_highest 20%_income_share_.40902","latest.value_highest 20%_income_share_.40902","latest.year_highest 10%_income_share_.40903","latest.value_highest 10%_income_share_.40903","latest.year_lowest 10%_income_share_h.40904","latest.value_lowest 10%_income_share_h.40904","latest.year_lowest 20%_income_share_h.40905","latest.value_lowest 20%_income_share_h.40905","latest.year_ratio_poverty_headcount_r.40906","latest.value_ratio_poverty_headcount_r.40906","latest.year_%_poverty_gap_at_$1.90","latest.value_%_poverty_gap_at_$1.90","latest.year_world bank estimate_gini_.40910","latest.value_world bank estimate_gini_.40910","latest.year_% of population_poverty_h.40911","latest.value_% of population_poverty_h.40911","latest.year_%_poverty_gap_at_$3.20","latest.value_%_poverty_gap_at_$3.20","latest.year_millions_number_of_poor_a.40920","latest.value_millions_number_of_poor_a.40920","latest.year_%_poverty_gap_at_$5.50","latest.value_%_poverty_gap_at_$5.50","latest.year_mean_survey_mean_consumpt.40934","latest.value_mean_survey_mean_consumpt.40934","latest.year_mean_survey_mean_consumpt.40936","latest.value_mean_survey_mean_consumpt.40936","latest.year_%_annualized_average_grow.40935","latest.value_%_annualized_average_grow.40935","latest.year_%_annualized_average_grow.40937","latest.value_%_annualized_average_grow.40937"
"Aruba","ABW",2017,105264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG",2017,35530081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","AGO",2017,29784193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","ALB",2017,2873457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra","AND",2017,76965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Arab Emirates","ARE",2017,9400145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","ARG",2017,44271041,NA,NA,2017,25.7,2016,7.8,NA,NA,NA,NA,NA,NA,NA,NA,2016,9.6,2016,15,2016,22.7,2016,47.6,2016,30.9,2016,1.8,2016,5,2016,0.6,NA,NA,2016,42.4,2016,2.4,NA,NA,2016,0.2,NA,NA,2016,8.51,2016,23.26,2016,0.15,2016,0
"Armenia","ARM",2017,2930450,2014,4.5,2016,29.4,2016,43.5,2014,4.5,2014,29.9,2014,4.5,2014,30,2016,12.1,2016,17,2016,22.8,2016,40.2,2016,25.3,2016,3.3,2016,7.9,2016,1.8,NA,NA,2016,32.5,2016,14.1,NA,NA,2016,0.1,NA,NA,2016,3.53,2016,7.08,2016,2.25,2016,4.58
"American Samoa","ASM",2017,55641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG",2017,102012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","AUS",2017,24598933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
