"country","countryiso3","total_press_freedom_index.32416_2015","total_press_freedom_index.32416_2017","total_press_freedom_index.32416_2018","total_press_freedom_index.32416_2019","total_press_freedom_rank.32417_2015","total_press_freedom_rank.32417_2016","total_press_freedom_rank.32417_2017","total_press_freedom_rank.32417_2018","total_press_freedom_rank.32417_2019"
"Afghanistan","AFG",37.75,39.46,37.28,36.55,114,114,120,118,121
"Angola","AGO",39.89,40.42,38.35,34.96,117,119,125,121,109
"Albania","ALB",29.92,29.92,29.49,29.84,78,72,76,75,82
"Andorra","AND",19.87,21.03,22.21,24.63,29,32,35,37,37
"United Arab Emirates","ARE",36.73,39.39,40.86,43.63,113,113,119,128,133
"Argentina","ARG",25.09,25.07,26.05,28.3,50,47,50,52,57
"Armenia","ARM",28.79,30.38,29.99,28.98,70,75,79,80,61
"Antigua and Barbuda","ATG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","AUS",17.84,16.02,15.46,16.55,21,16,19,19,21
"Austria","AUT",13.18,13.47,14.04,15.33,7,8,11,11,16
"Azerbaijan","AZE",57.89,56.4,59.73,59.13,157,154,162,163,166
"Burundi","BDI",54.1,55.78,55.26,52.89,150,153,160,159,159
"Belgium","BEL",14.18,12.75,13.16,12.07,9,6,9,7,9
"Benin","BEN",28.97,30.32,30.16,31.74,74,74,78,84,96
"Burkina Faso","BFA",22.66,23.85,23.33,24.53,38,39,42,41,NA
"Bangladesh","BGD",45.94,48.36,48.62,50.74,138,139,146,146,150
"Bulgaria","BGR",34.46,35.01,35.22,35.11,107,103,109,111,111
"Bahrain","BHR",54.86,58.88,60.85,61.31,156,156,164,166,167
"Bosnia and Herzegovina","BIH",28.45,27.83,27.37,29.02,64,61,65,62,63
"Belarus","BLR",54.32,52.43,52.59,51.66,151,146,153,155,153
"Belize","BLZ",20.61,23.43,24.55,27.5,32,38,41,47,53
"Bolivia","BOL",31.78,33.88,32.45,35.38,93,101,107,110,113
"Brazil","BRA",32.62,33.58,31.2,32.79,99,97,103,102,105
"Brunei Darussalam","BRN",53.85,53.72,51.48,51.48,149,149,156,153,152
"Bhutan","BTN",30.73,30.73,30.73,29.81,90,80,84,94,80
"Botswana","BWA",22.91,24.93,25.29,25.09,39,45,48,48,44
"Central African Republic","CAF",33.6,36.12,35.25,47.27,104,107,113,112,145
"Canada","CAN",15.26,16.53,15.28,15.69,14,19,22,18,18
"Switzerland","CHE",11.76,12.13,11.27,10.52,3,4,7,5,6
"Chile","CHL",19.23,20.53,22.69,25.65,27,30,33,38,46
"China","CHN",80.96,77.66,78.29,78.92,173,169,176,176,177
"Cote d'Ivoire","CIV",30.17,30.42,30.08,29.52,82,77,81,82,71
"Cameroon","CMR",40.53,41.59,40.92,43.32,120,124,130,129,131
"Congo, Dem. Rep.","COD",50.97,52.67,51.6,51.71,146,NA,154,154,154
"Congo, Rep.","COG",35.84,36.73,35.42,36.04,109,109,115,114,117
"Colombia","COL",44.11,41.47,41.03,42.82,128,123,129,130,129
"Comoros","COM",24.33,24.33,25.3,27.91,46,41,44,49,56
"Cabo Verde","CPV",19.82,18.02,20.39,19.81,28,24,27,29,25
"Costa Rica","CRI",11.1,11.93,14.01,12.24,2,3,6,10,10
"Cuba","CUB",70.23,71.75,68.9,63.81,164,166,173,172,169
"Cyprus","CYP",18.26,19.79,19.85,21.74,23,27,30,25,28
"Czech Republic","CZE",16.66,16.91,21.89,24.89,17,20,23,34,40
"Germany","DEU",14.8,14.97,14.39,14.6,12,13,16,15,13
"Djibouti","DJI",70.9,70.54,70.77,71.36,165,165,172,173,173
"Denmark","DNK",8.89,10.36,13.99,9.87,172,1,4,9,5
"Dominican Republic","DOM",27.9,26.76,26.79,27.9,58,55,59,59,55
"Algeria","DZA",41.69,42.83,43.13,45.75,123,128,134,136,141
"Ecuador","ECU",33.21,33.64,30.56,31.88,103,99,105,92,97
"Egypt, Arab Rep.","EGY",54.45,55.78,56.72,56.47,153,153,161,161,163
"Eritrea","ERI",83.92,84.24,84.24,80.26,177,174,179,179,178
"Spain","ESP",19.92,18.69,20.51,21.99,30,26,29,31,29
"Estonia","EST",14.31,13.55,14.08,12.27,10,9,12,12,11
"Ethiopia","ETH",45.13,50.34,50.17,35.11,136,143,150,150,110
"Finland","FIN",8.59,8.92,10.26,7.9,169,171,3,4,2
"Fiji","FJI",29.37,28.64,26.55,27.18,76,63,67,57,52
"France","FRA",23.83,22.24,21.87,22.21,41,36,39,33,32
"Gabon","GAB",32.2,34.83,32.37,35.6,96,102,108,108,115
"United Kingdom","GBR",21.7,22.26,23.25,22.23,34,37,40,40,33
"Georgia","GEO",27.96,27.76,27.34,28.98,60,60,64,61,60
"Ghana","GHA",17.95,17.95,18.41,20.81,22,23,26,23,27
"Guinea","GIN",33.08,33.15,31.9,33.49,102,95,101,104,107
"Gambia, The","GMB",46.53,46.7,38.36,31.35,139,136,143,122,92
"Guinea-Bissau","GNB",29.03,30.09,30.09,30.95,75,118793,77,83,89
"Equatorial Guinea","GNQ",66.47,66.47,66.47,58.35,161,163,171,171,165
"Greece","GRC",30.35,30.89,29.19,29.08,85,83,88,74,65
"Grenada","GRD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","GTM",38.03,39.33,36.17,35.94,115,112,118,116,116
"Guyana","GUY",27.07,26.8,26.25,26.63,53,56,60,55,51
"Hong Kong SAR, China","HKG",28.5,29.46,29.04,29.65,65,69,73,70,73
"Honduras","HND",44.62,43.75,45.23,48.53,131,133,140,141,146
"Croatia","HRV",27.91,29.59,28.94,29.03,59,70,74,69,64
"Haiti","HTI",24.66,26.36,26.82,29,49,49,53,60,62
"Hungary","HUN",28.17,29.01,29.11,30.44,63,67,71,73,87
"Indonesia","IDN",41.72,39.93,39.68,36.77,124,118,124,124,124
"India","IND",43.17,42.94,43.24,45.67,127,18909,136,138,140
"Ireland","IRL",12.4,14.08,14.59,15,5,11,14,16,15
"Iran, Islamic Rep.","IRN",66.52,65.12,60.71,64.41,162,157,165,164,170
"Iraq","IRQ",54.35,54.03,56.56,52.6,152,151,158,160,156
"Iceland","ISL",15.3,13.03,14.1,14.71,15,7,10,13,14
"Israel","ISR",32.58,31.01,30.26,30.8,97,86,91,87,88
"Italy","ITA",28.93,26.26,24.12,24.98,73,48,52,46,43
"Jamaica","JAM",12.45,12.73,11.33,11.13,6,5,8,6,8
"Jordan","JOR",44.49,43.24,41.71,43.11,129,131,138,132,130
"Japan","JPN",28.67,29.44,28.64,29.36,68,68,72,67,67
"Kazakhstan","KAZ",54.55,54.01,54.41,52.82,154,150,157,158,158
"Kenya","KEN",31.16,31.2,30.82,32.44,91,89,95,96,100
"Kyrgyz Republic","KGZ",30.16,30.92,31,29.92,81,84,89,98,83
"Cambodia","KHM",40.7,42.07,45.9,45.9,122,126,132,142,143
"Korea, Rep.","KOR",28.58,27.61,23.51,24.94,66,59,63,43,41
"Kosovo","KSV",64527,NA,NA,NA,121056,119285,NA,NA,NA
"Kuwait","KWT",32.59,33.61,31.91,33.86,98,98,104,105,108
"Lao PDR","LAO",71.58,66.41,66.41,64.49,166,162,170,170,171
"Lebanon","LBN",31.95,33.01,31.15,32.44,94,93,99,100,101
"Liberia","LBR",30.71,31.12,30.33,31.49,89,88,94,89,93
"Libya","LBY",57.89,56.81,56.79,55.77,157,155,163,162,162
"Liechtenstein","LIE",18.36,20.31,20.49,20.49,24,29,32,30,26
"Sri Lanka","LKA",44.96,44.34,41.37,39.61,135,134,141,131,126
"Lesotho","LSO",28.78,28.78,28.78,29.74,69,64,68,68,78
"Lithuania","LTU",19.95,21.37,22.2,22.06,31,33,36,36,30
"Luxembourg","LUX",14.43,14.72,14.72,15.66,11,12,15,17,17
"Latvia","LVA",17.38,18.62,19.63,19.53,20,25,28,24,24
"Morocco","MAR",42.64,42.42,43.13,43.98,125,127,133,135,135
"Moldova","MDA",28.83,30.41,30.01,31.21,72,76,80,81,91
"Madagascar","MDG",27.04,26.71,26.2,27.76,52,53,57,54,54
"Maldives","MDV",34.17,39.3,37.95,32.16,106,111,117,120,98
"Mexico","MEX",49.33,48.97,48.91,46.78,143,140,147,147,144
"Macedonia, FYR","MKD",36.09,35.74,32.43,31.66,112,105,111,109,95
"Mali","MLI",39.83,38.27,36.15,35.23,116,110,116,115,112
"Malta","MLT",23.84,24.76,27.44,29.74,42,44,47,65,77
"Myanmar","MMR",45.48,41.82,43.15,44.92,137,125,131,137,138
"Montenegro","MNE",32.79,33.65,31.21,32.74,100,100,106,103,104
"Mongolia","MNG",27.61,28.95,29.05,29.51,56,65,69,71,70
"Mozambique","MOZ",30.25,31.05,31.12,32.66,83,87,93,99,103
"Mauritania","MRT",24.03,26.49,29.09,31.65,44,51,55,72,94
"Mauritius","MUS",27.69,26.67,26.45,28.46,57,52,56,56,58
"Malawi","MWI",28.12,28.97,27.43,29.36,62,66,70,64,68
"Malaysia","MYS",46.57,46.89,47.41,36.74,140,137,144,145,123
"Namibia","NAM",15.15,17.08,20.24,18.95,13,21,24,26,23
"Niger","NER",24.62,27.21,27.4,29.26,48,57,61,63,66
"Nigeria","NGA",35.9,39.69,37.41,36.5,110,116,122,119,120
"Nicaragua","NIC",28.82,31.01,30.41,35.53,71,86,92,90,114
"Netherlands","NLD",8.76,11.28,10.01,8.63,170,2,5,3,4
"Norway","NOR",8.79,7.6,7.63,7.82,171,164,1,1,1
"Nepal","NPL",32.62,33.02,32.05,33.4,99,94,100,106,106
"New Zealand","NZL",10.01,13.98,13.62,10.75,1,10,13,8,7
"Oman","OMN",40.43,40.46,40.67,43.42,119,120,126,127,132
"Pakistan","PAK",48.52,43.55,43.24,45.83,141,132,139,139,142
"Panama","PAN",30.59,32.12,30.56,29.78,87,90,96,91,79
"Peru","PER",29.99,30.98,30.27,30.22,80,85,90,88,85
"Philippines","PHL",44.66,41.08,42.53,43.91,132,121,127,133,134
"Papua New Guinea","PNG",25.81,25.07,26.19,24.7,51,47,51,53,38
"Poland","POL",23.89,26.47,26.59,28.89,43,50,54,58,59
"Korea, Dem. People’s Rep.","PRK",83.76,84.98,88.87,83.4,176,NA,180,180,179
"Portugal","PRT",17.27,15.77,14.17,12.63,19,15,18,14,12
"Paraguay","PRY",33.63,35.64,32.32,32.4,105,104,110,107,99
"West Bank and Gaza","PSE",NA,42.9,42.96,44.68,NA,NA,135,134,137
"Qatar","QAT",35.97,39.83,40.16,42.51,111,117,123,125,128
"Romania","ROU",24.29,24.46,23.65,25.67,45,43,46,44,47
"Russian Federation","RUS",49.03,49.45,49.96,50.31,142,141,148,148,149
"Rwanda","RWA",54.61,54.11,52.9,52.43,155,152,159,156,155
"Saudi Arabia","SAU",59.72,66.02,63.13,65.88,158,160,168,169,172
"Sudan","SDN",72.53,73.56,71.13,72.45,167,167,174,174,175
"Senegal","SEN",27.99,26.72,25.61,25.81,61,54,58,50,49
"Singapore","SGP",52.96,51.1,50.95,51.41,148,144,151,151,151
"Sierra Leone","SLE",29.94,30.73,29.98,30.36,79,80,85,79,86
"El Salvador","SLV",27.2,27.24,27.78,29.81,54,58,62,66,81
"Somalia","SOM",65.35,65.95,63.04,57.24,160,159,167,168,164
"Serbia","SRB",27.6,28.05,29.58,31.18,55,62,66,76,90
"South Sudan","SSD",44.87,48.16,46.88,45.65,134,138,145,144,139
"Suriname","SUR",16.7,16.07,16.44,16.38,18,17,20,21,20
"Slovak Republic","SVK",13.26,15.51,20.26,23.58,8,14,17,27,35
"Slovenia","SVN",22.26,21.7,21.69,22.31,36,34,37,32,34
"Sweden","SWE",12.33,8.27,8.31,8.31,4,170,2,2,3
"Swaziland","SWZ",52.37,51.27,51.46,49.09,147,145,152,152,147
"Seychelles","SYC",30.6,30.86,30.17,29.41,88,82,87,85,69
"Syrian Arab Republic","SYR",81.35,81.49,79.22,71.78,174,172,177,177,174
"Chad","TCD",40.59,39.66,38.45,36.71,121,115,121,123,122
"Togo","TGO",30.31,30.75,30.23,29.69,84,81,86,86,76
"Thailand","THA",44.53,44.69,44.31,44.1,130,135,142,140,136
"Tajikistan","TJK",50.34,50.27,50.06,54.02,144,142,149,149,161
"Turkmenistan","TKM",83.44,84.19,84.2,85.44,175,173,178,178,180
"Timor-Leste","TLS",32.02,32.82,30.81,29.93,95,92,98,95,84
"Tonga","TON",21.24,24.97,25.68,25.41,33,46,49,51,45
"Trinidad and Tobago","TTO",23.29,20.62,22.79,24.74,40,31,34,39,39
"Tunisia","TUN",31.6,32.22,30.91,29.61,92,91,97,97,72
"Turkey","TUR",50.76,52.98,53.5,52.81,145,148,155,157,157
"Taiwan, China","TWN",NA,24.37,23.36,24.98,NA,NA,45,42,42
"Tanzania","TZA",28.65,30.65,30.65,36.28,67,79,83,93,118
"Uganda","UGA",32.58,35.94,36.77,39.42,97,106,112,117,125
"Ukraine","UKR",32.93,33.19,31.16,32.46,101,96,102,101,102
"Uruguay","URY",15.88,17.43,15.56,16.06,16,22,25,20,19
"United States","USA",22.49,23.88,23.73,25.69,37,40,43,45,48
"Uzbekistan","UZB",61.15,66.11,60.84,53.52,159,161,169,165,160
"Venezuela, RB","VEN",44.77,42.94,46.03,49.1,133,130,137,143,148
"Vietnam","VNM",74.27,73.96,75.05,74.93,168,168,175,175,176
"Samoa","WSM",18.8,16.41,16.69,18.25,25,18,21,22,22
"Yemen, Rep.","YEM",67.07,65.8,62.23,61.66,163,158,166,167,168
"South Africa","ZAF",21.92,20.12,20.39,22.19,35,28,31,28,31
"Zambia","ZMB",35.08,36.48,35.36,36.38,108,108,114,113,119
"Zimbabwe","ZWE",40.41,41.44,40.53,42.23,118,122,128,126,127
