"country","countryiso3","latest.year_total_press_freedom_index.32416","latest.value_total_press_freedom_index.32416","latest.year_total_press_freedom_rank.32417","latest.value_total_press_freedom_rank.32417"
"Afghanistan","AFG",2019,36.55,2019,121
"Angola","AGO",2019,34.96,2019,109
"Albania","ALB",2019,29.84,2019,82
"Andorra","AND",2019,24.63,2019,37
"United Arab Emirates","ARE",2019,43.63,2019,133
"Argentina","ARG",2019,28.3,2019,57
"Armenia","ARM",2019,28.98,2019,61
"Antigua and Barbuda","ATG",NA,NA,NA,NA
"Australia","AUS",2019,16.55,2019,21
"Austria","AUT",2019,15.33,2019,16
"Azerbaijan","AZE",2019,59.13,2019,166
"Burundi","BDI",2019,52.89,2019,159
"Belgium","BEL",2019,12.07,2019,9
"Benin","BEN",2019,31.74,2019,96
"Burkina Faso","BFA",2019,24.53,2018,41
"Bangladesh","BGD",2019,50.74,2019,150
"Bulgaria","BGR",2019,35.11,2019,111
"Bahrain","BHR",2019,61.31,2019,167
"Bosnia and Herzegovina","BIH",2019,29.02,2019,63
"Belarus","BLR",2019,51.66,2019,153
"Belize","BLZ",2019,27.5,2019,53
"Bolivia","BOL",2019,35.38,2019,113
"Brazil","BRA",2019,32.79,2019,105
"Brunei Darussalam","BRN",2019,51.48,2019,152
"Bhutan","BTN",2019,29.81,2019,80
"Botswana","BWA",2019,25.09,2019,44
"Central African Republic","CAF",2019,47.27,2019,145
"Canada","CAN",2019,15.69,2019,18
"Switzerland","CHE",2019,10.52,2019,6
"Chile","CHL",2019,25.65,2019,46
"China","CHN",2019,78.92,2019,177
"Cote d'Ivoire","CIV",2019,29.52,2019,71
"Cameroon","CMR",2019,43.32,2019,131
"Congo, Dem. Rep.","COD",2019,51.71,2019,154
"Congo, Rep.","COG",2019,36.04,2019,117
"Colombia","COL",2019,42.82,2019,129
"Comoros","COM",2019,27.91,2019,56
"Cabo Verde","CPV",2019,19.81,2019,25
"Costa Rica","CRI",2019,12.24,2019,10
"Cuba","CUB",2019,63.81,2019,169
