"country","countryiso3","SE.XPD.SECO.PC.ZS_2013","SE.XPD.SECO.PC.ZS_2014","SE.XPD.SECO.PC.ZS_2015","SE.XPD.SECO.PC.ZS_2016","SE.XPD.SECO.PC.ZS_2017","SE.XPD.SECO.PC.ZS_2018"
"Afghanistan","AFG",11.32094,12.03027,10.29234,11.98575,11.3072,NA
"Albania","ALB",5.86682,NA,6.78368,9.82258,7.97805,NA
"Algeria","DZA",NA,NA,NA,NA,NA,NA
"Andorra","AND",16.375,11.27472,14.38817,13.63639,13.56321,13.93424
"Antigua and Barbuda","ATG",NA,NA,NA,NA,NA,NA
"Argentina","ARG",21.62494,21.31954,22.87436,21.59171,20.6226,NA
"Armenia","ARM",14.8701,14.57604,NA,NA,NA,NA
"Aruba","ABW",NA,NA,NA,NA,NA,NA
"Australia","AUS",16.77557,16.54706,17.13625,14.98139,NA,NA
"Austria","AUT",27.58908,27.05619,27.293,27.72044,NA,NA
"Bahrain","BHR",15.90834,15.75927,17.50832,NA,NA,NA
"Bangladesh","BGD",NA,NA,NA,9.88363,NA,NA
"Barbados","BRB",NA,19.32011,NA,28.03908,NA,NA
"Belarus","BLR",NA,NA,NA,NA,35.66614,NA
"Belgium","BEL",24.52636,NA,NA,NA,NA,NA
"Belize","BLZ",21.93179,23.80357,26.00505,26.1109,27.31837,NA
"Benin","BEN",13.80213,13.01251,11.34655,NA,NA,NA
"Bermuda","BMU",NA,12.55218,11.92934,NA,NA,NA
"Bhutan","BTN",32.38232,33.94304,29.42942,NA,NA,NA
"Bosnia and Herzegovina","BIH",NA,NA,NA,43.51293,NA,NA
"Botswana","BWA",NA,NA,NA,NA,NA,NA
"Brazil","BRA",20.57305,20.56801,21.52655,NA,NA,NA
"British Virgin Islands","VGB",NA,NA,14.06042,NA,10.85147,NA
"Brunei Darussalam","BRN",NA,10.13979,NA,23.64457,NA,NA
"Bulgaria","BGR",22.18229,NA,NA,NA,NA,NA
"Burkina Faso","BFA",15.59634,16.09687,17.26223,19.92959,NA,NA
"Burundi","BDI",31.24881,NA,NA,NA,NA,NA
"Cabo Verde","CPV",16.54934,16.34377,18.65404,19.87578,19.66117,NA
"Cambodia","KHM",NA,NA,NA,NA,NA,NA
"Cameroon","CMR",NA,NA,NA,NA,NA,NA
"Canada","CAN",NA,NA,NA,NA,NA,NA
"Caribbean small states","CSS",30.84302,24.15659,28.75004,27.60237,27.15691,29.72732
"Cayman Islands","CYM",NA,NA,NA,NA,NA,NA
"Central African Republic","CAF",NA,NA,NA,NA,NA,NA
"Central Europe and the Baltics","CEB",22.533805,23.07045,22.25324,22.30415,NA,NA
"Chad","TCD",17.73265,NA,NA,NA,NA,NA
"Chile","CHL",15.01836,15.10182,16.63683,18.48666,18.68243,NA
"China","CHN",NA,NA,NA,NA,NA,NA
"Colombia","COL",16.23337,16.88747,15.68956,15.63588,17.26919,17.64699
"Comoros","COM",7.28925,8.48165,NA,NA,NA,NA
"Congo, Dem. Rep.","COD",5.28871,NA,NA,NA,NA,NA
"Congo, Rep.","COG",NA,NA,NA,NA,NA,NA
"Costa Rica","CRI",24.47234,23.93812,25.12593,24.03879,24.67935,21.14089
"Cote d'Ivoire","CIV",NA,27.17591,24.16853,22.82275,20.80971,18.84725
"Cuba","CUB",NA,NA,NA,NA,NA,NA
"Curacao","CUW",22.93856,NA,NA,NA,NA,NA
"Cyprus","CYP",38.33015,37.24,39.39051,39.29112,NA,NA
"Czech Republic","CZE",23.74451,23.53828,23.6677,22.30415,NA,NA
"Denmark","DNK",27.91977,31.13589,NA,NA,NA,NA
"Djibouti","DJI",NA,NA,1.03886,0.72783,NA,NA
"Dominica","DMA",NA,NA,18.77678,NA,NA,NA
"Dominican Republic","DOM",13.70653,13.64495,14.26615,14.91552,18.7182,15.09618
"Ecuador","ECU",5.08401,4.94326,5.07928,5.2853,NA,NA
"Egypt, Arab Rep.","EGY",NA,NA,NA,NA,13.79696,NA
"El Salvador","SLV",11.50642,11.86216,13.09878,15.0163,15.53204,15.0804
"Eritrea","ERI",NA,NA,NA,NA,NA,NA
"Estonia","EST",23.20386,23.77379,22.25324,21.17125,NA,NA
"Eswatini","SWZ",NA,28.22603,NA,NA,NA,NA
"Ethiopia","ETH",NA,NA,16.76439,NA,NA,NA
"Euro area","EMU",24.52636,24.436335,23.262015,23.031085,NA,NA
"Europe & Central Asia","ECS",23.462365,23.656035,23.00137,23.02147,NA,NA
"European Union","EUU",23.73269,23.656035,23.00137,23.02147,NA,NA
"Fiji","FJI",NA,NA,NA,NA,NA,NA
"Finland","FIN",26.1282,26.07076,25.80386,24.75238,NA,NA
"France","FRA",26.72217,26.78417,26.46082,26.28009,NA,NA
"Gambia, The","GMB",NA,NA,NA,NA,NA,NA
"Georgia","GEO",NA,NA,NA,NA,NA,NA
"Germany","DEU",23.18698,23.19245,23.00137,22.95939,NA,NA
"Ghana","GHA",19.33164,19.96045,NA,NA,NA,NA
"Greece","GRC",NA,NA,23.52266,23.02147,NA,NA
"Grenada","GRD",NA,NA,NA,NA,10.89262,NA
"Guatemala","GTM",5.46869,5.55752,5.06996,5.12475,5.09271,5.42101
"Guinea","GIN",NA,8.24883,NA,NA,NA,NA
"Guyana","GUY",NA,NA,NA,NA,NA,NA
"High income","HIC",22.90814,22.973355,22.82228,22.760205,NA,NA
"Honduras","HND",20.34188,NA,NA,NA,NA,NA
"Hong Kong SAR, China","HKG",18.66867,19.30654,20.3016,21.33223,22.20254,22.03149
"Hungary","HUN",16.31046,23.07045,21.17405,23.05651,NA,NA
"Iceland","ISL",18.11362,19.35348,20.35202,19.39879,NA,NA
"India","IND",16.8546,NA,NA,NA,NA,NA
"Indonesia","IDN",9.86514,9.95311,10.52216,NA,NA,NA
"Iran, Islamic Rep.","IRN",17.89104,14.66707,14.37244,16.89063,17.52858,NA
"Ireland","IRL",23.72087,21.61642,16.4223,15.94208,NA,NA
"Israel","ISR",17.82235,17.66172,18.64104,18.65667,NA,NA
"Italy","ITA",22.90814,22.22138,22.90489,NA,NA,NA
"Jamaica","JAM",30.84302,24.15659,28.75004,27.60237,27.15691,29.72732
"Japan","JPN",24.73159,24.01273,NA,24.05154,NA,NA
"Jordan","JOR",NA,NA,NA,NA,17.09086,15.58689
"Kazakhstan","KAZ",18.6624,19.54299,19.15682,21.20877,NA,NA
"Kenya","KEN",NA,NA,NA,NA,NA,NA
"Korea, Rep.","KOR",NA,NA,NA,28.17817,NA,NA
"Kuwait","KWT",NA,17.29438,NA,NA,NA,NA
"Lao PDR","LAO",14.51405,12.53244,NA,NA,NA,NA
"Late-demographic dividend","LTE",20.0836,NA,NA,NA,NA,NA
"Latin America & Caribbean","LCN",15.885795,15.39478,15.20393,15.0163,NA,NA
"Latin America & Caribbean (excluding high income)","LAC",15.885795,15.39478,14.997425,14.91552,NA,NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",15.53822,15.2483,15.20393,15.0163,NA,NA
"Latvia","LVA",36.94747,27.415,28.27553,26.43476,NA,NA
"Least developed countries: UN classification","LDC",NA,NA,NA,NA,NA,NA
"Lebanon","LBN",6.3953,NA,NA,NA,NA,NA
"Lesotho","LSO",NA,NA,NA,NA,NA,29.99591
"Liberia","LBR",NA,NA,17.73005,NA,NA,NA
"Liechtenstein","LIE",NA,NA,NA,NA,NA,NA
"Lithuania","LTU",18.30123,18.28679,17.42974,17.89823,NA,NA
"Low income","LIC",NA,NA,NA,NA,NA,NA
"Luxembourg","LUX",19.89466,20.53711,19.40807,NA,NA,NA
"Macao SAR, China","MAC",NA,NA,NA,NA,NA,NA
"Madagascar","MDG",NA,NA,NA,NA,NA,NA
"Malawi","MWI",23.88129,20.54724,26.41518,24.02977,NA,NA
"Malaysia","MYS",20.06423,NA,NA,21.14754,22.59321,22.81098
"Mali","MLI",24.59454,21.93312,23.14329,20.51885,25.49535,NA
"Malta","MLT",39.16536,34.51957,29.54522,NA,NA,NA
"Marshall Islands","MHL",NA,NA,NA,NA,NA,NA
"Mauritania","MRT",15.27856,NA,17.85968,14.17252,NA,NA
"Mauritius","MUS",19.19303,28.72759,30.67578,31.32815,31.95951,31.32456
"Mexico","MEX",15.53822,15.39478,15.20393,14.42638,NA,NA
"Middle East & North Africa (excluding high income)","MNA",NA,NA,NA,NA,NA,NA
"Middle East & North Africa (IDA & IBRD countries)","TMN",NA,NA,NA,NA,NA,NA
