"country","countryiso3","latest.year_SE.XPD.SECO.PC.ZS","latest.value_SE.XPD.SECO.PC.ZS"
"Afghanistan","AFG",2017,11.3072
"Albania","ALB",2017,7.97805
"Algeria","DZA",NA,NA
"Andorra","AND",2018,13.93424
"Antigua and Barbuda","ATG",NA,NA
"Argentina","ARG",2017,20.6226
"Armenia","ARM",2014,14.57604
"Aruba","ABW",NA,NA
"Australia","AUS",2016,14.98139
"Austria","AUT",2016,27.72044
"Bahrain","BHR",2015,17.50832
"Bangladesh","BGD",2016,9.88363
"Barbados","BRB",2016,28.03908
"Belarus","BLR",2017,35.66614
"Belgium","BEL",2013,24.52636
"Belize","BLZ",2017,27.31837
"Benin","BEN",2015,11.34655
"Bermuda","BMU",2015,11.92934
"Bhutan","BTN",2015,29.42942
"Bosnia and Herzegovina","BIH",2016,43.51293
"Botswana","BWA",NA,NA
"Brazil","BRA",2015,21.52655
"British Virgin Islands","VGB",2017,10.85147
"Brunei Darussalam","BRN",2016,23.64457
"Bulgaria","BGR",2013,22.18229
"Burkina Faso","BFA",2016,19.92959
"Burundi","BDI",2013,31.24881
"Cabo Verde","CPV",2017,19.66117
"Cambodia","KHM",NA,NA
"Cameroon","CMR",NA,NA
"Canada","CAN",NA,NA
"Caribbean small states","CSS",2018,29.72732
"Cayman Islands","CYM",NA,NA
"Central African Republic","CAF",NA,NA
"Central Europe and the Baltics","CEB",2016,22.30415
"Chad","TCD",2013,17.73265
"Chile","CHL",2017,18.68243
"China","CHN",NA,NA
"Colombia","COL",2018,17.64699
"Comoros","COM",2014,8.48165
"Congo, Dem. Rep.","COD",2013,5.28871
"Congo, Rep.","COG",NA,NA
"Costa Rica","CRI",2018,21.14089
"Cote d'Ivoire","CIV",2018,18.84725
"Cuba","CUB",NA,NA
"Curacao","CUW",2013,22.93856
"Cyprus","CYP",2016,39.29112
"Czech Republic","CZE",2016,22.30415
"Denmark","DNK",2014,31.13589
"Djibouti","DJI",2016,0.72783
"Dominica","DMA",2015,18.77678
"Dominican Republic","DOM",2018,15.09618
"Ecuador","ECU",2016,5.2853
"Egypt, Arab Rep.","EGY",2017,13.79696
"El Salvador","SLV",2018,15.0804
"Eritrea","ERI",NA,NA
"Estonia","EST",2016,21.17125
"Eswatini","SWZ",2014,28.22603
"Ethiopia","ETH",2015,16.76439
"Euro area","EMU",2016,23.031085
"Europe & Central Asia","ECS",2016,23.02147
"European Union","EUU",2016,23.02147
"Fiji","FJI",NA,NA
"Finland","FIN",2016,24.75238
"France","FRA",2016,26.28009
"Gambia, The","GMB",NA,NA
"Georgia","GEO",NA,NA
"Germany","DEU",2016,22.95939
"Ghana","GHA",2014,19.96045
"Greece","GRC",2016,23.02147
"Grenada","GRD",2017,10.89262
"Guatemala","GTM",2018,5.42101
"Guinea","GIN",2014,8.24883
"Guyana","GUY",NA,NA
"High income","HIC",2016,22.760205
"Honduras","HND",2013,20.34188
"Hong Kong SAR, China","HKG",2018,22.03149
"Hungary","HUN",2016,23.05651
"Iceland","ISL",2016,19.39879
"India","IND",2013,16.8546
"Indonesia","IDN",2015,10.52216
"Iran, Islamic Rep.","IRN",2017,17.52858
"Ireland","IRL",2016,15.94208
"Israel","ISR",2016,18.65667
"Italy","ITA",2015,22.90489
"Jamaica","JAM",2018,29.72732
