"country","countryiso3","SE.XPD.TOTL.GD.ZS_2013","SE.XPD.TOTL.GD.ZS_2014","SE.XPD.TOTL.GD.ZS_2015","SE.XPD.TOTL.GD.ZS_2016","SE.XPD.TOTL.GD.ZS_2017","SE.XPD.TOTL.GD.ZS_2018"
"Afghanistan","AFG",3.45446,3.69522,3.2558,4.22836,4.05887,NA
"Albania","ALB",3.5393,NA,3.43797,3.96209,3.61025,2.46866
"Algeria","DZA",NA,NA,NA,NA,NA,NA
"American Samoa","ASM",NA,NA,NA,NA,NA,NA
"Andorra","AND",2.43807,2.99781,3.25368,3.2567,3.19505,3.22691
"Angola","AGO",NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG",NA,NA,NA,NA,NA,NA
"Arab World","ARB",NA,NA,NA,NA,NA,NA
"Argentina","ARG",5.43661,5.36144,5.77611,5.54549,5.46223,NA
"Armenia","ARM",2.65018,2.24724,2.80591,2.75812,2.70759,NA
"Aruba","ABW",6.80806,6.16293,6.48175,6.1899,NA,NA
"Australia","AUS",5.22974,5.16477,5.31196,5.27163,NA,NA
"Austria","AUT",5.54711,5.44762,5.45675,5.5007,NA,NA
"Azerbaijan","AZE",2.44213,2.63304,2.95168,2.90341,2.47382,NA
"Bahamas, The","BHS",NA,NA,NA,NA,NA,NA
"Bahrain","BHR",2.47688,2.46746,2.66808,NA,2.32721,NA
"Bangladesh","BGD",1.96616,NA,NA,1.53554,2.47255,1.98602
"Barbados","BRB",5.09774,6.22941,NA,5.09272,4.65652,NA
"Belarus","BLR",5.00942,4.81831,4.78752,4.94655,4.79499,NA
"Belgium","BEL",6.63966,6.63852,6.53944,6.54513,NA,NA
"Belize","BLZ",6.2572,6.4953,6.76618,7.12481,7.37876,NA
"Benin","BEN",4.54732,4.32113,4.35643,3.99469,4.84464,4.03814
"Bermuda","BMU",NA,1.75958,1.6986,NA,1.50039,NA
"Bhutan","BTN",5.58966,5.90333,7.32193,6.80249,7.02813,6.64043
"Botswana","BWA",NA,NA,NA,NA,NA,NA
"Brazil","BRA",5.83885,5.94848,6.24106,NA,NA,NA
"British Virgin Islands","VGB",NA,NA,5.13479,NA,2.35899,NA
"Brunei Darussalam","BRN",NA,3.35319,NA,4.42541,NA,NA
"Bulgaria","BGR",4.07685,NA,NA,NA,NA,NA
"Burkina Faso","BFA",4.59384,4.55994,4.16607,NA,6.42744,6.03609
"Burundi","BDI",5.99536,6.78452,6.37054,4.69272,4.76183,5.01084
"Cabo Verde","CPV",5.00144,4.96387,5.26691,5.28879,5.17322,NA
"Cambodia","KHM",2.05054,1.90939,NA,NA,NA,2.16286
"Cameroon","CMR",2.76802,2.68713,2.76805,2.65423,3.15482,3.14529
"Canada","CAN",NA,NA,NA,NA,NA,NA
"Caribbean small states","CSS",6.25108,6.01654,5.45576,5.31548,5.26013,5.40731
"Cayman Islands","CYM",NA,NA,NA,NA,NA,NA
"Central African Republic","CAF",NA,NA,NA,NA,NA,NA
"Central Europe and the Baltics","CEB",4.584895,4.63313,4.81231,4.71078,NA,NA
"Chad","TCD",2.85071,NA,NA,NA,2.45482,2.24185
"Chile","CHL",4.52943,4.73095,4.87531,5.34415,5.40274,NA
"China","CHN",NA,NA,NA,NA,NA,NA
"Colombia","COL",4.88174,4.62946,4.47039,4.47721,4.53688,4.50259
"Comoros","COM",2.38276,2.74473,2.48708,NA,NA,NA
"Congo, Dem. Rep.","COD",2.06221,1.95143,2.17044,2.11869,1.45495,NA
"Congo, Rep.","COG",NA,4.0172,4.56147,NA,5.66072,3.63639
"Costa Rica","CRI",6.84934,6.86952,7.08254,7.09768,7.35436,7.02824
"Cote d'Ivoire","CIV",4.729,4.57743,4.82988,5.39423,5.14353,4.36816
"Croatia","HRV",4.55695,NA,NA,NA,NA,NA
"Cuba","CUB",NA,NA,NA,NA,NA,NA
"Curacao","CUW",4.93095,NA,NA,NA,NA,NA
"Cyprus","CYP",6.43177,6.37474,6.3753,6.29136,NA,NA
"Czech Republic","CZE",4.09089,3.99462,5.78885,5.58738,NA,NA
"Denmark","DNK",8.49443,7.63485,NA,NA,NA,NA
"Djibouti","DJI",NA,NA,5.3407,5.79128,5.59124,5.55942
"Dominica","DMA",NA,NA,3.38688,NA,NA,NA
"Dominican Republic","DOM",NA,NA,NA,NA,NA,NA
"Early-demographic dividend","EAR",3.84467,4.038155,NA,NA,NA,NA
"East Asia & Pacific","EAS",3.76032,3.58157,NA,NA,NA,NA
"East Asia & Pacific (excluding high income)","EAP",3.74153,NA,NA,NA,NA,NA
"East Asia & Pacific (IDA & IBRD countries)","TEA",3.74153,3.11291,NA,NA,NA,3.14565
"Ecuador","ECU",5.00464,5.26099,4.9987,NA,NA,NA
"Egypt, Arab Rep.","EGY",NA,NA,NA,NA,NA,NA
"El Salvador","SLV",3.80149,3.82416,3.90988,3.83115,3.73289,3.60075
"Equatorial Guinea","GNQ",NA,NA,NA,NA,NA,NA
"Eritrea","ERI",NA,NA,NA,NA,NA,NA
"Estonia","EST",4.83838,5.39886,5.13904,5.17316,NA,NA
"Eswatini","SWZ",NA,7.12767,NA,NA,NA,NA
"Ethiopia","ETH",4.49855,4.60202,4.73792,NA,NA,NA
"Euro area","EMU",5.33461,5.28294,4.90818,4.80191,NA,NA
"Europe & Central Asia","ECS",5.04048,5.12325,4.88294,4.80191,NA,NA
"Europe & Central Asia (excluding high income)","ECA",NA,NA,3.81137,3.87343,3.84974,NA
"Europe & Central Asia (IDA & IBRD countries)","TEC",4.55695,4.81831,3.81137,3.87343,3.84974,NA
"European Union","EUU",5.10899,5.12325,4.89556,4.80093,NA,NA
"Fiji","FJI",3.88289,NA,NA,NA,NA,NA
"Finland","FIN",7.15848,7.15156,7.08008,6.89735,NA,NA
"Fragile and conflict affected situations","FCS",2.809365,NA,NA,NA,3.54273,NA
"France","FRA",NA,NA,NA,NA,NA,NA
"Gabon","GAB",3.02971,2.66667,NA,NA,NA,NA
"Gambia, The","GMB",1.82979,2.17849,2.13528,2.05946,NA,2.43275
"Georgia","GEO",NA,NA,NA,3.78477,3.84974,NA
"Germany","DEU",4.93497,4.92086,4.80518,4.80093,NA,NA
"Ghana","GHA",4.6071,4.49182,4.51089,4.48683,3.61798,3.98944
"Greece","GRC",NA,NA,NA,NA,NA,NA
"Grenada","GRD",NA,NA,NA,NA,3.17043,NA
"Guatemala","GTM",2.84226,2.94139,2.95518,2.83281,2.79538,2.92707
"Guinea","GIN",2.63421,2.42281,2.51714,2.5445,2.41622,2.57251
"Guinea-Bissau","GNB",2.13249,NA,NA,NA,NA,NA
"Guyana","GUY",NA,5.84796,5.21482,6.061,6.23007,5.88842
"Haiti","HTI",NA,3.0242,3.15723,2.44959,2.68984,2.78047
"Heavily indebted poor countries (HIPC)","HPC",3.939055,4.050245,4.26125,3.74792,4.03133,4.01379
"High income","HIC",4.97011,5.05123,5.004375,5.0136,NA,NA
"Honduras","HND",5.87493,7.09012,6.41297,NA,NA,6.0812
"Hong Kong SAR, China","HKG",3.76032,3.57255,3.26212,3.29265,3.30986,3.32259
"Hungary","HUN",4.20357,4.63313,4.5721,4.71078,NA,NA
"IBRD only","IBD",4.326725,NA,NA,4.34481,NA,NA
"Iceland","ISL",7.49122,7.68856,7.53237,7.45988,NA,NA
"IDA & IBRD total","IBT",4.07685,4.19438,4.355175,4.03792,4.072325,NA
"IDA blend","IDB",4.0897,4.0172,4.457695,5.3262,4.925315,3.882415
"IDA only","IDX",3.45446,3.99302,4.26125,3.871305,4.03133,4.03814
