"country","countryiso3","SH.DYN.AIDS.ZS_2013","SH.DYN.AIDS.ZS_2014","SH.DYN.AIDS.ZS_2015","SH.DYN.AIDS.ZS_2016","SH.DYN.AIDS.ZS_2017","SH.DYN.AIDS.ZS_2018"
"Afghanistan","AFG",0.1,0.1,0.1,0.1,0.1,0.1
"Algeria","DZA",0.1,0.1,0.1,0.1,0.1,0.1
"Angola","AGO",1.9,1.9,1.9,1.9,2,2
"Arab World","ARB",0.123374822701714,0.125322584559194,0.125626979775809,0.120557709112001,0.120764124900413,0.120953374001664
"Argentina","ARG",0.4,0.4,0.4,0.4,0.4,0.4
"Armenia","ARM",0.2,0.2,0.2,0.2,0.2,0.2
"Australia","AUS",0.1,0.1,0.1,0.1,0.1,0.1
"Bahamas, The","BHS",2,2,1.9,1.9,1.8,1.8
"Bangladesh","BGD",0.1,0.1,0.1,0.1,0.1,0.1
"Barbados","BRB",1.4,1.5,1.5,1.5,1.5,1.5
"Belarus","BLR",0.3,0.4,0.4,0.4,0.4,0.5
"Belize","BLZ",1.9,1.9,1.9,1.9,1.9,1.9
"Benin","BEN",1.1,1.1,1.1,1.1,1,1
"Bhutan","BTN",0.3,0.3,0.3,0.3,0.3,0.3
"Bolivia","BOL",0.3,0.3,0.3,0.3,0.3,0.3
"Bosnia and Herzegovina","BIH",0.1,0.1,0.1,0.1,0.1,0.1
"Botswana","BWA",22.2,21.9,21.6,21.2,20.7,20.3
"Brazil","BRA",0.5,0.5,0.5,0.5,0.5,0.5
"Bulgaria","BGR",0.1,0.1,0.1,0.1,0.1,0.1
"Burkina Faso","BFA",1,1,0.9,0.8,0.8,0.7
"Burundi","BDI",1.3,1.3,1.2,1.2,1.1,1
"Cabo Verde","CPV",0.6,0.6,0.6,0.6,0.6,0.6
"Cambodia","KHM",0.7,0.7,0.6,0.6,0.6,0.5
"Cameroon","CMR",4.2,4.1,3.9,3.8,3.7,3.6
"Caribbean small states","CSS",1.82705763630666,1.77676143243972,1.76985484003437,1.77012975503727,1.76291580376394,1.74859959934384
"Central African Republic","CAF",4.4,4.2,4,3.9,3.7,3.6
"Chad","TCD",1.4,1.4,1.4,1.4,1.3,1.3
"Chile","CHL",0.4,0.4,0.5,0.5,0.5,0.5
"Colombia","COL",0.4,0.4,0.4,0.4,0.4,0.4
"Comoros","COM",0.1,0.1,0.1,0.1,0.1,0.1
"Congo, Dem. Rep.","COD",1,0.9,0.9,0.8,0.8,0.8
"Congo, Rep.","COG",3,2.9,2.8,2.8,2.7,2.6
"Costa Rica","CRI",0.4,0.4,0.4,0.4,0.4,0.4
"Cote d'Ivoire","CIV",3.2,3.1,2.9,2.8,2.7,2.6
"Croatia","HRV",0.1,0.1,0.1,0.1,0.1,0.1
"Cuba","CUB",0.3,0.4,0.4,0.4,0.4,0.4
"Czech Republic","CZE",0.1,0.1,0.1,0.1,0.1,0.1
"Denmark","DNK",0.1,0.1,0.1,0.1,0.1,0.1
"Djibouti","DJI",1.3,1.3,1.3,1.2,1.2,1.2
"Dominican Republic","DOM",1.1,1,1,1,0.9,0.9
"Ecuador","ECU",0.4,0.4,0.4,0.4,0.4,0.4
"Egypt, Arab Rep.","EGY",0.1,0.1,0.1,0.1,0.1,0.1
"El Salvador","SLV",0.7,0.7,0.6,0.6,0.6,0.6
"Equatorial Guinea","GNQ",6.3,6.5,6.7,6.9,7,7.1
"Eritrea","ERI",0.8,0.8,0.8,0.8,0.7,0.7
"Estonia","EST",0.8,0.8,0.8,0.8,0.9,0.9
"Eswatini","SWZ",28,28.2,28.1,28,27.7,27.3
"Ethiopia","ETH",1.2,1.2,1.1,1.1,1.1,1
"Euro area","EMU",0.261260794093579,0.257513936262951,0.257052351352592,0.256930816480136,0.257245043080485,0.243574749516577
"European Union","EUU",0.234566952523876,0.231399544522806,0.231006876097817,0.230949527410332,0.231298746887137,0.218810207756654
"Finland","FIN",0.1,0.1,0.1,0.1,0.1,0.1
"Fragile and conflict affected situations","FCS",1.47863884283394,1.44790838435961,1.42012876715604,1.35837026532736,1.33802445345947,1.31960700015155
"France","FRA",0.3,0.3,0.3,0.3,0.3,0.3
"Gabon","GAB",4,4,4,3.9,3.9,3.8
"Gambia, The","GMB",1.9,1.9,1.9,1.9,1.9,1.9
"Georgia","GEO",0.3,0.3,0.3,0.3,0.4,0.4
"Germany","DEU",0.1,0.1,0.1,0.1,0.1,0.1
"Ghana","GHA",1.8,1.8,1.8,1.8,1.7,1.7
"Guatemala","GTM",0.5,0.5,0.4,0.4,0.4,0.4
"Guinea","GIN",1.6,1.6,1.5,1.5,1.5,1.4
"Guinea-Bissau","GNB",3.8,3.8,3.7,3.6,3.6,3.5
"Guyana","GUY",1.5,1.5,1.5,1.5,1.5,1.4
"Haiti","HTI",2.1,2.1,2.1,2.1,2,2
"Heavily indebted poor countries (HIPC)","HPC",2.65011147860307,2.61534605847999,2.55310161041653,2.51384798387524,2.47356504879728,2.4212426637416
"High income","HIC",0.281679604539967,0.281358658484047,0.284801962787385,0.285671024381039,NA,NA
"Honduras","HND",0.4,0.4,0.4,0.4,0.3,0.3
"Hungary","HUN",0.1,0.1,0.1,0.1,0.1,0.1
"Iceland","ISL",0.1,0.1,0.1,0.1,0.1,0.1
"IDA blend","IDB",1.72215470788367,1.6997365901085,1.66383964918296,1.60677517160021,1.57600607621747,1.54321346122713
"IDA only","IDX",1.83204733428972,1.82237251726686,1.79375504469162,1.77774447762534,1.75919559643126,1.73169468366044
"IDA total","IDA",1.79504227630771,1.78107473112882,1.75001144340506,1.72022000899056,1.69760925236164,1.66838390554307
"Indonesia","IDN",0.4,0.4,0.4,0.4,0.4,0.4
"Iran, Islamic Rep.","IRN",0.1,0.1,0.1,0.1,0.1,0.1
"Ireland","IRL",0.2,0.2,0.2,0.2,0.2,0.2
"Israel","ISR",0.1,0.1,0.2,0.2,0.2,0.2
"Italy","ITA",0.3,0.3,0.3,0.3,0.3,0.3
"Jamaica","JAM",2,1.9,1.9,1.9,1.9,1.9
"Japan","JPN",0.1,0.1,0.1,0.1,0.1,0.1
"Jordan","JOR",0.1,0.1,0.1,0.1,0.1,0.1
"Kazakhstan","KAZ",0.1,0.2,0.2,0.2,0.2,0.2
"Kenya","KEN",5.5,5.4,5.2,5.1,4.9,4.7
"Kuwait","KWT",0.1,0.1,0.1,0.1,0.1,0.1
"Kyrgyz Republic","KGZ",0.2,0.2,0.2,0.2,0.2,0.2
"Lao PDR","LAO",0.3,0.3,0.3,0.3,0.3,0.3
"Latin America & Caribbean","LCN",0.448938414767796,0.448738135538451,0.448102888157028,0.448468560677075,0.443091170930284,0.442777120567071
"Latin America & Caribbean (excluding high income)","LAC",0.445615795399008,0.445349528872779,0.441618932841075,0.441450161855009,0.435896617163075,0.435563385115663
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",0.450338744492493,0.448153207028634,0.44755742992812,0.447913783347416,0.442489103768351,0.442158363940186
"Latvia","LVA",0.4,0.4,0.4,0.4,0.4,0.4
"Least developed countries: UN classification","LDC",1.89901669632013,1.8877948475982,1.85873588229171,1.84137777741209,1.82848170545636,1.79958497277035
"Lebanon","LBN",0.1,0.1,0.1,0.1,0.1,0.1
"Lesotho","LSO",24.5,24.6,24.5,24.3,24,23.6
"Liberia","LBR",1.6,1.5,1.4,1.4,1.3,1.3
"Libya","LBY",0.2,0.2,0.2,0.2,0.2,0.2
"Low income","LIC",2.09057880430272,2.06613996364949,2.02354702968521,1.99659126071279,1.98174954335772,1.94313840391618
"Luxembourg","LUX",0.2,0.2,0.2,0.3,0.3,0.3
"Madagascar","MDG",0.2,0.2,0.2,0.2,0.3,0.3
"Malawi","MWI",10.2,10,9.8,9.7,9.4,9.2
"Malaysia","MYS",0.4,0.4,0.4,0.4,0.4,0.4
"Mali","MLI",1.4,1.3,1.3,1.3,1.3,1.4
"Mauritania","MRT",0.3,0.3,0.3,0.2,0.2,0.2
"Mauritius","MUS",1.3,1.3,1.3,1.3,1.3,1.3
"Mexico","MEX",0.2,0.2,0.2,0.2,0.2,0.2
"Middle East & North Africa","MEA",0.105344115064942,0.106856803841688,0.109081148411475,0.108889836694683,0.108970647076352,0.109040656379805
"Middle East & North Africa (excluding high income)","MNA",0.105615661729356,0.105623968922936,0.105638073218849,0.105362060733619,0.105384468392492,0.105407157041857
"Middle East & North Africa (IDA & IBRD countries)","TMN",0.105615661729356,0.105623968922936,0.105638073218849,0.105362060733619,0.105384468392492,0.105407157041857
"Moldova","MDA",0.6,0.6,0.6,0.6,0.6,0.6
"Mongolia","MNG",0.1,0.1,0.1,0.1,0.1,0.1
"Montenegro","MNE",0.1,0.1,0.1,0.1,0.1,0.1
"Morocco","MAR",0.1,0.1,0.1,0.1,0.1,0.1
"Mozambique","MOZ",12.3,12.4,12.5,12.5,12.6,12.6
"Myanmar","MMR",0.8,0.8,0.8,0.8,0.8,0.8
"Namibia","NAM",13,12.8,12.6,12.3,12.1,11.8
"Nepal","NPL",0.2,0.2,0.2,0.2,0.1,0.1
"Netherlands","NLD",0.2,0.2,0.2,0.2,0.2,NA
"New Zealand","NZL",0.1,0.1,0.1,0.1,0.1,0.1
"Nicaragua","NIC",0.2,0.2,0.2,0.2,0.2,0.2
"Niger","NER",0.4,0.4,0.3,0.3,0.3,0.3
"Nigeria","NGA",1.6,1.6,1.6,1.5,1.5,1.5
"North America","NAC",0.4,0.4,0.4,0.4,NA,NA
"North Macedonia","MKD",0.1,0.1,0.1,0.1,0.1,0.1
"Norway","NOR",0.1,0.1,0.1,0.1,0.1,0.1
"OECD members","OED",0.277333807380087,0.27642610327541,0.279346864255005,0.279640751517615,NA,NA
"Oman","OMN",0.1,0.2,0.2,0.2,0.2,0.2
"Other small states","OSS",9.18586796312787,9.14079383525465,9.05770623239165,8.94498629815981,8.83629619486531,8.68955138885113
"Pakistan","PAK",0.1,0.1,0.1,0.1,0.1,0.1
"Panama","PAN",0.9,0.9,0.9,0.9,0.9,0.9
"Papua New Guinea","PNG",0.8,0.8,0.8,0.8,0.8,0.8
"Paraguay","PRY",0.5,0.5,0.5,0.5,0.5,0.5
"Peru","PER",0.3,0.3,0.3,0.3,0.3,0.3
"Philippines","PHL",0.1,0.1,0.1,0.1,0.1,0.1
"Portugal","PRT",0.6,0.5,0.5,0.5,0.5,0.5
"Post-demographic dividend","PST",0.313783024967798,0.315109547268361,0.315079890325617,0.315168964215478,NA,NA
"Pre-demographic dividend","PRE",2.88178959612115,2.84737115381917,2.79402183155016,2.73382963109516,2.69745396298147,2.65169331525239
"Romania","ROU",0.1,0.1,0.1,0.1,0.1,0.1
"Rwanda","RWA",3.1,3,2.9,2.7,2.6,2.5
"Senegal","SEN",0.5,0.5,0.5,0.4,0.4,0.4
"Serbia","SRB",0.1,0.1,0.1,0.1,0.1,0.1
