"country","countryiso3","latest.year_SH.MED.BEDS.ZS","latest.value_SH.MED.BEDS.ZS"
"Afghanistan","AFG",2015,0.5
"Albania","ALB",2013,2.9
"Algeria","DZA",2015,1.9
"Andorra","AND",NA,NA
"Angola","AGO",NA,NA
"Antigua and Barbuda","ATG",2014,3.8
"Arab World","ARB",2014,1.62452358057313
"Argentina","ARG",2014,5
"Armenia","ARM",2015,4.2
"Australia","AUS",2014,3.8
"Austria","AUT",2013,7.6
"Azerbaijan","AZE",2013,4.7
"Bahamas, The","BHS",2013,2.9
"Bahrain","BHR",2014,2
"Bangladesh","BGD",2015,0.8
"Barbados","BRB",2014,5.8
"Belarus","BLR",2013,11
"Belgium","BEL",2014,6.2
"Belize","BLZ",2014,1.3
"Benin","BEN",NA,NA
"Bermuda","BMU",NA,NA
"Bhutan","BTN",NA,NA
"Bolivia","BOL",2014,1.1
"Bosnia and Herzegovina","BIH",2013,3.5
"Botswana","BWA",NA,NA
"Brazil","BRA",2014,2.2
"Brunei Darussalam","BRN",2015,2.7
"Bulgaria","BGR",2013,6.8
"Burkina Faso","BFA",NA,NA
"Burundi","BDI",2014,0.8
"Cabo Verde","CPV",NA,NA
"Cambodia","KHM",2015,0.8
"Cameroon","CMR",NA,NA
"Canada","CAN",NA,NA
"Caribbean small states","CSS",2013,2.26723392472779
"Cayman Islands","CYM",NA,NA
"Central African Republic","CAF",NA,NA
"Central Europe and the Baltics","CEB",2013,6.42144666078239
"Chad","TCD",NA,NA
"Channel Islands","CHI",NA,NA
"Chile","CHL",2013,2.2
"China","CHN",NA,NA
"Colombia","COL",2014,1.5
"Comoros","COM",NA,NA
"Congo, Dem. Rep.","COD",NA,NA
"Congo, Rep.","COG",NA,NA
"Costa Rica","CRI",2015,1.2
"Cote d'Ivoire","CIV",NA,NA
"Croatia","HRV",2015,5.6
"Cuba","CUB",2014,5.2
"Cyprus","CYP",2013,3.4
"Czech Republic","CZE",2015,6.5
"Denmark","DNK",2015,2.5
"Djibouti","DJI",2014,1.4
"Dominica","DMA",NA,NA
"Dominican Republic","DOM",2014,1.6
"Early-demographic dividend","EAR",NA,NA
"East Asia & Pacific","EAS",NA,NA
"East Asia & Pacific (excluding high income)","EAP",NA,NA
"East Asia & Pacific (IDA & IBRD countries)","TEA",NA,NA
"Ecuador","ECU",2013,1.5
"Egypt, Arab Rep.","EGY",2014,1.6
"El Salvador","SLV",2014,1.3
"Equatorial Guinea","GNQ",NA,NA
"Eritrea","ERI",NA,NA
"Estonia","EST",2015,5
"Eswatini","SWZ",NA,NA
"Ethiopia","ETH",2015,0.3
"Euro area","EMU",2013,6.16749081248063
"Europe & Central Asia","ECS",2013,5.9250309927928
"Europe & Central Asia (excluding high income)","ECA",2013,6.35754377903486
"Europe & Central Asia (IDA & IBRD countries)","TEC",2013,6.36284790763261
"European Union","EUU",2013,6.10828282710878
"Fiji","FJI",NA,NA
"Finland","FIN",2015,4.4
"Fragile and conflict affected situations","FCS",NA,NA
"France","FRA",2013,6.5
"Gabon","GAB",NA,NA
"Gambia, The","GMB",NA,NA
"Georgia","GEO",2013,2.6
"Germany","DEU",2013,8.3
"Ghana","GHA",NA,NA
"Greece","GRC",2015,4.3
"Greenland","GRL",NA,NA
"Grenada","GRD",2014,3.7
"Guatemala","GTM",2014,0.6
"Guinea","GIN",NA,NA
"Guinea-Bissau","GNB",NA,NA
"Guyana","GUY",2014,1.6
"Haiti","HTI",2013,0.7
"Heavily indebted poor countries (HIPC)","HPC",NA,NA
"High income","HIC",2013,4.16303937024607
"Honduras","HND",2014,0.7
"Hong Kong SAR, China","HKG",NA,NA
"Hungary","HUN",2013,7
"IBRD only","IBD",NA,NA
"Iceland","ISL",2014,3.2
"IDA & IBRD total","IBT",NA,NA
"IDA blend","IDB",NA,NA
"IDA only","IDX",NA,NA
"IDA total","IDA",NA,NA
"India","IND",NA,NA
"Indonesia","IDN",2015,1.2
"Iran, Islamic Rep.","IRN",2014,1.5
"Iraq","IRQ",2014,1.4
"Ireland","IRL",2013,2.8
"Isle of Man","IMN",NA,NA
"Israel","ISR",2013,3.1
"Italy","ITA",NA,NA
"Jamaica","JAM",2013,1.7
"Japan","JPN",NA,NA
"Jordan","JOR",2015,1.4
"Kazakhstan","KAZ",2013,6.7
"Kenya","KEN",NA,NA
"Kiribati","KIR",2015,1.9
"Korea, Dem. People’s Rep.","PRK",NA,NA
"Korea, Rep.","KOR",2015,11.5
"Kuwait","KWT",2014,2
"Kyrgyz Republic","KGZ",2013,4.5
"Lao PDR","LAO",NA,NA
"Late-demographic dividend","LTE",NA,NA
"Latin America & Caribbean","LCN",2014,2.17552044810434
"Latin America & Caribbean (excluding high income)","LAC",2014,2.16516032319828
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2014,2.09185793414075
"Latvia","LVA",2013,5.8
"Least developed countries: UN classification","LDC",NA,NA
"Lebanon","LBN",2014,2.9
"Lesotho","LSO",NA,NA
"Liberia","LBR",NA,NA
"Libya","LBY",2014,3.7
"Lithuania","LTU",2013,7.3
"Low & middle income","LMY",NA,NA
"Low income","LIC",NA,NA
"Lower middle income","LMC",NA,NA
"Luxembourg","LUX",2015,4.8
"Macao SAR, China","MAC",NA,NA
"Madagascar","MDG",NA,NA
"Malawi","MWI",NA,NA
"Malaysia","MYS",2015,1.9
"Maldives","MDV",NA,NA
"Mali","MLI",NA,NA
"Malta","MLT",2014,4.7
"Marshall Islands","MHL",NA,NA
"Mauritania","MRT",NA,NA
"Mauritius","MUS",NA,NA
"Mexico","MEX",2015,1.5
"Micronesia, Fed. Sts.","FSM",NA,NA
"Middle East & North Africa","MEA",2014,1.62848507014646
"Middle East & North Africa (excluding high income)","MNA",2014,1.51669671692738
"Middle East & North Africa (IDA & IBRD countries)","TMN",2014,1.51669671692738
"Middle income","MIC",NA,NA
"Moldova","MDA",2013,5.8
"Monaco","MCO",NA,NA
"Mongolia","MNG",NA,NA
"Montenegro","MNE",NA,NA
"Morocco","MAR",2014,1.1
"Mozambique","MOZ",NA,NA
"Myanmar","MMR",NA,NA
"Namibia","NAM",NA,NA
"Nauru","NRU",NA,NA
"Nepal","NPL",NA,NA
"Netherlands","NLD",NA,NA
"New Zealand","NZL",2013,2.8
"Nicaragua","NIC",2014,0.9
"Niger","NER",2015,0.3
"Nigeria","NGA",NA,NA
"North America","NAC",2013,2.9
"North Macedonia","MKD",2013,4.4
"Norway","NOR",2013,3.9
"OECD members","OED",2013,3.70524087483816
"Oman","OMN",2014,1.6
"Pacific island small states","PSS",NA,NA
"Pakistan","PAK",2014,0.6
"Palau","PLW",NA,NA
"Panama","PAN",2013,2.3
"Papua New Guinea","PNG",NA,NA
"Paraguay","PRY",NA,NA
"Peru","PER",2014,1.6
"Philippines","PHL",NA,NA
"Poland","POL",2013,6.5
"Portugal","PRT",2013,3.4
"Post-demographic dividend","PST",2013,4.60735776535194
"Pre-demographic dividend","PRE",NA,NA
"Puerto Rico","PRI",NA,NA
"Qatar","QAT",2014,1.2
"Romania","ROU",2013,6.3
"Russian Federation","RUS",2013,8.2
"Rwanda","RWA",NA,NA
"Samoa","WSM",NA,NA
"San Marino","SMR",NA,NA
"Sao Tome and Principe","STP",NA,NA
"Saudi Arabia","SAU",2014,2.7
"Senegal","SEN",NA,NA
"Serbia","SRB",NA,NA
"Seychelles","SYC",NA,NA
"Sierra Leone","SLE",NA,NA
"Singapore","SGP",2015,2.4
"Slovak Republic","SVK",2015,5.8
"Slovenia","SVN",2013,4.6
"Small states","SST",NA,NA
"Solomon Islands","SLB",NA,NA
"Somalia","SOM",2014,0.9
"South Africa","ZAF",NA,NA
"South Asia","SAS",NA,NA
"South Asia (IDA & IBRD)","TSA",NA,NA
"Spain","ESP",2013,3
"Sri Lanka","LKA",NA,NA
"St. Kitts and Nevis","KNA",NA,NA
"St. Lucia","LCA",2013,1.3
"St. Vincent and the Grenadines","VCT",2014,2.6
"Sub-Saharan Africa","SSF",NA,NA
"Sub-Saharan Africa (excluding high income)","SSA",NA,NA
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",NA,NA
"Sudan","SDN",2013,0.8
"Suriname","SUR",NA,NA
"Sweden","SWE",2013,2.6
"Switzerland","CHE",2013,4.7
"Syrian Arab Republic","SYR",2014,1.5
"Tajikistan","TJK",2013,4.8
"Tanzania","TZA",NA,NA
"Thailand","THA",NA,NA
"Timor-Leste","TLS",NA,NA
"Togo","TGO",NA,NA
"Tonga","TON",NA,NA
"Trinidad and Tobago","TTO",2014,3
"Tunisia","TUN",2015,2.3
"Turkey","TUR",2013,2.7
"Turkmenistan","TKM",2013,7.4
"Tuvalu","TUV",NA,NA
"Uganda","UGA",NA,NA
"Ukraine","UKR",2013,8.8
"United Arab Emirates","ARE",2013,1.2
"United Kingdom","GBR",2013,2.8
"United States","USA",2013,2.9
"Upper middle income","UMC",NA,NA
"Uruguay","URY",2014,2.8
"Uzbekistan","UZB",2013,4
"Vanuatu","VUT",NA,NA
"Venezuela, RB","VEN",2014,0.8
"Vietnam","VNM",2014,2.6
"Virgin Islands (U.S.)","VIR",NA,NA
"West Bank and Gaza","PSE",NA,NA
"World","WLD",NA,NA
"Yemen, Rep.","YEM",2014,0.7
"Zambia","ZMB",NA,NA
"Zimbabwe","ZWE",NA,NA
