"country","countryiso3","SH.TBS.INCD_2013","SH.TBS.INCD_2014","SH.TBS.INCD_2015","SH.TBS.INCD_2016","SH.TBS.INCD_2017","SH.TBS.INCD_2018"
"Afghanistan","AFG",189,189,189,189,189,189
"Albania","ALB",19,16,17,17,20,18
"Algeria","DZA",68,72,75,70,70,69
"American Samoa","ASM",6.9,6.8,8.2,6.5,10,0
"Andorra","AND",7.1,8.7,5.9,6,1.5,3
"Angola","AGO",376,370,366,362,359,355
"Antigua and Barbuda","ATG",13,3.7,4.9,3.6,1.2,6
"Argentina","ARG",24,25,26,27,27,27
"Armenia","ARM",60,57,50,44,36,31
"Aruba","ABW",12,2.2,11,15,8.7,5.4
"Australia","AUS",6.2,6.5,6,6.5,6.7,6.6
"Austria","AUT",8.4,7.5,7.5,8.1,7.3,7.1
"Azerbaijan","AZE",78,76,71,66,66,63
"Bahamas, The","BHS",10,16,19,27,15,14
"Bahrain","BHR",18,16,15,12,12,11
"Bangladesh","BGD",221,221,221,221,221,221
"Barbados","BRB",1.6,2,0,1.2,0,0.4
"Belarus","BLR",59,51,50,42,37,31
"Belgium","BEL",9.3,9.1,9.5,10,9.2,9
"Belize","BLZ",40,23,25,37,36,30
"Benin","BEN",64,61,60,59,58,56
"Bermuda","BMU",0,0,0,3.6,3.6,3.7
"Bhutan","BTN",190,185,165,193,145,149
"Bolivia","BOL",123,120,117,114,111,108
"Bosnia and Herzegovina","BIH",44,43,40,33,29,25
"Botswana","BWA",414,385,356,326,300,275
"Brazil","BRA",44,43,43,43,44,45
"British Virgin Islands","VGB",4,0,0,0,1.9,3.9
"Brunei Darussalam","BRN",60,56,59,66,64,68
"Bulgaria","BGR",33,31,28,27,25,22
"Burkina Faso","BFA",54,54,52,51,49,48
"Burundi","BDI",128,126,122,118,114,111
"Cabo Verde","CPV",74,66,64,58,58,46
"Cambodia","KHM",399,384,367,347,326,302
"Cameroon","CMR",235,220,212,203,194,186
"Canada","CAN",5.3,5.1,5.2,5.5,5.6,5.6
"Cayman Islands","CYM",9.6,0,13,5.5,7.3,5.4
"Central African Republic","CAF",540,540,540,540,540,540
"Chad","TCD",146,145,144,144,143,142
"Chile","CHL",16,15,16,16,17,18
"China","CHN",70,67,65,63,62,61
"Colombia","COL",32,31,31,33,33,33
"Comoros","COM",34,35,35,35,35,35
"Congo, Dem. Rep.","COD",326,325,324,323,322,321
"Congo, Rep.","COG",382,381,379,378,376,375
"Costa Rica","CRI",11,12,11,9.4,9.6,10
"Cote d'Ivoire","CIV",170,165,159,153,148,142
"Croatia","HRV",14,13,13,12,10,8.4
"Cuba","CUB",7.7,7.4,7.1,6.9,7.2,7.2
"Curacao","CUW",1.5,3.6,5.8,2.9,6.4,6.4
"Cyprus","CYP",4.1,3.9,6.2,5.6,5.1,5.4
"Czech Republic","CZE",5.1,5.1,5.5,5.5,5.4,5.4
"Denmark","DNK",6.7,5.9,6.5,5.9,5.1,5.4
"Djibouti","DJI",447,337,367,339,272,260
"Dominica","DMA",4.9,1.6,11,8.1,1.6,6.4
