"country","countryiso3","latest.year_SH.TBS.INCD","latest.value_SH.TBS.INCD"
"Afghanistan","AFG",2018,189
"Albania","ALB",2018,18
"Algeria","DZA",2018,69
"American Samoa","ASM",2018,0
"Andorra","AND",2018,3
"Angola","AGO",2018,355
"Antigua and Barbuda","ATG",2018,6
"Argentina","ARG",2018,27
"Armenia","ARM",2018,31
"Aruba","ABW",2018,5.4
"Australia","AUS",2018,6.6
"Austria","AUT",2018,7.1
"Azerbaijan","AZE",2018,63
"Bahamas, The","BHS",2018,14
"Bahrain","BHR",2018,11
"Bangladesh","BGD",2018,221
"Barbados","BRB",2018,0.4
"Belarus","BLR",2018,31
"Belgium","BEL",2018,9
"Belize","BLZ",2018,30
"Benin","BEN",2018,56
"Bermuda","BMU",2018,3.7
"Bhutan","BTN",2018,149
"Bolivia","BOL",2018,108
"Bosnia and Herzegovina","BIH",2018,25
"Botswana","BWA",2018,275
"Brazil","BRA",2018,45
"British Virgin Islands","VGB",2018,3.9
"Brunei Darussalam","BRN",2018,68
"Bulgaria","BGR",2018,22
"Burkina Faso","BFA",2018,48
"Burundi","BDI",2018,111
"Cabo Verde","CPV",2018,46
"Cambodia","KHM",2018,302
"Cameroon","CMR",2018,186
"Canada","CAN",2018,5.6
"Cayman Islands","CYM",2018,5.4
"Central African Republic","CAF",2018,540
"Chad","TCD",2018,142
"Chile","CHL",2018,18
"China","CHN",2018,61
"Colombia","COL",2018,33
"Comoros","COM",2018,35
"Congo, Dem. Rep.","COD",2018,321
"Congo, Rep.","COG",2018,375
"Costa Rica","CRI",2018,10
"Cote d'Ivoire","CIV",2018,142
"Croatia","HRV",2018,8.4
"Cuba","CUB",2018,7.2
"Curacao","CUW",2018,6.4
"Cyprus","CYP",2018,5.4
"Czech Republic","CZE",2018,5.4
"Denmark","DNK",2018,5.4
"Djibouti","DJI",2018,260
"Dominica","DMA",2018,6.4
"Dominican Republic","DOM",2018,45
"East Asia & Pacific","EAS",2018,133
"East Asia & Pacific (excluding high income)","EAP",2018,144
"Ecuador","ECU",2018,44
"Egypt, Arab Rep.","EGY",2018,12
"El Salvador","SLV",2018,70
"Equatorial Guinea","GNQ",2018,201
"Eritrea","ERI",2018,89
"Estonia","EST",2018,13
"Eswatini","SWZ",2018,329
"Ethiopia","ETH",2018,151
"Europe & Central Asia","ECS",2018,28
"Europe & Central Asia (excluding high income)","ECA",2018,51
"Fiji","FJI",2018,54
"Finland","FIN",2018,4.7
"France","FRA",2018,8.9
"French Polynesia","PYF",2018,22
"Gabon","GAB",2018,525
"Gambia, The","GMB",2018,174
"Georgia","GEO",2018,80
"Germany","DEU",2018,7.3
"Ghana","GHA",2018,148
"Greece","GRC",2018,4.5
"Greenland","GRL",2018,100
"Grenada","GRD",2018,2.1
"Guam","GUM",2018,49
"Guatemala","GTM",2018,26
"Guinea","GIN",2018,176
"Guinea-Bissau","GNB",2018,361
"Guyana","GUY",2018,83
"Haiti","HTI",2018,176
"High income","HIC",2018,11
"Honduras","HND",2018,37
"Hong Kong SAR, China","HKG",2018,67
"Hungary","HUN",2018,6.4
"Iceland","ISL",2018,2.7
"India","IND",2018,199
"Indonesia","IDN",2018,316
"Iran, Islamic Rep.","IRN",2018,14
"Iraq","IRQ",2018,42
"Ireland","IRL",2018,7
"Israel","ISR",2018,4
"Italy","ITA",2018,7
"Jamaica","JAM",2018,2.9
"Japan","JPN",2018,14
"Jordan","JOR",2018,5
"Kazakhstan","KAZ",2018,68
"Kenya","KEN",2018,292
"Kiribati","KIR",2018,349
"Korea, Dem. People’s Rep.","PRK",2018,513
"Korea, Rep.","KOR",2018,66
"Kuwait","KWT",2018,23
"Kyrgyz Republic","KGZ",2018,116
"Lao PDR","LAO",2018,162
"Latin America & Caribbean","LCN",2018,43
"Latin America & Caribbean (excluding high income)","LAC",2018,44
"Latvia","LVA",2018,29
"Lebanon","LBN",2018,11
"Lesotho","LSO",2018,611
"Liberia","LBR",2018,308
"Libya","LBY",2018,40
"Lithuania","LTU",2018,44
"Low & middle income","LMY",2018,154
"Low income","LIC",2018,206
"Lower middle income","LMC",2018,220
"Luxembourg","LUX",2018,8
"Macao SAR, China","MAC",2018,60
"Madagascar","MDG",2018,233
"Malawi","MWI",2018,181
"Malaysia","MYS",2018,92
"Maldives","MDV",2018,33
"Mali","MLI",2018,53
"Malta","MLT",2018,14
"Marshall Islands","MHL",2018,434
"Mauritania","MRT",2018,93
"Mauritius","MUS",2018,13
"Mexico","MEX",2018,23
"Micronesia, Fed. Sts.","FSM",2018,108
"Middle East & North Africa","MEA",2018,31
"Middle East & North Africa (excluding high income)","MNA",2018,34
"Middle income","MIC",2018,148
"Moldova","MDA",2018,86
"Monaco","MCO",2018,0
"Mongolia","MNG",2018,428
"Montenegro","MNE",2018,15
"Morocco","MAR",2018,99
"Mozambique","MOZ",2018,551
"Myanmar","MMR",2018,338
"Namibia","NAM",2018,524
"Nauru","NRU",2018,54
"Nepal","NPL",2018,151
"Netherlands","NLD",2018,5.3
"New Caledonia","NCL",2018,15
"New Zealand","NZL",2018,7.3
"Nicaragua","NIC",2018,41
"Niger","NER",2018,87
"Nigeria","NGA",2018,219
"North America","NAC",2018,3.3
"North Macedonia","MKD",2018,13
"Northern Mariana Islands","MNP",2018,95
"Norway","NOR",2018,4.1
"Oman","OMN",2018,5.9
"Pakistan","PAK",2018,265
"Palau","PLW",2018,109
"Panama","PAN",2018,52
"Papua New Guinea","PNG",2018,432
"Paraguay","PRY",2018,43
"Peru","PER",2018,123
"Philippines","PHL",2018,554
"Poland","POL",2018,16
"Portugal","PRT",2018,24
"Puerto Rico","PRI",2018,0.95
"Qatar","QAT",2018,31
"Romania","ROU",2018,68
"Russian Federation","RUS",2018,54
"Rwanda","RWA",2018,59
"Samoa","WSM",2018,6.4
"San Marino","SMR",2018,0
"Sao Tome and Principe","STP",2018,124
"Saudi Arabia","SAU",2018,10
"Senegal","SEN",2018,118
"Serbia","SRB",2018,17
"Seychelles","SYC",2018,18
"Sierra Leone","SLE",2018,298
"Singapore","SGP",2018,47
"Sint Maarten (Dutch part)","SXM",2018,19
"Slovak Republic","SVK",2018,5.8
"Slovenia","SVN",2018,5.3
"Solomon Islands","SLB",2018,74
"Somalia","SOM",2018,262
"South Africa","ZAF",2018,520
"South Asia","SAS",2018,206
"South Sudan","SSD",2018,146
"Spain","ESP",2018,9.4
"Sri Lanka","LKA",2018,64
"St. Kitts and Nevis","KNA",2018,0
"St. Lucia","LCA",2018,3.2
"St. Vincent and the Grenadines","VCT",2018,6.3
"Sub-Saharan Africa","SSF",2018,231
"Sub-Saharan Africa (excluding high income)","SSA",2018,231
"Sudan","SDN",2018,71
"Suriname","SUR",2018,38
"Sweden","SWE",2018,5.5
"Switzerland","CHE",2018,6.4
"Syrian Arab Republic","SYR",2018,19
"Tajikistan","TJK",2018,84
"Tanzania","TZA",2018,253
"Thailand","THA",2018,153
"Timor-Leste","TLS",2018,498
"Togo","TGO",2018,36
"Tonga","TON",2018,10
"Trinidad and Tobago","TTO",2018,21
"Tunisia","TUN",2018,35
"Turkey","TUR",2018,16
"Turkmenistan","TKM",2018,46
"Turks and Caicos Islands","TCA",2018,6.1
"Tuvalu","TUV",2018,270
"Uganda","UGA",2018,200
"Ukraine","UKR",2018,80
"United Arab Emirates","ARE",2018,1
"United Kingdom","GBR",2018,8
"United States","USA",2018,3
"Upper middle income","UMC",2018,66
"Uruguay","URY",2018,33
"Uzbekistan","UZB",2018,70
